Mapping parameters for Galeus nipponensis (Broadfin sawtail catshark)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61,
Bounding Box (NSWE): ,34,7,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,200,749,1726,4000
Temperature (°C),1,22.15,23.7,26.25,30.45
Salinity (psu),1,33.29,33.79,34.51,35.01
Primary Production,1,299,306.8,695.6,926
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,63,111.6,186.800003051758,251
 

Map data (HSPEC) for predicted occurrences (n = 406): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Galeus,nipponensis,15.75,108.75,1110:458:4,0.03
Galeus,nipponensis,15.75,109.25,1110:459:3,0.08
Galeus,nipponensis,16.25,108.25,1110:468:1,0.02
Galeus,nipponensis,18.25,110.25,1111:380:1,0.08
Galeus,nipponensis,18.75,110.75,1111:380:4,0.01
Galeus,nipponensis,19.25,111.25,1111:391:1,0.01
Galeus,nipponensis,19.25,111.75,1111:391:2,0.11
Galeus,nipponensis,19.25,112.25,1111:392:1,0.13
Galeus,nipponensis,19.75,112.75,1111:392:4,0.01
Galeus,nipponensis,21.25,115.75,1211:215:2,0.14
Galeus,nipponensis,21.75,116.25,1211:216:3,0.11
Galeus,nipponensis,22.75,118.75,1211:228:4,0.07
Galeus,nipponensis,25.75,122.25,1212:352:3,0.10
Galeus,nipponensis,26.25,123.75,1212:363:2,0.01
Galeus,nipponensis,26.25,124.25,1212:364:1,0.19
Galeus,nipponensis,26.75,124.25,1212:364:3,0.07
Galeus,nipponensis,27.75,129.25,1212:479:3,0.18
Galeus,nipponensis,27.75,132.25,1213:372:3,0.06
Galeus,nipponensis,28.25,131.75,1213:381:2,0.17
Galeus,nipponensis,28.75,133.75,1213:383:4,0.12
Galeus,nipponensis,29.75,139.25,1213:499:3,0.07
Galeus,nipponensis,29.75,139.75,1213:499:4,0.13
Galeus,nipponensis,27.75,141.75,1214:371:4,0.13
Galeus,nipponensis,28.25,140.75,1214:380:2,0.08
Galeus,nipponensis,28.25,141.25,1214:381:1,0.05
Galeus,nipponensis,28.25,141.75,1214:381:2,0.07
Galeus,nipponensis,28.75,141.25,1214:381:3,0.15
Galeus,nipponensis,28.25,142.25,1214:382:1,0.07
Galeus,nipponensis,29.25,141.25,1214:391:1,0.05
Galeus,nipponensis,29.75,141.25,1214:391:3,0.10
Galeus,nipponensis,29.75,141.75,1214:391:4,0.18
Galeus,nipponensis,30.25,127.75,1312:207:2,0.11
Galeus,nipponensis,30.75,127.75,1312:207:4,0.08
Galeus,nipponensis,31.75,128.25,1312:218:3,0.17
Galeus,nipponensis,30.75,130.75,1313:100:4,0.17
Galeus,nipponensis,31.25,134.75,1313:114:2,0.18
Galeus,nipponensis,32.75,131.75,1313:121:4,0.09
Galeus,nipponensis,30.25,136.75,1313:206:2,0.15
Galeus,nipponensis,30.75,136.25,1313:206:3,0.03
Galeus,nipponensis,30.75,137.75,1313:207:4,0.01
Galeus,nipponensis,30.25,139.25,1313:209:1,0.12
Galeus,nipponensis,30.75,139.75,1313:209:4,0.18
Galeus,nipponensis,31.75,136.25,1313:216:3,0.16
Galeus,nipponensis,32.25,136.25,1313:226:1,0.03
Galeus,nipponensis,32.25,136.75,1313:226:2,0.04
Galeus,nipponensis,32.75,136.25,1313:226:3,0.10
Galeus,nipponensis,32.75,136.75,1313:226:4,0.09
Galeus,nipponensis,32.25,137.75,1313:227:2,0.01
Galeus,nipponensis,32.75,137.25,1313:227:3,0.03
Galeus,nipponensis,32.75,137.75,1313:227:4,0.13
Galeus,nipponensis,32.75,138.25,1313:228:3,0.15
Galeus,nipponensis,30.75,140.25,1314:100:3,0.17
Galeus,nipponensis,30.25,141.25,1314:101:1,0.15
Galeus,nipponensis,30.25,141.75,1314:101:2,0.13
Galeus,nipponensis,30.75,141.75,1314:101:4,0.15
Galeus,nipponensis,31.25,141.25,1314:111:1,0.18
Galeus,nipponensis,31.25,141.75,1314:111:2,0.07
Galeus,nipponensis,32.25,141.25,1314:121:1,0.17
Galeus,nipponensis,32.25,141.75,1314:121:2,0.04
Galeus,nipponensis,32.75,141.75,1314:121:4,0.05
Galeus,nipponensis,32.75,143.25,1314:123:3,0.08
Galeus,nipponensis,32.75,143.75,1314:123:4,0.01
Galeus,nipponensis,33.25,140.25,1314:130:1,0.03
Galeus,nipponensis,33.25,140.75,1314:130:2,0.03
Galeus,nipponensis,33.75,140.25,1314:130:3,0.03
Galeus,nipponensis,33.75,140.75,1314:130:4,0.03
Galeus,nipponensis,33.25,141.25,1314:131:1,0.09
Galeus,nipponensis,33.75,141.25,1314:131:3,0.07
Galeus,nipponensis,33.25,143.25,1314:133:1,0.05
Galeus,nipponensis,33.25,143.75,1314:133:2,0.05
Galeus,nipponensis,33.75,143.75,1314:133:4,0.04
Galeus,nipponensis,31.75,148.25,1314:218:3,0.10
Galeus,nipponensis,31.75,148.75,1314:218:4,0.10
Galeus,nipponensis,31.75,149.25,1314:219:3,0.10
Galeus,nipponensis,30.25,154.75,1315:104:2,0.03
Galeus,nipponensis,31.75,150.75,1315:110:4,0.05
Galeus,nipponensis,31.25,151.25,1315:111:1,0.02
Galeus,nipponensis,31.75,151.25,1315:111:3,0.09
Galeus,nipponensis,30.75,158.75,1315:208:4,0.02
