Mapping parameters for Galeus springeri (Springer's sawtail cat shark)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 31,
Bounding Box (NSWE): ,,,,

Pelagic: True,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,450,478,568,700
Temperature (°C),1,1.5,2,13.94,29.02
Salinity (psu),1,33.84,34.81,35.81,36.69
Primary Production,1,162.5,251,396,470.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,19,26,212,363.5
 

Map data (HSPEC) for predicted occurrences (n = 5107): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Galeus,springeri,0.75,-46.25,7004:206:3,0.03
Galeus,springeri,5.25,-40.25,7004:350:1,0.04
Galeus,springeri,5.25,-40.75,7004:350:2,0.04
Galeus,springeri,5.75,-40.25,7004:350:3,0.08
Galeus,springeri,5.75,-40.75,7004:350:4,0.04
Galeus,springeri,5.25,-41.25,7004:351:1,0.02
Galeus,springeri,5.25,-41.75,7004:351:2,0.02
Galeus,springeri,5.75,-41.25,7004:351:3,0.02
Galeus,springeri,5.75,-41.75,7004:351:4,0.12
Galeus,springeri,5.25,-42.25,7004:352:1,0.04
Galeus,springeri,5.25,-42.75,7004:352:2,0.04
Galeus,springeri,5.75,-42.25,7004:352:3,0.04
Galeus,springeri,5.75,-42.75,7004:352:4,0.04
Galeus,springeri,5.75,-43.25,7004:353:3,0.04
Galeus,springeri,6.25,-40.25,7004:360:1,0.18
Galeus,springeri,6.25,-40.75,7004:360:2,0.18
Galeus,springeri,6.75,-40.25,7004:360:3,0.17
Galeus,springeri,6.75,-40.75,7004:360:4,0.18
Galeus,springeri,6.25,-41.25,7004:361:1,0.18
Galeus,springeri,6.75,-41.25,7004:361:3,0.18
Galeus,springeri,6.75,-41.75,7004:361:4,0.18
Galeus,springeri,6.25,-46.75,7004:466:2,0.09
Galeus,springeri,6.75,-46.75,7004:466:4,0.19
Galeus,springeri,7.25,-46.75,7004:476:2,0.18
Galeus,springeri,7.25,-47.25,7004:477:1,0.13
Galeus,springeri,8.25,-47.75,7004:487:2,0.01
Galeus,springeri,9.75,-48.25,7004:498:3,0.16
Galeus,springeri,9.75,-48.75,7004:498:4,0.07
Galeus,springeri,9.75,-77.25,7007:497:3,0.19
Galeus,springeri,10.25,-51.25,7105:101:1,0.05
Galeus,springeri,10.75,-52.25,7105:102:3,0.18
Galeus,springeri,10.75,-52.75,7105:102:4,0.09
Galeus,springeri,11.25,-53.75,7105:113:2,0.08
Galeus,springeri,12.75,-56.25,7105:226:3,0.15
Galeus,springeri,12.25,-58.75,7105:228:2,0.18
Galeus,springeri,12.25,-68.25,7106:228:1,0.09
Galeus,springeri,13.75,-65.75,7106:235:4,0.01
Galeus,springeri,13.75,-66.25,7106:236:3,0.02
Galeus,springeri,13.75,-66.75,7106:236:4,0.18
Galeus,springeri,15.25,-64.25,7106:354:1,0.06
Galeus,springeri,15.25,-65.25,7106:455:1,0.18
Galeus,springeri,18.25,-65.75,7106:485:2,0.12
Galeus,springeri,10.75,-77.25,7107:207:3,0.19
Galeus,springeri,10.25,-78.75,7107:208:2,0.15
Galeus,springeri,10.75,-79.25,7107:209:3,0.19
Galeus,springeri,11.25,-76.75,7107:216:2,0.17
Galeus,springeri,11.75,-76.75,7107:216:4,0.15
Galeus,springeri,18.25,-71.25,7107:381:1,0.15
Galeus,springeri,19.75,-71.25,7107:391:3,0.16
Galeus,springeri,19.75,-72.75,7107:392:4,0.16
Galeus,springeri,13.25,-82.25,7108:132:1,0.13
Galeus,springeri,15.25,-81.25,7108:351:1,0.15
Galeus,springeri,16.25,-83.25,7108:363:1,0.03
Galeus,springeri,16.25,-86.75,7108:466:2,0.13
Galeus,springeri,19.75,-93.25,7109:393:3,0.14
Galeus,springeri,19.25,-94.75,7109:394:2,0.17
Galeus,springeri,22.75,-59.75,7205:229:4,0.18
Galeus,springeri,23.75,-56.75,7205:236:4,0.18
Galeus,springeri,23.25,-59.75,7205:239:2,0.19
Galeus,springeri,24.25,-56.25,7205:246:1,0.16
Galeus,springeri,24.25,-56.75,7205:246:2,0.16
Galeus,springeri,24.25,-59.75,7205:249:2,0.19
Galeus,springeri,21.75,-62.25,7206:112:3,0.19
Galeus,springeri,22.25,-60.25,7206:120:1,0.19
Galeus,springeri,22.25,-60.75,7206:120:2,0.19
Galeus,springeri,22.75,-60.25,7206:120:3,0.19
Galeus,springeri,22.25,-61.75,7206:121:2,0.19
Galeus,springeri,22.75,-62.75,7206:122:4,0.19
Galeus,springeri,22.75,-63.25,7206:123:3,0.16
Galeus,springeri,23.25,-60.25,7206:130:1,0.14
Galeus,springeri,23.25,-60.75,7206:130:2,0.14
Galeus,springeri,23.75,-60.25,7206:130:3,0.14
Galeus,springeri,23.75,-60.75,7206:130:4,0.14
Galeus,springeri,23.25,-61.25,7206:131:1,0.19
Galeus,springeri,23.75,-61.75,7206:131:4,0.13
Galeus,springeri,23.25,-62.25,7206:132:1,0.16
Galeus,springeri,23.25,-62.75,7206:132:2,0.12
Galeus,springeri,23.75,-62.25,7206:132:3,0.11
Galeus,springeri,23.75,-62.75,7206:132:4,0.13
Galeus,springeri,23.25,-63.25,7206:133:1,0.12
Galeus,springeri,23.75,-63.25,7206:133:3,0.11
Galeus,springeri,23.75,-64.25,7206:134:3,0.19
Galeus,springeri,23.75,-64.75,7206:134:4,0.18
Galeus,springeri,24.25,-60.25,7206:140:1,0.16
Galeus,springeri,24.25,-60.75,7206:140:2,0.13
Galeus,springeri,24.25,-61.25,7206:141:1,0.18
Galeus,springeri,24.25,-61.75,7206:141:2,0.13
Galeus,springeri,24.25,-62.25,7206:142:1,0.12
Galeus,springeri,24.25,-62.75,7206:142:2,0.10
Galeus,springeri,24.25,-63.25,7206:143:1,0.16
Galeus,springeri,24.25,-63.75,7206:143:2,0.18
Galeus,springeri,24.25,-64.75,7206:144:2,0.19
Galeus,springeri,21.25,-71.75,7207:111:2,0.07
Galeus,springeri,21.75,-71.75,7207:111:4,0.13
Galeus,springeri,22.25,-75.75,7207:225:2,0.05
Galeus,springeri,23.25,-75.25,7207:235:1,0.06
Galeus,springeri,23.75,-80.25,7208:130:3,0.05
Galeus,springeri,23.25,-81.25,7208:131:1,0.05
Galeus,springeri,22.25,-86.75,7208:226:2,0.08
Galeus,springeri,23.25,-87.25,7208:237:1,0.17
Galeus,springeri,27.75,-87.75,7208:477:4,0.14
Galeus,springeri,20.25,-92.25,7209:102:1,0.03
Galeus,springeri,22.25,-91.25,7209:121:1,0.11
Galeus,springeri,27.25,-96.25,7209:476:1,0.01
Galeus,springeri,37.75,-46.75,7304:476:4,0.18
Galeus,springeri,39.25,-48.25,7304:498:1,0.09
Galeus,springeri,39.25,-48.75,7304:498:2,0.11
Galeus,springeri,39.25,-49.25,7304:499:1,0.19
Galeus,springeri,39.25,-49.75,7304:499:2,0.03
Galeus,springeri,39.75,-51.25,7305:391:3,0.09
Galeus,springeri,39.75,-52.25,7305:392:3,0.18
Galeus,springeri,39.25,-53.75,7305:393:2,0.11
Galeus,springeri,39.75,-53.75,7305:393:4,0.10
Galeus,springeri,39.75,-54.25,7305:394:3,0.17
Galeus,springeri,39.75,-55.75,7305:495:4,0.01
Galeus,springeri,39.75,-56.25,7305:496:3,0.17
Galeus,springeri,39.75,-57.25,7305:497:3,0.19
Galeus,springeri,39.75,-57.75,7305:497:4,0.06
Galeus,springeri,39.75,-58.25,7305:498:3,0.03
Galeus,springeri,39.25,-60.75,7306:390:2,0.01
Galeus,springeri,39.25,-61.25,7306:391:1,0.10
Galeus,springeri,39.75,-61.25,7306:391:3,0.17
Galeus,springeri,39.75,-61.75,7306:391:4,0.14
Galeus,springeri,39.25,-62.75,7306:392:2,0.14
Galeus,springeri,37.75,-68.25,7306:478:3,0.10
Galeus,springeri,37.25,-69.75,7306:479:2,0.05
Galeus,springeri,38.25,-66.25,7306:486:1,0.14
Galeus,springeri,31.75,-77.75,7307:217:4,0.18
Galeus,springeri,31.25,-79.75,7307:219:2,0.01
Galeus,springeri,35.75,-73.25,7307:353:3,0.02
Galeus,springeri,36.75,-71.25,7307:361:3,0.03
Galeus,springeri,41.75,-42.25,7404:112:3,0.13
Galeus,springeri,42.75,-42.25,7404:122:3,0.05
Galeus,springeri,42.75,-42.75,7404:122:4,0.03
Galeus,springeri,42.75,-43.25,7404:123:3,0.01
Galeus,springeri,42.75,-43.75,7404:123:4,0.07
Galeus,springeri,43.25,-42.25,7404:132:1,0.17
Galeus,springeri,43.25,-42.75,7404:132:2,0.01
Galeus,springeri,43.75,-42.25,7404:132:3,0.03
Galeus,springeri,44.75,-42.25,7404:142:3,0.09
Galeus,springeri,41.25,-45.75,7404:215:2,0.18
Galeus,springeri,41.75,-47.25,7404:217:3,0.11
Galeus,springeri,42.75,-45.75,7404:225:4,0.02
Galeus,springeri,42.25,-46.75,7404:226:2,0.13
Galeus,springeri,45.25,-42.75,7404:352:2,0.14
Galeus,springeri,40.25,-51.25,7405:101:1,0.06
Galeus,springeri,41.25,-52.25,7405:112:1,0.17
Galeus,springeri,40.25,-62.25,7406:102:1,0.09
Galeus,springeri,0.25,-45.25,7004:205:1,0.25
Galeus,springeri,1.25,-46.25,7004:216:1,0.33
Galeus,springeri,6.25,-41.75,7004:361:2,0.36
Galeus,springeri,6.25,-42.25,7004:362:1,0.20
Galeus,springeri,6.25,-42.75,7004:362:2,0.20
Galeus,springeri,6.75,-42.25,7004:362:3,0.20
Galeus,springeri,6.75,-42.75,7004:362:4,0.20
Galeus,springeri,6.25,-43.25,7004:363:1,0.28
Galeus,springeri,6.25,-43.75,7004:363:2,0.28
Galeus,springeri,6.75,-43.25,7004:363:3,0.28
Galeus,springeri,6.75,-43.75,7004:363:4,0.28
Galeus,springeri,7.25,-40.25,7004:370:1,0.32
Galeus,springeri,7.25,-40.75,7004:370:2,0.32
Galeus,springeri,7.75,-40.25,7004:370:3,0.32
Galeus,springeri,7.75,-40.75,7004:370:4,0.32
Galeus,springeri,7.25,-41.25,7004:371:1,0.30
Galeus,springeri,7.25,-41.75,7004:371:2,0.30
Galeus,springeri,7.75,-41.25,7004:371:3,0.30
Galeus,springeri,7.75,-41.75,7004:371:4,0.30
Galeus,springeri,7.25,-42.25,7004:372:1,0.34
Galeus,springeri,7.25,-42.75,7004:372:2,0.36
Galeus,springeri,7.75,-42.25,7004:372:3,0.36
Galeus,springeri,7.75,-42.75,7004:372:4,0.34
Galeus,springeri,8.25,-41.25,7004:381:1,0.37
Galeus,springeri,8.25,-41.75,7004:381:2,0.38
Galeus,springeri,8.25,-42.25,7004:382:1,0.36
Galeus,springeri,8.75,-42.25,7004:382:3,0.38
Galeus,springeri,8.75,-42.75,7004:382:4,0.37
Galeus,springeri,8.75,-44.75,7004:384:4,0.37
Galeus,springeri,9.25,-42.75,7004:392:2,0.39
Galeus,springeri,9.25,-44.75,7004:394:2,0.37
Galeus,springeri,5.75,-48.75,7004:458:4,0.26
Galeus,springeri,6.25,-46.25,7004:466:1,0.22
Galeus,springeri,6.75,-46.25,7004:466:3,0.23
Galeus,springeri,6.25,-47.25,7004:467:1,0.36
Galeus,springeri,6.75,-47.25,7004:467:3,0.22
Galeus,springeri,6.25,-48.75,7004:468:2,0.33
Galeus,springeri,7.75,-46.75,7004:476:4,0.30
Galeus,springeri,7.75,-47.25,7004:477:3,0.25
Galeus,springeri,9.25,-47.25,7004:497:1,0.32
Galeus,springeri,9.25,-47.75,7004:497:2,0.32
Galeus,springeri,9.75,-47.25,7004:497:3,0.32
Galeus,springeri,9.75,-47.75,7004:497:4,0.32
Galeus,springeri,10.25,-46.25,7104:206:1,0.38
Galeus,springeri,10.25,-46.75,7104:206:2,0.38
Galeus,springeri,10.75,-46.25,7104:206:3,0.38
Galeus,springeri,10.75,-46.75,7104:206:4,0.38
Galeus,springeri,10.25,-47.25,7104:207:1,0.34
Galeus,springeri,10.25,-47.75,7104:207:2,0.34
Galeus,springeri,10.75,-47.25,7104:207:3,0.34
Galeus,springeri,10.75,-47.75,7104:207:4,0.34
Galeus,springeri,10.25,-48.25,7104:208:1,0.26
Galeus,springeri,10.25,-48.75,7104:208:2,0.26
Galeus,springeri,10.75,-48.25,7104:208:3,0.26
Galeus,springeri,10.75,-48.75,7104:208:4,0.26
Galeus,springeri,10.25,-49.25,7104:209:1,0.24
Galeus,springeri,10.25,-49.75,7104:209:2,0.24
Galeus,springeri,10.75,-49.25,7104:209:3,0.24
Galeus,springeri,10.75,-49.75,7104:209:4,0.24
Galeus,springeri,11.25,-46.25,7104:216:1,0.38
Galeus,springeri,11.25,-46.75,7104:216:2,0.38
Galeus,springeri,11.25,-47.25,7104:217:1,0.36
Galeus,springeri,11.25,-47.75,7104:217:2,0.36
Galeus,springeri,11.75,-47.75,7104:217:4,0.36
Galeus,springeri,11.25,-48.25,7104:218:1,0.34
Galeus,springeri,11.25,-48.75,7104:218:2,0.34
Galeus,springeri,11.75,-48.25,7104:218:3,0.34
Galeus,springeri,11.75,-48.75,7104:218:4,0.34
Galeus,springeri,11.25,-49.25,7104:219:1,0.34
Galeus,springeri,11.25,-49.75,7104:219:2,0.34
Galeus,springeri,11.75,-49.25,7104:219:3,0.34
Galeus,springeri,11.75,-49.75,7104:219:4,0.34
Galeus,springeri,12.25,-46.75,7104:226:2,0.38
Galeus,springeri,13.25,-47.75,7104:237:2,0.36
Galeus,springeri,10.25,-50.25,7105:100:1,0.21
Galeus,springeri,10.25,-50.75,7105:100:2,0.21
Galeus,springeri,10.75,-50.25,7105:100:3,0.26
Galeus,springeri,10.75,-50.75,7105:100:4,0.26
Galeus,springeri,10.75,-51.25,7105:101:3,0.31
Galeus,springeri,10.75,-51.75,7105:101:4,0.29
Galeus,springeri,11.25,-50.25,7105:110:1,0.38
Galeus,springeri,11.25,-50.75,7105:110:2,0.38
Galeus,springeri,11.75,-50.25,7105:110:3,0.38
Galeus,springeri,11.75,-50.75,7105:110:4,0.38
Galeus,springeri,11.25,-53.25,7105:113:1,0.33
Galeus,springeri,11.75,-53.75,7105:113:4,0.23
Galeus,springeri,12.75,-55.75,7105:225:4,0.32
Galeus,springeri,12.25,-59.25,7105:229:1,0.29
Galeus,springeri,13.25,-56.25,7105:236:1,0.25
Galeus,springeri,13.25,-57.25,7105:237:1,0.28
Galeus,springeri,13.75,-61.75,7106:131:4,0.36
Galeus,springeri,12.75,-67.25,7106:227:3,0.37
Galeus,springeri,12.25,-69.25,7106:229:1,0.25
Galeus,springeri,13.25,-67.25,7106:237:1,0.22
Galeus,springeri,13.75,-67.25,7106:237:3,0.34
Galeus,springeri,13.75,-67.75,7106:237:4,0.30
Galeus,springeri,14.25,-65.75,7106:245:2,0.29
Galeus,springeri,15.25,-64.75,7106:354:2,0.25
Galeus,springeri,17.25,-63.25,7106:373:1,0.36
Galeus,springeri,19.25,-69.75,7106:499:2,0.37
Galeus,springeri,12.75,-70.75,7107:120:4,0.21
Galeus,springeri,12.75,-73.25,7107:123:3,0.22
Galeus,springeri,12.75,-73.75,7107:123:4,0.33
Galeus,springeri,12.75,-74.25,7107:124:3,0.33
Galeus,springeri,12.75,-74.75,7107:124:4,0.36
Galeus,springeri,10.25,-77.75,7107:207:2,0.23
Galeus,springeri,10.75,-77.75,7107:207:4,0.37
Galeus,springeri,11.25,-79.25,7107:219:1,0.33
Galeus,springeri,12.25,-76.75,7107:226:2,0.26
Galeus,springeri,11.75,-83.25,7108:113:3,0.38
Galeus,springeri,16.75,-81.75,7108:361:4,0.22
Galeus,springeri,19.75,-94.25,7109:394:3,0.34
Galeus,springeri,19.75,-95.75,7109:495:4,0.22
Galeus,springeri,23.75,-40.75,7204:130:4,0.37
Galeus,springeri,23.75,-41.25,7204:131:3,0.37
Galeus,springeri,23.75,-44.75,7204:134:4,0.38
Galeus,springeri,24.25,-40.75,7204:140:2,0.30
Galeus,springeri,24.25,-41.25,7204:141:1,0.37
Galeus,springeri,23.25,-47.25,7204:237:1,0.39
Galeus,springeri,24.25,-48.25,7204:248:1,0.38
Galeus,springeri,24.25,-48.75,7204:248:2,0.39
Galeus,springeri,21.75,-54.25,7205:114:3,0.39
Galeus,springeri,21.75,-54.75,7205:114:4,0.39
Galeus,springeri,22.25,-51.25,7205:121:1,0.38
Galeus,springeri,22.75,-52.75,7205:122:4,0.38
Galeus,springeri,22.25,-53.25,7205:123:1,0.37
Galeus,springeri,22.75,-53.25,7205:123:3,0.39
Galeus,springeri,22.75,-53.75,7205:123:4,0.37
Galeus,springeri,22.25,-54.25,7205:124:1,0.38
Galeus,springeri,22.75,-54.25,7205:124:3,0.32
Galeus,springeri,22.75,-54.75,7205:124:4,0.39
Galeus,springeri,23.25,-51.75,7205:131:2,0.39
Galeus,springeri,23.75,-51.25,7205:131:3,0.38
Galeus,springeri,23.75,-51.75,7205:131:4,0.39
Galeus,springeri,23.25,-52.75,7205:132:2,0.39
Galeus,springeri,23.75,-52.25,7205:132:3,0.38
Galeus,springeri,23.75,-52.75,7205:132:4,0.37
Galeus,springeri,23.25,-53.25,7205:133:1,0.39
Galeus,springeri,23.25,-53.75,7205:133:2,0.32
Galeus,springeri,23.75,-53.25,7205:133:3,0.37
Galeus,springeri,23.75,-53.75,7205:133:4,0.32
Galeus,springeri,23.25,-54.25,7205:134:1,0.33
Galeus,springeri,23.75,-54.25,7205:134:3,0.31
Galeus,springeri,23.75,-54.75,7205:134:4,0.33
Galeus,springeri,24.25,-51.25,7205:141:1,0.37
Galeus,springeri,24.25,-51.75,7205:141:2,0.31
Galeus,springeri,24.75,-51.75,7205:141:4,0.37
Galeus,springeri,24.25,-52.25,7205:142:1,0.39
Galeus,springeri,24.25,-52.75,7205:142:2,0.36
Galeus,springeri,24.25,-53.25,7205:143:1,0.39
Galeus,springeri,24.25,-53.75,7205:143:2,0.33
Galeus,springeri,24.25,-54.25,7205:144:1,0.34
Galeus,springeri,24.25,-54.75,7205:144:2,0.28
Galeus,springeri,24.75,-54.75,7205:144:4,0.31
Galeus,springeri,20.75,-59.75,7205:209:4,0.37
Galeus,springeri,21.25,-58.75,7205:218:2,0.38
Galeus,springeri,21.75,-58.75,7205:218:4,0.30
Galeus,springeri,21.25,-59.25,7205:219:1,0.36
Galeus,springeri,21.25,-59.75,7205:219:2,0.36
Galeus,springeri,21.75,-59.25,7205:219:3,0.27
Galeus,springeri,21.75,-59.75,7205:219:4,0.27
Galeus,springeri,22.25,-55.25,7205:225:1,0.37
Galeus,springeri,22.75,-55.25,7205:225:3,0.34
Galeus,springeri,22.75,-55.75,7205:225:4,0.37
Galeus,springeri,22.75,-56.25,7205:226:3,0.38
Galeus,springeri,22.25,-57.25,7205:227:1,0.37
Galeus,springeri,22.75,-57.25,7205:227:3,0.33
Galeus,springeri,22.75,-57.75,7205:227:4,0.28
Galeus,springeri,22.25,-58.25,7205:228:1,0.31
Galeus,springeri,22.25,-58.75,7205:228:2,0.33
Galeus,springeri,22.75,-58.25,7205:228:3,0.28
Galeus,springeri,22.75,-58.75,7205:228:4,0.34
Galeus,springeri,22.25,-59.25,7205:229:1,0.24
Galeus,springeri,22.25,-59.75,7205:229:2,0.20
Galeus,springeri,22.75,-59.25,7205:229:3,0.27
Galeus,springeri,23.25,-55.25,7205:235:1,0.34
Galeus,springeri,23.25,-55.75,7205:235:2,0.28
Galeus,springeri,23.75,-55.25,7205:235:3,0.33
Galeus,springeri,23.75,-55.75,7205:235:4,0.24
Galeus,springeri,23.25,-56.25,7205:236:1,0.29
Galeus,springeri,23.25,-56.75,7205:236:2,0.28
Galeus,springeri,23.75,-56.25,7205:236:3,0.21
Galeus,springeri,23.25,-57.25,7205:237:1,0.23
Galeus,springeri,23.25,-57.75,7205:237:2,0.25
Galeus,springeri,23.75,-57.25,7205:237:3,0.22
Galeus,springeri,23.75,-57.75,7205:237:4,0.20
Galeus,springeri,23.25,-58.25,7205:238:1,0.20
Galeus,springeri,23.25,-58.75,7205:238:2,0.25
Galeus,springeri,23.75,-58.25,7205:238:3,0.22
Galeus,springeri,23.75,-58.75,7205:238:4,0.22
Galeus,springeri,23.25,-59.25,7205:239:1,0.27
Galeus,springeri,23.75,-59.25,7205:239:3,0.25
Galeus,springeri,23.75,-59.75,7205:239:4,0.22
Galeus,springeri,24.25,-55.25,7205:245:1,0.31
Galeus,springeri,24.25,-55.75,7205:245:2,0.23
Galeus,springeri,24.75,-55.25,7205:245:3,0.28
Galeus,springeri,24.75,-55.75,7205:245:4,0.27
Galeus,springeri,24.75,-56.25,7205:246:3,0.28
Galeus,springeri,24.75,-56.75,7205:246:4,0.28
Galeus,springeri,24.25,-57.25,7205:247:1,0.21
Galeus,springeri,24.25,-57.75,7205:247:2,0.22
Galeus,springeri,24.75,-57.25,7205:247:3,0.28
Galeus,springeri,24.75,-57.75,7205:247:4,0.27
Galeus,springeri,24.25,-58.25,7205:248:1,0.23
Galeus,springeri,24.25,-58.75,7205:248:2,0.21
Galeus,springeri,24.75,-58.25,7205:248:3,0.33
Galeus,springeri,24.75,-58.75,7205:248:4,0.29
Galeus,springeri,24.25,-59.25,7205:249:1,0.22
Galeus,springeri,24.75,-59.25,7205:249:3,0.28
Galeus,springeri,24.75,-59.75,7205:249:4,0.29
Galeus,springeri,25.25,-54.75,7205:354:2,0.39
Galeus,springeri,25.75,-54.75,7205:354:4,0.38
Galeus,springeri,26.25,-53.75,7205:363:2,0.39
Galeus,springeri,26.75,-53.75,7205:363:4,0.39
Galeus,springeri,26.25,-54.25,7205:364:1,0.34
Galeus,springeri,26.25,-54.75,7205:364:2,0.39
Galeus,springeri,26.75,-54.25,7205:364:3,0.36
Galeus,springeri,26.75,-54.75,7205:364:4,0.38
Galeus,springeri,27.75,-52.75,7205:372:4,0.38
Galeus,springeri,27.25,-54.25,7205:374:1,0.33
Galeus,springeri,27.25,-54.75,7205:374:2,0.38
Galeus,springeri,27.75,-54.25,7205:374:3,0.39
Galeus,springeri,25.25,-55.25,7205:455:1,0.34
Galeus,springeri,25.25,-55.75,7205:455:2,0.32
Galeus,springeri,25.75,-55.25,7205:455:3,0.34
Galeus,springeri,25.75,-55.75,7205:455:4,0.39
Galeus,springeri,25.25,-56.25,7205:456:1,0.38
Galeus,springeri,25.25,-56.75,7205:456:2,0.37
Galeus,springeri,25.25,-57.25,7205:457:1,0.38
Galeus,springeri,25.25,-57.75,7205:457:2,0.33
Galeus,springeri,25.75,-57.75,7205:457:4,0.38
Galeus,springeri,25.25,-58.25,7205:458:1,0.36
Galeus,springeri,25.25,-58.75,7205:458:2,0.31
Galeus,springeri,25.75,-58.75,7205:458:4,0.39
Galeus,springeri,25.25,-59.25,7205:459:1,0.37
Galeus,springeri,25.25,-59.75,7205:459:2,0.38
