Mapping parameters for Genypterus chilensis (Red cusk-eel)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 87,
Bounding Box (NSWE): ,-6,-54,-82,-70

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,200,299,552,1000
Temperature (°C),1,10.35,13.51,19.27,20.86
Salinity (psu),1,32.63,33.31,35.04,35.65
Primary Production (mgC·m-3·day-1) ,1,9.79,12.98,88.4,126.68
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,3.51,86.38,173.41,243.95
Distance to Land (km),0,11,14.6,248.2,292
 

Map data (HSPEC) for predicted occurrences (n = 180): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Genypterus,chilensis,-9.75,-79.75,5007:499:4,0.09
Genypterus,chilensis,-7.75,-80.75,5008:370:4,0.18
Genypterus,chilensis,-8.75,-80.25,5008:380:3,0.14
Genypterus,chilensis,-29.25,-71.25,5207:391:1,0.03
Genypterus,chilensis,-41.75,-73.75,5407:113:4,0.02
Genypterus,chilensis,-43.25,-74.25,5407:134:1,0.04
Genypterus,chilensis,-43.75,-74.25,5407:134:3,0.07
Genypterus,chilensis,-44.25,-74.25,5407:144:1,0.05
Genypterus,chilensis,-44.75,-74.75,5407:144:4,0.17
Genypterus,chilensis,-45.25,-73.25,5407:353:1,0.01
Genypterus,chilensis,-45.75,-75.75,5407:455:4,0.16
Genypterus,chilensis,-46.75,-75.75,5407:465:4,0.14
Genypterus,chilensis,-47.25,-75.75,5407:475:2,0.09
Genypterus,chilensis,-46.25,-75.25,5407:465:1,0.18
Genypterus,chilensis,-9.25,-79.75,5007:499:2,0.32
