Mapping parameters for Gerres cinereus (Yellow fin mojarra)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  31 |  41 ,
Bounding Box (NSWE): ,32,-23,-98,-34

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,2,9,15
Temperature (°C),1,23.24,24.36,28.22,32.42
Salinity (psu),1,21.55,33.5,36.26,38.05
Primary Production (mgC·m-3·day-1) ,1,-0.68,0.32,18.9,102.5
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,136.35,172.18,223.01,267.53
Distance to Land (km),0,0,5,97,325
 

Map data (HSPEC) for predicted occurrences (n = 1012): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Gerres,cinereus,30.25,-88.25,7308:208:1,0.08
Gerres,cinereus,31.75,-80.25,7308:110:3,0.04
Gerres,cinereus,30.25,-84.25,7308:104:1,0.01
Gerres,cinereus,29.25,-95.25,7209:495:1,0.13
Gerres,cinereus,29.75,-94.25,7209:394:3,0.02
Gerres,cinereus,29.25,-94.75,7209:394:2,0.09
Gerres,cinereus,29.75,-93.75,7209:393:4,0.04
Gerres,cinereus,29.75,-93.25,7209:393:3,0.10
Gerres,cinereus,29.75,-92.75,7209:392:4,0.12
Gerres,cinereus,29.75,-92.25,7209:392:3,0.14
Gerres,cinereus,29.75,-91.75,7209:391:4,0.10
Gerres,cinereus,29.75,-91.25,7209:391:3,0.10
Gerres,cinereus,28.75,-93.75,7209:383:4,0.17
Gerres,cinereus,28.75,-93.25,7209:383:3,0.17
Gerres,cinereus,28.25,-91.75,7209:381:2,0.17
Gerres,cinereus,29.75,-89.75,7208:499:4,0.02
Gerres,cinereus,29.75,-88.75,7208:498:4,0.16
Gerres,cinereus,29.75,-84.25,7208:394:3,0.17
Gerres,cinereus,29.75,-83.75,7208:393:4,0.14
Gerres,cinereus,29.75,-83.25,7208:393:3,0.13
Gerres,cinereus,28.75,-83.75,7208:383:4,0.11
Gerres,cinereus,4.75,-51.75,7005:141:4,0.16
Gerres,cinereus,4.75,-51.25,7005:141:3,0.13
Gerres,cinereus,4.25,-51.75,7005:141:2,0.03
Gerres,cinereus,4.75,-50.25,7005:140:3,0.16
Gerres,cinereus,4.25,-50.75,7005:140:2,0.19
Gerres,cinereus,3.25,-50.25,7005:130:1,0.04
Gerres,cinereus,2.25,-48.25,7004:228:1,0.08
Gerres,cinereus,1.75,-49.25,7004:219:3,0.03
Gerres,cinereus,1.25,-49.25,7004:219:1,0.04
Gerres,cinereus,1.75,-48.75,7004:218:4,0.11
Gerres,cinereus,1.25,-48.75,7004:218:2,0.09
Gerres,cinereus,0.75,-49.25,7004:209:3,0.03
Gerres,cinereus,0.75,-48.75,7004:208:4,0.09
Gerres,cinereus,0.25,-48.75,7004:208:2,0.08
Gerres,cinereus,0.25,-47.25,7004:207:1,0.16
Gerres,cinereus,-22.75,-43.25,5204:123:3,0.17
Gerres,cinereus,-22.75,-42.75,5204:122:4,0.11
Gerres,cinereus,-22.75,-42.25,5204:122:3,0.06
Gerres,cinereus,-22.25,-41.25,5204:121:1,0.08
Gerres,cinereus,-20.25,-39.75,5203:209:2,0.09
Gerres,cinereus,-12.25,-37.25,5103:227:1,0.18
Gerres,cinereus,-1.25,-48.75,5004:218:2,0.03
Gerres,cinereus,-1.25,-48.25,5004:218:1,0.11
Gerres,cinereus,-0.75,-48.75,5004:208:4,0.05
Gerres,cinereus,-0.75,-48.25,5004:208:3,0.13
Gerres,cinereus,-0.25,-48.75,5004:208:2,0.11
Gerres,cinereus,30.25,-87.75,7308:207:2,0.20
Gerres,cinereus,30.25,-85.75,7308:205:2,0.20
Gerres,cinereus,25.75,-96.75,7209:456:4,0.33
Gerres,cinereus,29.25,-94.25,7209:394:1,0.25
Gerres,cinereus,29.25,-91.75,7209:391:2,0.38
Gerres,cinereus,29.25,-91.25,7209:391:1,0.39
Gerres,cinereus,29.25,-90.75,7209:390:2,0.39
Gerres,cinereus,29.25,-90.25,7209:390:1,0.32
Gerres,cinereus,29.25,-89.75,7208:499:2,0.21
Gerres,cinereus,29.25,-89.25,7208:499:1,0.34
Gerres,cinereus,29.75,-85.75,7208:495:4,0.29
Gerres,cinereus,29.75,-85.25,7208:495:3,0.34
Gerres,cinereus,29.75,-84.75,7208:394:4,0.20
Gerres,cinereus,29.25,-84.75,7208:394:2,0.35
Gerres,cinereus,29.25,-83.75,7208:393:2,0.36
Gerres,cinereus,29.75,-81.25,7208:391:3,0.27
Gerres,cinereus,26.25,-82.75,7208:362:2,0.33
Gerres,cinereus,22.75,-88.75,7208:228:4,0.33
Gerres,cinereus,27.25,-79.75,7207:479:2,0.33
Gerres,cinereus,23.25,-78.75,7207:238:2,0.33
Gerres,cinereus,16.25,-84.25,7108:364:1,0.33
Gerres,cinereus,9.75,-78.25,7007:498:3,0.31
Gerres,cinereus,7.75,-56.75,7005:476:4,0.33
Gerres,cinereus,5.25,-52.75,7005:352:2,0.39
Gerres,cinereus,5.25,-52.25,7005:352:1,0.31
Gerres,cinereus,5.25,-51.75,7005:351:2,0.36
Gerres,cinereus,4.75,-52.25,7005:142:3,0.20
Gerres,cinereus,2.25,-49.25,7004:229:1,0.27
Gerres,cinereus,2.25,-48.75,7004:228:2,0.29
Gerres,cinereus,1.75,-48.25,7004:218:3,0.31
Gerres,cinereus,1.25,-48.25,7004:218:1,0.30
Gerres,cinereus,1.75,-47.75,7004:217:4,0.39
Gerres,cinereus,0.75,-48.25,7004:208:3,0.30
Gerres,cinereus,0.75,-47.75,7004:207:4,0.39
Gerres,cinereus,0.75,-47.25,7004:207:3,0.22
Gerres,cinereus,-22.75,-43.75,5204:123:4,0.34
Gerres,cinereus,-21.75,-41.25,5204:111:3,0.23
Gerres,cinereus,-21.75,-40.75,5204:110:4,0.38
Gerres,cinereus,-17.75,-36.25,5103:476:3,0.36
Gerres,cinereus,-17.75,-35.75,5103:475:4,0.35
Gerres,cinereus,30.25,-87.25,7308:207:1,0.44
Gerres,cinereus,30.25,-86.25,7308:206:1,0.41
Gerres,cinereus,28.75,-96.75,7209:486:4,0.49
Gerres,cinereus,28.75,-96.25,7209:486:3,0.57
Gerres,cinereus,28.75,-95.75,7209:485:4,0.50
Gerres,cinereus,28.75,-95.25,7209:485:3,0.55
Gerres,cinereus,29.25,-93.75,7209:393:2,0.42
Gerres,cinereus,29.25,-93.25,7209:393:1,0.54
Gerres,cinereus,29.25,-92.75,7209:392:2,0.54
Gerres,cinereus,29.25,-92.25,7209:392:1,0.46
Gerres,cinereus,28.75,-94.25,7209:384:3,0.48
Gerres,cinereus,29.25,-88.75,7208:498:2,0.48
Gerres,cinereus,29.25,-83.25,7208:393:1,0.40
Gerres,cinereus,29.25,-82.75,7208:392:2,0.45
Gerres,cinereus,27.25,-83.25,7208:373:1,0.50
Gerres,cinereus,25.25,-82.75,7208:352:2,0.50
Gerres,cinereus,22.25,-87.75,7208:227:2,0.50
Gerres,cinereus,11.25,-71.75,7107:111:2,0.57
Gerres,cinereus,10.75,-71.75,7107:101:4,0.58
Gerres,cinereus,10.25,-71.75,7107:101:2,0.47
Gerres,cinereus,10.75,-62.75,7106:102:4,0.52
Gerres,cinereus,10.75,-62.25,7106:102:3,0.48
Gerres,cinereus,10.25,-62.25,7106:102:1,0.55
Gerres,cinereus,9.75,-72.25,7007:392:3,0.55
Gerres,cinereus,9.75,-71.75,7007:391:4,0.45
Gerres,cinereus,9.75,-71.25,7007:391:3,0.45
Gerres,cinereus,9.25,-71.75,7007:391:2,0.47
Gerres,cinereus,9.25,-71.25,7007:391:1,0.46
Gerres,cinereus,6.75,-55.75,7005:465:4,0.47
Gerres,cinereus,6.75,-52.25,7005:362:3,0.44
Gerres,cinereus,5.25,-53.25,7005:353:1,0.48
Gerres,cinereus,5.75,-52.75,7005:352:4,0.44
Gerres,cinereus,5.75,-52.25,7005:352:3,0.49
Gerres,cinereus,5.25,-51.25,7005:351:1,0.54
Gerres,cinereus,4.75,-50.75,7005:140:4,0.57
Gerres,cinereus,3.75,-50.25,7005:130:3,0.48
Gerres,cinereus,2.75,-49.25,7004:229:3,0.46
Gerres,cinereus,1.25,-47.25,7004:217:1,0.56
Gerres,cinereus,0.25,-48.25,7004:208:1,0.45
Gerres,cinereus,0.25,-47.75,7004:207:2,0.45
Gerres,cinereus,-22.75,-44.25,5204:124:3,0.42
Gerres,cinereus,-22.25,-40.75,5204:120:2,0.47
Gerres,cinereus,-22.25,-40.25,5204:120:1,0.58
Gerres,cinereus,-21.25,-41.25,5204:111:1,0.57
Gerres,cinereus,-21.75,-40.25,5204:110:3,0.56
Gerres,cinereus,-21.25,-40.75,5204:110:2,0.40
Gerres,cinereus,-21.25,-40.25,5204:110:1,0.53
Gerres,cinereus,-20.75,-37.75,5203:207:4,0.43
Gerres,cinereus,-20.75,-37.25,5203:207:3,0.42
Gerres,cinereus,-20.25,-36.75,5203:206:2,0.40
Gerres,cinereus,-20.25,-36.25,5203:206:1,0.40
Gerres,cinereus,-20.75,-34.75,5203:104:4,0.43
Gerres,cinereus,-19.75,-39.25,5103:499:3,0.47
Gerres,cinereus,-19.25,-39.25,5103:499:1,0.55
Gerres,cinereus,-19.75,-38.25,5103:498:3,0.45
Gerres,cinereus,-19.25,-38.75,5103:498:2,0.48
Gerres,cinereus,-19.25,-38.25,5103:498:1,0.48
Gerres,cinereus,-19.75,-37.75,5103:497:4,0.42
Gerres,cinereus,-19.25,-37.75,5103:497:2,0.44
Gerres,cinereus,-18.75,-39.25,5103:489:3,0.53
Gerres,cinereus,-18.25,-39.25,5103:489:1,0.58
Gerres,cinereus,-18.75,-38.75,5103:488:4,0.49
Gerres,cinereus,-18.25,-38.75,5103:488:2,0.52
Gerres,cinereus,-18.25,-38.25,5103:488:1,0.50
Gerres,cinereus,-18.25,-37.75,5103:487:2,0.46
Gerres,cinereus,-18.25,-37.25,5103:487:1,0.40
Gerres,cinereus,-17.75,-38.75,5103:478:4,0.54
Gerres,cinereus,-17.75,-38.25,5103:478:3,0.50
Gerres,cinereus,-17.25,-38.75,5103:478:2,0.53
Gerres,cinereus,-17.25,-38.25,5103:478:1,0.43
Gerres,cinereus,-17.75,-37.75,5103:477:4,0.45
Gerres,cinereus,-17.75,-37.25,5103:477:3,0.40
Gerres,cinereus,-16.25,-39.25,5103:469:1,0.59
Gerres,cinereus,-16.75,-38.75,5103:468:4,0.51
Gerres,cinereus,-16.25,-38.75,5103:468:2,0.54
Gerres,cinereus,-16.25,-38.25,5103:468:1,0.46
Gerres,cinereus,-15.75,-38.75,5103:458:4,0.51
Gerres,cinereus,-15.25,-38.75,5103:458:2,0.49
Gerres,cinereus,-14.75,-38.75,5103:248:4,0.49
Gerres,cinereus,-14.25,-38.75,5103:248:2,0.50
Gerres,cinereus,-13.75,-38.75,5103:238:4,0.51
Gerres,cinereus,-13.25,-38.75,5103:238:2,0.54
Gerres,cinereus,-12.75,-38.75,5103:228:4,0.53
Gerres,cinereus,-12.75,-38.25,5103:228:3,0.51
Gerres,cinereus,-12.75,-37.75,5103:227:4,0.52
Gerres,cinereus,-12.25,-37.75,5103:227:2,0.56
Gerres,cinereus,-0.25,-48.25,5004:208:1,0.52
Gerres,cinereus,-0.75,-47.75,5004:207:4,0.42
Gerres,cinereus,-1.75,-42.75,5004:112:4,0.50
Gerres,cinereus,30.25,-86.75,7308:206:2,0.60
Gerres,cinereus,28.25,-97.25,7209:487:1,0.69
Gerres,cinereus,28.25,-96.75,7209:486:2,0.68
Gerres,cinereus,27.75,-97.25,7209:477:3,0.76
Gerres,cinereus,28.75,-94.75,7209:384:4,0.65
Gerres,cinereus,28.75,-90.75,7209:380:4,0.79
Gerres,cinereus,28.75,-90.25,7209:380:3,0.73
Gerres,cinereus,22.25,-97.75,7209:227:2,0.71
Gerres,cinereus,29.75,-88.25,7208:498:3,0.66
Gerres,cinereus,29.75,-87.25,7208:497:3,0.78
Gerres,cinereus,29.25,-85.25,7208:495:1,0.61
Gerres,cinereus,28.75,-89.25,7208:489:3,0.66
Gerres,cinereus,29.25,-81.25,7208:391:1,0.70
Gerres,cinereus,28.75,-83.25,7208:383:3,0.64
Gerres,cinereus,28.75,-82.75,7208:382:4,0.74
Gerres,cinereus,23.25,-88.75,7208:238:2,0.67
Gerres,cinereus,24.75,-83.25,7208:143:3,0.67
Gerres,cinereus,25.25,-78.75,7207:458:2,0.73
Gerres,cinereus,25.25,-78.25,7207:458:1,0.76
Gerres,cinereus,25.25,-77.75,7207:457:2,0.78
Gerres,cinereus,24.75,-78.75,7207:248:4,0.69
Gerres,cinereus,24.75,-78.25,7207:248:3,0.71
Gerres,cinereus,24.25,-78.75,7207:248:2,0.73
Gerres,cinereus,24.25,-78.25,7207:248:1,0.72
Gerres,cinereus,24.75,-77.75,7207:247:4,0.70
Gerres,cinereus,24.25,-77.25,7207:247:1,0.74
Gerres,cinereus,24.75,-76.75,7207:246:4,0.75
Gerres,cinereus,24.75,-76.25,7207:246:3,0.77
Gerres,cinereus,24.25,-76.25,7207:246:1,0.77
Gerres,cinereus,24.75,-75.75,7207:245:4,0.76
Gerres,cinereus,24.25,-75.25,7207:245:1,0.79
Gerres,cinereus,23.75,-77.25,7207:237:3,0.75
Gerres,cinereus,23.75,-75.75,7207:235:4,0.78
Gerres,cinereus,23.75,-75.25,7207:235:3,0.79
Gerres,cinereus,24.25,-74.25,7207:144:1,0.79
Gerres,cinereus,23.75,-74.75,7207:134:4,0.79
Gerres,cinereus,23.75,-74.25,7207:134:3,0.79
Gerres,cinereus,23.25,-74.75,7207:134:2,0.79
Gerres,cinereus,23.25,-73.75,7207:133:2,0.79
Gerres,cinereus,22.75,-74.75,7207:124:4,0.79
Gerres,cinereus,22.25,-74.75,7207:124:2,0.79
Gerres,cinereus,22.75,-73.75,7207:123:4,0.79
Gerres,cinereus,22.75,-73.25,7207:123:3,0.79
Gerres,cinereus,22.25,-72.75,7207:122:2,0.79
Gerres,cinereus,19.75,-77.75,7107:497:4,0.78
Gerres,cinereus,10.75,-75.25,7107:205:3,0.68
Gerres,cinereus,11.25,-71.25,7107:111:1,0.63
Gerres,cinereus,10.75,-74.75,7107:104:4,0.72
Gerres,cinereus,10.75,-71.25,7107:101:3,0.74
Gerres,cinereus,10.25,-71.25,7107:101:1,0.62
Gerres,cinereus,11.25,-63.75,7106:113:2,0.78
Gerres,cinereus,11.25,-63.25,7106:113:1,0.71
Gerres,cinereus,10.75,-63.75,7106:103:4,0.78
Gerres,cinereus,10.75,-63.25,7106:103:3,0.68
Gerres,cinereus,10.25,-62.75,7106:102:2,0.69
Gerres,cinereus,10.75,-61.75,7106:101:4,0.75
Gerres,cinereus,10.25,-61.75,7106:101:2,0.72
Gerres,cinereus,10.25,-61.25,7106:101:1,0.77
Gerres,cinereus,9.75,-75.75,7007:495:4,0.70
Gerres,cinereus,8.75,-77.75,7007:487:4,0.78
Gerres,cinereus,8.75,-77.25,7007:487:3,0.64
Gerres,cinereus,8.25,-77.25,7007:487:1,0.70
Gerres,cinereus,8.75,-76.75,7007:486:4,0.68
Gerres,cinereus,8.25,-76.75,7007:486:2,0.77
Gerres,cinereus,7.75,-76.75,7007:476:4,0.78
Gerres,cinereus,9.75,-62.25,7006:392:3,0.73
Gerres,cinereus,9.75,-61.75,7006:391:4,0.66
Gerres,cinereus,9.75,-61.25,7006:391:3,0.76
Gerres,cinereus,9.75,-60.75,7006:390:4,0.73
Gerres,cinereus,9.25,-60.75,7006:390:2,0.68
Gerres,cinereus,8.75,-60.75,7006:380:4,0.69
Gerres,cinereus,7.25,-58.25,7005:478:1,0.74
Gerres,cinereus,6.25,-57.75,7005:467:2,0.74
Gerres,cinereus,6.25,-57.25,7005:467:1,0.73
Gerres,cinereus,5.75,-56.75,7005:456:4,0.61
Gerres,cinereus,5.75,-56.25,7005:456:3,0.63
Gerres,cinereus,5.75,-55.75,7005:455:4,0.67
Gerres,cinereus,5.75,-55.25,7005:455:3,0.70
Gerres,cinereus,6.25,-54.75,7005:364:2,0.76
Gerres,cinereus,6.25,-54.25,7005:364:1,0.73
Gerres,cinereus,6.75,-53.75,7005:363:4,0.77
Gerres,cinereus,6.75,-53.25,7005:363:3,0.76
Gerres,cinereus,6.25,-53.25,7005:363:1,0.62
Gerres,cinereus,6.75,-52.75,7005:362:4,0.78
Gerres,cinereus,6.25,-52.75,7005:362:2,0.61
Gerres,cinereus,6.25,-52.25,7005:362:1,0.72
Gerres,cinereus,5.75,-54.75,7005:354:4,0.71
Gerres,cinereus,5.75,-54.25,7005:354:3,0.70
Gerres,cinereus,5.75,-53.75,7005:353:4,0.71
Gerres,cinereus,5.75,-53.25,7005:353:3,0.61
Gerres,cinereus,5.75,-51.75,7005:351:4,0.63
Gerres,cinereus,4.25,-50.25,7005:140:1,0.75
Gerres,cinereus,-20.75,-40.75,5204:100:4,0.71
Gerres,cinereus,-20.75,-40.25,5204:100:3,0.63
Gerres,cinereus,-20.25,-40.25,5204:100:1,0.72
Gerres,cinereus,-19.75,-40.25,5104:390:3,0.72
Gerres,cinereus,-18.75,-39.75,5103:489:4,0.64
Gerres,cinereus,-18.25,-39.75,5103:489:2,0.66
Gerres,cinereus,-17.75,-39.25,5103:479:3,0.62
Gerres,cinereus,-17.25,-39.25,5103:479:1,0.64
Gerres,cinereus,-16.75,-39.25,5103:469:3,0.61
Gerres,cinereus,-15.25,-39.25,5103:459:1,0.60
Gerres,cinereus,-14.75,-39.25,5103:249:3,0.62
Gerres,cinereus,-14.25,-39.25,5103:249:1,0.65
Gerres,cinereus,-11.75,-37.75,5103:217:4,0.64
Gerres,cinereus,-11.75,-37.25,5103:217:3,0.62
Gerres,cinereus,-11.25,-37.25,5103:217:1,0.71
Gerres,cinereus,-11.25,-36.75,5103:216:2,0.73
Gerres,cinereus,-0.25,-47.75,5004:207:2,0.77
Gerres,cinereus,-3.25,-44.75,5004:134:2,0.63
Gerres,cinereus,-2.75,-44.75,5004:124:4,0.65
Gerres,cinereus,-2.75,-44.25,5004:124:3,0.73
Gerres,cinereus,-2.25,-44.75,5004:124:2,0.78
Gerres,cinereus,-9.75,-35.75,5003:495:4,0.68
