Mapping parameters for Glyptocephalus zachirus (Rex sole)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  61 |  67 |  77 ,
Bounding Box (NSWE): ,65,28,155,-115

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,61,500,900
Temperature (°C),1,-1.9,3.93,12.54,20.12
Salinity (psu),1,24.18,29.98,32.85,34.65
Primary Production (mgC·m-3·day-1) ,1,0.13,6.52,32.53,93.6
Sea Ice Concentration (0-1 fraction),1,-0.99,0,0.02,0.24
Dissolved Bottom Oxygen (mmol·m-3),0,8.17,39.79,302.79,354.95
Distance to Land (km),0,0,9,223,1597
 

Map data (HSPEC) for predicted occurrences (n = 1620): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Glyptocephalus,zachirus,64.75,-176.75,7617:246:4,0.04
Glyptocephalus,zachirus,64.75,-176.25,7617:246:3,0.13
Glyptocephalus,zachirus,64.25,-175.75,7617:245:2,0.01
Glyptocephalus,zachirus,64.25,-175.25,7617:245:1,0.12
Glyptocephalus,zachirus,62.75,-179.75,7617:229:4,0.09
Glyptocephalus,zachirus,62.75,-179.25,7617:229:3,0.04
Glyptocephalus,zachirus,62.25,-179.75,7617:229:2,0.15
Glyptocephalus,zachirus,62.25,-179.25,7617:229:1,0.13
Glyptocephalus,zachirus,62.25,-178.75,7617:228:2,0.08
Glyptocephalus,zachirus,62.25,-178.25,7617:228:1,0.06
Glyptocephalus,zachirus,62.25,-177.75,7617:227:2,0.03
