Mapping parameters for Gymnoscopelus nicholsi (Nichol's lanternfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 41 |  48 |  58 |  88,
Bounding Box (NSWE): ,-35,-78,,

Pelagic: True,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,300,833,1788,4000
Temperature (°C),1,-1.69,-0.68,2.25,5.65
Salinity (psu),1,33.43,33.93,34.71,35.21
Primary Production (mgC·m-3·day-1) ,1,0.63,1.63,5.86,24.59
Sea Ice Concentration (0-1 fraction),1,-0.72,0,0.6,0.84
Dissolved Bottom Oxygen (mmol·m-3),1,200.86,213.77,284.96,359.28
Distance to Land (km),0,2,44,435,1099
 

Map data (HSPEC) for predicted occurrences (n = 25813): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Gymnoscopelus,nicholsi,-45.75,50.75,3405:350:4,0.03
Gymnoscopelus,nicholsi,-47.25,67.75,3406:477:2,0.17
Gymnoscopelus,nicholsi,-47.75,67.75,3406:477:4,0.17
Gymnoscopelus,nicholsi,-47.25,68.25,3406:478:1,0.18
Gymnoscopelus,nicholsi,-48.25,67.75,3406:487:2,0.08
Gymnoscopelus,nicholsi,-48.75,67.75,3406:487:4,0.15
Gymnoscopelus,nicholsi,-47.25,70.25,3407:370:1,0.08
Gymnoscopelus,nicholsi,-47.75,71.25,3407:371:3,0.12
Gymnoscopelus,nicholsi,-48.75,70.75,3407:380:4,0.03
Gymnoscopelus,nicholsi,-49.25,70.75,3407:390:2,0.05
Gymnoscopelus,nicholsi,-52.25,73.75,3507:123:2,0.14
Gymnoscopelus,nicholsi,-52.25,74.25,3507:124:1,0.02
Gymnoscopelus,nicholsi,-52.25,74.75,3507:124:2,0.14
Gymnoscopelus,nicholsi,-69.75,11.25,3601:391:3,0.01
Gymnoscopelus,nicholsi,-69.75,17.25,3601:497:3,0.05
Gymnoscopelus,nicholsi,-69.75,17.75,3601:497:4,0.04
Gymnoscopelus,nicholsi,-69.75,28.25,3602:498:3,0.03
Gymnoscopelus,nicholsi,-68.75,31.75,3603:381:4,0.09
Gymnoscopelus,nicholsi,-68.25,34.75,3603:384:2,0.18
Gymnoscopelus,nicholsi,-69.25,30.25,3603:390:1,0.03
Gymnoscopelus,nicholsi,-68.25,35.25,3603:485:1,0.18
Gymnoscopelus,nicholsi,-68.75,37.25,3603:487:3,0.04
Gymnoscopelus,nicholsi,-68.75,37.75,3603:487:4,0.09
Gymnoscopelus,nicholsi,-68.75,38.25,3603:488:3,0.07
Gymnoscopelus,nicholsi,-68.75,39.25,3603:489:3,0.01
Gymnoscopelus,nicholsi,-69.25,37.25,3603:497:1,0.01
Gymnoscopelus,nicholsi,-69.25,37.75,3603:497:2,0.01
Gymnoscopelus,nicholsi,-69.25,38.25,3603:498:1,0.01
Gymnoscopelus,nicholsi,-67.75,42.25,3604:372:3,0.17
Gymnoscopelus,nicholsi,-67.75,43.25,3604:373:3,0.06
Gymnoscopelus,nicholsi,-67.75,43.75,3604:373:4,0.02
Gymnoscopelus,nicholsi,-68.25,40.75,3604:380:2,0.05
Gymnoscopelus,nicholsi,-68.25,41.25,3604:381:1,0.02
Gymnoscopelus,nicholsi,-66.75,48.75,3604:468:4,0.01
Gymnoscopelus,nicholsi,-66.75,49.25,3604:469:3,0.12
Gymnoscopelus,nicholsi,-67.25,48.25,3604:478:1,0.17
Gymnoscopelus,nicholsi,-67.25,49.75,3604:479:2,0.01
Gymnoscopelus,nicholsi,-65.75,53.25,3605:353:3,0.16
Gymnoscopelus,nicholsi,-65.75,53.75,3605:353:4,0.07
Gymnoscopelus,nicholsi,-65.75,54.25,3605:354:3,0.07
Gymnoscopelus,nicholsi,-66.25,50.25,3605:360:1,0.14
Gymnoscopelus,nicholsi,-67.25,50.25,3605:370:1,0.02
Gymnoscopelus,nicholsi,-66.25,57.25,3605:467:1,0.06
Gymnoscopelus,nicholsi,-67.25,58.75,3605:478:2,0.01
Gymnoscopelus,nicholsi,-67.25,59.25,3605:479:1,0.03
Gymnoscopelus,nicholsi,-67.25,59.75,3605:479:2,0.05
Gymnoscopelus,nicholsi,-67.25,60.25,3606:370:1,0.03
Gymnoscopelus,nicholsi,-67.25,62.75,3606:372:2,0.16
Gymnoscopelus,nicholsi,-67.75,62.75,3606:372:4,0.01
Gymnoscopelus,nicholsi,-67.25,63.25,3606:373:1,0.02
Gymnoscopelus,nicholsi,-67.25,64.25,3606:374:1,0.01
Gymnoscopelus,nicholsi,-67.25,64.75,3606:374:2,0.01
Gymnoscopelus,nicholsi,-67.75,64.75,3606:374:4,0.14
Gymnoscopelus,nicholsi,-67.25,65.25,3606:475:1,0.01
Gymnoscopelus,nicholsi,-67.75,65.25,3606:475:3,0.11
Gymnoscopelus,nicholsi,-67.25,66.25,3606:476:1,0.10
Gymnoscopelus,nicholsi,-67.25,66.75,3606:476:2,0.01
Gymnoscopelus,nicholsi,-67.25,67.25,3606:477:1,0.13
Gymnoscopelus,nicholsi,-67.75,67.25,3606:477:3,0.12
Gymnoscopelus,nicholsi,-67.25,68.75,3606:478:2,0.09
Gymnoscopelus,nicholsi,-67.75,68.25,3606:478:3,0.01
Gymnoscopelus,nicholsi,-67.25,69.25,3606:479:1,0.13
Gymnoscopelus,nicholsi,-67.25,69.75,3606:479:2,0.04
Gymnoscopelus,nicholsi,-67.25,70.25,3607:370:1,0.01
Gymnoscopelus,nicholsi,-67.25,70.75,3607:370:2,0.11
Gymnoscopelus,nicholsi,-67.75,70.75,3607:370:4,0.01
Gymnoscopelus,nicholsi,-67.75,71.25,3607:371:3,0.05
Gymnoscopelus,nicholsi,-68.25,70.25,3607:380:1,0.03
Gymnoscopelus,nicholsi,-68.25,70.75,3607:380:2,0.08
Gymnoscopelus,nicholsi,-68.75,70.25,3607:380:3,0.03
Gymnoscopelus,nicholsi,-68.75,70.75,3607:380:4,0.01
Gymnoscopelus,nicholsi,-68.25,71.25,3607:381:1,0.16
Gymnoscopelus,nicholsi,-68.75,71.25,3607:381:3,0.01
Gymnoscopelus,nicholsi,-68.75,71.75,3607:381:4,0.01
Gymnoscopelus,nicholsi,-68.75,72.25,3607:382:3,0.01
Gymnoscopelus,nicholsi,-69.25,73.25,3607:393:1,0.02
Gymnoscopelus,nicholsi,-69.25,73.75,3607:393:2,0.02
Gymnoscopelus,nicholsi,-67.25,77.25,3607:477:1,0.12
Gymnoscopelus,nicholsi,-67.25,77.75,3607:477:2,0.03
Gymnoscopelus,nicholsi,-67.25,78.25,3607:478:1,0.03
Gymnoscopelus,nicholsi,-67.25,78.75,3607:478:2,0.10
Gymnoscopelus,nicholsi,-67.25,79.25,3607:479:1,0.09
Gymnoscopelus,nicholsi,-67.75,79.75,3607:479:4,0.14
Gymnoscopelus,nicholsi,-68.25,78.25,3607:488:1,0.01
Gymnoscopelus,nicholsi,-69.25,76.75,3607:496:2,0.04
Gymnoscopelus,nicholsi,-66.25,81.25,3608:361:1,0.15
Gymnoscopelus,nicholsi,-66.75,81.25,3608:361:3,0.03
Gymnoscopelus,nicholsi,-66.75,81.75,3608:361:4,0.06
Gymnoscopelus,nicholsi,-67.75,80.25,3608:370:3,0.13
Gymnoscopelus,nicholsi,-67.75,80.75,3608:370:4,0.11
Gymnoscopelus,nicholsi,-66.25,86.75,3608:466:2,0.11
Gymnoscopelus,nicholsi,-66.25,88.75,3608:468:2,0.08
Gymnoscopelus,nicholsi,-64.75,96.25,3609:246:3,0.01
Gymnoscopelus,nicholsi,-64.75,99.75,3609:249:4,0.16
Gymnoscopelus,nicholsi,-65.75,92.75,3609:352:4,0.09
Gymnoscopelus,nicholsi,-66.75,92.75,3609:362:4,0.10
Gymnoscopelus,nicholsi,-66.25,94.25,3609:364:1,0.08
Gymnoscopelus,nicholsi,-65.25,95.75,3609:455:2,0.02
Gymnoscopelus,nicholsi,-65.25,99.25,3609:459:1,0.10
Gymnoscopelus,nicholsi,-65.25,99.75,3609:459:2,0.07
Gymnoscopelus,nicholsi,-65.75,99.25,3609:459:3,0.02
Gymnoscopelus,nicholsi,-66.25,98.25,3609:468:1,0.01
Gymnoscopelus,nicholsi,-64.75,100.25,3610:140:3,0.04
Gymnoscopelus,nicholsi,-65.25,101.75,3610:351:2,0.07
Gymnoscopelus,nicholsi,-65.25,102.25,3610:352:1,0.18
Gymnoscopelus,nicholsi,-65.25,103.75,3610:353:2,0.18
Gymnoscopelus,nicholsi,-65.25,104.25,3610:354:1,0.13
Gymnoscopelus,nicholsi,-65.75,104.75,3610:354:4,0.07
Gymnoscopelus,nicholsi,-65.75,109.75,3610:459:4,0.05
Gymnoscopelus,nicholsi,-65.75,111.75,3611:351:4,0.11
Gymnoscopelus,nicholsi,-65.75,113.25,3611:353:3,0.05
