Mapping parameters for Gymnothorax eurygnathos ()

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,396,397,402,406
Temperature (°C),1,1.84,3.35,22.47,25.74
Salinity (psu),1,33.39,33.89,34.89,35.39
Primary Production,1,124.5,481.2,884.4,1132.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,6,19.8,190.199996948242,306.75
 

Map data (HSPEC) for predicted occurrences (n = 255): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Gymnothorax,eurygnathos,7.75,-78.75,7007:478:4,0.03
Gymnothorax,eurygnathos,0.25,-80.75,7008:100:2,0.15
Gymnothorax,eurygnathos,1.25,-80.25,7008:110:1,0.16
Gymnothorax,eurygnathos,4.25,-81.75,7008:141:2,0.15
Gymnothorax,eurygnathos,7.25,-82.25,7008:372:1,0.13
Gymnothorax,eurygnathos,8.25,-82.75,7008:382:2,0.10
Gymnothorax,eurygnathos,5.75,-87.25,7008:457:3,0.16
Gymnothorax,eurygnathos,0.25,-91.25,7009:101:1,0.07
Gymnothorax,eurygnathos,0.25,-91.75,7009:101:2,0.07
Gymnothorax,eurygnathos,1.75,-157.75,7015:217:4,0.01
Gymnothorax,eurygnathos,4.75,-160.25,7016:140:3,0.02
Gymnothorax,eurygnathos,5.75,-161.75,7016:351:4,0.15
Gymnothorax,eurygnathos,6.25,-162.25,7016:362:1,0.14
Gymnothorax,eurygnathos,6.25,-162.75,7016:362:2,0.01
Gymnothorax,eurygnathos,10.75,-86.75,7108:206:4,0.03
Gymnothorax,eurygnathos,11.25,-87.25,7108:217:1,0.06
Gymnothorax,eurygnathos,12.25,-88.75,7108:228:2,0.07
Gymnothorax,eurygnathos,14.25,-93.25,7109:143:1,0.03
Gymnothorax,eurygnathos,14.75,-94.25,7109:144:3,0.01
Gymnothorax,eurygnathos,15.75,-94.75,7109:354:4,0.01
Gymnothorax,eurygnathos,15.75,-97.75,7109:457:4,0.03
Gymnothorax,eurygnathos,10.25,-109.25,7110:209:1,0.01
Gymnothorax,eurygnathos,19.25,-105.25,7110:495:1,0.03
Gymnothorax,eurygnathos,19.75,-105.25,7110:495:3,0.19
Gymnothorax,eurygnathos,19.75,-105.75,7110:495:4,0.19
Gymnothorax,eurygnathos,19.75,-154.75,7115:394:4,0.07
Gymnothorax,eurygnathos,20.75,-106.25,7210:206:3,0.11
Gymnothorax,eurygnathos,22.75,-109.25,7210:229:3,0.01
Gymnothorax,eurygnathos,23.75,-112.25,7211:132:3,0.01
Gymnothorax,eurygnathos,27.75,-114.75,7211:374:4,0.18
Gymnothorax,eurygnathos,29.75,-116.75,7211:496:4,0.09
Gymnothorax,eurygnathos,20.25,-155.25,7215:205:1,0.07
Gymnothorax,eurygnathos,20.75,-155.75,7215:205:4,0.07
Gymnothorax,eurygnathos,20.75,-156.75,7215:206:4,0.19
Gymnothorax,eurygnathos,20.75,-157.25,7215:207:3,0.05
Gymnothorax,eurygnathos,21.25,-156.25,7215:216:1,0.06
Gymnothorax,eurygnathos,21.75,-157.75,7215:217:4,0.13
Gymnothorax,eurygnathos,22.25,-159.25,7215:229:1,0.05
Gymnothorax,eurygnathos,22.25,-159.75,7215:229:2,0.06
Gymnothorax,eurygnathos,21.75,-160.25,7216:110:3,0.05
Gymnothorax,eurygnathos,23.25,-161.75,7216:131:2,0.05
Gymnothorax,eurygnathos,23.25,-162.25,7216:132:1,0.05
Gymnothorax,eurygnathos,23.25,-164.25,7216:134:1,0.05
Gymnothorax,eurygnathos,23.75,-164.25,7216:134:3,0.07
Gymnothorax,eurygnathos,23.75,-164.75,7216:134:4,0.06
Gymnothorax,eurygnathos,23.75,-165.75,7216:235:4,0.05
Gymnothorax,eurygnathos,24.75,-167.25,7216:247:3,0.10
Gymnothorax,eurygnathos,24.75,-167.75,7216:247:4,0.11
Gymnothorax,eurygnathos,24.75,-168.25,7216:248:3,0.16
Gymnothorax,eurygnathos,25.25,-170.25,7217:350:1,0.14
Gymnothorax,eurygnathos,25.25,-170.75,7217:350:2,0.06
Gymnothorax,eurygnathos,25.75,-171.75,7217:351:4,0.09
Gymnothorax,eurygnathos,26.25,-173.75,7217:363:2,0.02
Gymnothorax,eurygnathos,32.25,-119.75,7311:229:2,0.17
Gymnothorax,eurygnathos,33.75,-118.75,7311:238:4,0.05
Gymnothorax,eurygnathos,33.25,-119.25,7311:239:1,0.11
Gymnothorax,eurygnathos,33.75,-119.75,7311:239:4,0.09
Gymnothorax,eurygnathos,35.25,-121.75,7312:351:2,0.02
Gymnothorax,eurygnathos,45.75,-124.75,7412:354:4,0.18
Gymnothorax,eurygnathos,47.75,-125.75,7412:475:4,0.14
Gymnothorax,eurygnathos,48.25,-126.25,7412:486:1,0.03
Gymnothorax,eurygnathos,46.75,-130.75,7413:360:4,0.06
Gymnothorax,eurygnathos,51.75,-130.75,7513:110:4,0.04
Gymnothorax,eurygnathos,51.75,-131.25,7513:111:3,0.02
Gymnothorax,eurygnathos,52.25,-131.75,7513:121:2,0.13
Gymnothorax,eurygnathos,53.25,-133.25,7513:133:1,0.15
Gymnothorax,eurygnathos,53.75,-133.75,7513:133:4,0.04
Gymnothorax,eurygnathos,54.25,-133.25,7513:143:1,0.07
Gymnothorax,eurygnathos,54.75,-134.25,7513:144:3,0.03
Gymnothorax,eurygnathos,2.25,-79.25,7007:229:1,0.21
Gymnothorax,eurygnathos,3.25,-78.25,7007:238:1,0.38
Gymnothorax,eurygnathos,7.25,-78.25,7007:478:1,0.25
Gymnothorax,eurygnathos,7.25,-80.25,7008:370:1,0.32
Gymnothorax,eurygnathos,5.25,-86.75,7008:456:2,0.30
Gymnothorax,eurygnathos,5.75,-86.75,7008:456:4,0.28
Gymnothorax,eurygnathos,5.25,-87.25,7008:457:1,0.29
Gymnothorax,eurygnathos,9.25,-85.25,7008:495:1,0.32
Gymnothorax,eurygnathos,0.25,-90.75,7009:100:2,0.29
Gymnothorax,eurygnathos,1.25,-91.75,7009:111:2,0.24
Gymnothorax,eurygnathos,1.75,-91.75,7009:111:4,0.21
Gymnothorax,eurygnathos,3.75,-159.25,7015:239:3,0.20
Gymnothorax,eurygnathos,10.25,-86.25,7108:206:1,0.25
Gymnothorax,eurygnathos,11.75,-87.75,7108:217:4,0.28
Gymnothorax,eurygnathos,12.75,-89.75,7108:229:4,0.30
Gymnothorax,eurygnathos,13.25,-91.25,7109:131:1,0.26
Gymnothorax,eurygnathos,13.75,-92.25,7109:132:3,0.25
Gymnothorax,eurygnathos,17.75,-102.75,7110:372:4,0.24
Gymnothorax,eurygnathos,18.25,-103.75,7110:383:2,0.21
Gymnothorax,eurygnathos,18.75,-103.75,7110:383:4,0.38
Gymnothorax,eurygnathos,19.25,-155.25,7115:495:1,0.24
Gymnothorax,eurygnathos,19.25,-155.75,7115:495:2,0.23
Gymnothorax,eurygnathos,19.75,-155.25,7115:495:3,0.34
Gymnothorax,eurygnathos,19.75,-155.75,7115:495:4,0.34
Gymnothorax,eurygnathos,21.25,-106.25,7210:216:1,0.22
Gymnothorax,eurygnathos,24.25,-107.75,7210:247:2,0.24
Gymnothorax,eurygnathos,22.75,-110.25,7211:120:3,0.21
Gymnothorax,eurygnathos,25.25,-113.25,7211:353:1,0.25
Gymnothorax,eurygnathos,26.75,-110.25,7211:360:3,0.34
Gymnothorax,eurygnathos,26.75,-111.25,7211:361:3,0.28
Gymnothorax,eurygnathos,26.75,-114.25,7211:364:3,0.22
Gymnothorax,eurygnathos,27.25,-111.75,7211:371:2,0.24
Gymnothorax,eurygnathos,28.25,-115.75,7211:485:2,0.20
Gymnothorax,eurygnathos,20.25,-155.75,7215:205:2,0.34
Gymnothorax,eurygnathos,20.75,-156.25,7215:206:3,0.33
Gymnothorax,eurygnathos,21.25,-156.75,7215:216:2,0.34
Gymnothorax,eurygnathos,21.25,-157.25,7215:217:1,0.38
Gymnothorax,eurygnathos,21.25,-157.75,7215:217:2,0.36
Gymnothorax,eurygnathos,21.75,-158.25,7215:218:3,0.21
Gymnothorax,eurygnathos,24.25,-166.75,7216:246:2,0.33
Gymnothorax,eurygnathos,25.25,-167.75,7216:457:2,0.25
Gymnothorax,eurygnathos,25.25,-168.25,7216:458:1,0.31
Gymnothorax,eurygnathos,25.75,-170.75,7217:350:4,0.31
Gymnothorax,eurygnathos,32.25,-117.25,7311:227:1,0.34
Gymnothorax,eurygnathos,32.75,-117.25,7311:227:3,0.31
Gymnothorax,eurygnathos,33.75,-119.25,7311:239:3,0.34
Gymnothorax,eurygnathos,34.75,-121.25,7312:141:3,0.30
Gymnothorax,eurygnathos,44.25,-124.75,7412:144:2,0.31
Gymnothorax,eurygnathos,44.75,-124.75,7412:144:4,0.37
Gymnothorax,eurygnathos,52.25,-131.25,7513:121:1,0.35
Gymnothorax,eurygnathos,52.75,-131.75,7513:121:4,0.27
Gymnothorax,eurygnathos,53.75,-133.25,7513:133:3,0.36
Gymnothorax,eurygnathos,7.25,-79.75,7007:479:2,0.43
Gymnothorax,eurygnathos,7.75,-79.25,7007:479:3,0.40
Gymnothorax,eurygnathos,9.75,-85.25,7008:495:3,0.56
Gymnothorax,eurygnathos,0.75,-90.75,7009:100:4,0.45
Gymnothorax,eurygnathos,13.75,-90.75,7109:130:4,0.48
Gymnothorax,eurygnathos,13.75,-91.75,7109:131:4,0.51
Gymnothorax,eurygnathos,15.75,-97.25,7109:457:3,0.44
Gymnothorax,eurygnathos,16.75,-100.25,7110:360:3,0.48
Gymnothorax,eurygnathos,17.25,-101.25,7110:371:1,0.49
Gymnothorax,eurygnathos,20.25,-105.75,7210:205:2,0.51
Gymnothorax,eurygnathos,21.75,-106.75,7210:216:4,0.48
Gymnothorax,eurygnathos,22.75,-106.25,7210:226:3,0.54
Gymnothorax,eurygnathos,22.75,-109.75,7210:229:4,0.47
Gymnothorax,eurygnathos,23.75,-107.25,7210:237:3,0.57
Gymnothorax,eurygnathos,23.75,-109.25,7210:239:3,0.49
Gymnothorax,eurygnathos,24.25,-109.25,7210:249:1,0.49
Gymnothorax,eurygnathos,24.25,-109.75,7210:249:2,0.55
Gymnothorax,eurygnathos,25.25,-109.25,7210:459:1,0.51
Gymnothorax,eurygnathos,24.25,-111.25,7211:141:1,0.43
Gymnothorax,eurygnathos,25.25,-110.25,7211:350:1,0.56
Gymnothorax,eurygnathos,27.25,-114.75,7211:374:2,0.43
Gymnothorax,eurygnathos,23.75,-166.25,7216:236:3,0.58
Gymnothorax,eurygnathos,32.75,-119.25,7311:229:3,0.43
Gymnothorax,eurygnathos,33.25,-117.75,7311:237:2,0.48
Gymnothorax,eurygnathos,43.25,-124.75,7412:134:2,0.57
Gymnothorax,eurygnathos,52.75,-132.25,7513:122:3,0.56
Gymnothorax,eurygnathos,55.25,-134.75,7513:354:2,0.42
Gymnothorax,eurygnathos,7.75,-78.25,7007:478:3,0.79
Gymnothorax,eurygnathos,10.75,-86.25,7108:206:3,0.76
Gymnothorax,eurygnathos,13.75,-91.25,7109:131:3,0.61
Gymnothorax,eurygnathos,15.25,-94.25,7109:354:1,0.76
Gymnothorax,eurygnathos,17.75,-102.25,7110:372:3,0.78
Gymnothorax,eurygnathos,18.75,-104.25,7110:384:3,0.65
Gymnothorax,eurygnathos,19.25,-104.25,7110:394:1,0.72
Gymnothorax,eurygnathos,22.25,-106.75,7210:226:2,0.76
Gymnothorax,eurygnathos,25.75,-109.75,7210:459:4,0.63
Gymnothorax,eurygnathos,26.25,-109.75,7210:469:2,0.65
Gymnothorax,eurygnathos,24.75,-112.25,7211:142:3,0.66
Gymnothorax,eurygnathos,24.75,-112.75,7211:142:4,0.69
Gymnothorax,eurygnathos,25.25,-110.75,7211:350:2,0.61
Gymnothorax,eurygnathos,25.75,-110.75,7211:350:4,0.71
Gymnothorax,eurygnathos,26.25,-110.75,7211:360:2,0.66
Gymnothorax,eurygnathos,27.75,-115.25,7211:475:3,0.75
Gymnothorax,eurygnathos,45.25,-124.75,7412:354:2,0.70
Gymnothorax,eurygnathos,2.75,-78.75,7007:228:4,0.83
Gymnothorax,eurygnathos,7.75,-79.75,7007:479:4,0.83
Gymnothorax,eurygnathos,0.25,-80.25,7008:100:1,0.82
Gymnothorax,eurygnathos,0.75,-80.25,7008:100:3,1.00
Gymnothorax,eurygnathos,4.25,-81.25,7008:141:1,0.83
Gymnothorax,eurygnathos,0.25,-89.75,7008:209:2,0.82
Gymnothorax,eurygnathos,5.75,-81.75,7008:351:4,0.87
Gymnothorax,eurygnathos,7.25,-80.75,7008:370:2,1.00
Gymnothorax,eurygnathos,7.25,-81.25,7008:371:1,1.00
Gymnothorax,eurygnathos,7.25,-81.75,7008:371:2,1.00
Gymnothorax,eurygnathos,7.75,-81.75,7008:371:4,0.81
Gymnothorax,eurygnathos,7.75,-82.25,7008:372:3,1.00
Gymnothorax,eurygnathos,8.25,-83.25,7008:383:1,1.00
Gymnothorax,eurygnathos,8.25,-83.75,7008:383:2,0.97
Gymnothorax,eurygnathos,8.75,-83.75,7008:383:4,1.00
Gymnothorax,eurygnathos,8.75,-84.25,7008:384:3,0.85
Gymnothorax,eurygnathos,9.25,-84.25,7008:394:1,1.00
Gymnothorax,eurygnathos,9.25,-84.75,7008:394:2,1.00
Gymnothorax,eurygnathos,9.75,-85.75,7008:495:4,0.86
Gymnothorax,eurygnathos,0.25,-90.25,7009:100:1,0.93
Gymnothorax,eurygnathos,1.75,-157.25,7015:217:3,0.80
Gymnothorax,eurygnathos,10.25,-85.75,7108:205:2,1.00
Gymnothorax,eurygnathos,11.25,-86.75,7108:216:2,1.00
Gymnothorax,eurygnathos,11.75,-87.25,7108:217:3,0.99
Gymnothorax,eurygnathos,12.25,-87.75,7108:227:2,1.00
Gymnothorax,eurygnathos,12.75,-87.75,7108:227:4,1.00
Gymnothorax,eurygnathos,12.25,-88.25,7108:228:1,0.95
Gymnothorax,eurygnathos,12.75,-88.75,7108:228:4,1.00
Gymnothorax,eurygnathos,12.75,-89.25,7108:229:3,1.00
Gymnothorax,eurygnathos,13.25,-89.75,7108:239:2,1.00
Gymnothorax,eurygnathos,13.25,-90.25,7109:130:1,1.00
Gymnothorax,eurygnathos,13.25,-90.75,7109:130:2,1.00
Gymnothorax,eurygnathos,14.25,-92.75,7109:142:2,1.00
Gymnothorax,eurygnathos,14.75,-93.25,7109:143:3,1.00
Gymnothorax,eurygnathos,14.75,-93.75,7109:143:4,1.00
Gymnothorax,eurygnathos,15.75,-96.25,7109:456:3,1.00
Gymnothorax,eurygnathos,15.75,-96.75,7109:456:4,1.00
Gymnothorax,eurygnathos,16.25,-98.25,7109:468:1,1.00
Gymnothorax,eurygnathos,16.25,-98.75,7109:468:2,1.00
Gymnothorax,eurygnathos,16.75,-99.25,7109:469:3,1.00
Gymnothorax,eurygnathos,16.75,-99.75,7109:469:4,0.91
Gymnothorax,eurygnathos,17.25,-100.25,7110:370:1,1.00
Gymnothorax,eurygnathos,17.25,-100.75,7110:370:2,0.90
Gymnothorax,eurygnathos,17.75,-101.25,7110:371:3,1.00
Gymnothorax,eurygnathos,17.75,-101.75,7110:371:4,1.00
Gymnothorax,eurygnathos,18.25,-102.75,7110:382:2,1.00
Gymnothorax,eurygnathos,18.25,-103.25,7110:383:1,1.00
Gymnothorax,eurygnathos,20.75,-105.25,7210:205:3,1.00
Gymnothorax,eurygnathos,20.75,-105.75,7210:205:4,1.00
Gymnothorax,eurygnathos,21.25,-105.75,7210:215:2,1.00
Gymnothorax,eurygnathos,21.75,-106.25,7210:216:3,1.00
Gymnothorax,eurygnathos,22.25,-106.25,7210:226:1,1.00
Gymnothorax,eurygnathos,22.75,-106.75,7210:226:4,1.00
Gymnothorax,eurygnathos,23.25,-106.75,7210:236:2,0.81
Gymnothorax,eurygnathos,23.25,-107.25,7210:237:1,1.00
Gymnothorax,eurygnathos,23.75,-107.75,7210:237:4,1.00
Gymnothorax,eurygnathos,23.25,-109.25,7210:239:1,0.93
Gymnothorax,eurygnathos,23.25,-109.75,7210:239:2,1.00
Gymnothorax,eurygnathos,23.75,-109.75,7210:239:4,1.00
Gymnothorax,eurygnathos,24.25,-108.25,7210:248:1,1.00
Gymnothorax,eurygnathos,24.75,-109.75,7210:249:4,1.00
Gymnothorax,eurygnathos,23.25,-110.25,7211:130:1,1.00
Gymnothorax,eurygnathos,23.25,-110.75,7211:130:2,1.00
Gymnothorax,eurygnathos,23.75,-110.75,7211:130:4,0.92
Gymnothorax,eurygnathos,23.25,-111.25,7211:131:1,0.93
Gymnothorax,eurygnathos,23.75,-111.25,7211:131:3,1.00
Gymnothorax,eurygnathos,23.75,-111.75,7211:131:4,1.00
Gymnothorax,eurygnathos,24.25,-110.25,7211:140:1,1.00
Gymnothorax,eurygnathos,24.75,-110.25,7211:140:3,0.90
Gymnothorax,eurygnathos,24.75,-110.75,7211:140:4,0.80
Gymnothorax,eurygnathos,24.25,-112.25,7211:142:1,1.00
Gymnothorax,eurygnathos,25.25,-112.75,7211:352:2,0.95
Gymnothorax,eurygnathos,25.75,-113.25,7211:353:3,1.00
Gymnothorax,eurygnathos,26.25,-113.25,7211:363:1,0.80
Gymnothorax,eurygnathos,26.25,-113.75,7211:363:2,1.00
Gymnothorax,eurygnathos,28.25,-115.25,7211:485:1,1.00
Gymnothorax,eurygnathos,28.75,-115.75,7211:485:4,0.96
Gymnothorax,eurygnathos,31.25,-116.75,7311:216:2,0.89
Gymnothorax,eurygnathos,32.75,-117.75,7311:227:4,1.00
Gymnothorax,eurygnathos,32.25,-118.25,7311:228:1,1.00
Gymnothorax,eurygnathos,32.25,-118.75,7311:228:2,1.00
Gymnothorax,eurygnathos,32.75,-118.25,7311:228:3,1.00
Gymnothorax,eurygnathos,32.75,-118.75,7311:228:4,0.95
Gymnothorax,eurygnathos,32.25,-119.25,7311:229:1,0.98
Gymnothorax,eurygnathos,32.75,-119.75,7311:229:4,0.85
Gymnothorax,eurygnathos,33.25,-118.25,7311:238:1,0.95
Gymnothorax,eurygnathos,33.25,-118.75,7311:238:2,0.87
Gymnothorax,eurygnathos,43.75,-124.75,7412:134:4,0.83
Gymnothorax,eurygnathos,53.25,-132.75,7513:132:2,0.81
Gymnothorax,eurygnathos,54.25,-133.75,7513:143:2,1.00


Occurrence cells used for creating environmental envelope (n = 3)
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Gymnothorax,eurygnathos,13.75,-89.75,7108:239:4,28,29.06,33.58,538,0,6
Gymnothorax,eurygnathos,19.75,-107.25,7110:497:3,3269,26.63,34.57,467,0,219
Gymnothorax,eurygnathos,26.25,-109.75,7210:469:2,365,25.04,35.34,971,0,75
