Mapping parameters for Haemulon bonariense (Black grunt)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  31 |  41 ,
Bounding Box (NSWE): ,26,8,-98,-60

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,6,26,50
Temperature (°C),1,25.75,26.63,28.28,32.48
Salinity (psu),1,31.64,34.27,36.22,37.91
Primary Production (mgC·m-3·day-1) ,1,-0.74,0.26,18.98,33.37
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,152.63,165.2,210.1,237.66
Distance to Land (km),0,3,12,85,130
 

Map data (HSPEC) for predicted occurrences (n = 612): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Haemulon,bonariense,25.75,-96.25,7209:456:3,0.05
Haemulon,bonariense,25.25,-96.75,7209:456:2,0.16
Haemulon,bonariense,23.25,-97.75,7209:237:2,0.19
Haemulon,bonariense,21.75,-97.75,7209:217:4,0.03
Haemulon,bonariense,25.25,-83.75,7208:353:2,0.14
Haemulon,bonariense,25.75,-82.75,7208:352:4,0.14
Haemulon,bonariense,25.75,-82.25,7208:352:3,0.07
Haemulon,bonariense,23.25,-88.25,7208:238:1,0.17
Haemulon,bonariense,23.25,-77.25,7207:237:1,0.04
Haemulon,bonariense,17.75,-63.75,7106:373:4,0.17
Haemulon,bonariense,11.75,-63.75,7106:113:4,0.07
Haemulon,bonariense,10.25,-64.75,7106:104:2,0.18
Haemulon,bonariense,10.25,-64.25,7106:104:1,0.15
Haemulon,bonariense,10.25,-63.75,7106:103:2,0.03
Haemulon,bonariense,10.75,-61.25,7106:101:3,0.06
Haemulon,bonariense,10.75,-60.75,7106:100:4,0.15
Haemulon,bonariense,10.25,-60.75,7106:100:2,0.01
Haemulon,bonariense,10.25,-60.25,7106:100:1,0.15
Haemulon,bonariense,9.75,-75.75,7007:495:4,0.09
Haemulon,bonariense,8.75,-76.25,7007:486:3,0.10
Haemulon,bonariense,23.25,-97.25,7209:237:1,0.29
Haemulon,bonariense,25.75,-83.25,7208:353:3,0.27
Haemulon,bonariense,25.75,-81.75,7208:351:4,0.23
Haemulon,bonariense,21.75,-89.25,7208:219:3,0.31
Haemulon,bonariense,21.75,-88.75,7208:218:4,0.24
Haemulon,bonariense,21.75,-88.25,7208:218:3,0.20
Haemulon,bonariense,21.75,-87.75,7208:217:4,0.28
Haemulon,bonariense,22.75,-80.25,7208:120:3,0.20
Haemulon,bonariense,17.25,-71.75,7107:371:2,0.21
Haemulon,bonariense,11.25,-74.25,7107:114:1,0.25
Haemulon,bonariense,11.75,-70.75,7107:110:4,0.29
Haemulon,bonariense,18.25,-66.75,7106:486:2,0.20
Haemulon,bonariense,18.75,-65.25,7106:485:3,0.29
Haemulon,bonariense,10.75,-60.25,7106:100:3,0.30
Haemulon,bonariense,9.25,-75.75,7007:495:2,0.36
Haemulon,bonariense,24.25,-97.25,7209:247:1,0.40
Haemulon,bonariense,21.25,-97.25,7209:217:1,0.54
Haemulon,bonariense,20.75,-97.25,7209:207:3,0.44
Haemulon,bonariense,21.75,-90.25,7209:110:3,0.57
Haemulon,bonariense,21.25,-90.25,7209:110:1,0.57
Haemulon,bonariense,25.25,-83.25,7208:353:1,0.47
Haemulon,bonariense,25.25,-82.75,7208:352:2,0.49
Haemulon,bonariense,25.25,-82.25,7208:352:1,0.40
Haemulon,bonariense,25.75,-81.25,7208:351:3,0.43
Haemulon,bonariense,25.25,-81.75,7208:351:2,0.50
Haemulon,bonariense,22.25,-88.25,7208:228:1,0.57
Haemulon,bonariense,21.75,-89.75,7208:219:4,0.42
Haemulon,bonariense,21.25,-87.25,7208:217:1,0.40
Haemulon,bonariense,21.75,-86.25,7208:216:3,0.46
Haemulon,bonariense,24.75,-83.75,7208:143:4,0.54
Haemulon,bonariense,18.75,-94.25,7109:384:3,0.42
Haemulon,bonariense,18.25,-93.25,7109:383:1,0.55
Haemulon,bonariense,18.25,-92.75,7109:382:2,0.54
Haemulon,bonariense,12.25,-72.25,7107:122:1,0.57
Haemulon,bonariense,12.75,-71.75,7107:121:4,0.48
Haemulon,bonariense,11.25,-64.25,7106:114:1,0.48
Haemulon,bonariense,11.75,-63.25,7106:113:3,0.58
Haemulon,bonariense,8.75,-80.75,7008:380:4,0.58
Haemulon,bonariense,9.25,-79.25,7007:499:1,0.54
Haemulon,bonariense,9.25,-78.75,7007:498:2,0.43
Haemulon,bonariense,25.75,-90.25,7209:350:3,0.73
Haemulon,bonariense,24.75,-96.75,7209:246:4,0.65
Haemulon,bonariense,23.75,-97.25,7209:237:3,0.72
Haemulon,bonariense,21.75,-97.25,7209:217:3,0.77
Haemulon,bonariense,20.25,-96.75,7209:206:2,0.79
Haemulon,bonariense,22.75,-90.25,7209:120:3,0.72
Haemulon,bonariense,21.75,-90.75,7209:110:4,0.76
Haemulon,bonariense,21.25,-90.75,7209:110:2,0.73
Haemulon,bonariense,25.25,-81.25,7208:351:1,0.74
Haemulon,bonariense,22.25,-88.75,7208:228:2,0.65
Haemulon,bonariense,22.25,-87.75,7208:227:2,0.68
Haemulon,bonariense,21.25,-89.75,7208:219:2,0.70
Haemulon,bonariense,21.25,-89.25,7208:219:1,0.76
Haemulon,bonariense,21.25,-88.75,7208:218:2,0.64
Haemulon,bonariense,21.75,-87.25,7208:217:3,0.76
Haemulon,bonariense,25.25,-78.75,7207:458:2,0.70
Haemulon,bonariense,25.25,-78.25,7207:458:1,0.72
Haemulon,bonariense,24.75,-78.75,7207:248:4,0.64
Haemulon,bonariense,24.75,-78.25,7207:248:3,0.67
Haemulon,bonariense,24.25,-78.75,7207:248:2,0.69
Haemulon,bonariense,24.25,-78.25,7207:248:1,0.68
Haemulon,bonariense,24.75,-77.75,7207:247:4,0.73
Haemulon,bonariense,24.25,-77.75,7207:247:2,0.79
Haemulon,bonariense,24.25,-77.25,7207:247:1,0.77
Haemulon,bonariense,24.75,-76.75,7207:246:4,0.78
Haemulon,bonariense,23.75,-78.75,7207:238:4,0.77
Haemulon,bonariense,23.75,-78.25,7207:238:3,0.79
Haemulon,bonariense,23.75,-77.25,7207:237:3,0.77
Haemulon,bonariense,22.25,-79.25,7207:229:1,0.60
Haemulon,bonariense,18.75,-92.75,7109:382:4,0.78
Haemulon,bonariense,18.25,-88.25,7108:488:1,0.75
Haemulon,bonariense,15.25,-83.75,7108:353:2,0.60
Haemulon,bonariense,13.75,-81.75,7108:131:4,0.62
Haemulon,bonariense,18.75,-74.75,7107:384:4,0.77
Haemulon,bonariense,11.25,-73.75,7107:113:2,0.68
Haemulon,bonariense,11.75,-71.75,7107:111:4,0.69
Haemulon,bonariense,17.75,-62.25,7106:372:3,0.67
Haemulon,bonariense,11.75,-68.75,7106:218:4,0.79
Haemulon,bonariense,10.25,-65.25,7106:205:1,0.66
Haemulon,bonariense,11.25,-60.75,7106:110:2,0.69
Haemulon,bonariense,8.75,-81.75,7008:381:4,0.67
Haemulon,bonariense,8.75,-81.25,7008:381:3,0.71
Haemulon,bonariense,9.25,-79.75,7007:499:2,0.71
Haemulon,bonariense,9.25,-78.25,7007:498:1,0.60
Haemulon,bonariense,9.25,-77.75,7007:497:2,0.71
Haemulon,bonariense,9.25,-76.25,7007:496:1,0.72
Haemulon,bonariense,22.25,-97.25,7209:227:1,0.84
Haemulon,bonariense,20.75,-96.75,7209:206:4,0.94
Haemulon,bonariense,20.25,-96.25,7209:206:1,1.00
Haemulon,bonariense,22.25,-92.25,7209:122:1,0.90
Haemulon,bonariense,22.25,-91.75,7209:121:2,0.88
Haemulon,bonariense,22.25,-91.25,7209:121:1,0.88
Haemulon,bonariense,22.75,-90.75,7209:120:4,0.90
