Mapping parameters for Parakuhlia macrophthalmus (Dara)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 34 |  47,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,3,16,30
Temperature (°C),1,22.72,25.15,27.94,32.14
Salinity (psu),1,26.9,30.2,35.27,39.34
Primary Production,1,626,965,2771,3894
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,11,19,51,83
 

Map data (HSPEC) for predicted occurrences (n = 254): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Parakuhlia,macrophthalmus,5.25,4.75,1000:354:2,0.14
Parakuhlia,macrophthalmus,-1.25,5.75,3000:215:2,0.19
Parakuhlia,macrophthalmus,-5.75,12.25,3001:352:3,0.05
Parakuhlia,macrophthalmus,-5.75,12.75,3001:352:4,0.05
Parakuhlia,macrophthalmus,-31.25,29.75,3302:219:2,0.13
Parakuhlia,macrophthalmus,-31.75,29.25,3302:219:3,0.14
Parakuhlia,macrophthalmus,-31.75,29.75,3302:219:4,0.08
Parakuhlia,macrophthalmus,5.25,-0.75,7000:350:2,0.10
Parakuhlia,macrophthalmus,7.75,-14.25,7001:374:3,0.06
Parakuhlia,macrophthalmus,8.25,-13.75,7001:383:2,0.19
Parakuhlia,macrophthalmus,9.25,-14.25,7001:394:1,0.11
Parakuhlia,macrophthalmus,16.25,-16.75,7101:466:2,0.15
Parakuhlia,macrophthalmus,16.75,-16.25,7101:466:3,0.07
Parakuhlia,macrophthalmus,16.75,-16.75,7101:466:4,0.04
Parakuhlia,macrophthalmus,17.25,-16.75,7101:476:2,0.04
Parakuhlia,macrophthalmus,16.75,-23.75,7102:363:4,0.09
Parakuhlia,macrophthalmus,16.75,-24.25,7102:364:3,0.02
Parakuhlia,macrophthalmus,4.25,5.75,1000:245:2,0.38
Parakuhlia,macrophthalmus,4.75,6.75,1000:246:4,0.33
Parakuhlia,macrophthalmus,4.75,7.25,1000:247:3,0.33
Parakuhlia,macrophthalmus,6.25,1.25,1000:361:1,0.25
Parakuhlia,macrophthalmus,6.75,3.75,1000:363:4,0.33
Parakuhlia,macrophthalmus,5.25,5.75,1000:455:2,0.33
Parakuhlia,macrophthalmus,5.75,5.75,1000:455:4,0.33
Parakuhlia,macrophthalmus,3.25,10.25,1001:130:1,0.33
Parakuhlia,macrophthalmus,-5.25,12.25,3001:352:1,0.24
Parakuhlia,macrophthalmus,-14.25,12.25,3101:142:1,0.22
Parakuhlia,macrophthalmus,-14.75,12.25,3101:142:3,0.22
Parakuhlia,macrophthalmus,4.75,-0.75,7000:140:4,0.31
Parakuhlia,macrophthalmus,7.75,-12.25,7001:372:3,0.33
Parakuhlia,macrophthalmus,8.75,-12.75,7001:382:4,0.33
Parakuhlia,macrophthalmus,8.75,-14.25,7001:384:3,0.20
Parakuhlia,macrophthalmus,10.25,-13.75,7101:103:2,0.33
Parakuhlia,macrophthalmus,11.25,-14.75,7101:114:2,0.33
Parakuhlia,macrophthalmus,12.25,-14.75,7101:124:2,0.33
Parakuhlia,macrophthalmus,12.25,-15.25,7101:225:1,0.33
Parakuhlia,macrophthalmus,12.25,-15.75,7101:225:2,0.33
Parakuhlia,macrophthalmus,12.75,-16.25,7101:226:3,0.33
Parakuhlia,macrophthalmus,13.25,-15.75,7101:235:2,0.33
Parakuhlia,macrophthalmus,13.75,-15.75,7101:235:4,0.33
Parakuhlia,macrophthalmus,13.75,-16.25,7101:236:3,0.33
Parakuhlia,macrophthalmus,15.25,-16.75,7101:456:2,0.33
Parakuhlia,macrophthalmus,15.75,-16.25,7101:456:3,0.38
Parakuhlia,macrophthalmus,15.75,-16.75,7101:456:4,0.27
Parakuhlia,macrophthalmus,16.25,-16.25,7101:466:1,0.22
Parakuhlia,macrophthalmus,14.75,-23.25,7102:143:3,0.23
Parakuhlia,macrophthalmus,14.75,-24.25,7102:144:3,0.33
Parakuhlia,macrophthalmus,14.75,-24.75,7102:144:4,0.33
Parakuhlia,macrophthalmus,16.25,-22.75,7102:362:2,0.38
Parakuhlia,macrophthalmus,16.75,-22.75,7102:362:4,0.23
Parakuhlia,macrophthalmus,3.75,6.75,1000:236:4,0.57
Parakuhlia,macrophthalmus,4.25,5.25,1000:245:1,0.59
