Mapping parameters for Haemulopsis axillaris (Yellowstripe grunt)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77 |  87,
Bounding Box (NSWE): ,24,-3,-108,-77

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,22,95,200
Temperature (°C),1,24.64,26.54,29.3,33.5
Salinity (psu),1,28.46,31.04,33.39,36.09
Primary Production (mgC·m-3·day-1) ,1,2.26,16.21,37.39,74.14
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.9,9.64,209.49,393.9
Distance to Land (km),0,0,8,170,296
 

Map data (HSPEC) for predicted occurrences (n = 199): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Haemulopsis,axillaris,23.75,-107.75,7210:237:4,0.03
Haemulopsis,axillaris,23.25,-106.75,7210:236:2,0.14
Haemulopsis,axillaris,21.75,-106.75,7210:216:4,0.06
Haemulopsis,axillaris,21.25,-106.25,7210:216:1,0.15
Haemulopsis,axillaris,16.25,-93.75,7109:363:2,0.05
Haemulopsis,axillaris,15.25,-94.25,7109:354:1,0.16
Haemulopsis,axillaris,14.25,-91.25,7109:141:1,0.18
Haemulopsis,axillaris,1.25,-91.75,7009:111:2,0.11
Haemulopsis,axillaris,0.75,-90.75,7009:100:4,0.09
Haemulopsis,axillaris,8.25,-77.75,7007:487:2,0.03
Haemulopsis,axillaris,2.25,-78.25,7007:228:1,0.04
Haemulopsis,axillaris,1.75,-78.25,7007:218:3,0.04
Haemulopsis,axillaris,0.25,-79.75,7007:209:2,0.03
Haemulopsis,axillaris,-1.75,-80.75,5008:110:4,0.01
Haemulopsis,axillaris,-1.25,-80.75,5008:110:2,0.14
Haemulopsis,axillaris,23.75,-107.25,7210:237:3,0.22
Haemulopsis,axillaris,22.75,-106.25,7210:226:3,0.34
Haemulopsis,axillaris,22.25,-106.25,7210:226:1,0.32
Haemulopsis,axillaris,21.75,-106.25,7210:216:3,0.35
Haemulopsis,axillaris,20.25,-105.75,7210:205:2,0.32
Haemulopsis,axillaris,19.75,-105.75,7110:495:4,0.21
Haemulopsis,axillaris,19.25,-105.25,7110:495:1,0.28
Haemulopsis,axillaris,19.25,-104.75,7110:394:2,0.38
Haemulopsis,axillaris,17.75,-102.75,7110:372:4,0.35
Haemulopsis,axillaris,15.25,-94.75,7109:354:2,0.29
Haemulopsis,axillaris,12.75,-89.75,7108:229:4,0.24
Haemulopsis,axillaris,1.75,-91.75,7009:111:4,0.31
Haemulopsis,axillaris,2.25,-78.75,7007:228:2,0.36
Haemulopsis,axillaris,-0.75,-80.75,5008:100:4,0.33
