Mapping parameters for Halobatrachus didactylus (Lusitanian toadfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  34 |  37,
Bounding Box (NSWE): ,45,4,-18,17

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,14,31,50
Temperature (°C),1,10.11,18.48,27.91,32.11
Salinity (psu),1,24.43,30.06,36.63,38.11
Primary Production (mgC·m-3·day-1) ,1,0.23,2.15,67.88,139.39
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,35.67,83.75,238.82,335.94
Distance to Land (km),0,1,9,110,281
 

Map data (HSPEC) for predicted occurrences (n = 569): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Halobatrachus,didactylus,4.75,4.75,1000:144:4,0.10
Halobatrachus,didactylus,4.75,8.25,1000:248:3,0.12
Halobatrachus,didactylus,4.75,8.75,1000:248:4,0.04
Halobatrachus,didactylus,38.75,1.25,1300:381:3,0.15
Halobatrachus,didactylus,38.75,1.75,1300:381:4,0.12
Halobatrachus,didactylus,39.25,1.25,1300:391:1,0.14
Halobatrachus,didactylus,39.25,1.75,1300:391:2,0.13
Halobatrachus,didactylus,39.25,2.75,1300:392:2,0.12
Halobatrachus,didactylus,39.75,2.25,1300:392:3,0.12
Halobatrachus,didactylus,39.75,2.75,1300:392:4,0.11
Halobatrachus,didactylus,39.25,3.25,1300:393:1,0.10
Halobatrachus,didactylus,39.75,3.25,1300:393:3,0.08
Halobatrachus,didactylus,39.75,3.75,1300:393:4,0.10
Halobatrachus,didactylus,39.75,4.25,1300:394:3,0.11
Halobatrachus,didactylus,37.75,8.75,1300:478:4,0.08
Halobatrachus,didactylus,37.75,9.25,1300:479:3,0.09
Halobatrachus,didactylus,38.75,8.25,1300:488:3,0.05
Halobatrachus,didactylus,38.75,8.75,1300:488:4,0.06
Halobatrachus,didactylus,38.75,9.25,1300:489:3,0.04
Halobatrachus,didactylus,39.25,8.25,1300:498:1,0.06
Halobatrachus,didactylus,39.25,8.75,1300:498:2,0.07
Halobatrachus,didactylus,39.75,8.25,1300:498:3,0.07
Halobatrachus,didactylus,39.75,8.75,1300:498:4,0.07
Halobatrachus,didactylus,39.25,9.25,1300:499:1,0.07
Halobatrachus,didactylus,39.25,9.75,1300:499:2,0.06
Halobatrachus,didactylus,39.75,9.75,1300:499:4,0.05
Halobatrachus,didactylus,32.75,12.25,1301:122:3,0.08
Halobatrachus,didactylus,32.75,12.75,1301:122:4,0.05
Halobatrachus,didactylus,32.75,13.25,1301:123:3,0.04
Halobatrachus,didactylus,32.75,13.75,1301:123:4,0.02
Halobatrachus,didactylus,32.25,14.75,1301:124:2,0.01
Halobatrachus,didactylus,33.75,10.75,1301:130:4,0.04
Halobatrachus,didactylus,33.25,11.25,1301:131:1,0.07
Halobatrachus,didactylus,33.25,11.75,1301:131:2,0.06
Halobatrachus,didactylus,33.75,11.25,1301:131:3,0.06
Halobatrachus,didactylus,33.75,11.75,1301:131:4,0.04
Halobatrachus,didactylus,33.25,12.25,1301:132:1,0.04
Halobatrachus,didactylus,33.25,12.75,1301:132:2,0.03
Halobatrachus,didactylus,33.75,12.25,1301:132:3,0.02
Halobatrachus,didactylus,33.25,13.25,1301:133:1,0.02
Halobatrachus,didactylus,34.25,10.75,1301:140:2,0.06
Halobatrachus,didactylus,34.75,10.75,1301:140:4,0.12
Halobatrachus,didactylus,34.25,11.25,1301:141:1,0.05
Halobatrachus,didactylus,34.25,11.75,1301:141:2,0.03
Halobatrachus,didactylus,34.75,11.25,1301:141:3,0.12
Halobatrachus,didactylus,34.75,11.75,1301:141:4,0.07
Halobatrachus,didactylus,34.75,12.25,1301:142:3,0.06
Halobatrachus,didactylus,34.75,12.75,1301:142:4,0.02
Halobatrachus,didactylus,31.25,15.75,1301:215:2,0.06
Halobatrachus,didactylus,31.75,15.25,1301:215:3,0.03
Halobatrachus,didactylus,31.75,15.75,1301:215:4,0.02
Halobatrachus,didactylus,31.25,16.25,1301:216:1,0.03
Halobatrachus,didactylus,35.75,10.75,1301:350:4,0.18
Halobatrachus,didactylus,35.25,11.25,1301:351:1,0.14
Halobatrachus,didactylus,35.25,11.75,1301:351:2,0.08
Halobatrachus,didactylus,35.75,11.25,1301:351:3,0.12
Halobatrachus,didactylus,35.75,11.75,1301:351:4,0.07
Halobatrachus,didactylus,35.25,12.25,1301:352:1,0.07
Halobatrachus,didactylus,35.25,12.75,1301:352:2,0.05
Halobatrachus,didactylus,35.75,12.25,1301:352:3,0.07
Halobatrachus,didactylus,35.75,12.75,1301:352:4,0.06
Halobatrachus,didactylus,35.75,14.25,1301:354:3,0.05
Halobatrachus,didactylus,35.75,14.75,1301:354:4,0.05
Halobatrachus,didactylus,36.25,11.25,1301:361:1,0.08
Halobatrachus,didactylus,36.75,11.25,1301:361:3,0.08
Halobatrachus,didactylus,36.75,11.75,1301:361:4,0.07
Halobatrachus,didactylus,36.75,12.25,1301:362:3,0.07
Halobatrachus,didactylus,36.25,14.25,1301:364:1,0.07
Halobatrachus,didactylus,36.75,14.25,1301:364:3,0.11
Halobatrachus,didactylus,36.75,14.75,1301:364:4,0.06
Halobatrachus,didactylus,37.25,10.75,1301:370:2,0.15
Halobatrachus,didactylus,37.25,11.25,1301:371:1,0.08
Halobatrachus,didactylus,37.25,12.75,1301:372:2,0.03
Halobatrachus,didactylus,37.75,12.25,1301:372:3,0.06
Halobatrachus,didactylus,37.75,12.75,1301:372:4,0.06
Halobatrachus,didactylus,37.25,13.25,1301:373:1,0.08
Halobatrachus,didactylus,37.25,13.75,1301:373:2,0.08
Halobatrachus,didactylus,37.75,13.25,1301:373:3,0.06
