Mapping parameters for Hemigymnus melapterus (Blackeye thicklip)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 |  77 |  81 ,
Bounding Box (NSWE): ,30,-36,24,-138

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,5,30,30
Temperature (°C),1,20.37,24.97,29.25,33.45
Salinity (psu),1,22.8,32.31,35.37,38.86
Primary Production (mgC·m-3·day-1) ,1,0.21,1.22,15.22,97.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,104.01,209.43,287.76
Distance to Land (km),0,1,16,165,727
 

Map data (HSPEC) for predicted occurrences (n = 4599): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Hemigymnus,melapterus,-30.25,-178.25,5317:208:1,0.02
Hemigymnus,melapterus,-29.25,-177.75,5217:497:2,0.11
Hemigymnus,melapterus,-21.25,-159.75,5215:219:2,0.04
Hemigymnus,melapterus,-20.25,-157.25,5215:207:1,0.05
Hemigymnus,melapterus,-22.25,-151.25,5215:121:1,0.04
Hemigymnus,melapterus,-21.75,-154.75,5215:114:4,0.02
Hemigymnus,melapterus,-23.25,-149.25,5214:239:1,0.01
Hemigymnus,melapterus,-23.75,-147.75,5214:237:4,0.01
Hemigymnus,melapterus,-21.75,-140.75,5214:110:4,0.07
Hemigymnus,melapterus,-22.25,-138.75,5213:228:2,0.05
Hemigymnus,melapterus,-21.75,-138.75,5213:218:4,0.06
Hemigymnus,melapterus,-20.75,-139.25,5213:209:3,0.05
Hemigymnus,melapterus,-20.75,-138.75,5213:208:4,0.05
Hemigymnus,melapterus,-20.75,-138.25,5213:208:3,0.03
Hemigymnus,melapterus,-17.75,-174.25,5117:374:3,0.15
Hemigymnus,melapterus,-19.25,-169.75,5116:499:2,0.10
Hemigymnus,melapterus,-18.75,-169.75,5116:489:4,0.08
Hemigymnus,melapterus,-18.25,-163.25,5116:383:1,0.02
Hemigymnus,melapterus,-17.75,-163.25,5116:373:3,0.02
Hemigymnus,melapterus,-14.75,-169.75,5116:249:4,0.10
Hemigymnus,melapterus,-14.25,-169.75,5116:249:2,0.12
Hemigymnus,melapterus,-14.25,-169.25,5116:249:1,0.09
Hemigymnus,melapterus,-19.75,-158.25,5115:498:3,0.06
Hemigymnus,melapterus,-19.25,-158.75,5115:498:2,0.03
Hemigymnus,melapterus,-19.75,-157.75,5115:497:4,0.07
Hemigymnus,melapterus,-18.75,-159.75,5115:489:4,0.06
Hemigymnus,melapterus,-16.75,-154.75,5115:364:4,0.14
Hemigymnus,melapterus,-16.25,-154.75,5115:364:2,0.16
Hemigymnus,melapterus,-16.75,-153.75,5115:363:4,0.17
Hemigymnus,melapterus,-15.75,-154.25,5115:354:3,0.19
Hemigymnus,melapterus,-19.75,-140.25,5114:390:3,0.09
Hemigymnus,melapterus,-19.25,-140.75,5114:390:2,0.19
Hemigymnus,melapterus,-19.25,-139.25,5113:499:1,0.06
Hemigymnus,melapterus,-19.25,-138.75,5113:498:2,0.03
Hemigymnus,melapterus,-34.25,151.25,3315:141:1,0.03
Hemigymnus,melapterus,-33.25,151.75,3315:131:2,0.07
Hemigymnus,melapterus,-33.25,151.25,3315:131:1,0.04
Hemigymnus,melapterus,-32.75,152.25,3315:122:3,0.14
Hemigymnus,melapterus,-32.25,152.25,3315:122:1,0.19
Hemigymnus,melapterus,-32.75,151.75,3315:121:4,0.11
Hemigymnus,melapterus,-32.25,115.75,3311:225:2,0.06
Hemigymnus,melapterus,-32.25,115.25,3311:225:1,0.11
Hemigymnus,melapterus,-31.75,115.75,3311:215:4,0.10
Hemigymnus,melapterus,-31.75,115.25,3311:215:3,0.16
Hemigymnus,melapterus,-31.25,115.75,3311:215:2,0.09
