Mapping parameters for Hemiramphus brasiliensis (Ballyhoo halfbeak)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31 |  34 |  41 |  47,
Bounding Box (NSWE): ,43,-13,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,2,5
Temperature (°C),1,10.91,23.53,27.96,32.16
Salinity (psu),1,29.54,33.88,36.31,37.56
Primary Production,1,188,351,1690,3894
Sea Ice Concentration,1,-1,0,0,0.01
Distance to Land (km),0,1,13,193,851
 

Map data (HSPEC) for predicted occurrences (n = 1282): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Hemiramphus,brasiliensis,2.25,9.75,1000:229:2,0.14
Hemiramphus,brasiliensis,2.75,9.75,1000:229:4,0.14
Hemiramphus,brasiliensis,3.25,8.75,1000:238:2,0.15
Hemiramphus,brasiliensis,3.75,8.25,1000:238:3,0.15
Hemiramphus,brasiliensis,3.25,9.25,1000:239:1,0.04
Hemiramphus,brasiliensis,3.25,9.75,1000:239:2,0.10
Hemiramphus,brasiliensis,3.75,9.25,1000:239:3,0.12
Hemiramphus,brasiliensis,3.75,9.75,1000:239:4,0.11
Hemiramphus,brasiliensis,4.75,7.75,1000:247:4,0.19
Hemiramphus,brasiliensis,4.25,8.25,1000:248:1,0.12
Hemiramphus,brasiliensis,4.25,8.75,1000:248:2,0.15
Hemiramphus,brasiliensis,4.75,8.25,1000:248:3,0.18
Hemiramphus,brasiliensis,4.75,8.75,1000:248:4,0.17
Hemiramphus,brasiliensis,4.25,9.25,1000:249:1,0.16
Hemiramphus,brasiliensis,4.25,9.75,1000:249:2,0.11
Hemiramphus,brasiliensis,3.25,10.25,1001:130:1,0.16
Hemiramphus,brasiliensis,-6.25,12.25,3001:362:1,0.14
