Mapping parameters for Hemiramphus far (Black-barred halfbeak)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  47 |  51 |  57 |  61 |  71 |  77 ,
Bounding Box (NSWE): ,35,-36,18,-157

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,4,6
Temperature (°C),1,16.85,24.37,29.19,33.39
Salinity (psu),1,23.5,31.93,35.37,38.86
Primary Production (mgC·m-3·day-1) ,1,0.25,1.53,25.17,97.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,24.18,136.34,210.94,264.32
Distance to Land (km),0,0,7,78,166
 

Map data (HSPEC) for predicted occurrences (n = 4296): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Hemiramphus,far,26.25,-174.25,7217:364:1,0.15
Hemiramphus,far,-20.25,-157.25,5215:207:1,0.01
Hemiramphus,far,-15.75,-175.75,5117:455:4,0.18
Hemiramphus,far,-18.75,-173.75,5117:383:4,0.19
Hemiramphus,far,-14.25,-176.25,5117:246:1,0.18
Hemiramphus,far,-14.25,-177.75,5117:247:2,0.17
Hemiramphus,far,-14.25,-175.75,5117:245:2,0.18
Hemiramphus,far,-14.25,-170.75,5117:140:2,0.16
Hemiramphus,far,-19.25,-169.75,5116:499:2,0.05
Hemiramphus,far,-18.75,-169.75,5116:489:4,0.03
Hemiramphus,far,-14.75,-169.75,5116:249:4,0.04
Hemiramphus,far,-14.25,-169.75,5116:249:2,0.07
Hemiramphus,far,-14.25,-169.25,5116:249:1,0.04
Hemiramphus,far,-19.75,-158.25,5115:498:3,0.02
Hemiramphus,far,-19.75,-157.75,5115:497:4,0.02
Hemiramphus,far,-18.75,-159.75,5115:489:4,0.02
Hemiramphus,far,-35.75,174.75,3317:354:4,0.11
Hemiramphus,far,-35.75,174.25,3317:354:3,0.08
Hemiramphus,far,-35.25,174.75,3317:354:2,0.17
