Mapping parameters for Heteropriacanthus cruentatus (Glasseye)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  31 |  34 |  41 |  47 |  51 |  57 |  61 |  71 |  77 |  81 |  87 ,
Bounding Box (NSWE): ,34,-32,-180,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,3,3,35,300
Temperature (°C),1,18.12,23.56,28.84,33.04
Salinity (psu),1,21.03,32.82,36.19,39
Primary Production (mgC·m-3·day-1) ,1,-0.55,0.45,19.57,195.85
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.53,93.17,223.02,298.49
Distance to Land (km),0,0,17,227,666
 

Map data (HSPEC) for predicted occurrences (n = 8511): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Heteropriacanthus,cruentatus,33.25,-117.25,7311:237:1,0.10
Heteropriacanthus,cruentatus,32.25,-116.75,7311:226:2,0.01
Heteropriacanthus,cruentatus,30.75,-115.75,7311:205:4,0.16
Heteropriacanthus,cruentatus,30.25,-115.75,7311:205:2,0.03
Heteropriacanthus,cruentatus,30.25,-88.75,7308:208:2,0.04
Heteropriacanthus,cruentatus,32.25,-78.25,7307:228:1,0.16
Heteropriacanthus,cruentatus,32.75,-77.25,7307:227:3,0.18
Heteropriacanthus,cruentatus,32.25,-28.25,7302:228:1,0.06
Heteropriacanthus,cruentatus,32.25,-27.75,7302:227:2,0.06
Heteropriacanthus,cruentatus,31.75,-28.25,7302:218:3,0.05
Heteropriacanthus,cruentatus,31.75,-27.75,7302:217:4,0.07
Heteropriacanthus,cruentatus,30.25,-28.75,7302:208:2,0.02
Heteropriacanthus,cruentatus,30.25,-28.25,7302:208:1,0.02
Heteropriacanthus,cruentatus,33.75,-14.25,7301:134:3,0.09
Heteropriacanthus,cruentatus,31.25,-13.75,7301:113:2,0.17
Heteropriacanthus,cruentatus,31.75,-10.25,7301:110:3,0.10
Heteropriacanthus,cruentatus,31.25,-10.25,7301:110:1,0.04
