Mapping parameters for Hippocampus abdominalis (Big-belly seahorse)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  57 |  71 |  81 ,
Bounding Box (NSWE): ,-24,-50,80,-120

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,50,104
Temperature (°C),1,5.58,11.09,20.23,25
Salinity (psu),1,32.84,34.36,35.70000000000001,37.28
Primary Production,1,0,319,940,1334.5
Sea Ice Concentration,1,0,0,0,0
Distance to Land (km),1,0,0,20,50
 

Map data (HSPEC) for predicted occurrences (n = 365): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Hippocampus,abdominalis,-25.25,-130.25,5213:350:1,0.06,1,0.199161425577,0.898734177215,0.391849529781,1,0.833333333333
Hippocampus,abdominalis,-40.75,176.75,3417:206:4,0.03,1,1,1,1,1,0.0333333333333
Hippocampus,abdominalis,-42.25,174.25,3417:124:1,0.02,1,1,1,0.599493029151,1,0.0333333333333
Hippocampus,abdominalis,-42.75,173.75,3417:123:4,0.03,1,1,1,0.794676806084,1,0.0333333333333
Hippocampus,abdominalis,-41.25,171.75,3417:111:2,0.02,0.814814814815,1,1,0.700887198986,1,0.0333333333333
Hippocampus,abdominalis,-43.75,168.25,3416:238:3,0.07,1,1,1,1,1,0.0666666666667
Hippocampus,abdominalis,-40.75,146.75,3414:206:4,0.03,1,1,1,1,1,0.0333333333333
Hippocampus,abdominalis,-38.75,147.25,3314:487:3,0.03,1,1,1,1,1,0.0333333333333
Hippocampus,abdominalis,-38.75,144.25,3314:384:3,0.03,1,1,1,1,1,0.0333333333333
Hippocampus,abdominalis,-33.25,115.25,3311:235:1,0.03,1,1,0.987341772152,1,1,0.0333333333333
Hippocampus,abdominalis,-26.25,153.25,3215:363:1,0.14,1,0.199161425577,1,0.721003134796,1,1
Hippocampus,abdominalis,-25.75,153.25,3215:353:3,0.14,1,0.150943396226,1,1,1,0.933333333333
Hippocampus,abdominalis,-25.25,153.25,3215:353:1,0.15,1,0.150943396226,1,1,1,1
Hippocampus,abdominalis,-25.75,152.75,3215:352:4,0.05,0.4,0.129979035639,1,1,1,1
Hippocampus,abdominalis,-25.25,152.75,3215:352:2,0.13,1,0.129979035639,1,1,1,1
Hippocampus,abdominalis,-24.75,153.25,3215:143:3,0.08,1,0.0922431865828,1,1,1,0.866666666667
Hippocampus,abdominalis,-24.75,152.25,3215:142:3,0.07,1,0.0733752620545,1,1,1,1
Hippocampus,abdominalis,-24.25,152.25,3215:142:1,0.02,1,0.0733752620545,1,0.33855799373,1,0.833333333333
Hippocampus,abdominalis,-24.25,151.75,3215:141:2,0.09,1,0.0901467505241,1,1,1,1
Hippocampus,abdominalis,-25.25,113.25,3211:353:1,0.19,1,0.262054507338,1,0.865203761755,1,0.833333333333
Hippocampus,abdominalis,-24.75,113.75,3211:143:4,0.18,1,0.176100628931,1,1,1,1
Hippocampus,abdominalis,-24.75,113.25,3211:143:3,0.15,1,0.176100628931,1,1,1,0.833333333333
Hippocampus,abdominalis,-24.25,113.25,3211:143:1,0.15,1,0.176100628931,1,1,1,0.866666666667
Hippocampus,abdominalis,-27.75,-144.25,5214:374:3,0.26,1,0.570230607966,1,0.53605015674,1,0.866666666667
Hippocampus,abdominalis,-27.75,-143.25,5214:373:3,0.26,1,0.559748427673,1,0.526645768025,1,0.866666666667
