Mapping parameters for Hippocampus camelopardalis (Giraffe seahorse)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 47 |  51,
Bounding Box (NSWE): ,-5,-34,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,4,23,45
Temperature (°C),1,22.64,24.57,26.95,31.15
Salinity (psu),1,34.39,34.89,35.24,35.74
Primary Production,1,243,548.6,1530.2,2082
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,5,7.4,38.5999984741211,93
 

Map data (HSPEC) for predicted occurrences (n = 325): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Hippocampus,camelopardalis,-9.75,13.25,3001:393:3,0.15
Hippocampus,camelopardalis,-8.25,60.25,3006:380:1,0.13
Hippocampus,camelopardalis,-9.75,60.25,3006:390:3,0.04
Hippocampus,camelopardalis,-5.25,71.75,3007:351:2,0.18
Hippocampus,camelopardalis,-5.25,72.25,3007:352:1,0.19
Hippocampus,camelopardalis,-5.25,72.75,3007:352:2,0.17
Hippocampus,camelopardalis,-5.75,72.75,3007:352:4,0.19
Hippocampus,camelopardalis,-6.25,71.25,3007:361:1,0.17
Hippocampus,camelopardalis,-6.75,71.25,3007:361:3,0.17
Hippocampus,camelopardalis,-6.75,71.75,3007:361:4,0.15
Hippocampus,camelopardalis,-6.25,72.25,3007:362:1,0.12
Hippocampus,camelopardalis,-6.25,72.75,3007:362:2,0.12
Hippocampus,camelopardalis,-6.75,72.25,3007:362:3,0.14
Hippocampus,camelopardalis,-7.25,71.25,3007:371:1,0.17
Hippocampus,camelopardalis,-7.25,71.75,3007:371:2,0.13
Hippocampus,camelopardalis,-7.25,72.25,3007:372:1,0.12
Hippocampus,camelopardalis,-7.25,72.75,3007:372:2,0.09
Hippocampus,camelopardalis,-10.25,13.75,3101:103:2,0.14
Hippocampus,camelopardalis,-13.75,12.25,3101:132:3,0.02
Hippocampus,camelopardalis,-17.75,36.75,3103:476:4,0.12
Hippocampus,camelopardalis,-18.25,36.75,3103:486:2,0.11
Hippocampus,camelopardalis,-15.75,46.75,3104:456:4,0.13
Hippocampus,camelopardalis,-15.75,47.25,3104:457:3,0.13
Hippocampus,camelopardalis,-16.25,45.75,3104:465:2,0.16
Hippocampus,camelopardalis,-15.25,50.25,3105:350:1,0.18
Hippocampus,camelopardalis,-15.75,50.25,3105:350:3,0.13
Hippocampus,camelopardalis,-15.75,59.25,3105:459:3,0.07
Hippocampus,camelopardalis,-17.25,59.25,3105:479:1,0.04
Hippocampus,camelopardalis,-10.25,60.25,3106:100:1,0.11
Hippocampus,camelopardalis,-10.75,60.25,3106:100:3,0.16
Hippocampus,camelopardalis,-10.25,62.25,3106:102:1,0.18
Hippocampus,camelopardalis,-10.75,62.25,3106:102:3,0.18
Hippocampus,camelopardalis,-11.25,60.75,3106:110:2,0.04
Hippocampus,camelopardalis,-11.75,61.25,3106:111:3,0.07
Hippocampus,camelopardalis,-11.75,61.75,3106:111:4,0.01
Hippocampus,camelopardalis,-11.25,62.25,3106:112:1,0.08
Hippocampus,camelopardalis,-11.75,62.25,3106:112:3,0.02
Hippocampus,camelopardalis,-13.75,61.25,3106:131:3,0.05
Hippocampus,camelopardalis,-15.75,60.25,3106:350:3,0.05
Hippocampus,camelopardalis,-15.25,61.25,3106:351:1,0.13
Hippocampus,camelopardalis,-25.25,35.25,3203:455:1,0.09
Hippocampus,camelopardalis,-21.25,48.75,3204:218:2,0.13
Hippocampus,camelopardalis,-31.25,29.75,3302:219:2,0.19
Hippocampus,camelopardalis,-31.75,29.25,3302:219:3,0.17
Hippocampus,camelopardalis,-31.75,29.75,3302:219:4,0.19
Hippocampus,camelopardalis,-9.75,46.75,3004:496:4,0.39
Hippocampus,camelopardalis,-6.75,52.75,3005:362:4,0.36
Hippocampus,camelopardalis,-9.25,51.25,3005:391:1,0.32
Hippocampus,camelopardalis,-9.75,51.25,3005:391:3,0.37
Hippocampus,camelopardalis,-5.75,56.75,3005:456:4,0.31
Hippocampus,camelopardalis,-6.25,56.25,3005:466:1,0.38
Hippocampus,camelopardalis,-7.25,56.25,3005:476:1,0.37
Hippocampus,camelopardalis,-7.25,56.75,3005:476:2,0.34
Hippocampus,camelopardalis,-7.25,57.25,3005:477:1,0.25
Hippocampus,camelopardalis,-9.75,59.75,3005:499:4,0.24
Hippocampus,camelopardalis,-9.75,61.75,3006:391:4,0.33
Hippocampus,camelopardalis,-5.75,71.75,3007:351:4,0.23
Hippocampus,camelopardalis,-5.75,72.25,3007:352:3,0.25
Hippocampus,camelopardalis,-12.25,13.75,3101:123:2,0.34
Hippocampus,camelopardalis,-12.75,13.25,3101:123:3,0.30
Hippocampus,camelopardalis,-18.75,36.25,3103:486:3,0.32
Hippocampus,camelopardalis,-19.75,35.25,3103:495:3,0.37
Hippocampus,camelopardalis,-11.25,43.25,3104:113:1,0.22
Hippocampus,camelopardalis,-11.75,43.25,3104:113:3,0.26
Hippocampus,camelopardalis,-11.75,43.75,3104:113:4,0.23
Hippocampus,camelopardalis,-10.25,47.75,3104:207:2,0.36
Hippocampus,camelopardalis,-11.25,47.25,3104:217:1,0.27
Hippocampus,camelopardalis,-11.75,49.25,3104:219:3,0.25
Hippocampus,camelopardalis,-14.25,48.25,3104:248:1,0.35
Hippocampus,camelopardalis,-16.25,44.25,3104:364:1,0.24
Hippocampus,camelopardalis,-19.25,44.75,3104:394:2,0.24
Hippocampus,camelopardalis,-19.75,44.75,3104:394:4,0.24
Hippocampus,camelopardalis,-15.75,45.75,3104:455:4,0.34
Hippocampus,camelopardalis,-10.25,51.25,3105:101:1,0.35
Hippocampus,camelopardalis,-13.75,50.25,3105:130:3,0.37
Hippocampus,camelopardalis,-14.25,50.25,3105:140:1,0.31
Hippocampus,camelopardalis,-14.75,50.25,3105:140:3,0.34
Hippocampus,camelopardalis,-10.25,56.75,3105:206:2,0.21
Hippocampus,camelopardalis,-15.25,50.75,3105:350:2,0.32
Hippocampus,camelopardalis,-15.75,50.75,3105:350:4,0.27
Hippocampus,camelopardalis,-16.25,59.25,3105:469:1,0.31
Hippocampus,camelopardalis,-16.75,59.25,3105:469:3,0.25
Hippocampus,camelopardalis,-10.25,61.75,3106:101:2,0.28
Hippocampus,camelopardalis,-15.25,60.25,3106:350:1,0.26
Hippocampus,camelopardalis,-19.75,63.25,3106:393:3,0.32
Hippocampus,camelopardalis,-29.25,32.25,3203:392:1,0.27
Hippocampus,camelopardalis,-26.25,44.75,3204:364:2,0.27
Hippocampus,camelopardalis,-30.25,30.75,3303:100:2,0.39
Hippocampus,camelopardalis,-30.75,30.75,3303:100:4,0.39
Hippocampus,camelopardalis,-31.25,30.25,3303:110:1,0.24
Hippocampus,camelopardalis,-9.25,46.25,3004:496:1,0.44
Hippocampus,camelopardalis,-9.25,46.75,3004:496:2,0.41
Hippocampus,camelopardalis,-9.75,47.75,3004:497:4,0.45
Hippocampus,camelopardalis,-5.75,52.75,3005:352:4,0.53
Hippocampus,camelopardalis,-5.75,53.75,3005:353:4,0.51
Hippocampus,camelopardalis,-6.25,52.75,3005:362:2,0.49
Hippocampus,camelopardalis,-6.25,53.25,3005:363:1,0.55
Hippocampus,camelopardalis,-7.25,52.75,3005:372:2,0.57
Hippocampus,camelopardalis,-9.75,50.75,3005:390:4,0.46
Hippocampus,camelopardalis,-5.25,55.75,3005:455:2,0.51
Hippocampus,camelopardalis,-5.75,55.25,3005:455:3,0.57
Hippocampus,camelopardalis,-5.25,56.25,3005:456:1,0.45
Hippocampus,camelopardalis,-5.75,56.25,3005:456:3,0.41
Hippocampus,camelopardalis,-18.75,35.75,3103:485:4,0.54
Hippocampus,camelopardalis,-18.75,36.75,3103:486:4,0.54
Hippocampus,camelopardalis,-19.25,35.25,3103:495:1,0.54
Hippocampus,camelopardalis,-12.25,40.25,3104:120:1,0.44
Hippocampus,camelopardalis,-12.25,43.75,3104:123:2,0.59
Hippocampus,camelopardalis,-12.25,44.25,3104:124:1,0.50
Hippocampus,camelopardalis,-12.25,44.75,3104:124:2,0.53
Hippocampus,camelopardalis,-11.75,47.25,3104:217:3,0.43
Hippocampus,camelopardalis,-13.75,47.75,3104:237:4,0.51
Hippocampus,camelopardalis,-13.75,48.25,3104:238:3,0.51
Hippocampus,camelopardalis,-14.25,47.75,3104:247:2,0.49
Hippocampus,camelopardalis,-14.75,47.25,3104:247:3,0.52
Hippocampus,camelopardalis,-14.75,47.75,3104:247:4,0.42
Hippocampus,camelopardalis,-17.25,43.25,3104:373:1,0.48
Hippocampus,camelopardalis,-19.25,44.25,3104:394:1,0.58
Hippocampus,camelopardalis,-15.25,46.25,3104:456:1,0.51
Hippocampus,camelopardalis,-15.25,46.75,3104:456:2,0.51
Hippocampus,camelopardalis,-15.25,47.25,3104:457:1,0.53
Hippocampus,camelopardalis,-15.25,47.75,3104:457:2,0.46
Hippocampus,camelopardalis,-16.75,49.75,3104:469:4,0.59
Hippocampus,camelopardalis,-17.75,49.25,3104:479:3,0.55
Hippocampus,camelopardalis,-19.75,49.25,3104:499:3,0.45
Hippocampus,camelopardalis,-13.25,50.25,3105:130:1,0.51
Hippocampus,camelopardalis,-17.25,50.25,3105:370:1,0.48
Hippocampus,camelopardalis,-16.75,59.75,3105:469:4,0.48
Hippocampus,camelopardalis,-20.25,35.25,3203:205:1,0.57
Hippocampus,camelopardalis,-20.75,35.25,3203:205:3,0.51
Hippocampus,camelopardalis,-29.75,30.75,3203:390:4,0.43
Hippocampus,camelopardalis,-29.25,31.25,3203:391:1,0.54
Hippocampus,camelopardalis,-29.25,31.75,3203:391:2,0.54
Hippocampus,camelopardalis,-29.75,31.25,3203:391:3,0.54
Hippocampus,camelopardalis,-21.75,43.75,3204:113:4,0.50
Hippocampus,camelopardalis,-22.75,43.75,3204:123:4,0.45
Hippocampus,camelopardalis,-30.75,30.25,3303:100:3,0.41
Hippocampus,camelopardalis,-9.25,12.75,3001:392:2,0.63
Hippocampus,camelopardalis,-5.25,38.75,3003:458:2,0.65
Hippocampus,camelopardalis,-5.25,39.75,3003:459:2,0.69
Hippocampus,camelopardalis,-5.75,39.25,3003:459:3,0.74
Hippocampus,camelopardalis,-6.25,39.25,3003:469:1,0.61
Hippocampus,camelopardalis,-8.75,39.75,3003:489:4,0.79
Hippocampus,camelopardalis,-9.25,39.75,3003:499:2,0.79
Hippocampus,camelopardalis,-5.25,53.25,3005:353:1,0.65
Hippocampus,camelopardalis,-5.75,53.25,3005:353:3,0.67
Hippocampus,camelopardalis,-10.75,13.75,3101:103:4,0.69
Hippocampus,camelopardalis,-12.75,12.75,3101:122:4,0.76
Hippocampus,camelopardalis,-12.25,13.25,3101:123:1,0.76
Hippocampus,camelopardalis,-19.25,35.75,3103:495:2,0.72
Hippocampus,camelopardalis,-12.25,46.75,3104:226:2,0.63
Hippocampus,camelopardalis,-12.25,47.75,3104:227:2,0.61
Hippocampus,camelopardalis,-12.75,47.75,3104:227:4,0.60
Hippocampus,camelopardalis,-12.25,48.25,3104:228:1,0.79
Hippocampus,camelopardalis,-12.25,49.25,3104:229:1,0.72
Hippocampus,camelopardalis,-12.25,49.75,3104:229:2,0.73
Hippocampus,camelopardalis,-13.25,45.25,3104:235:1,0.61
Hippocampus,camelopardalis,-13.25,48.25,3104:238:1,0.76
Hippocampus,camelopardalis,-13.25,48.75,3104:238:2,0.76
