Mapping parameters for Hippocampus subelongatus (West Australian seahorse)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,3,14,25
Temperature (°C),1,17.99,19.56,22.15,24.09
Salinity (psu),1,34.98,35.48,35.74,36.24
Primary Production,1,64.75,195.8,589.8,850.75
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,12.6,13.6,108.199996948242,161
 

Map data (HSPEC) for predicted occurrences (n = 107): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Hippocampus,subelongatus,-24.75,112.75,3211:142:4,0.01
Hippocampus,subelongatus,-25.25,112.75,3211:352:2,0.10
Hippocampus,subelongatus,-25.75,112.75,3211:352:4,0.14
Hippocampus,subelongatus,-25.25,113.25,3211:353:1,0.15
Hippocampus,subelongatus,-25.25,113.75,3211:353:2,0.15
Hippocampus,subelongatus,-25.75,113.25,3211:353:3,0.15
Hippocampus,subelongatus,-25.75,113.75,3211:353:4,0.15
Hippocampus,subelongatus,-25.75,114.25,3211:354:3,0.03
Hippocampus,subelongatus,-28.25,113.25,3211:383:1,0.13
Hippocampus,subelongatus,-34.75,117.75,3311:247:4,0.14
Hippocampus,subelongatus,-34.25,119.25,3311:249:1,0.18
Hippocampus,subelongatus,-34.25,119.75,3311:249:2,0.17
Hippocampus,subelongatus,-34.75,119.25,3311:249:3,0.19
Hippocampus,subelongatus,-34.75,119.75,3311:249:4,0.18
Hippocampus,subelongatus,-35.25,115.75,3311:455:2,0.19
Hippocampus,subelongatus,-31.75,128.25,3312:218:3,0.12
Hippocampus,subelongatus,-31.75,128.75,3312:218:4,0.12
Hippocampus,subelongatus,-32.75,124.25,3312:124:3,0.13
Hippocampus,subelongatus,-32.75,124.75,3312:124:4,0.13
Hippocampus,subelongatus,-33.75,121.25,3312:131:3,0.09
Hippocampus,subelongatus,-33.75,121.75,3312:131:4,0.09
