Mapping parameters for Hippoglossoides elassodon (Flathead sole)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61 |  67 |  77,
Bounding Box (NSWE): ,51,29,97,-90

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,133,454,1050
Temperature (°C),1,5.85,9.36,12.33,19.06
Salinity (psu),1,16.88,25.51,32.87,34.15
Primary Production (mgC·m-3·day-1) ,1,4.23,10.75,62.74,75.44
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,16.57,65.72,297.01,300.81
Distance to Land (km),0,1,2,106,515
 

Map data (HSPEC) for predicted occurrences (n = 486): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Hippoglossoides,elassodon,50.75,-143.25,7514:103:3,0.05
Hippoglossoides,elassodon,50.75,-130.75,7513:100:4,0.01
Hippoglossoides,elassodon,50.75,-125.75,7512:205:4,0.01
Hippoglossoides,elassodon,50.75,-125.25,7512:205:3,0.01
Hippoglossoides,elassodon,50.75,-124.75,7512:104:4,0.01
Hippoglossoides,elassodon,50.25,-124.25,7512:104:1,0.01
Hippoglossoides,elassodon,50.25,-123.75,7512:103:2,0.01
Hippoglossoides,elassodon,49.75,-132.75,7413:392:4,0.01
Hippoglossoides,elassodon,48.25,-132.75,7413:382:2,0.01
Hippoglossoides,elassodon,49.75,-126.25,7412:496:3,0.01
Hippoglossoides,elassodon,49.25,-125.25,7412:495:1,0.02
Hippoglossoides,elassodon,49.75,-123.25,7412:393:3,0.01
Hippoglossoides,elassodon,49.25,-122.75,7412:392:2,0.17
Hippoglossoides,elassodon,47.75,-123.25,7412:373:3,0.01
Hippoglossoides,elassodon,47.25,-122.75,7412:372:2,0.01
Hippoglossoides,elassodon,46.25,-123.25,7412:363:1,0.01
Hippoglossoides,elassodon,43.75,-125.25,7412:235:3,0.03
Hippoglossoides,elassodon,43.25,-125.25,7412:235:1,0.04
Hippoglossoides,elassodon,39.75,-124.75,7312:394:4,0.14
Hippoglossoides,elassodon,35.75,-122.25,7312:352:3,0.14
Hippoglossoides,elassodon,34.75,-120.25,7312:140:3,0.07
Hippoglossoides,elassodon,33.75,-120.75,7312:130:4,0.11
Hippoglossoides,elassodon,33.25,-120.75,7312:130:2,0.02
Hippoglossoides,elassodon,32.75,-120.25,7312:120:3,0.05
Hippoglossoides,elassodon,34.25,-118.25,7311:248:1,0.02
Hippoglossoides,elassodon,33.75,-118.75,7311:238:4,0.17
Hippoglossoides,elassodon,33.75,-118.25,7311:238:3,0.16
Hippoglossoides,elassodon,33.25,-118.75,7311:238:2,0.17
Hippoglossoides,elassodon,33.25,-118.25,7311:238:1,0.13
Hippoglossoides,elassodon,33.75,-117.75,7311:237:4,0.08
Hippoglossoides,elassodon,33.25,-117.75,7311:237:2,0.12
