Mapping parameters for Holacanthus bermudensis (Angelfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  31 ,
Bounding Box (NSWE): ,35,18,-100,-64

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,2,5,25,92
Temperature (°C),1,20.37,23.46,27.48,31.68
Salinity (psu),1,26,34.03,36.23,37
Primary Production (mgC·m-3·day-1) ,1,-0.52,0.48,11.74,43.27
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,132.7,162.41,222.87,263.74
Distance to Land (km),0,1,14,159,464
 

Map data (HSPEC) for predicted occurrences (n = 613): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Holacanthus,bermudensis,30.75,-86.25,7308:206:3,0.15
Holacanthus,bermudensis,34.75,-77.25,7307:247:3,0.16
Holacanthus,bermudensis,29.75,-94.75,7209:394:4,0.01
Holacanthus,bermudensis,29.25,-94.75,7209:394:2,0.08
Holacanthus,bermudensis,29.75,-91.25,7209:391:3,0.06
Holacanthus,bermudensis,29.25,-90.75,7209:390:2,0.19
Holacanthus,bermudensis,29.25,-90.25,7209:390:1,0.06
Holacanthus,bermudensis,27.75,-93.25,7209:373:3,0.13
Holacanthus,bermudensis,22.75,-97.25,7209:227:3,0.03
Holacanthus,bermudensis,29.25,-89.25,7208:499:1,0.02
Holacanthus,bermudensis,29.25,-88.75,7208:498:2,0.09
Holacanthus,bermudensis,28.75,-88.75,7208:488:4,0.18
Holacanthus,bermudensis,26.75,-84.25,7208:364:3,0.18
Holacanthus,bermudensis,23.25,-89.25,7208:239:1,0.07
Holacanthus,bermudensis,23.75,-87.25,7208:237:3,0.16
Holacanthus,bermudensis,26.25,-79.75,7207:469:2,0.19
Holacanthus,bermudensis,30.25,-87.75,7308:207:2,0.36
Holacanthus,bermudensis,30.75,-86.75,7308:206:4,0.25
Holacanthus,bermudensis,34.25,-77.75,7307:247:2,0.24
Holacanthus,bermudensis,34.75,-76.75,7307:246:4,0.36
Holacanthus,bermudensis,33.75,-79.25,7307:239:3,0.22
Holacanthus,bermudensis,32.25,-65.25,7306:225:1,0.25
Holacanthus,bermudensis,29.25,-95.25,7209:495:1,0.39
Holacanthus,bermudensis,29.75,-94.25,7209:394:3,0.23
Holacanthus,bermudensis,29.75,-93.75,7209:393:4,0.38
Holacanthus,bermudensis,29.75,-93.25,7209:393:3,0.37
Holacanthus,bermudensis,29.75,-92.75,7209:392:4,0.35
Holacanthus,bermudensis,29.75,-92.25,7209:392:3,0.36
Holacanthus,bermudensis,29.75,-91.75,7209:391:4,0.30
Holacanthus,bermudensis,27.75,-94.75,7209:374:4,0.22
Holacanthus,bermudensis,27.75,-94.25,7209:374:3,0.24
Holacanthus,bermudensis,27.75,-93.75,7209:373:4,0.22
Holacanthus,bermudensis,22.75,-97.75,7209:227:4,0.32
Holacanthus,bermudensis,21.75,-97.75,7209:217:4,0.35
Holacanthus,bermudensis,28.75,-89.25,7208:489:3,0.24
Holacanthus,bermudensis,28.25,-89.75,7208:489:2,0.28
Holacanthus,bermudensis,26.25,-84.25,7208:364:1,0.30
Holacanthus,bermudensis,21.25,-87.25,7208:217:1,0.33
Holacanthus,bermudensis,24.25,-83.25,7208:143:1,0.34
Holacanthus,bermudensis,27.25,-77.25,7207:477:1,0.38
Holacanthus,bermudensis,25.25,-78.75,7207:458:2,0.34
Holacanthus,bermudensis,25.25,-78.25,7207:458:1,0.39
Holacanthus,bermudensis,24.75,-78.75,7207:248:4,0.23
Holacanthus,bermudensis,24.75,-78.25,7207:248:3,0.28
Holacanthus,bermudensis,24.25,-78.75,7207:248:2,0.33
Holacanthus,bermudensis,24.25,-78.25,7207:248:1,0.31
Holacanthus,bermudensis,23.25,-77.75,7207:237:2,0.37
Holacanthus,bermudensis,20.75,-70.25,7207:100:3,0.35
Holacanthus,bermudensis,20.25,-68.75,7206:208:2,0.21
Holacanthus,bermudensis,19.75,-92.75,7109:392:4,0.31
Holacanthus,bermudensis,18.75,-75.75,7107:485:4,0.32
Holacanthus,bermudensis,18.75,-67.75,7106:487:4,0.31
Holacanthus,bermudensis,32.75,-80.25,7308:120:3,0.48
Holacanthus,bermudensis,31.75,-81.25,7308:111:3,0.49
Holacanthus,bermudensis,31.25,-81.25,7308:111:1,0.49
Holacanthus,bermudensis,34.25,-77.25,7307:247:1,0.52
Holacanthus,bermudensis,33.25,-79.25,7307:239:1,0.54
Holacanthus,bermudensis,33.75,-78.75,7307:238:4,0.40
Holacanthus,bermudensis,33.75,-78.25,7307:238:3,0.41
Holacanthus,bermudensis,33.25,-76.75,7307:236:2,0.40
Holacanthus,bermudensis,27.25,-96.25,7209:476:1,0.40
Holacanthus,bermudensis,27.75,-95.25,7209:475:3,0.52
Holacanthus,bermudensis,26.75,-96.25,7209:466:3,0.42
Holacanthus,bermudensis,29.25,-92.25,7209:392:1,0.59
Holacanthus,bermudensis,29.25,-91.75,7209:391:2,0.50
Holacanthus,bermudensis,29.25,-91.25,7209:391:1,0.41
Holacanthus,bermudensis,28.75,-90.25,7209:380:3,0.44
Holacanthus,bermudensis,29.75,-88.25,7208:498:3,0.41
Holacanthus,bermudensis,29.75,-86.75,7208:496:4,0.53
Holacanthus,bermudensis,28.75,-89.75,7208:489:4,0.44
Holacanthus,bermudensis,27.25,-84.25,7208:374:1,0.55
Holacanthus,bermudensis,26.25,-83.75,7208:363:2,0.43
Holacanthus,bermudensis,25.25,-84.25,7208:354:1,0.45
Holacanthus,bermudensis,25.75,-83.75,7208:353:4,0.42
Holacanthus,bermudensis,23.75,-88.25,7208:238:3,0.57
Holacanthus,bermudensis,24.75,-80.25,7208:140:3,0.59
Holacanthus,bermudensis,22.25,-81.25,7208:121:1,0.59
Holacanthus,bermudensis,21.75,-84.75,7208:114:4,0.57
Holacanthus,bermudensis,21.75,-84.25,7208:114:3,0.55
Holacanthus,bermudensis,21.75,-83.75,7208:113:4,0.55
Holacanthus,bermudensis,21.75,-83.25,7208:113:3,0.58
Holacanthus,bermudensis,21.25,-82.75,7208:112:2,0.54
Holacanthus,bermudensis,21.75,-80.75,7208:110:4,0.54
Holacanthus,bermudensis,21.75,-80.25,7208:110:3,0.54
Holacanthus,bermudensis,28.75,-79.75,7207:489:4,0.52
Holacanthus,bermudensis,28.25,-79.75,7207:489:2,0.58
Holacanthus,bermudensis,26.25,-76.75,7207:466:2,0.55
Holacanthus,bermudensis,25.75,-78.75,7207:458:4,0.56
Holacanthus,bermudensis,25.25,-77.75,7207:457:2,0.48
Holacanthus,bermudensis,25.25,-77.25,7207:457:1,0.53
Holacanthus,bermudensis,25.75,-76.75,7207:456:4,0.57
Holacanthus,bermudensis,25.25,-76.25,7207:456:1,0.59
Holacanthus,bermudensis,24.75,-77.75,7207:247:4,0.41
Holacanthus,bermudensis,24.75,-77.25,7207:247:3,0.53
Holacanthus,bermudensis,24.25,-77.75,7207:247:2,0.45
Holacanthus,bermudensis,24.25,-77.25,7207:247:1,0.46
Holacanthus,bermudensis,24.75,-76.75,7207:246:4,0.49
Holacanthus,bermudensis,24.75,-76.25,7207:246:3,0.52
Holacanthus,bermudensis,24.25,-76.25,7207:246:1,0.55
Holacanthus,bermudensis,24.75,-75.75,7207:245:4,0.52
Holacanthus,bermudensis,24.25,-75.75,7207:245:2,0.58
Holacanthus,bermudensis,24.25,-75.25,7207:245:1,0.59
Holacanthus,bermudensis,23.75,-78.75,7207:238:4,0.51
Holacanthus,bermudensis,23.75,-78.25,7207:238:3,0.53
