Mapping parameters for Hydrolagus homonycteris (Black ghostshark)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  81,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,866,936,1126,1447
Temperature (°C),1,0.62,1.12,12.18,17.21
Salinity (psu),1,33.83,34.33,35.33,35.83
Primary Production,1,21,367,828,1061
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,17,62,457,654.5
 

Map data (HSPEC) for predicted occurrences (n = 1970): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Hydrolagus,homonycteris,-2.25,98.75,3009:228:2,0.03
Hydrolagus,homonycteris,-3.25,99.75,3009:239:2,0.05
Hydrolagus,homonycteris,-6.75,103.25,3010:363:3,0.19
Hydrolagus,homonycteris,-6.75,104.25,3010:364:3,0.12
Hydrolagus,homonycteris,-8.75,116.25,3011:486:3,0.09
Hydrolagus,homonycteris,-9.25,115.25,3011:495:1,0.04
Hydrolagus,homonycteris,-14.25,88.75,3108:248:2,0.01
Hydrolagus,homonycteris,-19.75,88.25,3108:498:3,0.06
Hydrolagus,homonycteris,-17.75,113.75,3111:373:4,0.05
Hydrolagus,homonycteris,-18.25,113.75,3111:383:2,0.08
Hydrolagus,homonycteris,-18.25,114.25,3111:384:1,0.17
Hydrolagus,homonycteris,-19.25,114.75,3111:394:2,0.14
Hydrolagus,homonycteris,-17.75,115.75,3111:475:4,0.14
Hydrolagus,homonycteris,-17.75,117.25,3111:477:3,0.03
Hydrolagus,homonycteris,-12.75,120.75,3112:120:4,0.12
Hydrolagus,homonycteris,-14.25,120.75,3112:140:2,0.11
Hydrolagus,homonycteris,-25.25,87.75,3208:457:2,0.03
Hydrolagus,homonycteris,-25.75,88.25,3208:458:3,0.17
Hydrolagus,homonycteris,-26.25,87.25,3208:467:1,0.15
Hydrolagus,homonycteris,-26.75,87.25,3208:467:3,0.19
Hydrolagus,homonycteris,-28.25,86.25,3208:486:1,0.18
