Mapping parameters for Hyperoglyphe japonica (Pacific barrelfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 61 |  77,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,150,331,740,1537
Temperature (°C),1,13.03,14.52,25.41,29.61
Salinity (psu),1,32.06,33.75,35.16,36.28
Primary Production,1,191,289,751,1105.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,4,11,1105,1426
 

Map data (HSPEC) for predicted occurrences (n = 1914): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Hyperoglyphe,japonica,-26.75,-71.25,5207:361:3,0.15
Hyperoglyphe,japonica,15.25,108.75,1110:458:2,0.15
Hyperoglyphe,japonica,16.75,108.25,1110:468:3,0.09
Hyperoglyphe,japonica,16.75,108.75,1110:468:4,0.08
Hyperoglyphe,japonica,16.75,109.25,1110:469:3,0.15
Hyperoglyphe,japonica,17.75,106.75,1110:476:4,0.01
Hyperoglyphe,japonica,17.25,107.25,1110:477:1,0.04
Hyperoglyphe,japonica,17.25,107.75,1110:477:2,0.05
Hyperoglyphe,japonica,17.75,107.25,1110:477:3,0.06
Hyperoglyphe,japonica,17.75,107.75,1110:477:4,0.04
Hyperoglyphe,japonica,17.25,108.25,1110:478:1,0.10
Hyperoglyphe,japonica,17.75,109.25,1110:479:3,0.12
Hyperoglyphe,japonica,17.75,109.75,1110:479:4,0.10
Hyperoglyphe,japonica,18.25,106.75,1110:486:2,0.03
Hyperoglyphe,japonica,18.75,106.25,1110:486:3,0.01
Hyperoglyphe,japonica,18.75,106.75,1110:486:4,0.09
Hyperoglyphe,japonica,18.25,107.25,1110:487:1,0.15
Hyperoglyphe,japonica,18.75,107.75,1110:487:4,0.16
Hyperoglyphe,japonica,18.75,108.25,1110:488:3,0.07
Hyperoglyphe,japonica,19.25,107.25,1110:497:1,0.16
Hyperoglyphe,japonica,19.25,107.75,1110:497:2,0.18
Hyperoglyphe,japonica,19.75,107.25,1110:497:3,0.11
Hyperoglyphe,japonica,19.75,107.75,1110:497:4,0.15
Hyperoglyphe,japonica,19.25,108.25,1110:498:1,0.07
Hyperoglyphe,japonica,19.75,108.25,1110:498:3,0.13
Hyperoglyphe,japonica,17.75,112.25,1111:372:3,0.17
Hyperoglyphe,japonica,19.75,112.25,1111:392:3,0.09
Hyperoglyphe,japonica,20.25,108.25,1210:208:1,0.08
Hyperoglyphe,japonica,20.75,109.25,1210:209:3,0.01
Hyperoglyphe,japonica,20.25,113.25,1211:103:1,0.09
Hyperoglyphe,japonica,20.75,114.75,1211:104:4,0.03
Hyperoglyphe,japonica,20.25,117.75,1211:207:2,0.08
Hyperoglyphe,japonica,20.75,118.25,1211:208:3,0.06
Hyperoglyphe,japonica,21.75,115.75,1211:215:4,0.03
Hyperoglyphe,japonica,22.75,117.75,1211:227:4,0.04
Hyperoglyphe,japonica,23.25,118.25,1211:238:1,0.05
Hyperoglyphe,japonica,23.25,119.75,1211:239:2,0.16
Hyperoglyphe,japonica,20.25,120.75,1212:100:2,0.03
Hyperoglyphe,japonica,20.25,121.25,1212:101:1,0.13
Hyperoglyphe,japonica,20.25,122.25,1212:102:1,0.10
Hyperoglyphe,japonica,23.75,123.75,1212:133:4,0.17
Hyperoglyphe,japonica,23.75,126.25,1212:236:3,0.06
Hyperoglyphe,japonica,25.25,121.75,1212:351:2,0.19
Hyperoglyphe,japonica,25.75,121.25,1212:351:3,0.04
Hyperoglyphe,japonica,25.75,121.75,1212:351:4,0.06
Hyperoglyphe,japonica,25.25,123.75,1212:353:2,0.10
