Mapping parameters for Hyporhamphus meeki (American halfbeak)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,2,13,25
Temperature (°C),1,7.51,12.66,26.67,30.87
Salinity (psu),1,31.65,32.43,36.27,38.24
Primary Production,1,224,490,1547,2297.5
Sea Ice Concentration,1,-1,0,0,0.08
Distance to Land (km),0,1,7,118,146
 

Map data (HSPEC) for predicted occurrences (n = 986): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Hyporhamphus,meeki,4.25,-51.75,7005:141:2,0.03
Hyporhamphus,meeki,5.25,-51.25,7005:351:1,0.08
Hyporhamphus,meeki,5.75,-53.25,7005:353:3,0.09
Hyporhamphus,meeki,6.75,-58.75,7005:468:4,0.16
Hyporhamphus,meeki,7.25,-56.25,7005:476:1,0.07
Hyporhamphus,meeki,7.25,-56.75,7005:476:2,0.10
Hyporhamphus,meeki,7.25,-58.75,7005:478:2,0.19
Hyporhamphus,meeki,8.25,-58.75,7005:488:2,0.15
Hyporhamphus,meeki,9.75,-60.25,7006:390:3,0.01
Hyporhamphus,meeki,9.75,-61.75,7006:391:4,0.15
Hyporhamphus,meeki,8.25,-76.75,7007:486:2,0.10
Hyporhamphus,meeki,8.75,-76.75,7007:486:4,0.17
Hyporhamphus,meeki,17.25,-63.75,7106:373:2,0.04
Hyporhamphus,meeki,18.25,-65.25,7106:485:1,0.19
Hyporhamphus,meeki,18.75,-68.25,7106:488:3,0.17
Hyporhamphus,meeki,19.25,-68.75,7106:498:2,0.11
Hyporhamphus,meeki,10.25,-71.75,7107:101:2,0.03
Hyporhamphus,meeki,18.75,-73.25,7107:383:3,0.18
Hyporhamphus,meeki,18.25,-74.75,7107:384:2,0.19
Hyporhamphus,meeki,18.75,-74.25,7107:384:3,0.18
Hyporhamphus,meeki,19.75,-71.25,7107:391:3,0.16
Hyporhamphus,meeki,19.75,-73.25,7107:393:3,0.12
Hyporhamphus,meeki,19.75,-74.75,7107:394:4,0.10
Hyporhamphus,meeki,17.25,-77.25,7107:477:1,0.11
Hyporhamphus,meeki,18.25,-76.25,7107:486:1,0.17
Hyporhamphus,meeki,18.75,-77.25,7107:487:3,0.10
Hyporhamphus,meeki,18.75,-77.75,7107:487:4,0.10
Hyporhamphus,meeki,18.75,-78.25,7107:488:3,0.11
Hyporhamphus,meeki,19.75,-75.25,7107:495:3,0.10
