Mapping parameters for Isurus oxyrinchus (Shortfin mako)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 |  31 |  34 |  37 |  41 |  47 |  51 |  57 |  61 |  67 |  71 |  77 |  81 |  87 ,
Bounding Box (NSWE): ,61,-56,-180,180

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,100,150,740
Temperature (°C),1,0.62,1.12,14.22,28.2
Salinity (psu),1,28.8864,34.426,35.426,39.1
Primary Production,1,119,274,662,2521
Sea Ice Concentration,1,-1,0,0,0.02
Distance to Land (km),0,1,24,454,1239
 

Map data (HSPEC) for predicted occurrences (n = 13903): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Isurus,oxyrinchus,0.25,9.25,1000:209:1,0.15,0.95,0.332618025751,1,0.482517482517,1,1
Isurus,oxyrinchus,0.25,9.75,1000:209:2,0.04,1,0.101573676681,0.718661997256,0.607853684777,1,1
Isurus,oxyrinchus,0.75,9.75,1000:209:4,0.07,0.94,0.17095851216,0.909361686764,0.47283485745,1,1
Isurus,oxyrinchus,1.25,9.75,1000:219:2,0.02,1,0.0572246065808,0.57031193588,0.485207100592,1,1
Isurus,oxyrinchus,3.25,6.75,1000:236:2,0.05,0.0576271186441,1,1,0.856374394836,1,1
Isurus,oxyrinchus,3.25,7.25,1000:237:1,0.10,0.122033898305,1,1,0.786982248521,1,1
Isurus,oxyrinchus,3.25,9.75,1000:239:2,0.01,1,0.577968526466,0.905089820359,0.0193652501345,1,1
Isurus,oxyrinchus,3.75,9.25,1000:239:3,0.14,1,0.829756795422,0.930266739249,0.186659494352,1,1
Isurus,oxyrinchus,4.25,5.75,1000:245:2,0.01,1,0.0171673819742,0.75983825547,0.950511027434,1,1
Isurus,oxyrinchus,4.75,5.75,1000:245:4,0.08,0.7,0.133762517883,1,0.84238838085,1,1
Isurus,oxyrinchus,4.25,6.25,1000:246:1,0.01,1,0.0264663805436,0.624268900282,0.768692845616,1,1
Isurus,oxyrinchus,4.25,6.75,1000:246:2,0.03,0.94,0.0515021459227,0.838742869521,0.725121032813,1,1
Isurus,oxyrinchus,4.25,7.25,1000:247:1,0.13,1,0.218168812589,1,0.606777837547,1,1
Isurus,oxyrinchus,4.25,7.75,1000:247:2,0.12,1,0.218168812589,1,0.540613232921,1,1
Isurus,oxyrinchus,4.75,7.75,1000:247:4,0.12,1,0.592989985694,0.925939031029,0.222700376547,1,1
Isurus,oxyrinchus,4.25,8.25,1000:248:1,0.05,1,0.218168812589,1,0.222700376547,1,1
Isurus,oxyrinchus,4.25,8.75,1000:248:2,0.03,1,0.832618025751,0.928170930866,0.0398063474987,1,1
Isurus,oxyrinchus,4.25,9.25,1000:249:1,0.08,1,0.92417739628,0.967038649973,0.0871436256052,1,1
Isurus,oxyrinchus,6.25,4.75,1000:364:2,0.08,1,0.162374821173,1,0.523399677246,1,1
Isurus,oxyrinchus,5.75,5.25,1000:455:3,0.08,1,0.162374821173,1,0.49058633674,1,1
Isurus,oxyrinchus,0.25,42.75,1004:102:2,0.10,1,0.109442060086,1,0.91124260355,1,1
Isurus,oxyrinchus,0.75,43.25,1004:103:3,0.04,0.39,0.105150214592,1,0.934373318989,1,1
Isurus,oxyrinchus,2.25,45.25,1004:225:1,0.08,0.85,0.103719599428,1,0.925228617536,1,1
Isurus,oxyrinchus,4.25,47.75,1004:247:2,0.09,1,0.179542203147,0.985846488841,0.49058633674,1,1
Isurus,oxyrinchus,5.25,48.25,1004:458:1,0.09,1,0.1330472103,1,0.713286713287,1,1
