Mapping parameters for Joturus pichardi (Bobo mullet)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 31,
Bounding Box (NSWE): ,30,7,-112,-65

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,11,16,20
Temperature (°C),1,25.28,26.27,28.26,32.46
Salinity (psu),1,30.87,33.14,36.15,36.92
Primary Production (mgC·m-3·day-1) ,1,-0.71,0.29,22,43.27
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,122.46,153.16,210.97,249.44
Distance to Land (km),0,2,3,25,85
 

Map data (HSPEC) for predicted occurrences (n = 563): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Joturus,pichardi,25.75,-96.75,7209:456:4,0.14
Joturus,pichardi,28.25,-91.75,7209:381:2,0.02
Joturus,pichardi,26.75,-83.25,7208:363:3,0.10
Joturus,pichardi,24.75,-78.75,7207:248:4,0.13
Joturus,pichardi,24.75,-78.25,7207:248:3,0.18
Joturus,pichardi,10.75,-71.75,7107:101:4,0.08
Joturus,pichardi,10.25,-71.75,7107:101:2,0.12
Joturus,pichardi,9.75,-71.75,7007:391:4,0.12
Joturus,pichardi,9.75,-71.25,7007:391:3,0.09
Joturus,pichardi,9.25,-71.75,7007:391:2,0.13
Joturus,pichardi,9.25,-71.25,7007:391:1,0.10
Joturus,pichardi,24.75,-97.25,7209:247:3,0.37
Joturus,pichardi,23.75,-97.75,7209:237:4,0.38
Joturus,pichardi,22.75,-97.75,7209:227:4,0.31
Joturus,pichardi,28.25,-80.25,7208:380:1,0.31
Joturus,pichardi,27.75,-80.25,7208:370:3,0.33
Joturus,pichardi,26.25,-82.75,7208:362:2,0.28
Joturus,pichardi,26.25,-82.25,7208:362:1,0.23
Joturus,pichardi,22.25,-88.25,7208:228:1,0.21
Joturus,pichardi,25.25,-78.75,7207:458:2,0.24
Joturus,pichardi,25.25,-78.25,7207:458:1,0.29
Joturus,pichardi,24.25,-78.75,7207:248:2,0.23
Joturus,pichardi,24.25,-78.25,7207:248:1,0.21
Joturus,pichardi,20.75,-70.75,7207:100:4,0.21
Joturus,pichardi,18.75,-88.25,7108:488:3,0.27
Joturus,pichardi,10.75,-74.25,7107:104:3,0.35
Joturus,pichardi,10.75,-71.25,7107:101:3,0.36
Joturus,pichardi,10.25,-71.25,7107:101:1,0.29
Joturus,pichardi,9.75,-72.25,7007:392:3,0.23
Joturus,pichardi,23.75,-97.25,7209:237:3,0.50
Joturus,pichardi,21.75,-97.75,7209:217:4,0.43
Joturus,pichardi,28.75,-80.25,7208:380:3,0.43
Joturus,pichardi,26.25,-83.25,7208:363:1,0.45
Joturus,pichardi,26.25,-81.75,7208:361:2,0.44
Joturus,pichardi,25.75,-82.25,7208:352:3,0.53
Joturus,pichardi,22.25,-87.25,7208:227:1,0.48
Joturus,pichardi,22.25,-86.75,7208:226:2,0.50
Joturus,pichardi,21.75,-88.75,7208:218:4,0.58
Joturus,pichardi,21.75,-88.25,7208:218:3,0.57
Joturus,pichardi,26.75,-77.75,7207:467:4,0.55
Joturus,pichardi,26.75,-77.25,7207:467:3,0.59
Joturus,pichardi,26.25,-76.75,7207:466:2,0.59
Joturus,pichardi,25.75,-78.75,7207:458:4,0.46
Joturus,pichardi,25.25,-77.75,7207:457:2,0.50
Joturus,pichardi,25.25,-77.25,7207:457:1,0.51
Joturus,pichardi,25.25,-76.75,7207:456:2,0.51
