Mapping parameters for Kyphosus sectatrix (Bermuda sea chub)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 |  31 |  34 |  37 |  41 |  47 ,
Bounding Box (NSWE): ,46,-29,-98,16

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,1,10,30
Temperature (°C),1,10.37,21.59,28.03,32.23
Salinity (psu),1,21.03,33.77,36.42,38.11
Primary Production (mgC·m-3·day-1) ,1,-0.55,0.45,16.56,64.6
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,49.63,170.03,247.95,298.58
Distance to Land (km),0,0,12,485,1009
 

Map data (HSPEC) for predicted occurrences (n = 1957): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Kyphosus,sectatrix,43.25,-70.25,7407:130:1,0.04
Kyphosus,sectatrix,42.75,-70.75,7407:120:4,0.05
Kyphosus,sectatrix,42.25,-70.75,7407:120:2,0.07
Kyphosus,sectatrix,42.25,-70.25,7407:120:1,0.09
Kyphosus,sectatrix,41.25,-72.75,7407:112:2,0.07
Kyphosus,sectatrix,41.25,-72.25,7407:112:1,0.11
Kyphosus,sectatrix,41.75,-71.25,7407:111:3,0.16
Kyphosus,sectatrix,41.25,-71.75,7407:111:2,0.15
Kyphosus,sectatrix,41.25,-71.25,7407:111:1,0.17
Kyphosus,sectatrix,41.75,-70.75,7407:110:4,0.13
Kyphosus,sectatrix,41.75,-70.25,7407:110:3,0.11
Kyphosus,sectatrix,41.25,-70.75,7407:110:2,0.15
Kyphosus,sectatrix,41.25,-70.25,7407:110:1,0.11
Kyphosus,sectatrix,40.25,-73.25,7407:103:1,0.10
Kyphosus,sectatrix,40.75,-71.75,7407:101:4,0.10
Kyphosus,sectatrix,40.75,-70.25,7407:100:3,0.08
Kyphosus,sectatrix,42.25,-69.75,7406:229:2,0.11
Kyphosus,sectatrix,41.75,-69.75,7406:219:4,0.09
Kyphosus,sectatrix,41.25,-69.75,7406:219:2,0.08
Kyphosus,sectatrix,41.25,-69.25,7406:219:1,0.05
Kyphosus,sectatrix,41.75,-68.25,7406:218:3,0.06
Kyphosus,sectatrix,41.25,-68.25,7406:218:1,0.03
Kyphosus,sectatrix,41.75,-67.75,7406:217:4,0.05
Kyphosus,sectatrix,41.75,-66.25,7406:216:3,0.04
Kyphosus,sectatrix,41.25,-66.75,7406:216:2,0.09
Kyphosus,sectatrix,40.75,-69.75,7406:209:4,0.09
Kyphosus,sectatrix,40.75,-69.25,7406:209:3,0.03
Kyphosus,sectatrix,42.75,-62.75,7406:122:4,0.09
Kyphosus,sectatrix,43.75,-52.25,7405:132:3,0.02
Kyphosus,sectatrix,42.25,-9.25,7400:229:1,0.09
Kyphosus,sectatrix,30.75,-88.25,7308:208:3,0.19
Kyphosus,sectatrix,30.25,-88.75,7308:208:2,0.02
Kyphosus,sectatrix,30.75,-80.25,7308:100:3,0.10
Kyphosus,sectatrix,39.75,-76.25,7307:496:3,0.02
Kyphosus,sectatrix,39.25,-76.25,7307:496:1,0.02
Kyphosus,sectatrix,39.75,-75.75,7307:495:4,0.05
Kyphosus,sectatrix,39.75,-75.25,7307:495:3,0.09
Kyphosus,sectatrix,39.25,-75.75,7307:495:2,0.05
Kyphosus,sectatrix,39.25,-75.25,7307:495:1,0.06
Kyphosus,sectatrix,38.25,-77.25,7307:487:1,0.01
Kyphosus,sectatrix,38.75,-76.25,7307:486:3,0.01
Kyphosus,sectatrix,38.75,-75.75,7307:485:4,0.09
Kyphosus,sectatrix,38.25,-75.75,7307:485:2,0.15
Kyphosus,sectatrix,37.75,-76.75,7307:476:4,0.03
Kyphosus,sectatrix,37.75,-76.25,7307:476:3,0.04
Kyphosus,sectatrix,37.25,-76.75,7307:476:2,0.12
Kyphosus,sectatrix,37.25,-76.25,7307:476:1,0.15
Kyphosus,sectatrix,39.25,-74.75,7307:394:2,0.18
Kyphosus,sectatrix,39.75,-73.25,7307:393:3,0.04
Kyphosus,sectatrix,39.25,-73.75,7307:393:2,0.11
Kyphosus,sectatrix,37.25,-74.75,7307:374:2,0.06
Kyphosus,sectatrix,36.25,-74.75,7307:364:2,0.04
Kyphosus,sectatrix,31.75,-79.75,7307:219:4,0.15
Kyphosus,sectatrix,26.75,-96.75,7209:466:4,0.05
Kyphosus,sectatrix,29.75,-90.25,7209:390:3,0.11
Kyphosus,sectatrix,28.25,-94.75,7209:384:2,0.15
Kyphosus,sectatrix,22.25,-97.25,7209:227:1,0.10
Kyphosus,sectatrix,29.75,-89.75,7208:499:4,0.05
Kyphosus,sectatrix,29.75,-89.25,7208:499:3,0.02
Kyphosus,sectatrix,29.25,-89.75,7208:499:2,0.19
Kyphosus,sectatrix,29.75,-88.75,7208:498:4,0.17
Kyphosus,sectatrix,25.75,-83.25,7208:353:3,0.05
Kyphosus,sectatrix,22.75,-16.75,7201:226:4,0.02
Kyphosus,sectatrix,16.25,-79.25,7107:469:1,0.10
Kyphosus,sectatrix,12.75,-71.25,7107:121:3,0.10
Kyphosus,sectatrix,11.25,-64.75,7106:114:2,0.05
Kyphosus,sectatrix,19.75,-16.25,7101:496:3,0.11
Kyphosus,sectatrix,16.75,-16.75,7101:466:4,0.14
Kyphosus,sectatrix,16.75,-16.25,7101:466:3,0.01
Kyphosus,sectatrix,16.25,-16.75,7101:466:2,0.10
Kyphosus,sectatrix,16.25,-16.25,7101:466:1,0.09
Kyphosus,sectatrix,15.75,-16.75,7101:456:4,0.19
Kyphosus,sectatrix,15.75,-16.25,7101:456:3,0.17
Kyphosus,sectatrix,9.75,-60.25,7006:390:3,0.18
Kyphosus,sectatrix,9.75,-59.75,7005:499:4,0.19
Kyphosus,sectatrix,6.75,-56.75,7005:466:4,0.09
Kyphosus,sectatrix,4.75,-51.75,7005:141:4,0.17
Kyphosus,sectatrix,4.75,-51.25,7005:141:3,0.16
Kyphosus,sectatrix,4.25,-51.75,7005:141:2,0.07
Kyphosus,sectatrix,3.75,-50.75,7005:130:4,0.01
Kyphosus,sectatrix,3.25,-50.25,7005:130:1,0.12
Kyphosus,sectatrix,2.75,-49.75,7004:229:4,0.11
Kyphosus,sectatrix,2.25,-49.25,7004:229:1,0.13
Kyphosus,sectatrix,2.25,-48.25,7004:228:1,0.08
Kyphosus,sectatrix,7.75,-14.25,7001:374:3,0.05
Kyphosus,sectatrix,4.75,-6.25,7000:246:3,0.14
Kyphosus,sectatrix,-24.75,-45.75,5204:245:4,0.15
Kyphosus,sectatrix,-1.75,-48.75,5004:218:4,0.01
Kyphosus,sectatrix,-1.75,-48.25,5004:218:3,0.07
Kyphosus,sectatrix,-1.25,-48.75,5004:218:2,0.03
Kyphosus,sectatrix,-1.25,-48.25,5004:218:1,0.07
Kyphosus,sectatrix,-0.75,-48.75,5004:208:4,0.03
Kyphosus,sectatrix,-0.75,-48.25,5004:208:3,0.08
Kyphosus,sectatrix,-0.25,-48.75,5004:208:2,0.03
Kyphosus,sectatrix,-7.75,-34.25,5003:374:3,0.09
Kyphosus,sectatrix,-18.25,11.75,3101:381:2,0.12
Kyphosus,sectatrix,-17.75,11.75,3101:371:4,0.07
Kyphosus,sectatrix,-15.25,12.25,3101:352:1,0.08
Kyphosus,sectatrix,-15.75,11.75,3101:351:4,0.10
Kyphosus,sectatrix,-14.75,12.25,3101:142:3,0.19
Kyphosus,sectatrix,-12.75,13.25,3101:123:3,0.15
Kyphosus,sectatrix,-12.25,13.75,3101:123:2,0.03
Kyphosus,sectatrix,-11.75,13.75,3101:113:4,0.01
Kyphosus,sectatrix,-11.25,13.75,3101:113:2,0.02
Kyphosus,sectatrix,-10.75,13.75,3101:103:4,0.12
Kyphosus,sectatrix,-6.75,12.25,3001:362:3,0.04
Kyphosus,sectatrix,45.75,12.25,1401:352:3,0.14
Kyphosus,sectatrix,43.75,15.25,1401:235:3,0.08
Kyphosus,sectatrix,43.25,15.25,1401:235:1,0.05
Kyphosus,sectatrix,42.75,15.75,1401:225:4,0.03
Kyphosus,sectatrix,42.75,15.25,1401:225:3,0.09
Kyphosus,sectatrix,42.25,15.75,1401:225:2,0.13
Kyphosus,sectatrix,41.75,15.75,1401:215:4,0.10
Kyphosus,sectatrix,41.75,15.25,1401:215:3,0.16
Kyphosus,sectatrix,40.25,15.75,1401:205:2,0.04
Kyphosus,sectatrix,40.25,15.25,1401:205:1,0.09
Kyphosus,sectatrix,43.25,14.25,1401:134:1,0.11
Kyphosus,sectatrix,43.75,10.25,1401:130:3,0.04
Kyphosus,sectatrix,43.25,10.25,1401:130:1,0.04
Kyphosus,sectatrix,42.25,11.25,1401:121:1,0.07
Kyphosus,sectatrix,42.75,10.75,1401:120:4,0.05
Kyphosus,sectatrix,42.75,10.25,1401:120:3,0.03
Kyphosus,sectatrix,42.25,10.75,1401:120:2,0.05
Kyphosus,sectatrix,42.25,10.25,1401:120:1,0.04
Kyphosus,sectatrix,41.25,13.75,1401:113:2,0.10
Kyphosus,sectatrix,41.25,13.25,1401:113:1,0.12
Kyphosus,sectatrix,40.75,14.75,1401:104:4,0.12
Kyphosus,sectatrix,40.75,14.25,1401:104:3,0.10
Kyphosus,sectatrix,40.25,14.75,1401:104:2,0.11
Kyphosus,sectatrix,40.75,13.75,1401:103:4,0.10
Kyphosus,sectatrix,40.75,13.25,1401:103:3,0.10
Kyphosus,sectatrix,40.75,12.75,1401:102:4,0.11
Kyphosus,sectatrix,44.25,9.25,1400:249:1,0.01
Kyphosus,sectatrix,44.25,8.25,1400:248:1,0.06
Kyphosus,sectatrix,43.25,9.75,1400:239:2,0.03
Kyphosus,sectatrix,43.25,9.25,1400:239:1,0.03
Kyphosus,sectatrix,43.75,6.75,1400:236:4,0.10
Kyphosus,sectatrix,43.25,6.25,1400:236:1,0.06
Kyphosus,sectatrix,43.25,5.75,1400:235:2,0.11
Kyphosus,sectatrix,43.25,5.25,1400:235:1,0.16
Kyphosus,sectatrix,42.75,9.75,1400:229:4,0.03
Kyphosus,sectatrix,42.75,9.25,1400:229:3,0.04
Kyphosus,sectatrix,42.25,9.75,1400:229:2,0.03
Kyphosus,sectatrix,42.25,9.25,1400:229:1,0.06
Kyphosus,sectatrix,42.75,8.75,1400:228:4,0.06
Kyphosus,sectatrix,42.25,8.75,1400:228:2,0.09
Kyphosus,sectatrix,41.75,9.25,1400:219:3,0.08
Kyphosus,sectatrix,41.25,9.75,1400:219:2,0.06
Kyphosus,sectatrix,41.25,9.25,1400:219:1,0.09
Kyphosus,sectatrix,41.75,8.75,1400:218:4,0.11
Kyphosus,sectatrix,41.25,8.75,1400:218:2,0.12
Kyphosus,sectatrix,41.25,8.25,1400:218:1,0.15
Kyphosus,sectatrix,40.75,9.75,1400:209:4,0.06
Kyphosus,sectatrix,40.25,9.75,1400:209:2,0.09
Kyphosus,sectatrix,40.75,8.75,1400:208:4,0.14
Kyphosus,sectatrix,40.75,8.25,1400:208:3,0.18
Kyphosus,sectatrix,40.25,8.75,1400:208:2,0.17
Kyphosus,sectatrix,42.75,3.25,1400:123:3,0.19
Kyphosus,sectatrix,42.25,3.25,1400:123:1,0.13
Kyphosus,sectatrix,41.75,3.25,1400:113:3,0.12
Kyphosus,sectatrix,41.75,2.75,1400:112:4,0.13
Kyphosus,sectatrix,41.25,2.25,1400:112:1,0.17
Kyphosus,sectatrix,41.25,1.75,1400:111:2,0.19
Kyphosus,sectatrix,40.25,0.75,1400:100:2,0.19
Kyphosus,sectatrix,39.75,15.75,1301:495:4,0.11
Kyphosus,sectatrix,39.75,15.25,1301:495:3,0.05
Kyphosus,sectatrix,38.75,15.75,1301:485:4,0.12
Kyphosus,sectatrix,38.75,15.25,1301:485:3,0.13
Kyphosus,sectatrix,38.25,15.25,1301:485:1,0.10
Kyphosus,sectatrix,38.75,14.75,1301:384:4,0.14
Kyphosus,sectatrix,38.75,14.25,1301:384:3,0.15
Kyphosus,sectatrix,38.25,14.75,1301:384:2,0.14
Kyphosus,sectatrix,38.25,14.25,1301:384:1,0.16
Kyphosus,sectatrix,38.25,13.75,1301:383:2,0.18
Kyphosus,sectatrix,37.25,14.25,1301:374:1,0.19
Kyphosus,sectatrix,36.75,14.75,1301:364:4,0.15
Kyphosus,sectatrix,36.25,11.25,1301:361:1,0.18
Kyphosus,sectatrix,35.75,14.75,1301:354:4,0.19
Kyphosus,sectatrix,35.75,11.75,1301:351:4,0.11
Kyphosus,sectatrix,31.75,15.75,1301:215:4,0.06
Kyphosus,sectatrix,31.75,15.25,1301:215:3,0.11
Kyphosus,sectatrix,31.25,15.75,1301:215:2,0.19
Kyphosus,sectatrix,34.75,12.25,1301:142:3,0.12
Kyphosus,sectatrix,34.25,11.25,1301:141:1,0.08
Kyphosus,sectatrix,34.75,10.25,1301:140:3,0.11
Kyphosus,sectatrix,34.25,10.75,1301:140:2,0.08
Kyphosus,sectatrix,33.25,12.75,1301:132:2,0.01
Kyphosus,sectatrix,33.25,12.25,1301:132:1,0.16
Kyphosus,sectatrix,33.75,11.75,1301:131:4,0.06
Kyphosus,sectatrix,33.75,11.25,1301:131:3,0.17
Kyphosus,sectatrix,33.25,11.75,1301:131:2,0.18
Kyphosus,sectatrix,33.25,11.25,1301:131:1,0.18
Kyphosus,sectatrix,33.75,10.75,1301:130:4,0.09
Kyphosus,sectatrix,32.75,14.25,1301:124:3,0.01
Kyphosus,sectatrix,32.25,14.75,1301:124:2,0.05
Kyphosus,sectatrix,32.75,13.75,1301:123:4,0.08
Kyphosus,sectatrix,32.75,13.25,1301:123:3,0.12
Kyphosus,sectatrix,32.75,12.75,1301:122:4,0.16
Kyphosus,sectatrix,32.75,12.25,1301:122:3,0.19
Kyphosus,sectatrix,39.75,9.75,1300:499:4,0.13
Kyphosus,sectatrix,39.25,9.75,1300:499:2,0.18
Kyphosus,sectatrix,39.25,9.25,1300:499:1,0.18
Kyphosus,sectatrix,39.75,8.75,1300:498:4,0.19
Kyphosus,sectatrix,37.75,9.25,1300:479:3,0.07
Kyphosus,sectatrix,39.25,0.25,1300:390:1,0.07
Kyphosus,sectatrix,3.25,10.25,1001:130:1,0.16
Kyphosus,sectatrix,5.25,4.75,1000:354:2,0.08
Kyphosus,sectatrix,3.75,9.75,1000:239:4,0.16
Kyphosus,sectatrix,3.75,9.25,1000:239:3,0.16
Kyphosus,sectatrix,3.25,9.75,1000:239:2,0.11
Kyphosus,sectatrix,2.75,9.75,1000:229:4,0.15
Kyphosus,sectatrix,2.25,9.75,1000:229:2,0.15
Kyphosus,sectatrix,40.75,-73.25,7407:103:3,0.21
Kyphosus,sectatrix,40.25,-73.75,7407:103:2,0.25
Kyphosus,sectatrix,40.75,-72.75,7407:102:4,0.23
Kyphosus,sectatrix,40.75,-72.25,7407:102:3,0.23
Kyphosus,sectatrix,45.75,-1.25,7400:351:3,0.39
Kyphosus,sectatrix,45.25,-1.25,7400:351:1,0.32
Kyphosus,sectatrix,42.25,-8.75,7400:228:2,0.39
Kyphosus,sectatrix,41.75,-8.75,7400:218:4,0.36
Kyphosus,sectatrix,41.25,-8.75,7400:218:2,0.30
Kyphosus,sectatrix,40.75,-8.75,7400:208:4,0.38
Kyphosus,sectatrix,30.25,-93.75,7309:103:2,0.35
Kyphosus,sectatrix,30.25,-88.25,7308:208:1,0.37
Kyphosus,sectatrix,30.75,-87.75,7308:207:4,0.30
Kyphosus,sectatrix,31.25,-80.25,7308:110:1,0.25
Kyphosus,sectatrix,30.25,-80.25,7308:100:1,0.30
