Mapping parameters for Larimichthys polyactis (Yellow croaker)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61,
Bounding Box (NSWE): ,41,22,117,141

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,15,26,67,120
Temperature (°C),1,5.11,13.27,24.73,25.23
Salinity (psu),1,13.61,26.26,33.67,38.03
Primary Production (mgC·m-3·day-1) ,1,2.89,3.89,39.6,131.74
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,116.92,190.03,288.46,364.76
Distance to Land (km),0,3,12,326,358
 

Map data (HSPEC) for predicted occurrences (n = 570): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Larimichthys,polyactis,23.25,119.25,1211:239:1,0.16
Larimichthys,polyactis,23.75,119.75,1211:239:4,0.02
Larimichthys,polyactis,24.25,120.75,1212:140:2,0.14
Larimichthys,polyactis,26.75,123.75,1212:363:4,0.16
Larimichthys,polyactis,29.25,122.25,1212:392:1,0.18
Larimichthys,polyactis,26.75,127.25,1212:467:3,0.01
Larimichthys,polyactis,29.25,127.25,1212:497:1,0.07
Larimichthys,polyactis,30.75,121.25,1312:101:3,0.12
Larimichthys,polyactis,30.75,121.75,1312:101:4,0.08
Larimichthys,polyactis,31.25,122.25,1312:112:1,0.05
Larimichthys,polyactis,32.25,121.25,1312:121:1,0.04
Larimichthys,polyactis,32.25,121.75,1312:121:2,0.11
Larimichthys,polyactis,33.75,120.25,1312:130:3,0.08
Larimichthys,polyactis,30.25,127.75,1312:207:2,0.08
Larimichthys,polyactis,31.75,127.75,1312:217:4,0.17
Larimichthys,polyactis,32.25,127.25,1312:227:1,0.18
Larimichthys,polyactis,33.25,128.25,1312:238:1,0.02
Larimichthys,polyactis,35.75,121.75,1312:351:4,0.13
Larimichthys,polyactis,37.25,123.25,1312:373:1,0.12
Larimichthys,polyactis,37.75,123.25,1312:373:3,0.19
Larimichthys,polyactis,38.75,122.25,1312:382:3,0.09
Larimichthys,polyactis,38.25,123.75,1312:383:2,0.09
Larimichthys,polyactis,32.25,132.25,1313:122:1,0.08
Larimichthys,polyactis,38.75,138.25,1313:488:3,0.09
Larimichthys,polyactis,22.75,118.25,1211:228:3,0.29
Larimichthys,polyactis,25.25,118.75,1211:458:2,0.27
Larimichthys,polyactis,25.75,122.25,1212:352:3,0.24
Larimichthys,polyactis,29.25,126.75,1212:496:2,0.37
Larimichthys,polyactis,29.25,129.75,1212:499:2,0.34
Larimichthys,polyactis,29.75,129.75,1212:499:4,0.30
Larimichthys,polyactis,30.25,120.75,1312:100:2,0.23
