Mapping parameters for Nuchequula nuchalis (Spotnape ponyfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,5,21,40
Temperature (°C),1,13.45,14.18,26.32,30.52
Salinity (psu),1,32.45,33.54,34.54,35.23
Primary Production,1,98,483,1385,1514
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,2,3,24,97
 

Map data (HSPEC) for predicted occurrences (n = 443): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Nuchequula,nuchalis,19.25,108.75,1110:498:2,0.19
Nuchequula,nuchalis,19.75,108.75,1110:498:4,0.19
Nuchequula,nuchalis,19.75,109.25,1110:499:3,0.19
Nuchequula,nuchalis,19.75,109.75,1110:499:4,0.10
Nuchequula,nuchalis,19.75,111.75,1111:391:4,0.16
Nuchequula,nuchalis,20.75,108.25,1210:208:3,0.19
Nuchequula,nuchalis,20.75,109.25,1210:209:3,0.19
Nuchequula,nuchalis,20.75,109.75,1210:209:4,0.19
Nuchequula,nuchalis,21.25,108.25,1210:218:1,0.19
Nuchequula,nuchalis,21.25,108.75,1210:218:2,0.19
Nuchequula,nuchalis,21.75,108.25,1210:218:3,0.19
Nuchequula,nuchalis,21.75,108.75,1210:218:4,0.19
Nuchequula,nuchalis,21.25,109.25,1210:219:1,0.19
Nuchequula,nuchalis,21.25,109.75,1210:219:2,0.19
Nuchequula,nuchalis,21.75,109.25,1210:219:3,0.19
Nuchequula,nuchalis,21.75,109.75,1210:219:4,0.19
Nuchequula,nuchalis,20.25,110.25,1211:100:1,0.05
Nuchequula,nuchalis,20.75,111.25,1211:101:3,0.18
Nuchequula,nuchalis,20.75,114.25,1211:104:3,0.05
Nuchequula,nuchalis,20.75,114.75,1211:104:4,0.05
Nuchequula,nuchalis,22.25,116.75,1211:226:2,0.11
Nuchequula,nuchalis,24.25,122.75,1212:142:2,0.15
Nuchequula,nuchalis,26.25,121.25,1212:361:1,0.05
Nuchequula,nuchalis,29.75,123.25,1212:393:3,0.08
Nuchequula,nuchalis,29.75,123.75,1212:393:4,0.05
Nuchequula,nuchalis,29.75,124.25,1212:394:3,0.04
Nuchequula,nuchalis,20.25,136.25,1213:206:1,0.14
Nuchequula,nuchalis,20.75,144.75,1214:104:4,0.08
Nuchequula,nuchalis,24.25,141.75,1214:141:2,0.15
Nuchequula,nuchalis,24.75,141.25,1214:141:3,0.18
Nuchequula,nuchalis,25.25,141.25,1214:351:1,0.19
Nuchequula,nuchalis,24.25,154.25,1215:144:1,0.07
Nuchequula,nuchalis,23.75,157.25,1215:237:3,0.06
Nuchequula,nuchalis,34.25,125.75,1312:245:2,0.10
Nuchequula,nuchalis,35.75,125.75,1312:455:4,0.14
Nuchequula,nuchalis,35.75,126.75,1312:456:4,0.17
Nuchequula,nuchalis,39.25,128.25,1312:498:1,0.05
Nuchequula,nuchalis,39.75,128.25,1312:498:3,0.05
Nuchequula,nuchalis,28.25,-177.25,7217:487:1,0.02
Nuchequula,nuchalis,28.25,-178.25,7217:488:1,0.01
Nuchequula,nuchalis,15.75,113.75,1111:353:4,0.21
Nuchequula,nuchalis,15.75,114.25,1111:354:3,0.28
Nuchequula,nuchalis,16.25,112.75,1111:362:2,0.34
Nuchequula,nuchalis,16.75,112.75,1111:362:4,0.37
Nuchequula,nuchalis,16.25,114.25,1111:364:1,0.31
Nuchequula,nuchalis,20.25,111.75,1211:101:2,0.37
Nuchequula,nuchalis,20.25,114.75,1211:104:2,0.21
Nuchequula,nuchalis,20.25,121.75,1212:101:2,0.27
Nuchequula,nuchalis,20.75,121.75,1212:101:4,0.36
Nuchequula,nuchalis,20.25,122.25,1212:102:1,0.22
Nuchequula,nuchalis,20.75,122.25,1212:102:3,0.31
Nuchequula,nuchalis,21.25,121.75,1212:111:2,0.36
Nuchequula,nuchalis,24.75,131.25,1213:141:3,0.26
Nuchequula,nuchalis,25.75,131.25,1213:351:3,0.31
Nuchequula,nuchalis,26.75,142.25,1214:362:3,0.28
Nuchequula,nuchalis,27.25,140.75,1214:370:2,0.31
Nuchequula,nuchalis,27.25,142.25,1214:372:1,0.34
Nuchequula,nuchalis,27.75,142.25,1214:372:3,0.38
Nuchequula,nuchalis,33.75,125.25,1312:235:3,0.25
Nuchequula,nuchalis,33.25,126.25,1312:236:1,0.25
Nuchequula,nuchalis,33.75,126.25,1312:236:3,0.25
Nuchequula,nuchalis,34.25,125.25,1312:245:1,0.29
Nuchequula,nuchalis,34.75,125.25,1312:245:3,0.30
Nuchequula,nuchalis,34.25,126.25,1312:246:1,0.33
