Mapping parameters for Lethrinus erythropterus (Longfin emperor)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 ,
Bounding Box (NSWE): ,25,-25,32,-173

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,2,4,14,25
Temperature (°C),1,24.17,27.75,29.24,33.44
Salinity (psu),1,31.94,33.09,34.75,35.975
Primary Production,1,250,267,966,1687
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,8,17,166,514
 

Map data (HSPEC) for predicted occurrences (n = 2901): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Lethrinus,erythropterus,3.25,46.75,1004:236:2,0.15,1,0.79050279329609,0.51836734693877,0.37586685159501,1,1
Lethrinus,erythropterus,3.75,47.25,1004:237:3,0.12,1,0.78491620111732,0.48571428571428,0.30929264909847,1,1
Lethrinus,erythropterus,4.25,47.75,1004:247:2,0.04,1,0.79329608938548,0.44489795918367,0.10818307905687,1,1
Lethrinus,erythropterus,6.75,49.25,1004:469:3,0.14,1,0.75698324022346,0.41224489795919,0.46463245492372,1,1
Lethrinus,erythropterus,7.25,49.25,1004:479:1,0.08,1,0.73184357541899,0.33877551020408,0.32316227461859,1,1
Lethrinus,erythropterus,7.25,49.75,1004:479:2,0.08,1,0.73184357541899,0.33877551020408,0.30929264909847,1,1
Lethrinus,erythropterus,7.75,49.75,1004:479:4,0.07,1,0.73184357541899,0.33877551020408,0.28848821081831,1,1
Lethrinus,erythropterus,8.25,49.75,1004:489:2,0.05,1,0.75977653631285,0.33877551020408,0.20943134535368,1,1
Lethrinus,erythropterus,7.75,50.25,1005:370:3,0.10,1,0.75977653631285,0.33877551020408,0.37586685159501,1,1
Lethrinus,erythropterus,8.25,50.25,1005:380:1,0.06,1,0.74581005586592,0.33877551020408,0.23162274618585,1,1
Lethrinus,erythropterus,8.75,50.25,1005:380:3,0.07,1,0.74581005586592,0.31428571428571,0.2995839112344,1,1
Lethrinus,erythropterus,9.75,50.75,1005:390:4,0.12,1,0.75698324022346,0.6734693877551,0.22607489597781,1,1
Lethrinus,erythropterus,9.25,76.25,1007:496:1,0.02,1,1,1,0.019417475728155,1,1
Lethrinus,erythropterus,9.25,79.25,1007:499:1,0.11,1,1,1,0.11095700416089,1,1
Lethrinus,erythropterus,0.25,99.25,1009:209:1,0.14,1,0.98333333333333,1,0.14701803051318,1,1
Lethrinus,erythropterus,0.75,99.25,1009:209:3,0.17,1,0.98333333333333,1,0.17753120665742,1,1
Lethrinus,erythropterus,6.25,99.25,1009:469:1,0.04,1,0.99285714285714,0.052173913043477,0.76144244105409,1,1
Lethrinus,erythropterus,6.75,99.25,1009:469:3,0.03,1,0.99285714285714,0.052173913043477,0.64632454923717,1,1
Lethrinus,erythropterus,6.75,99.75,1009:469:4,0.05,1,0.99285714285714,0.052173913043477,1,1,1
Lethrinus,erythropterus,8.75,99.75,1009:489:4,0.09,1,1,0.086956521739128,1,1,1
