Mapping parameters for Lichia amia (Leerfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  34 |  37 |  47 |  51,
Bounding Box (NSWE): ,47,-28,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,8.93,17.68,27.62,31.82
Salinity (psu),1,17.66,29.2,38.21,39.25
Primary Production (mgC·m-3·day-1) ,1,-0.38,0.62,59.83,110.84
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,23.91,142.78,249.33,306.31
Distance to Land (km),0,0.5,7,59,144
 

Map data (HSPEC) for predicted occurrences (n = 2250): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lichia,amia,4.75,4.75,1000:144:4,0.07
Lichia,amia,4.75,6.75,1000:246:4,0.15
Lichia,amia,4.75,7.25,1000:247:3,0.14
Lichia,amia,6.75,3.75,1000:363:4,0.19
Lichia,amia,5.25,5.75,1000:455:2,0.16
Lichia,amia,5.75,5.75,1000:455:4,0.16
Lichia,amia,3.25,10.25,1001:130:1,0.09
Lichia,amia,14.75,41.75,1104:141:4,0.16
Lichia,amia,13.75,48.75,1104:238:4,0.07
Lichia,amia,18.75,73.25,1107:383:3,0.19
Lichia,amia,29.25,35.25,1203:495:1,0.12
Lichia,amia,28.75,49.75,1204:489:4,0.14
Lichia,amia,24.25,54.75,1205:144:2,0.18
Lichia,amia,26.75,52.25,1205:362:3,0.14
Lichia,amia,28.75,50.25,1205:380:3,0.15
Lichia,amia,35.25,27.25,1302:457:1,0.13
Lichia,amia,35.75,27.25,1302:457:3,0.11
Lichia,amia,35.75,27.75,1302:457:4,0.05
Lichia,amia,36.75,26.75,1302:466:4,0.15
Lichia,amia,36.25,27.25,1302:467:1,0.10
Lichia,amia,36.25,27.75,1302:467:2,0.05
Lichia,amia,36.75,27.25,1302:467:3,0.06
Lichia,amia,36.75,27.75,1302:467:4,0.03
Lichia,amia,36.25,28.25,1302:468:1,0.02
Lichia,amia,36.75,28.25,1302:468:3,0.02
Lichia,amia,36.75,28.75,1302:468:4,0.03
Lichia,amia,36.25,29.25,1302:469:1,0.02
Lichia,amia,36.25,29.75,1302:469:2,0.01
Lichia,amia,37.25,26.75,1302:476:2,0.16
Lichia,amia,37.25,27.25,1302:477:1,0.13
Lichia,amia,31.75,33.25,1303:113:3,0.08
Lichia,amia,34.75,32.25,1303:142:3,0.02
Lichia,amia,34.75,32.75,1303:142:4,0.03
Lichia,amia,34.75,33.25,1303:143:3,0.04
Lichia,amia,34.75,33.75,1303:143:4,0.04
Lichia,amia,34.75,34.25,1303:144:3,0.05
Lichia,amia,34.75,35.75,1303:245:4,0.13
Lichia,amia,35.25,33.25,1303:353:1,0.03
Lichia,amia,35.25,33.75,1303:353:2,0.04
Lichia,amia,35.25,34.25,1303:354:1,0.03
Lichia,amia,35.75,34.25,1303:354:3,0.04
Lichia,amia,35.75,34.75,1303:354:4,0.05
Lichia,amia,36.25,30.25,1303:360:1,0.01
Lichia,amia,36.25,30.75,1303:360:2,0.01
Lichia,amia,36.75,30.75,1303:360:4,0.04
Lichia,amia,36.75,31.25,1303:361:3,0.03
Lichia,amia,36.25,32.25,1303:362:1,0.03
Lichia,amia,36.25,32.75,1303:362:2,0.10
Lichia,amia,36.25,33.25,1303:363:1,0.11
Lichia,amia,36.25,33.75,1303:363:2,0.06
Lichia,amia,36.25,34.25,1303:364:1,0.06
Lichia,amia,36.75,34.75,1303:364:4,0.12
Lichia,amia,35.25,35.75,1303:455:2,0.12
Lichia,amia,35.75,35.75,1303:455:4,0.15
Lichia,amia,36.25,35.25,1303:465:1,0.01
Lichia,amia,41.75,11.75,1401:111:4,0.08
Lichia,amia,43.25,14.75,1401:134:2,0.04
Lichia,amia,44.75,13.25,1401:143:3,0.04
Lichia,amia,45.75,12.25,1401:352:3,0.19
Lichia,amia,41.25,28.75,1402:218:2,0.16
Lichia,amia,41.75,28.25,1402:218:3,0.04
Lichia,amia,41.25,29.25,1402:219:1,0.09
Lichia,amia,41.25,29.75,1402:219:2,0.08
Lichia,amia,42.25,27.25,1402:227:1,0.04
Lichia,amia,42.25,27.75,1402:227:2,0.02
Lichia,amia,42.75,27.75,1402:227:4,0.01
Lichia,amia,42.25,28.25,1402:228:1,0.04
Lichia,amia,42.75,28.25,1402:228:3,0.02
Lichia,amia,43.25,27.75,1402:237:2,0.01
Lichia,amia,43.25,28.75,1402:238:2,0.02
Lichia,amia,43.75,29.75,1402:239:4,0.03
Lichia,amia,41.25,30.25,1403:110:1,0.08
Lichia,amia,41.25,30.75,1403:110:2,0.09
Lichia,amia,41.25,31.25,1403:111:1,0.09
Lichia,amia,41.25,31.75,1403:111:2,0.17
Lichia,amia,41.75,31.75,1403:111:4,0.09
Lichia,amia,41.75,32.25,1403:112:3,0.09
Lichia,amia,41.75,32.75,1403:112:4,0.13
Lichia,amia,41.75,33.25,1403:113:3,0.15
Lichia,amia,41.75,34.25,1403:114:3,0.15
Lichia,amia,41.75,34.75,1403:114:4,0.13
Lichia,amia,42.25,33.25,1403:123:1,0.09
Lichia,amia,42.25,33.75,1403:123:2,0.09
Lichia,amia,42.25,34.25,1403:124:1,0.08
Lichia,amia,42.25,34.75,1403:124:2,0.09
Lichia,amia,44.25,33.25,1403:143:1,0.01
Lichia,amia,44.25,33.75,1403:143:2,0.08
Lichia,amia,44.75,33.25,1403:143:3,0.08
Lichia,amia,44.75,33.75,1403:143:4,0.07
Lichia,amia,44.25,34.25,1403:144:1,0.08
Lichia,amia,44.75,34.25,1403:144:3,0.06
Lichia,amia,44.75,34.75,1403:144:4,0.08
Lichia,amia,41.75,35.25,1403:215:3,0.08
Lichia,amia,41.75,35.75,1403:215:4,0.08
Lichia,amia,41.25,36.75,1403:216:2,0.16
Lichia,amia,41.75,36.25,1403:216:3,0.09
Lichia,amia,41.25,37.25,1403:217:1,0.09
Lichia,amia,41.25,37.75,1403:217:2,0.10
Lichia,amia,41.25,38.25,1403:218:1,0.10
Lichia,amia,41.25,38.75,1403:218:2,0.10
Lichia,amia,41.25,39.25,1403:219:1,0.10
Lichia,amia,41.25,39.75,1403:219:2,0.11
Lichia,amia,42.25,35.25,1403:225:1,0.09
Lichia,amia,43.25,39.75,1403:239:2,0.11
Lichia,amia,43.75,39.25,1403:239:3,0.09
Lichia,amia,43.75,39.75,1403:239:4,0.09
Lichia,amia,44.75,35.25,1403:245:3,0.07
Lichia,amia,44.75,35.75,1403:245:4,0.06
Lichia,amia,44.75,36.25,1403:246:3,0.06
Lichia,amia,44.75,36.75,1403:246:4,0.03
Lichia,amia,44.75,37.75,1403:247:4,0.03
Lichia,amia,44.25,38.25,1403:248:1,0.09
Lichia,amia,44.25,38.75,1403:248:2,0.11
Lichia,amia,44.75,38.25,1403:248:3,0.06
Lichia,amia,44.25,39.25,1403:249:1,0.08
Lichia,amia,45.25,30.75,1403:350:2,0.03
Lichia,amia,45.75,30.75,1403:350:4,0.01
Lichia,amia,45.25,31.25,1403:351:1,0.02
Lichia,amia,45.75,31.25,1403:351:3,0.03
Lichia,amia,45.75,31.75,1403:351:4,0.03
Lichia,amia,45.25,32.75,1403:352:2,0.06
Lichia,amia,45.25,33.25,1403:353:1,0.06
Lichia,amia,45.25,33.75,1403:353:2,0.02
Lichia,amia,45.25,35.25,1403:455:1,0.03
Lichia,amia,45.25,35.75,1403:455:2,0.04
Lichia,amia,45.75,35.25,1403:455:3,0.02
Lichia,amia,45.75,35.75,1403:455:4,0.03
Lichia,amia,45.25,36.25,1403:456:1,0.04
Lichia,amia,45.25,36.75,1403:456:2,0.02
Lichia,amia,45.75,36.25,1403:456:3,0.02
Lichia,amia,45.75,36.75,1403:456:4,0.01
Lichia,amia,45.25,37.25,1403:457:1,0.01
Lichia,amia,45.25,37.75,1403:457:2,0.02
Lichia,amia,45.75,37.25,1403:457:3,0.01
Lichia,amia,45.75,37.75,1403:457:4,0.01
Lichia,amia,46.25,36.25,1403:466:1,0.02
Lichia,amia,46.25,36.75,1403:466:2,0.02
Lichia,amia,46.75,36.75,1403:466:4,0.01
Lichia,amia,46.25,37.25,1403:467:1,0.01
Lichia,amia,46.25,37.75,1403:467:2,0.01
Lichia,amia,46.75,37.25,1403:467:3,0.01
Lichia,amia,46.75,37.75,1403:467:4,0.01
Lichia,amia,46.25,38.25,1403:468:1,0.01
Lichia,amia,46.25,38.75,1403:468:2,0.02
Lichia,amia,46.75,38.25,1403:468:3,0.01
Lichia,amia,46.75,38.75,1403:468:4,0.03
Lichia,amia,41.25,40.25,1404:110:1,0.11
Lichia,amia,41.25,40.75,1404:110:2,0.11
Lichia,amia,41.25,41.25,1404:111:1,0.14
Lichia,amia,41.75,41.75,1404:111:4,0.19
Lichia,amia,42.75,40.75,1404:120:4,0.09
Lichia,amia,42.25,41.75,1404:121:2,0.17
Lichia,amia,42.75,41.25,1404:121:3,0.11
Lichia,amia,42.75,41.75,1404:121:4,0.16
Lichia,amia,43.25,40.25,1404:130:1,0.11
Lichia,amia,43.25,40.75,1404:130:2,0.09
Lichia,amia,43.25,41.25,1404:131:1,0.04
Lichia,amia,-5.75,12.75,3001:352:4,0.16
Lichia,amia,-6.25,11.75,3001:361:2,0.16
Lichia,amia,-6.25,12.25,3001:362:1,0.02
Lichia,amia,-10.25,59.75,3105:209:2,0.17
Lichia,amia,-20.25,12.75,3201:102:2,0.18
Lichia,amia,-21.25,13.75,3201:113:2,0.15
Lichia,amia,-21.75,13.75,3201:113:4,0.12
Lichia,amia,-21.75,14.25,3201:114:3,0.03
Lichia,amia,-22.75,14.25,3201:124:3,0.01
Lichia,amia,-23.25,14.25,3201:134:1,0.13
Lichia,amia,-23.25,14.75,3201:134:2,0.01
Lichia,amia,-23.75,14.75,3201:134:4,0.02
Lichia,amia,-24.25,14.75,3201:144:2,0.03
Lichia,amia,-24.75,14.75,3201:144:4,0.03
Lichia,amia,-25.25,14.75,3201:354:2,0.03
Lichia,amia,-25.75,14.75,3201:354:4,0.19
Lichia,amia,-26.25,15.25,3201:465:1,0.13
Lichia,amia,-26.75,15.25,3201:465:3,0.17
Lichia,amia,-20.25,36.25,3203:206:1,0.17
Lichia,amia,20.25,-16.75,7201:206:2,0.08
Lichia,amia,20.75,-17.75,7201:207:4,0.14
Lichia,amia,25.75,-15.25,7201:455:3,0.17
Lichia,amia,32.25,-16.25,7301:226:1,0.08
Lichia,amia,43.75,-4.25,7400:134:3,0.11
Lichia,amia,44.75,-1.75,7400:141:4,0.11
Lichia,amia,40.25,-9.25,7400:209:1,0.07
Lichia,amia,46.25,-4.25,7400:364:1,0.06
Lichia,amia,3.25,9.75,1000:239:2,0.39
Lichia,amia,4.25,9.75,1000:249:2,0.20
Lichia,amia,6.75,3.25,1000:363:3,0.39
Lichia,amia,7.75,76.75,1007:476:4,0.27
Lichia,amia,11.25,43.25,1104:113:1,0.26
Lichia,amia,14.75,43.25,1104:143:3,0.25
Lichia,amia,15.25,41.75,1104:351:2,0.39
Lichia,amia,16.75,40.75,1104:360:4,0.37
Lichia,amia,17.75,40.75,1104:370:4,0.29
Lichia,amia,19.25,69.75,1106:499:2,0.37
Lichia,amia,18.25,71.75,1107:381:2,0.28
Lichia,amia,19.25,73.25,1107:393:1,0.20
Lichia,amia,20.75,37.75,1203:207:4,0.27
Lichia,amia,26.75,33.75,1203:363:4,0.39
Lichia,amia,27.25,33.75,1203:373:2,0.37
Lichia,amia,27.75,33.75,1203:373:4,0.24
Lichia,amia,28.25,34.25,1203:384:1,0.23
Lichia,amia,25.75,37.25,1203:457:3,0.20
Lichia,amia,28.25,49.75,1204:489:2,0.39
Lichia,amia,28.75,49.25,1204:489:3,0.31
Lichia,amia,23.75,52.25,1205:132:3,0.20
Lichia,amia,24.75,53.75,1205:143:4,0.37
Lichia,amia,24.75,54.25,1205:144:3,0.29
Lichia,amia,25.25,54.75,1205:354:2,0.27
Lichia,amia,26.25,52.75,1205:362:2,0.29
Lichia,amia,26.75,52.75,1205:362:4,0.27
Lichia,amia,27.25,52.25,1205:372:1,0.20
Lichia,amia,28.25,50.25,1205:380:1,0.39
Lichia,amia,28.25,50.75,1205:380:2,0.39
Lichia,amia,28.75,50.75,1205:380:4,0.30
Lichia,amia,25.75,56.75,1205:456:4,0.24
Lichia,amia,25.75,59.25,1205:459:3,0.20
Lichia,amia,22.25,67.75,1206:227:2,0.38
Lichia,amia,23.75,68.75,1206:238:4,0.20
Lichia,amia,24.25,67.75,1206:247:2,0.20
Lichia,amia,25.75,64.25,1206:354:3,0.20
Lichia,amia,25.75,66.75,1206:456:4,0.20
Lichia,amia,20.75,72.25,1207:102:3,0.25
Lichia,amia,23.25,70.25,1207:130:1,0.20
Lichia,amia,34.75,10.25,1301:140:3,0.20
Lichia,amia,34.75,12.75,1301:142:4,0.38
Lichia,amia,37.25,12.75,1301:372:2,0.38
Lichia,amia,32.25,24.75,1302:124:2,0.35
Lichia,amia,34.75,24.25,1302:144:3,0.28
Lichia,amia,34.75,24.75,1302:144:4,0.24
Lichia,amia,30.75,29.25,1302:209:3,0.35
Lichia,amia,31.75,25.25,1302:215:3,0.30
Lichia,amia,31.75,25.75,1302:215:4,0.27
Lichia,amia,31.75,26.25,1302:216:3,0.24
Lichia,amia,31.75,26.75,1302:216:4,0.23
Lichia,amia,31.25,29.25,1302:219:1,0.38
Lichia,amia,32.25,25.25,1302:225:1,0.30
Lichia,amia,34.75,25.25,1302:245:3,0.22
Lichia,amia,34.75,26.25,1302:246:3,0.25
Lichia,amia,35.25,26.25,1302:456:1,0.35
Lichia,amia,35.25,26.75,1302:456:2,0.21
Lichia,amia,35.75,26.25,1302:456:3,0.36
Lichia,amia,36.25,26.25,1302:466:1,0.32
Lichia,amia,36.25,26.75,1302:466:2,0.20
Lichia,amia,36.75,26.25,1302:466:3,0.26
Lichia,amia,37.25,26.25,1302:476:1,0.27
Lichia,amia,37.75,26.75,1302:476:4,0.35
Lichia,amia,33.25,35.25,1303:235:1,0.39
Lichia,amia,33.75,35.25,1303:235:3,0.23
Lichia,amia,34.25,35.75,1303:245:2,0.29
Lichia,amia,36.25,35.75,1303:465:2,0.24
Lichia,amia,36.75,35.25,1303:465:3,0.30
Lichia,amia,36.75,35.75,1303:465:4,0.30
Lichia,amia,30.75,48.75,1304:208:4,0.20
Lichia,amia,30.75,49.25,1304:209:3,0.20
Lichia,amia,40.75,1.25,1400:101:3,0.38
Lichia,amia,40.25,3.25,1400:103:1,0.25
Lichia,amia,44.75,12.25,1401:142:3,0.28
Lichia,amia,42.75,18.75,1401:228:4,0.20
Lichia,amia,43.75,16.75,1401:236:4,0.20
Lichia,amia,44.25,15.75,1401:245:2,0.20
Lichia,amia,44.75,15.25,1401:245:3,0.20
Lichia,amia,40.75,28.25,1402:208:3,0.38
Lichia,amia,40.75,28.75,1402:208:4,0.27
Lichia,amia,40.75,29.75,1402:209:4,0.22
Lichia,amia,41.25,27.75,1402:217:2,0.31
Lichia,amia,41.25,28.25,1402:218:1,0.21
Lichia,amia,40.75,38.25,1403:208:3,0.30
Lichia,amia,40.75,38.75,1403:208:4,0.30
Lichia,amia,41.25,36.25,1403:216:1,0.20
Lichia,amia,40.75,40.25,1404:100:3,0.24
Lichia,amia,-4.25,10.75,3001:140:2,0.25
Lichia,amia,-5.25,11.75,3001:351:2,0.29
Lichia,amia,-9.75,60.25,3006:390:3,0.37
Lichia,amia,-16.75,11.75,3101:361:4,0.38
Lichia,amia,-17.75,36.75,3103:476:4,0.20
Lichia,amia,-19.25,44.75,3104:394:2,0.20
Lichia,amia,-19.75,44.75,3104:394:4,0.20
Lichia,amia,-15.75,46.75,3104:456:4,0.20
Lichia,amia,-15.75,47.25,3104:457:3,0.20
