Mapping parameters for Limanda aspera (Yellowfin sole)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 18 |  61 |  67,
Bounding Box (NSWE): ,67,35,130,-125

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,85,91,700
Temperature (°C),1,-1.22,2.4,7.37,19.06
Salinity (psu),1,23.67,29.22,32.66,34.92
Primary Production (mgC·m-3·day-1) ,1,1.29,3.47,19.69,39.77
Sea Ice Concentration (0-1 fraction),1,-0.95,0,0.2,0.36
Dissolved Bottom Oxygen (mmol·m-3),0,25.73,123.93,352.09,367.62
Distance to Land (km),0,0,8,221,382.5
 

Map data (HSPEC) for predicted occurrences (n = 2540): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Limanda,aspera,35.75,130.25,1313:350:3,0.02
Limanda,aspera,35.75,130.75,1313:350:4,0.03
Limanda,aspera,35.75,131.25,1313:351:3,0.03
Limanda,aspera,35.75,131.75,1313:351:4,0.02
Limanda,aspera,35.75,133.25,1313:353:3,0.01
Limanda,aspera,35.75,133.75,1313:353:4,0.01
Limanda,aspera,35.75,134.25,1313:354:3,0.02
Limanda,aspera,35.75,134.75,1313:354:4,0.02
Limanda,aspera,36.25,130.25,1313:360:1,0.01
Limanda,aspera,36.75,130.25,1313:360:3,0.01
Limanda,aspera,36.25,132.25,1313:362:1,0.02
Limanda,aspera,36.25,132.75,1313:362:2,0.02
Limanda,aspera,36.75,132.75,1313:362:4,0.04
Limanda,aspera,36.25,133.25,1313:363:1,0.02
Limanda,aspera,36.25,133.75,1313:363:2,0.03
Limanda,aspera,36.75,133.25,1313:363:3,0.03
Limanda,aspera,36.75,133.75,1313:363:4,0.03
Limanda,aspera,36.25,134.25,1313:364:1,0.02
Limanda,aspera,36.25,134.75,1313:364:2,0.03
Limanda,aspera,36.75,134.25,1313:364:3,0.03
Limanda,aspera,36.75,134.75,1313:364:4,0.04
Limanda,aspera,37.25,130.75,1313:370:2,0.09
