Mapping parameters for Lophius piscatorius (Angler)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 |  34 |  37 ,
Bounding Box (NSWE): ,75,30,-28,46

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,20,144,446,1000
Temperature (°C),1,5.15,10.07,19.15,23.06
Salinity (psu),1,3.58,33.41,37.22,39.25
Primary Production (mgC·m-3·day-1) ,1,0.23,1.23,14.18,48.18
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.05
Dissolved Bottom Oxygen (mmol·m-3),0,1.45,213.53,288.53,408.48
Distance to Land (km),0,0,9,233,593
 

Map data (HSPEC) for predicted occurrences (n = 3223): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lophius,piscatorius,35.75,0.25,1300:350:3,0.16
Lophius,piscatorius,38.25,1.75,1300:381:2,0.16
Lophius,piscatorius,38.75,2.25,1300:382:3,0.17
Lophius,piscatorius,36.75,8.75,1300:468:4,0.13
Lophius,piscatorius,38.75,7.75,1300:487:4,0.14
Lophius,piscatorius,38.25,8.25,1300:488:1,0.02
Lophius,piscatorius,38.25,8.75,1300:488:2,0.11
Lophius,piscatorius,38.75,8.25,1300:488:3,0.18
Lophius,piscatorius,38.25,9.25,1300:489:1,0.17
Lophius,piscatorius,38.25,9.75,1300:489:2,0.16
Lophius,piscatorius,38.75,9.75,1300:489:4,0.16
Lophius,piscatorius,39.25,7.75,1300:497:2,0.14
Lophius,piscatorius,39.75,7.75,1300:497:4,0.12
Lophius,piscatorius,32.75,12.25,1301:122:3,0.01
Lophius,piscatorius,32.75,12.75,1301:122:4,0.02
Lophius,piscatorius,32.75,13.25,1301:123:3,0.01
Lophius,piscatorius,32.75,13.75,1301:123:4,0.09
Lophius,piscatorius,32.75,14.25,1301:124:3,0.08
Lophius,piscatorius,32.75,14.75,1301:124:4,0.06
Lophius,piscatorius,33.75,10.25,1301:130:3,0.08
Lophius,piscatorius,33.75,10.75,1301:130:4,0.05
Lophius,piscatorius,33.25,11.25,1301:131:1,0.01
Lophius,piscatorius,33.25,11.75,1301:131:2,0.02
Lophius,piscatorius,33.75,11.25,1301:131:3,0.02
Lophius,piscatorius,33.75,11.75,1301:131:4,0.03
Lophius,piscatorius,33.25,12.25,1301:132:1,0.02
Lophius,piscatorius,33.25,12.75,1301:132:2,0.09
Lophius,piscatorius,33.75,12.25,1301:132:3,0.05
Lophius,piscatorius,33.75,12.75,1301:132:4,0.07
Lophius,piscatorius,33.25,13.25,1301:133:1,0.13
Lophius,piscatorius,33.25,13.75,1301:133:2,0.08
Lophius,piscatorius,33.75,13.25,1301:133:3,0.07
Lophius,piscatorius,33.75,13.75,1301:133:4,0.05
Lophius,piscatorius,33.25,14.25,1301:134:1,0.05
Lophius,piscatorius,33.25,14.75,1301:134:2,0.04
Lophius,piscatorius,33.75,14.25,1301:134:3,0.05
Lophius,piscatorius,33.75,14.75,1301:134:4,0.05
Lophius,piscatorius,34.25,10.25,1301:140:1,0.06
Lophius,piscatorius,34.25,10.75,1301:140:2,0.10
Lophius,piscatorius,34.75,10.75,1301:140:4,0.05
Lophius,piscatorius,34.25,11.25,1301:141:1,0.03
Lophius,piscatorius,34.25,11.75,1301:141:2,0.04
Lophius,piscatorius,34.75,11.25,1301:141:3,0.06
Lophius,piscatorius,34.75,11.75,1301:141:4,0.04
Lophius,piscatorius,34.25,12.25,1301:142:1,0.07
Lophius,piscatorius,34.25,12.75,1301:142:2,0.08
