Mapping parameters for Lutjanus agennes (African red snapper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 34 |  47,
Bounding Box (NSWE): ,13,-20,-21,17

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,3,11,20
Temperature (°C),1,24.06,25.34,27.92,32.12
Salinity (psu),1,17.86,24.11,34.36,35.09
Primary Production (mgC·m-3·day-1) ,1,1.75,6.25,50.91,67.3
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,31.94,74.44,220.28,308.25
Distance to Land (km),0,1,8,96,146
 

Map data (HSPEC) for predicted occurrences (n = 184): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lutjanus,agennes,4.25,7.75,1000:247:2,0.18
Lutjanus,agennes,-6.25,11.75,3001:361:2,0.02
Lutjanus,agennes,-9.25,12.75,3001:392:2,0.08
Lutjanus,agennes,-10.75,13.75,3101:103:4,0.09
Lutjanus,agennes,-11.25,13.75,3101:113:2,0.01
Lutjanus,agennes,4.75,-0.75,7000:140:4,0.08
Lutjanus,agennes,8.75,-14.75,7001:384:4,0.08
Lutjanus,agennes,9.25,-15.25,7001:495:1,0.14
Lutjanus,agennes,9.25,-15.75,7001:495:2,0.07
Lutjanus,agennes,9.75,-16.25,7001:496:3,0.13
Lutjanus,agennes,12.75,-17.75,7101:227:4,0.10
Lutjanus,agennes,1.75,7.75,1000:217:4,0.32
Lutjanus,agennes,3.75,6.25,1000:236:3,0.20
Lutjanus,agennes,3.25,9.25,1000:239:1,0.33
Lutjanus,agennes,-3.25,9.75,3000:239:2,0.33
Lutjanus,agennes,-8.75,13.25,3001:383:3,0.39
Lutjanus,agennes,-10.25,13.75,3101:103:2,0.24
Lutjanus,agennes,8.25,-14.25,7001:384:1,0.32
Lutjanus,agennes,9.25,-14.75,7001:394:2,0.29
Lutjanus,agennes,9.75,-15.75,7001:495:4,0.33
Lutjanus,agennes,1.25,7.25,1000:217:1,0.46
Lutjanus,agennes,1.75,7.25,1000:217:3,0.46
Lutjanus,agennes,3.75,8.75,1000:238:4,0.52
Lutjanus,agennes,4.25,8.75,1000:248:2,0.44
Lutjanus,agennes,4.25,9.75,1000:249:2,0.46
Lutjanus,agennes,6.75,3.25,1000:363:3,0.50
Lutjanus,agennes,-5.25,11.75,3001:351:2,0.51
Lutjanus,agennes,-8.25,13.25,3001:383:1,0.47
Lutjanus,agennes,-9.25,13.25,3001:393:1,0.43
Lutjanus,agennes,-9.75,13.25,3001:393:3,0.47
Lutjanus,agennes,-10.25,13.25,3101:103:1,0.59
