Mapping parameters for Lutjanus argentiventris (Yellow snapper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77 |  87,
Bounding Box (NSWE): ,36,-13,-120,-77

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,3,8,32,60
Temperature (°C),1,15.47,23.01,29,33.2
Salinity (psu),1,28.63,31.04,34.67,37.66
Primary Production (mgC·m-3·day-1) ,1,0.78,1.78,42.17,100.04
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.21,14.18,213.01,386.26
Distance to Land (km),0,0,7,89,125
 

Map data (HSPEC) for predicted occurrences (n = 377): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lutjanus,argentiventris,34.25,-119.25,7311:249:1,0.06
Lutjanus,argentiventris,34.25,-118.75,7311:248:2,0.12
Lutjanus,argentiventris,33.75,-119.75,7311:239:4,0.03
Lutjanus,argentiventris,33.75,-119.25,7311:239:3,0.12
Lutjanus,argentiventris,33.25,-119.25,7311:239:1,0.09
Lutjanus,argentiventris,33.75,-118.25,7311:238:3,0.19
Lutjanus,argentiventris,32.75,-119.25,7311:229:3,0.03
Lutjanus,argentiventris,32.75,-118.75,7311:228:4,0.18
Lutjanus,argentiventris,30.75,-116.25,7311:206:3,0.18
Lutjanus,argentiventris,30.75,-113.75,7311:103:4,0.13
Lutjanus,argentiventris,29.75,-115.75,7211:495:4,0.16
Lutjanus,argentiventris,25.75,-109.75,7210:459:4,0.18
Lutjanus,argentiventris,21.25,-105.75,7210:215:2,0.11
Lutjanus,argentiventris,18.75,-111.25,7111:381:3,0.03
Lutjanus,argentiventris,14.25,-91.25,7109:141:1,0.19
Lutjanus,argentiventris,12.75,-89.25,7108:229:3,0.04
Lutjanus,argentiventris,11.75,-87.25,7108:217:3,0.11
Lutjanus,argentiventris,4.25,-77.75,7007:247:2,0.06
Lutjanus,argentiventris,-11.75,-77.25,5107:217:3,0.03
Lutjanus,argentiventris,-11.25,-77.75,5107:217:2,0.09
Lutjanus,argentiventris,-11.25,-77.25,5107:217:1,0.10
Lutjanus,argentiventris,-10.75,-77.75,5107:207:4,0.11
Lutjanus,argentiventris,-10.25,-77.75,5107:207:2,0.14
Lutjanus,argentiventris,-6.25,-81.25,5008:361:1,0.17
Lutjanus,argentiventris,-6.75,-80.25,5008:360:3,0.09
Lutjanus,argentiventris,-6.25,-80.25,5008:360:1,0.16
Lutjanus,argentiventris,-5.75,-80.75,5008:350:4,0.19
Lutjanus,argentiventris,-9.75,-78.25,5007:498:3,0.18
Lutjanus,argentiventris,-9.25,-78.25,5007:498:1,0.19
Lutjanus,argentiventris,-8.75,-79.25,5007:489:3,0.06
Lutjanus,argentiventris,-8.25,-79.75,5007:489:2,0.18
Lutjanus,argentiventris,-8.25,-79.25,5007:489:1,0.17
Lutjanus,argentiventris,-7.25,-79.75,5007:479:2,0.19
Lutjanus,argentiventris,34.25,-118.25,7311:248:1,0.23
Lutjanus,argentiventris,33.75,-118.75,7311:238:4,0.20
Lutjanus,argentiventris,33.25,-118.75,7311:238:2,0.20
Lutjanus,argentiventris,33.25,-118.25,7311:238:1,0.26
Lutjanus,argentiventris,33.75,-117.75,7311:237:4,0.33
Lutjanus,argentiventris,33.25,-117.75,7311:237:2,0.29
Lutjanus,argentiventris,32.75,-118.25,7311:228:3,0.25
Lutjanus,argentiventris,32.75,-117.25,7311:227:3,0.25
Lutjanus,argentiventris,32.25,-117.25,7311:227:1,0.25
Lutjanus,argentiventris,32.25,-116.75,7311:226:2,0.36
Lutjanus,argentiventris,31.75,-116.75,7311:216:4,0.20
Lutjanus,argentiventris,31.25,-116.75,7311:216:2,0.21
Lutjanus,argentiventris,31.25,-116.25,7311:216:1,0.33
Lutjanus,argentiventris,30.25,-116.25,7311:206:1,0.24
Lutjanus,argentiventris,30.25,-115.75,7311:205:2,0.38
