Mapping parameters for Lutjanus boutton (Moluccan snapper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  61 |  71 |  77 ,
Bounding Box (NSWE): ,35,-21,93,-170

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,15,18,33,50
Temperature (°C),1,13.45,24.72,29.08,33.28
Salinity (psu),1,30.56,32.65,35.31,36.925
Primary Production,1,142,230,1161,2059
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,5,15,106,289
 

Map data (HSPEC) for predicted occurrences (n = 2931): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Lutjanus,boutton,3.75,104.75,1010:134:4,0.18,0.17647058823529,1,1,1,1,1
Lutjanus,boutton,4.25,104.25,1010:144:1,0.12,0.11764705882353,1,1,1,1,1
Lutjanus,boutton,4.75,104.75,1010:144:4,0.12,0.11764705882353,1,1,1,1,1
Lutjanus,boutton,0.75,108.75,1010:208:4,0.19,1,1,1,0.19376391982183,1,1
Lutjanus,boutton,2.25,107.25,1010:227:1,0.06,0.058823529411765,1,1,1,1,1
Lutjanus,boutton,2.75,108.25,1010:228:3,0.12,0.11764705882353,1,1,1,1,1
Lutjanus,boutton,3.25,105.25,1010:235:1,0.12,0.11764705882353,1,1,1,1,1
Lutjanus,boutton,3.25,109.75,1010:239:2,0.06,0.058823529411765,1,1,1,1,1
Lutjanus,boutton,6.25,104.25,1010:364:1,0.06,0.058823529411765,1,1,1,1,1
Lutjanus,boutton,7.25,103.25,1010:373:1,0.16,0.17647058823529,1,0.92822966507177,1,1,1
Lutjanus,boutton,8.75,104.75,1010:384:4,0.14,1,1,1,0.14476614699332,1,1
Lutjanus,boutton,5.75,106.25,1010:456:3,0.18,0.17647058823529,1,1,1,1,1
Lutjanus,boutton,5.75,106.75,1010:456:4,0.12,0.11764705882353,1,1,1,1,1
Lutjanus,boutton,6.25,107.25,1010:467:1,0.06,0.058823529411765,1,1,1,1,1
Lutjanus,boutton,9.75,106.75,1010:496:4,0.01,1,1,1,0.010022271714922,1,1
Lutjanus,boutton,1.75,110.75,1011:110:4,0.16,1,0.95,0.82775119617225,0.20378619153675,1,1
Lutjanus,boutton,2.25,111.25,1011:121:1,0.07,1,0.97142857142857,0.82775119617225,0.085746102449889,1,1
Lutjanus,boutton,2.75,111.75,1011:121:4,0.05,1,0.97142857142857,0.9043062200957,0.055679287305122,1,1
Lutjanus,boutton,4.75,110.25,1011:140:3,0.18,0.17647058823529,1,1,1,1,1
Lutjanus,boutton,4.25,112.75,1011:142:2,0.06,0.058823529411765,1,1,1,1,1
Lutjanus,boutton,3.75,117.75,1011:237:4,0.08,1,1,1,0.079064587973274,1,1
Lutjanus,boutton,7.25,147.25,1014:477:1,0.12,0.11764705882353,1,1,1,1,1
Lutjanus,boutton,10.75,100.25,1110:100:3,0.12,0.17647058823529,1,0.66028708133971,1,1,1
Lutjanus,boutton,10.75,100.75,1110:100:4,0.16,0.23529411764706,1,0.66028708133971,1,1,1
Lutjanus,boutton,11.25,101.75,1110:111:2,0.08,0.17647058823529,0.99285714285714,0.44019138755981,1,1,1
Lutjanus,boutton,18.25,108.25,1110:488:1,0.18,0.17647058823529,1,1,1,1,1
Lutjanus,boutton,11.25,119.75,1111:219:2,0.14,1,1,1,0.13636363636364,1,1
Lutjanus,boutton,13.75,144.75,1114:134:4,0.19,1,1,1,0.19318181818182,1,1
Lutjanus,boutton,14.25,145.25,1114:245:1,0.10,1,1,1,0.10227272727273,1,1
Lutjanus,boutton,14.75,145.75,1114:245:4,0.08,1,1,1,0.079545454545455,1,1
Lutjanus,boutton,20.25,113.25,1211:103:1,0.18,0.17647058823529,1,1,1,1,1
Lutjanus,boutton,21.75,114.75,1211:114:4,0.06,0.058823529411765,1,1,1,1,1
Lutjanus,boutton,25.75,119.75,1211:459:4,0.15,1,0.70718722271517,1,0.21380846325167,1,1
Lutjanus,boutton,26.25,119.75,1211:469:2,0.12,1,0.63265306122449,1,0.18708240534521,1,1
Lutjanus,boutton,27.25,121.25,1212:371:1,0.16,1,0.72670807453416,1,0.21603563474388,1,1
Lutjanus,boutton,28.75,121.75,1212:381:4,0.03,1,0.59627329192547,1,0.056792873051225,1,1
Lutjanus,boutton,29.25,121.75,1212:391:2,0.04,1,0.47471162377995,1,0.087973273942094,1,1
Lutjanus,boutton,29.25,123.25,1212:393:1,0.12,0.23529411764706,0.55634427684117,1,0.88084632516704,1,1
Lutjanus,boutton,25.75,127.25,1212:457:3,0.06,0.058823529411765,1,1,1,1,1
Lutjanus,boutton,29.75,125.25,1212:495:3,0.13,0.17647058823529,0.7488908606921,1,1,1,1
Lutjanus,boutton,29.75,127.25,1212:497:3,0.10,0.11764705882353,0.88110026619343,1,1,1,1
Lutjanus,boutton,34.75,119.25,1311:249:3,0.02,1,0.16326530612245,0.38755980861244,0.33630289532294,1,1
Lutjanus,boutton,34.75,119.75,1311:249:4,0.04,1,0.16326530612245,0.38755980861244,0.66369710467706,1,1
Lutjanus,boutton,30.75,121.25,1312:101:3,0.03,1,0.3717834960071,0.41626794258373,0.1815144766147,1,1
Lutjanus,boutton,30.25,123.25,1312:103:1,0.17,1,0.45252883762201,0.78468899521531,0.47772828507795,1,1
Lutjanus,boutton,30.75,123.25,1312:103:3,0.07,1,0.45252883762201,0.78468899521531,0.19153674832962,1,1
Lutjanus,boutton,30.75,123.75,1312:103:4,0.16,0.88235294117647,0.45252883762201,0.78947368421053,0.51447661469933,1,1
Lutjanus,boutton,30.25,124.25,1312:104:1,0.06,0.11764705882353,0.56255545696539,1,0.92873051224944,1,1
Lutjanus,boutton,30.75,124.25,1312:104:3,0.10,0.23529411764706,0.56255545696539,1,0.7260579064588,1,1
Lutjanus,boutton,30.75,124.75,1312:104:4,0.09,0.17647058823529,0.56255545696539,1,0.87861915367483,1,1
Lutjanus,boutton,31.25,123.75,1312:113:2,0.03,0.58823529411765,0.37622005323869,0.56937799043062,0.21492204899777,1,1
Lutjanus,boutton,31.25,124.25,1312:114:1,0.14,0.64705882352941,0.47648624667258,0.88995215311005,0.50890868596882,1,1
Lutjanus,boutton,31.25,124.75,1312:114:2,0.13,0.41176470588235,0.47648624667258,0.88995215311005,0.71826280623608,1,1
Lutjanus,boutton,31.75,124.25,1312:114:3,0.01,0.70588235294118,0.47648624667258,0.88995215311005,0.036748329621381,1,1
Lutjanus,boutton,31.75,124.75,1312:114:4,0.08,0.76470588235294,0.47648624667258,0.88995215311005,0.23719376391982,1,1
Lutjanus,boutton,32.25,120.75,1312:120:2,0.01,1,0.27240461401952,0.33014354066986,0.093541202672606,1,1
Lutjanus,boutton,32.25,121.25,1312:121:1,0.02,1,0.28482697426797,0.33014354066986,0.19710467706013,1,1
Lutjanus,boutton,32.25,121.75,1312:121:2,0.02,1,0.28482697426797,0.17703349282297,0.3162583518931,1,1
Lutjanus,boutton,32.75,121.25,1312:121:3,0.02,1,0.28482697426797,0.33014354066986,0.21492204899777,1,1
Lutjanus,boutton,32.75,121.75,1312:121:4,0.01,1,0.28482697426797,0.33014354066986,0.15924276169265,1,1
Lutjanus,boutton,32.75,123.25,1312:123:3,0.01,1,0.32298136645963,0.54545454545455,0.031180400890869,1,1
Lutjanus,boutton,32.75,123.75,1312:123:4,0.04,0.82352941176471,0.32298136645963,0.54545454545455,0.25612472160356,1,1
Lutjanus,boutton,32.25,124.25,1312:124:1,0.06,0.70588235294118,0.40017746228926,0.82296650717703,0.25167037861915,1,1
Lutjanus,boutton,32.25,124.75,1312:124:2,0.11,0.82352941176471,0.40017746228926,0.82296650717703,0.4075723830735,1,1
Lutjanus,boutton,32.75,124.25,1312:124:3,0.11,0.64705882352941,0.40017746228926,0.82296650717703,0.53118040089087,1,1
Lutjanus,boutton,32.75,124.75,1312:124:4,0.04,0.17647058823529,0.40017746228926,0.82296650717703,0.70489977728285,1,1
Lutjanus,boutton,33.75,120.75,1312:130:4,0.01,1,0.2360248447205,0.38755980861244,0.057906458797327,1,1
Lutjanus,boutton,33.75,122.75,1312:132:4,0.03,1,0.25554569653949,0.4066985645933,0.30066815144766,1,1
Lutjanus,boutton,33.25,123.25,1312:133:1,0.10,1,0.27684117125111,0.61244019138756,0.57906458797327,1,1
Lutjanus,boutton,33.25,123.75,1312:133:2,0.11,0.82352941176471,0.27684117125111,0.61244019138756,0.76726057906459,1,1
Lutjanus,boutton,33.75,123.25,1312:133:3,0.07,0.41176470588235,0.27684117125111,0.61244019138756,0.97438752783964,1,1
Lutjanus,boutton,33.25,124.25,1312:134:1,0.05,0.17647058823529,0.33717834960071,0.82775119617225,0.92204899777283,1,1
Lutjanus,boutton,34.25,120.25,1312:140:1,0.01,1,0.20408163265306,0.38755980861244,0.14253897550111,1,1
Lutjanus,boutton,34.75,120.25,1312:140:3,0.03,1,0.20408163265306,0.38755980861244,0.38195991091314,1,1
Lutjanus,boutton,34.75,121.75,1312:141:4,0.04,1,0.21472937000887,0.42105263157895,0.43429844097996,1,1
Lutjanus,boutton,34.25,122.25,1312:142:1,0.02,1,0.21650399290151,0.50717703349282,0.17928730512249,1,1
Lutjanus,boutton,34.25,122.75,1312:142:2,0.06,0.76470588235294,0.21650399290151,0.50717703349282,0.73719376391982,1,1
Lutjanus,boutton,34.75,122.25,1312:142:3,0.08,0.88235294117647,0.21650399290151,0.50717703349282,0.77616926503341,1,1
Lutjanus,boutton,31.25,125.25,1312:215:1,0.18,0.35294117647059,0.55811889973381,1,0.88975501113586,1,1
Lutjanus,boutton,31.25,125.75,1312:215:2,0.10,0.17647058823529,0.55811889973381,1,1,1,1
Lutjanus,boutton,31.75,125.25,1312:215:3,0.18,1,0.55811889973381,1,0.31403118040089,1,1
Lutjanus,boutton,32.25,125.25,1312:225:1,0.08,0.29411764705882,0.46583850931677,1,0.56792873051225,1,1
Lutjanus,boutton,34.75,125.75,1312:245:4,0.16,1,0.30878438331854,1,0.50334075723831,1,1
Lutjanus,boutton,34.25,138.25,1313:248:1,0.13,0.17647058823529,0.71073646850044,1,1,1,1
Lutjanus,boutton,-0.25,104.25,3010:104:1,0.08,1,1,0.26794258373206,0.30734966592428,1,1
Lutjanus,boutton,-0.75,104.75,3010:104:4,0.12,1,1,0.26794258373206,0.44766146993318,1,1
Lutjanus,boutton,-1.25,104.25,3010:114:1,0.10,1,1,0.10047846889952,1,1,1
Lutjanus,boutton,-1.25,104.75,3010:114:2,0.06,1,1,0.10047846889952,0.56904231625835,1,1
Lutjanus,boutton,-1.75,104.25,3010:114:3,0.10,1,1,0.10047846889952,1,1,1
Lutjanus,boutton,-1.75,104.75,3010:114:4,0.10,1,1,0.10047846889952,0.97772828507795,1,1
Lutjanus,boutton,-2.25,104.75,3010:124:2,0.12,1,1,0.11961722488038,1,1,1
Lutjanus,boutton,-1.75,105.25,3010:215:3,0.10,1,1,0.10047846889952,1,1,1
Lutjanus,boutton,-2.25,105.25,3010:225:1,0.12,1,1,0.11961722488038,1,1,1
Lutjanus,boutton,-3.75,110.75,3011:130:4,0.18,1,1,1,0.17706013363029,1,1
Lutjanus,boutton,-3.75,112.25,3011:132:3,0.15,1,1,0.98086124401914,0.15033407572383,1,1
Lutjanus,boutton,-3.25,113.25,3011:133:1,0.03,1,1,0.84688995215311,0.040089086859688,1,1
Lutjanus,boutton,-4.25,113.25,3011:143:1,0.16,1,1,0.84688995215311,0.18930957683742,1,1
Lutjanus,boutton,-0.25,117.75,3011:207:2,0.13,1,1,1,0.12917594654788,1,1
Lutjanus,boutton,-5.25,112.75,3011:352:2,0.06,0.058823529411765,1,1,1,1,1
Lutjanus,boutton,-5.75,115.75,3011:455:4,0.06,0.058823529411765,1,1,1,1,1
Lutjanus,boutton,-2.25,131.75,3013:121:2,0.11,1,1,1,0.10801781737194,1,1
Lutjanus,boutton,-2.25,132.25,3013:122:1,0.14,1,1,1,0.14142538975501,1,1
Lutjanus,boutton,-9.75,131.25,3013:391:3,0.06,0.058823529411765,1,1,1,1,1
Lutjanus,boutton,-9.75,132.25,3013:392:3,0.06,0.058823529411765,1,1,1,1,1
Lutjanus,boutton,-5.25,137.25,3013:457:1,0.18,1,1,1,0.17817371937639,1,1
Lutjanus,boutton,-6.75,136.75,3013:466:4,0.19,1,1,1,0.18819599109131,1,1
Lutjanus,boutton,-7.75,135.25,3013:475:3,0.19,0.23529411764706,1,1,0.78841870824053,1,1
Lutjanus,boutton,-7.75,135.75,3013:475:4,0.07,0.17647058823529,1,1,0.40534521158129,1,1
Lutjanus,boutton,-7.25,136.75,3013:476:2,0.11,1,1,1,0.11358574610245,1,1
Lutjanus,boutton,-7.75,136.25,3013:476:3,0.17,1,1,1,0.17371937639198,1,1
Lutjanus,boutton,-8.25,136.25,3013:486:1,0.18,1,1,1,0.1837416481069,1,1
Lutjanus,boutton,-8.25,138.25,3013:488:1,0.05,1,1,1,0.046770601336303,1,1
Lutjanus,boutton,-8.25,138.75,3013:488:2,0.15,1,1,1,0.15367483296214,1,1
Lutjanus,boutton,-10.75,138.75,3113:208:4,0.18,0.17647058823529,1,1,1,1,1
Lutjanus,boutton,-11.75,139.75,3113:219:4,0.18,0.17647058823529,1,1,1,1,1
Lutjanus,boutton,-13.25,138.75,3113:238:2,0.12,0.11764705882353,1,1,1,1,1
Lutjanus,boutton,-13.75,138.75,3113:238:4,0.06,0.058823529411765,1,1,1,1,1
Lutjanus,boutton,-13.75,139.25,3113:239:3,0.06,0.058823529411765,1,1,1,1,1
Lutjanus,boutton,-14.75,138.25,3113:248:3,0.18,0.17647058823529,1,1,1,1,1
Lutjanus,boutton,-14.75,138.75,3113:248:4,0.18,0.17647058823529,1,1,1,1,1
Lutjanus,boutton,-17.25,140.75,3114:370:2,0.02,1,1,1,0.018930957683742,1,1
Lutjanus,boutton,-13.25,173.75,3117:133:2,0.09,0.35294117647059,1,1,0.25,1,1
Lutjanus,boutton,-13.25,-179.25,5117:239:1,0.18,0.35294117647059,1,1,0.52272727272727,1,1
Lutjanus,boutton,0.25,104.75,1010:104:2,0.39,1,1,0.52153110047847,0.75389755011136,1,1
Lutjanus,boutton,0.75,104.25,1010:104:3,0.33,1,1,0.52153110047847,0.62806236080178,1,1
Lutjanus,boutton,1.25,104.25,1010:114:1,0.32,1,1,0.52153110047847,0.61024498886414,1,1
Lutjanus,boutton,2.25,101.25,1010:121:1,0.26,1,0.95238095238095,0.49760765550239,0.54899777282851,1,1
Lutjanus,boutton,1.75,105.75,1010:215:4,0.29,0.29411764705882,1,1,1,1,1
Lutjanus,boutton,1.75,108.75,1010:218:4,0.26,1,1,1,0.25946547884187,1,1
Lutjanus,boutton,6.75,103.25,1010:363:3,0.35,0.35294117647059,1,1,1,1,1
Lutjanus,boutton,7.75,102.75,1010:372:4,0.37,0.47058823529412,1,0.78468899521531,1,1,1
Lutjanus,boutton,9.75,101.25,1010:391:3,0.29,0.47058823529412,0.99047619047619,0.62200956937799,1,1,1
Lutjanus,boutton,5.75,105.25,1010:455:3,0.29,0.29411764705882,1,1,1,1,1
Lutjanus,boutton,5.25,106.75,1010:456:2,0.24,0.23529411764706,1,1,1,1,1
Lutjanus,boutton,5.75,109.75,1010:459:4,0.24,0.23529411764706,1,1,1,1,1
Lutjanus,boutton,6.75,107.75,1010:467:4,0.29,0.29411764705882,1,1,1,1,1
Lutjanus,boutton,8.75,105.25,1010:485:3,0.33,0.33333333333333,1,1,1,1,1
Lutjanus,boutton,2.75,111.25,1011:121:3,0.28,1,0.97142857142857,0.9043062200957,0.31514476614699,1,1
Lutjanus,boutton,3.25,110.25,1011:130:1,0.29,0.29411764705882,1,1,1,1,1
