Mapping parameters for Lutjanus colorado (Colorado snapper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77 |  87,
Bounding Box (NSWE): ,36,4,-90,-77

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,8,36,70
Temperature (°C),1,27.06,27.84,28.86,33.06
Salinity (psu),1,29.9,31.29,35.06,35.75
Primary Production,1,188,416,1405,1611
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,2,4,27,47
 

Map data (HSPEC) for predicted occurrences (n = 75): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lutjanus,colorado,4.25,-77.75,7007:247:2,0.09
Lutjanus,colorado,6.25,-77.25,7007:467:1,0.19
Lutjanus,colorado,6.75,-77.25,7007:467:3,0.10
Lutjanus,colorado,6.75,-77.75,7007:467:4,0.19
Lutjanus,colorado,7.75,-79.25,7007:479:3,0.12
Lutjanus,colorado,4.25,-81.75,7008:141:2,0.35
Lutjanus,colorado,11.75,-87.25,7108:217:3,0.38
Lutjanus,colorado,12.75,-89.25,7108:229:3,0.32
Lutjanus,colorado,7.25,-77.75,7007:477:2,0.58
Lutjanus,colorado,7.25,-78.25,7007:478:1,0.45
Lutjanus,colorado,7.75,-78.25,7007:478:3,0.45
Lutjanus,colorado,7.75,-78.75,7007:478:4,0.44
Lutjanus,colorado,8.25,-78.25,7007:488:1,0.43
Lutjanus,colorado,8.25,-78.75,7007:488:2,0.43
Lutjanus,colorado,8.75,-78.25,7007:488:3,0.43
Lutjanus,colorado,8.75,-78.75,7007:488:4,0.43
Lutjanus,colorado,5.75,-86.75,7008:456:4,0.58
Lutjanus,colorado,5.75,-87.25,7008:457:3,0.58
Lutjanus,colorado,10.25,-86.25,7108:206:1,0.50
Lutjanus,colorado,7.25,-79.75,7007:479:2,0.68
Lutjanus,colorado,7.75,-79.75,7007:479:4,0.68
Lutjanus,colorado,5.25,-87.25,7008:457:1,0.62
Lutjanus,colorado,10.75,-86.25,7108:206:3,0.68
Lutjanus,colorado,11.25,-86.75,7108:216:2,0.74
Lutjanus,colorado,8.25,-79.25,7007:489:1,0.98
Lutjanus,colorado,8.25,-79.75,7007:489:2,0.98
Lutjanus,colorado,7.25,-80.25,7008:370:1,1.00
Lutjanus,colorado,7.25,-80.75,7008:370:2,1.00
Lutjanus,colorado,7.75,-80.25,7008:370:3,1.00
Lutjanus,colorado,7.75,-80.75,7008:370:4,1.00
Lutjanus,colorado,7.25,-81.25,7008:371:1,1.00
Lutjanus,colorado,7.25,-81.75,7008:371:2,1.00
Lutjanus,colorado,7.75,-81.25,7008:371:3,1.00
Lutjanus,colorado,7.75,-81.75,7008:371:4,1.00
Lutjanus,colorado,7.75,-82.25,7008:372:3,1.00
Lutjanus,colorado,8.25,-80.25,7008:380:1,1.00
Lutjanus,colorado,8.25,-81.75,7008:381:2,1.00
Lutjanus,colorado,8.25,-82.25,7008:382:1,1.00
Lutjanus,colorado,8.25,-82.75,7008:382:2,1.00
Lutjanus,colorado,8.75,-82.25,7008:382:3,1.00
Lutjanus,colorado,8.25,-83.25,7008:383:1,1.00
Lutjanus,colorado,8.25,-83.75,7008:383:2,1.00
Lutjanus,colorado,8.75,-83.25,7008:383:3,1.00
Lutjanus,colorado,8.75,-83.75,7008:383:4,1.00
Lutjanus,colorado,9.25,-83.75,7008:393:2,1.00
Lutjanus,colorado,9.25,-84.25,7008:394:1,1.00
Lutjanus,colorado,9.25,-84.75,7008:394:2,1.00
Lutjanus,colorado,9.75,-84.25,7008:394:3,1.00
Lutjanus,colorado,9.75,-84.75,7008:394:4,1.00
Lutjanus,colorado,9.75,-85.25,7008:495:3,1.00
Lutjanus,colorado,9.75,-85.75,7008:495:4,1.00
Lutjanus,colorado,10.25,-84.75,7108:104:2,1.00
Lutjanus,colorado,10.25,-85.25,7108:205:1,1.00
Lutjanus,colorado,10.25,-85.75,7108:205:2,1.00
Lutjanus,colorado,10.75,-85.75,7108:205:4,1.00
Lutjanus,colorado,11.25,-85.75,7108:215:2,1.00
Lutjanus,colorado,11.25,-86.25,7108:216:1,1.00
Lutjanus,colorado,11.75,-86.25,7108:216:3,1.00
Lutjanus,colorado,11.75,-86.75,7108:216:4,1.00
Lutjanus,colorado,12.25,-86.75,7108:226:2,1.00
Lutjanus,colorado,12.25,-87.25,7108:227:1,1.00
Lutjanus,colorado,12.25,-87.75,7108:227:2,1.00
Lutjanus,colorado,12.75,-87.25,7108:227:3,1.00
Lutjanus,colorado,12.75,-87.75,7108:227:4,1.00
Lutjanus,colorado,12.25,-88.25,7108:228:1,1.00
Lutjanus,colorado,12.75,-88.25,7108:228:3,1.00
Lutjanus,colorado,12.75,-88.75,7108:228:4,1.00
Lutjanus,colorado,13.25,-87.25,7108:237:1,1.00
Lutjanus,colorado,13.25,-87.75,7108:237:2,1.00
Lutjanus,colorado,13.25,-88.25,7108:238:1,1.00
Lutjanus,colorado,13.25,-88.75,7108:238:2,1.00
Lutjanus,colorado,13.25,-89.25,7108:239:1,0.95
Lutjanus,colorado,13.25,-89.75,7108:239:2,0.95
Lutjanus,colorado,13.75,-89.25,7108:239:3,0.95
Lutjanus,colorado,13.75,-89.75,7108:239:4,0.95


Occurrence cells used for creating environmental envelope (n = 21)
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Lutjanus,colorado,5.75,-77.25,7007:457:3,330,27.25,31.29,1611,0,11
Lutjanus,colorado,5.75,-87.25,7008:457:3,2149,28.06,32.91,321,0,27
Lutjanus,colorado,7.25,-81.75,7008:371:2,827,28.16,31.79,623,0,26
Lutjanus,colorado,7.25,-80.25,7008:370:1,985,27.84,31.55,1053,0,23
Lutjanus,colorado,7.75,-81.75,7008:371:4,106,28.16,31.79,416,0,25
Lutjanus,colorado,8.25,-79.75,7007:489:2,54,27.88,31.26,893,0,27
Lutjanus,colorado,8.25,-83.25,7008:383:1,1100,28.68,32.06,751,0,26
Lutjanus,colorado,8.25,-80.25,7008:380:1,17,28.04,35.06,661,0,18
Lutjanus,colorado,8.75,-79.75,7007:489:4,23,27.88,35.75,1405,0,14
Lutjanus,colorado,8.75,-83.75,7008:383:4,121,28.68,32.38,662,0,23
Lutjanus,colorado,8.75,-83.25,7008:383:3,18,28.68,32.38,611,0,7
Lutjanus,colorado,9.25,-84.25,7008:394:1,397,28.56,32.38,772,0,26
Lutjanus,colorado,9.25,-83.75,7008:393:2,96,28.59,32.38,733,0,11
Lutjanus,colorado,9.75,-84.75,7008:394:4,104,28.56,32.38,1274,0,20
Lutjanus,colorado,10.25,-85.25,7108:205:1,18,28.03,33.31,476,0,4
Lutjanus,colorado,10.25,-84.75,7108:104:2,40,28.3,33.31,465,0,2
Lutjanus,colorado,10.75,-85.75,7108:205:4,101,28.03,33.31,458,0,18
