Mapping parameters for Lutjanus fulvus (Blacktail snapper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  47 |  51 |  57 |  61 |  71 |  77 |  81 ,
Bounding Box (NSWE): ,34,-34,28,-134

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,8,38,75
Temperature (°C),1,18.35,24.76,29.2,33.4
Salinity (psu),1,24.95,32.99,35.56,36.5
Primary Production (mgC·m-3·day-1) ,1,-0.1,0.9,17.62,119.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,101.53,208.98,288.97
Distance to Land (km),0,0,15,163,943
 

Map data (HSPEC) for predicted occurrences (n = 5193): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lutjanus,fulvus,26.75,-176.25,7217:466:3,0.15
Lutjanus,fulvus,23.25,-163.25,7216:133:1,0.06
Lutjanus,fulvus,-26.75,-146.25,5214:466:3,0.07
Lutjanus,fulvus,-26.75,-145.75,5214:465:4,0.17
Lutjanus,fulvus,-27.75,-144.25,5214:374:3,0.16
Lutjanus,fulvus,-27.75,-143.25,5214:373:3,0.15
Lutjanus,fulvus,-20.25,-143.75,5214:103:2,0.07
Lutjanus,fulvus,-21.75,-136.25,5213:216:3,0.16
Lutjanus,fulvus,-21.25,-136.75,5213:216:2,0.16
Lutjanus,fulvus,-21.25,-136.25,5213:216:1,0.13
Lutjanus,fulvus,-21.75,-135.75,5213:215:4,0.14
Lutjanus,fulvus,-21.75,-135.25,5213:215:3,0.12
Lutjanus,fulvus,-21.25,-135.75,5213:215:2,0.11
Lutjanus,fulvus,-21.25,-135.25,5213:215:1,0.10
Lutjanus,fulvus,-20.75,-139.25,5213:209:3,0.16
Lutjanus,fulvus,-20.75,-138.75,5213:208:4,0.15
Lutjanus,fulvus,-20.75,-138.25,5213:208:3,0.14
Lutjanus,fulvus,-22.75,-134.75,5213:124:4,0.19
Lutjanus,fulvus,-15.25,-173.75,5117:353:2,0.04
Lutjanus,fulvus,-19.75,-140.25,5114:390:3,0.15
Lutjanus,fulvus,-19.25,-140.75,5114:390:2,0.19
Lutjanus,fulvus,-19.25,-139.25,5113:499:1,0.11
Lutjanus,fulvus,-19.25,-138.75,5113:498:2,0.10
Lutjanus,fulvus,-18.25,-137.25,5113:487:1,0.02
Lutjanus,fulvus,-18.75,-136.25,5113:486:3,0.06
Lutjanus,fulvus,-18.25,-136.75,5113:486:2,0.09
Lutjanus,fulvus,-18.25,-136.25,5113:486:1,0.08
Lutjanus,fulvus,-17.25,-138.25,5113:478:1,0.17
Lutjanus,fulvus,-33.25,152.25,3315:132:1,0.05
Lutjanus,fulvus,-32.75,131.75,3313:121:4,0.01
Lutjanus,fulvus,-32.75,131.25,3313:121:3,0.01
Lutjanus,fulvus,-32.75,130.75,3313:120:4,0.01
Lutjanus,fulvus,-32.75,130.25,3313:120:3,0.01
Lutjanus,fulvus,-32.25,130.75,3313:120:2,0.01
Lutjanus,fulvus,-32.25,130.25,3313:120:1,0.02
Lutjanus,fulvus,-33.25,126.25,3312:236:1,0.01
Lutjanus,fulvus,-33.25,125.75,3312:235:2,0.02
Lutjanus,fulvus,-33.25,125.25,3312:235:1,0.02
Lutjanus,fulvus,-32.75,129.75,3312:229:4,0.02
Lutjanus,fulvus,-32.75,129.25,3312:229:3,0.03
Lutjanus,fulvus,-32.25,129.75,3312:229:2,0.02
Lutjanus,fulvus,-32.25,129.25,3312:229:1,0.02
Lutjanus,fulvus,-32.75,128.75,3312:228:4,0.03
Lutjanus,fulvus,-32.75,128.25,3312:228:3,0.03
Lutjanus,fulvus,-32.25,128.75,3312:228:2,0.02
Lutjanus,fulvus,-32.25,128.25,3312:228:1,0.01
Lutjanus,fulvus,-32.75,127.75,3312:227:4,0.03
Lutjanus,fulvus,-32.75,127.25,3312:227:3,0.03
Lutjanus,fulvus,-32.25,127.75,3312:227:2,0.01
Lutjanus,fulvus,-32.25,127.25,3312:227:1,0.01
Lutjanus,fulvus,-32.75,126.75,3312:226:4,0.02
Lutjanus,fulvus,-32.75,126.25,3312:226:3,0.02
Lutjanus,fulvus,-32.25,126.75,3312:226:2,0.01
Lutjanus,fulvus,-32.75,125.75,3312:225:4,0.02
Lutjanus,fulvus,-32.25,125.75,3312:225:2,0.02
Lutjanus,fulvus,-33.75,124.75,3312:134:4,0.02
