Mapping parameters for Lutjanus inermis (Golden snapper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77 |  87,
Bounding Box (NSWE): ,24,4,-118,-82

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,5,21,40
Temperature (°C),1,24.85,26.69,29.1,33.3
Salinity (psu),1,31.63,32.38,34.68,36.43
Primary Production,1,162.5,458,1274,1430.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,3,5,104,127
 

Map data (HSPEC) for predicted occurrences (n = 114): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lutjanus,inermis,22.25,-105.75,7210:225:2,0.19
Lutjanus,inermis,22.75,-109.75,7210:229:4,0.18
Lutjanus,inermis,23.25,-106.25,7210:236:1,0.01
Lutjanus,inermis,23.25,-109.25,7210:239:1,0.10
Lutjanus,inermis,23.25,-109.75,7210:239:2,0.11
Lutjanus,inermis,23.75,-109.25,7210:239:3,0.09
Lutjanus,inermis,23.75,-109.75,7210:239:4,0.09
Lutjanus,inermis,7.75,-82.25,7008:372:3,0.21
Lutjanus,inermis,8.25,-82.25,7008:382:1,0.21
Lutjanus,inermis,8.25,-82.75,7008:382:2,0.21
Lutjanus,inermis,18.25,-114.75,7111:384:2,0.32
Lutjanus,inermis,19.25,-110.75,7111:390:2,0.33
Lutjanus,inermis,8.25,-83.25,7008:383:1,0.57
Lutjanus,inermis,5.75,-86.75,7008:456:4,0.54
Lutjanus,inermis,5.25,-87.25,7008:457:1,0.44
Lutjanus,inermis,5.75,-87.25,7008:457:3,0.54
Lutjanus,inermis,14.75,-93.25,7109:143:3,0.47
Lutjanus,inermis,10.25,-109.25,7110:209:1,0.43
Lutjanus,inermis,18.75,-110.75,7111:380:4,0.46
Lutjanus,inermis,23.75,-107.25,7210:237:3,0.56
Lutjanus,inermis,8.75,-82.25,7008:382:3,0.78
Lutjanus,inermis,9.25,-84.75,7008:394:2,0.68
Lutjanus,inermis,14.25,-91.25,7109:141:1,0.75
Lutjanus,inermis,19.25,-105.25,7110:495:1,0.63
Lutjanus,inermis,23.25,-106.75,7210:236:2,0.69
Lutjanus,inermis,8.25,-83.75,7008:383:2,1.00
Lutjanus,inermis,8.75,-83.25,7008:383:3,1.00
Lutjanus,inermis,8.75,-83.75,7008:383:4,1.00
Lutjanus,inermis,9.25,-83.75,7008:393:2,1.00
Lutjanus,inermis,9.25,-84.25,7008:394:1,1.00
Lutjanus,inermis,9.75,-84.25,7008:394:3,1.00
Lutjanus,inermis,9.75,-84.75,7008:394:4,1.00
Lutjanus,inermis,9.75,-85.25,7008:495:3,1.00
Lutjanus,inermis,9.75,-85.75,7008:495:4,1.00
Lutjanus,inermis,10.25,-84.75,7108:104:2,1.00
Lutjanus,inermis,10.25,-85.25,7108:205:1,1.00
Lutjanus,inermis,10.25,-85.75,7108:205:2,1.00
Lutjanus,inermis,10.75,-85.75,7108:205:4,1.00
Lutjanus,inermis,11.25,-85.75,7108:215:2,1.00
Lutjanus,inermis,11.25,-86.25,7108:216:1,1.00
Lutjanus,inermis,11.75,-86.25,7108:216:3,1.00
Lutjanus,inermis,11.75,-86.75,7108:216:4,1.00
Lutjanus,inermis,12.25,-86.75,7108:226:2,1.00
Lutjanus,inermis,12.25,-87.25,7108:227:1,1.00
Lutjanus,inermis,12.25,-87.75,7108:227:2,1.00
Lutjanus,inermis,12.75,-87.25,7108:227:3,1.00
Lutjanus,inermis,12.75,-87.75,7108:227:4,1.00
Lutjanus,inermis,12.25,-88.25,7108:228:1,1.00
Lutjanus,inermis,12.75,-88.25,7108:228:3,1.00
Lutjanus,inermis,12.75,-88.75,7108:228:4,1.00
Lutjanus,inermis,13.25,-87.25,7108:237:1,1.00
Lutjanus,inermis,13.25,-87.75,7108:237:2,1.00
Lutjanus,inermis,13.25,-88.25,7108:238:1,1.00
Lutjanus,inermis,13.25,-88.75,7108:238:2,1.00
Lutjanus,inermis,13.25,-89.25,7108:239:1,1.00
