Mapping parameters for Lutjanus jordani (Jordan's snapper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77 |  87,
Bounding Box (NSWE): ,26,-10,-110,-77

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,40,50,50
Temperature (°C),1,19.64,24.61,29.27,33.47
Salinity (psu),1,28.43,30.41,34.2,36.12
Primary Production (mgC·m-3·day-1) ,1,1.36,7.09,40.84,67.17
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.49,38.06,206.34,321.69
Distance to Land (km),0,6,12,111,134
 

Map data (HSPEC) for predicted occurrences (n = 217): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lutjanus,jordani,25.75,-108.75,7210:458:4,0.04
Lutjanus,jordani,25.25,-107.75,7210:457:2,0.02
Lutjanus,jordani,24.25,-109.75,7210:249:2,0.05
Lutjanus,jordani,23.75,-109.75,7210:239:4,0.04
Lutjanus,jordani,23.75,-109.25,7210:239:3,0.05
Lutjanus,jordani,23.25,-109.75,7210:239:2,0.03
Lutjanus,jordani,23.25,-109.25,7210:239:1,0.02
Lutjanus,jordani,16.25,-93.75,7109:363:2,0.02
Lutjanus,jordani,14.25,-91.25,7109:141:1,0.10
Lutjanus,jordani,8.25,-77.75,7007:487:2,0.02
Lutjanus,jordani,2.25,-78.25,7007:228:1,0.02
Lutjanus,jordani,1.75,-78.25,7007:218:3,0.02
Lutjanus,jordani,0.25,-79.75,7007:209:2,0.02
Lutjanus,jordani,-7.75,-80.25,5008:370:3,0.03
Lutjanus,jordani,-7.25,-80.75,5008:370:2,0.05
Lutjanus,jordani,-4.75,-81.25,5008:141:3,0.06
Lutjanus,jordani,-3.75,-80.75,5008:130:4,0.10
Lutjanus,jordani,-2.75,-80.75,5008:120:4,0.02
Lutjanus,jordani,-8.75,-79.75,5007:489:4,0.04
Lutjanus,jordani,24.25,-108.25,7210:248:1,0.36
Lutjanus,jordani,21.75,-106.75,7210:216:4,0.33
Lutjanus,jordani,8.75,-82.25,7008:382:3,0.30
Lutjanus,jordani,-0.25,-91.75,5009:101:2,0.25
Lutjanus,jordani,-4.25,-81.25,5008:141:1,0.26
Lutjanus,jordani,-3.25,-80.75,5008:130:2,0.25
