Mapping parameters for Lutjanus griseus (Grey snapper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31 |  34 |  41,
Bounding Box (NSWE): ,41,-6,-100,-36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,5,24,50,180
Temperature (°C),1,12.52,23.37,28.01,32.21
Salinity (psu),1,31.28,34.04,36.36,37.47
Primary Production,1,192,346,1579,3307
Sea Ice Concentration,1,-1,0,0,0.01
Distance to Land (km),0,1,7,106,550
 

Map data (HSPEC) for predicted occurrences (n = 1183): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lutjanus,griseus,-4.75,-37.75,5003:247:4,0.16
Lutjanus,griseus,-0.25,-46.25,5004:206:1,0.04
Lutjanus,griseus,-0.25,-46.75,5004:206:2,0.04
Lutjanus,griseus,-0.75,-46.25,5004:206:3,0.04
Lutjanus,griseus,-0.75,-46.75,5004:206:4,0.03
Lutjanus,griseus,-0.75,-47.25,5004:207:3,0.02
Lutjanus,griseus,2.25,-47.25,7004:227:1,0.06
Lutjanus,griseus,2.25,-47.75,7004:227:2,0.07
Lutjanus,griseus,2.75,-47.75,7004:227:4,0.07
Lutjanus,griseus,4.75,-49.75,7004:249:4,0.14
Lutjanus,griseus,4.25,-50.75,7005:140:2,0.09
Lutjanus,griseus,4.25,-51.25,7005:141:1,0.13
Lutjanus,griseus,4.75,-51.75,7005:141:4,0.03
Lutjanus,griseus,5.25,-51.75,7005:351:2,0.13
Lutjanus,griseus,7.75,-54.25,7005:374:3,0.13
Lutjanus,griseus,8.75,-60.25,7006:380:3,0.04
Lutjanus,griseus,8.75,-60.75,7006:380:4,0.08
Lutjanus,griseus,9.25,-60.25,7006:390:1,0.01
Lutjanus,griseus,9.75,-60.25,7006:390:3,0.19
