Mapping parameters for Lycodes adolfi (Adolf's eelpout)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  27,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1371,1431,1601,1880
Temperature (°C),1,-1.25,-0.75,2.89,7.01
Salinity (psu),1,34.41,34.91,34.96,35.46
Primary Production,1,265,417.4,641.4,765
Sea Ice Concentration,1,-0.8625,0.003,0.298000007867813,0.34
Distance to Land (km),0,74.5,148.6,231,274.5
 

Map data (HSPEC) for predicted occurrences (n = 1577): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lycodes,adolfi,63.75,4.75,1600:134:4,0.12
Lycodes,adolfi,64.25,1.75,1600:141:2,0.09
Lycodes,adolfi,65.25,2.75,1600:352:2,0.10
Lycodes,adolfi,66.75,4.25,1600:364:3,0.19
Lycodes,adolfi,67.25,3.25,1600:373:1,0.10
Lycodes,adolfi,67.25,4.25,1600:374:1,0.06
Lycodes,adolfi,68.25,2.25,1600:382:1,0.15
Lycodes,adolfi,69.75,16.75,1601:496:4,0.03
Lycodes,adolfi,71.75,1.25,1700:111:3,0.09
Lycodes,adolfi,72.25,2.25,1700:122:1,0.05
Lycodes,adolfi,72.75,3.75,1700:123:4,0.14
Lycodes,adolfi,73.25,4.75,1700:134:2,0.16
Lycodes,adolfi,72.75,5.25,1700:225:3,0.17
Lycodes,adolfi,73.25,5.25,1700:235:1,0.15
Lycodes,adolfi,73.25,5.75,1700:235:2,0.16
Lycodes,adolfi,74.75,6.25,1700:246:3,0.15
Lycodes,adolfi,75.25,0.75,1700:350:2,0.05
Lycodes,adolfi,75.75,0.25,1700:350:3,0.02
Lycodes,adolfi,75.75,0.75,1700:350:4,0.10
Lycodes,adolfi,75.75,1.25,1700:351:3,0.01
Lycodes,adolfi,79.25,2.25,1700:392:1,0.02
Lycodes,adolfi,75.25,7.25,1700:457:1,0.05
Lycodes,adolfi,76.25,5.75,1700:465:2,0.14
Lycodes,adolfi,76.75,6.75,1700:466:4,0.12
