Mapping parameters for Lycodes luetkenii (LÃ¼tken's eelpout)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 18 |  27,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,839,914,1117,1463
Temperature (°C),1,-1.21,-0.71,5.08,7.85
Salinity (psu),1,34.4,34.9,35.13,35.63
Primary Production,1,0,153.6,580.6,874
Sea Ice Concentration,1,-0.735606166,0.000787668,0.717999994754791,0.97
Distance to Land (km),0,42.5,101.6,242.399993896484,304
 

Map data (HSPEC) for predicted occurrences (n = 2417): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lycodes,luetkenii,62.75,4.25,1600:124:3,0.08
Lycodes,luetkenii,65.75,2.75,1600:352:4,0.09
Lycodes,luetkenii,66.25,2.75,1600:362:2,0.01
Lycodes,luetkenii,66.25,3.25,1600:363:1,0.12
Lycodes,luetkenii,66.25,3.75,1600:363:2,0.19
Lycodes,luetkenii,68.25,4.25,1600:384:1,0.13
Lycodes,luetkenii,68.25,5.75,1600:485:2,0.01
Lycodes,luetkenii,68.25,6.25,1600:486:1,0.03
Lycodes,luetkenii,68.25,6.75,1600:486:2,0.18
Lycodes,luetkenii,68.25,7.25,1600:487:1,0.02
Lycodes,luetkenii,72.25,0.25,1700:120:1,0.01
Lycodes,luetkenii,72.75,2.25,1700:122:3,0.03
Lycodes,luetkenii,74.25,7.25,1700:247:1,0.12
Lycodes,luetkenii,74.25,7.75,1700:247:2,0.03
Lycodes,luetkenii,74.25,8.25,1700:248:1,0.09
Lycodes,luetkenii,78.75,0.75,1700:380:4,0.14
Lycodes,luetkenii,78.25,3.75,1700:383:2,0.15
Lycodes,luetkenii,78.25,4.25,1700:384:1,0.15
Lycodes,luetkenii,79.25,4.75,1700:394:2,0.12
Lycodes,luetkenii,76.75,5.75,1700:465:4,0.06
Lycodes,luetkenii,76.25,8.75,1700:468:2,0.11
Lycodes,luetkenii,77.25,8.25,1700:478:1,0.13
Lycodes,luetkenii,77.25,8.75,1700:478:2,0.07
Lycodes,luetkenii,78.25,8.25,1700:488:1,0.12
Lycodes,luetkenii,79.75,6.75,1700:496:4,0.16
Lycodes,luetkenii,71.75,13.75,1701:113:4,0.05
Lycodes,luetkenii,71.25,14.75,1701:114:2,0.05
Lycodes,luetkenii,72.75,12.75,1701:122:4,0.05
Lycodes,luetkenii,73.25,12.75,1701:132:2,0.06
Lycodes,luetkenii,73.75,13.25,1701:133:3,0.01
Lycodes,luetkenii,75.75,12.75,1701:352:4,0.11
Lycodes,luetkenii,76.75,10.75,1701:360:4,0.06
Lycodes,luetkenii,77.25,10.25,1701:370:1,0.18
Lycodes,luetkenii,79.75,109.25,1710:499:3,0.10
Lycodes,luetkenii,79.25,111.25,1711:391:1,0.17
Lycodes,luetkenii,79.25,111.75,1711:391:2,0.02
Lycodes,luetkenii,78.25,117.75,1711:487:2,0.01
Lycodes,luetkenii,77.75,123.25,1712:373:3,0.08
Lycodes,luetkenii,77.75,124.25,1712:374:3,0.16
Lycodes,luetkenii,77.75,124.75,1712:374:4,0.08
Lycodes,luetkenii,77.75,125.25,1712:475:3,0.06
Lycodes,luetkenii,77.75,126.75,1712:476:4,0.19
Lycodes,luetkenii,78.75,133.25,1713:383:3,0.12
Lycodes,luetkenii,78.75,133.75,1713:383:4,0.12
Lycodes,luetkenii,79.25,137.75,1713:497:2,0.03
Lycodes,luetkenii,79.25,138.25,1713:498:1,0.09
Lycodes,luetkenii,79.25,138.75,1713:498:2,0.12
Lycodes,luetkenii,79.25,139.25,1713:499:1,0.10
Lycodes,luetkenii,79.25,139.75,1713:499:2,0.08
Lycodes,luetkenii,79.25,141.75,1714:391:2,0.19
Lycodes,luetkenii,79.75,141.25,1714:391:3,0.09
Lycodes,luetkenii,79.75,141.75,1714:391:4,0.12
Lycodes,luetkenii,79.25,142.25,1714:392:1,0.13
Lycodes,luetkenii,79.75,142.25,1714:392:3,0.13
Lycodes,luetkenii,79.75,142.75,1714:392:4,0.09
Lycodes,luetkenii,79.75,143.25,1714:393:3,0.10
Lycodes,luetkenii,79.75,147.25,1714:497:3,0.13
Lycodes,luetkenii,79.75,147.75,1714:497:4,0.07
Lycodes,luetkenii,79.75,148.25,1714:498:3,0.08
Lycodes,luetkenii,79.75,148.75,1714:498:4,0.07
Lycodes,luetkenii,79.75,149.25,1714:499:3,0.04
Lycodes,luetkenii,75.75,178.25,1717:458:3,0.05
Lycodes,luetkenii,75.75,178.75,1717:458:4,0.04
Lycodes,luetkenii,75.25,179.75,1717:459:2,0.05
Lycodes,luetkenii,75.75,179.25,1717:459:3,0.04
Lycodes,luetkenii,75.75,179.75,1717:459:4,0.04
Lycodes,luetkenii,76.25,176.25,1717:466:1,0.04
Lycodes,luetkenii,76.25,176.75,1717:466:2,0.03
Lycodes,luetkenii,76.75,176.25,1717:466:3,0.03
Lycodes,luetkenii,76.75,176.75,1717:466:4,0.03
Lycodes,luetkenii,76.25,177.25,1717:467:1,0.03
Lycodes,luetkenii,76.25,177.75,1717:467:2,0.04
Lycodes,luetkenii,76.75,177.25,1717:467:3,0.03
Lycodes,luetkenii,76.25,178.25,1717:468:1,0.05
Lycodes,luetkenii,76.25,178.75,1717:468:2,0.04
Lycodes,luetkenii,76.25,179.25,1717:469:1,0.03
Lycodes,luetkenii,76.25,179.75,1717:469:2,0.04
Lycodes,luetkenii,81.75,1.75,1800:111:4,0.16
Lycodes,luetkenii,81.75,2.25,1800:112:3,0.04
Lycodes,luetkenii,81.25,3.25,1800:113:1,0.11
Lycodes,luetkenii,81.75,4.75,1800:114:4,0.16
Lycodes,luetkenii,82.25,4.25,1800:124:1,0.10
Lycodes,luetkenii,82.25,4.75,1800:124:2,0.16
Lycodes,luetkenii,80.25,5.25,1800:205:1,0.17
Lycodes,luetkenii,80.75,6.25,1800:206:3,0.07
Lycodes,luetkenii,81.25,6.25,1800:216:1,0.01
Lycodes,luetkenii,81.25,6.75,1800:216:2,0.17
Lycodes,luetkenii,81.75,6.25,1800:216:3,0.15
Lycodes,luetkenii,81.75,6.75,1800:216:4,0.11
Lycodes,luetkenii,82.25,5.25,1800:225:1,0.11
Lycodes,luetkenii,82.25,5.75,1800:225:2,0.05
Lycodes,luetkenii,82.25,6.25,1800:226:1,0.09
Lycodes,luetkenii,82.25,7.25,1800:227:1,0.15
Lycodes,luetkenii,82.75,8.75,1800:228:4,0.15
Lycodes,luetkenii,81.25,11.25,1801:111:1,0.02
Lycodes,luetkenii,81.25,11.75,1801:111:2,0.13
Lycodes,luetkenii,81.25,12.25,1801:112:1,0.19
Lycodes,luetkenii,81.75,12.75,1801:112:4,0.01
Lycodes,luetkenii,82.25,14.25,1801:124:1,0.19
Lycodes,luetkenii,82.25,14.75,1801:124:2,0.03
