Mapping parameters for Lycodes nishimurai ()

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,642,644,656,669
Temperature (°C),1,-0.44,0.22,0.95,1.51
Salinity (psu),1,33.56,34.06,34.08,34.58
Primary Production,1,426.25,547.9,780.5,875
Sea Ice Concentration,1,-0.9995939575,0,0.00113691901788116,0.00162417
Distance to Land (km),0,22,38.8,275.299987792969,559.625
 

Map data (HSPEC) for predicted occurrences (n = 94): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lycodes,nishimurai,38.75,128.25,1312:488:3,0.04
Lycodes,nishimurai,36.25,135.75,1313:465:2,0.43
Lycodes,nishimurai,36.75,133.25,1313:363:3,0.73
Lycodes,nishimurai,37.25,131.75,1313:371:2,0.78
Lycodes,nishimurai,37.25,133.75,1313:373:2,0.74
Lycodes,nishimurai,37.75,133.75,1313:373:4,0.77
Lycodes,nishimurai,38.25,136.75,1313:486:2,0.60
Lycodes,nishimurai,38.25,137.25,1313:487:1,0.66
Lycodes,nishimurai,38.75,137.25,1313:487:3,0.62
Lycodes,nishimurai,40.25,134.25,1413:104:1,0.73
Lycodes,nishimurai,44.75,137.25,1413:247:3,0.64
Lycodes,nishimurai,44.25,140.75,1414:140:2,0.71
Lycodes,nishimurai,46.25,140.75,1414:360:2,0.66
Lycodes,nishimurai,35.75,129.75,1312:459:4,0.93
Lycodes,nishimurai,37.25,129.75,1312:479:2,0.99
Lycodes,nishimurai,37.75,129.25,1312:479:3,0.91
Lycodes,nishimurai,37.75,129.75,1312:479:4,0.91
Lycodes,nishimurai,38.25,128.75,1312:488:2,0.91
Lycodes,nishimurai,38.75,128.75,1312:488:4,0.90
Lycodes,nishimurai,39.25,128.25,1312:498:1,0.95
Lycodes,nishimurai,39.75,128.25,1312:498:3,1.00
Lycodes,nishimurai,35.75,130.25,1313:350:3,1.00
Lycodes,nishimurai,35.75,130.75,1313:350:4,1.00
Lycodes,nishimurai,35.75,131.25,1313:351:3,0.98
Lycodes,nishimurai,35.75,131.75,1313:351:4,0.94
Lycodes,nishimurai,35.75,132.25,1313:352:3,0.83
Lycodes,nishimurai,36.25,130.25,1313:360:1,0.95
Lycodes,nishimurai,36.75,130.25,1313:360:3,1.00
Lycodes,nishimurai,36.25,132.25,1313:362:1,0.88
Lycodes,nishimurai,36.25,132.75,1313:362:2,0.99
Lycodes,nishimurai,36.75,132.75,1313:362:4,0.99
Lycodes,nishimurai,36.75,133.75,1313:363:4,0.97
Lycodes,nishimurai,36.25,134.25,1313:364:1,0.95
Lycodes,nishimurai,36.25,134.75,1313:364:2,1.00
Lycodes,nishimurai,36.75,134.25,1313:364:3,0.95
Lycodes,nishimurai,36.75,134.75,1313:364:4,0.94
Lycodes,nishimurai,37.25,130.75,1313:370:2,0.90
Lycodes,nishimurai,37.75,130.75,1313:370:4,0.89
Lycodes,nishimurai,37.25,132.25,1313:372:1,0.83
Lycodes,nishimurai,37.25,132.75,1313:372:2,1.00
Lycodes,nishimurai,37.75,132.75,1313:372:4,0.92
Lycodes,nishimurai,37.25,133.25,1313:373:1,1.00
Lycodes,nishimurai,37.75,133.25,1313:373:3,0.80
Lycodes,nishimurai,37.25,134.75,1313:374:2,0.92
Lycodes,nishimurai,37.75,134.25,1313:374:3,0.94
Lycodes,nishimurai,38.25,131.25,1313:381:1,0.90
Lycodes,nishimurai,38.25,131.75,1313:381:2,0.83
Lycodes,nishimurai,38.25,133.75,1313:383:2,1.00
Lycodes,nishimurai,38.25,134.25,1313:384:1,0.91
Lycodes,nishimurai,38.75,134.25,1313:384:3,0.92
Lycodes,nishimurai,39.25,133.75,1313:393:2,0.91
Lycodes,nishimurai,39.75,133.75,1313:393:4,1.00
Lycodes,nishimurai,39.25,134.25,1313:394:1,0.91
Lycodes,nishimurai,39.25,134.75,1313:394:2,1.00
Lycodes,nishimurai,39.75,134.25,1313:394:3,0.97
Lycodes,nishimurai,39.75,134.75,1313:394:4,0.92
Lycodes,nishimurai,36.25,135.25,1313:465:1,1.00
Lycodes,nishimurai,36.75,135.25,1313:465:3,0.92
Lycodes,nishimurai,36.75,135.75,1313:465:4,1.00
Lycodes,nishimurai,37.25,135.25,1313:475:1,0.84
Lycodes,nishimurai,37.25,135.75,1313:475:2,0.91
Lycodes,nishimurai,37.25,136.25,1313:476:1,0.99
Lycodes,nishimurai,37.75,136.25,1313:476:3,0.80
Lycodes,nishimurai,37.25,137.75,1313:477:2,1.00
Lycodes,nishimurai,37.75,137.75,1313:477:4,0.92
Lycodes,nishimurai,37.75,138.25,1313:478:3,1.00
Lycodes,nishimurai,38.75,136.75,1313:486:4,0.82
Lycodes,nishimurai,38.25,138.25,1313:488:1,0.97
Lycodes,nishimurai,38.75,138.25,1313:488:3,1.00
Lycodes,nishimurai,38.75,138.75,1313:488:4,1.00
Lycodes,nishimurai,38.75,139.25,1313:489:3,1.00
Lycodes,nishimurai,39.25,135.25,1313:495:1,0.92
Lycodes,nishimurai,39.25,135.75,1313:495:2,0.92
Lycodes,nishimurai,39.75,135.25,1313:495:3,1.00
Lycodes,nishimurai,39.75,135.75,1313:495:4,0.97
Lycodes,nishimurai,39.25,138.75,1313:498:2,1.00
Lycodes,nishimurai,39.75,138.75,1313:498:4,0.91
Lycodes,nishimurai,39.25,139.25,1313:499:1,1.00
Lycodes,nishimurai,39.75,139.25,1313:499:3,0.86
Lycodes,nishimurai,40.25,135.25,1413:205:1,0.92
Lycodes,nishimurai,40.25,139.75,1413:209:2,1.00
Lycodes,nishimurai,40.75,139.75,1413:209:4,0.94
Lycodes,nishimurai,41.75,139.25,1413:219:3,0.92
Lycodes,nishimurai,43.75,136.25,1413:236:3,0.92
Lycodes,nishimurai,43.75,139.75,1413:239:4,0.82
Lycodes,nishimurai,44.25,139.75,1413:249:2,0.84
Lycodes,nishimurai,44.75,139.75,1413:249:4,0.92
Lycodes,nishimurai,45.25,139.75,1413:459:2,0.87
Lycodes,nishimurai,45.75,139.75,1413:459:4,0.89
Lycodes,nishimurai,43.75,140.25,1414:130:3,1.00
Lycodes,nishimurai,44.25,140.25,1414:140:1,1.00
Lycodes,nishimurai,45.25,140.25,1414:350:1,0.94
Lycodes,nishimurai,45.75,140.25,1414:350:3,0.90
Lycodes,nishimurai,45.75,140.75,1414:350:4,1.00


Occurrence cells used for creating environmental envelope (n = 4)
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Lycodes,nishimurai,36.25,129.75,1312:469:2,381,17.04,33.84,875,0,22
Lycodes,nishimurai,39.25,135.25,1313:495:1,1270,13.89,33.9,560,0,255
Lycodes,nishimurai,39.25,134.75,1313:394:2,718,13.83,33.9,557,0,284
Lycodes,nishimurai,45.25,140.75,1414:350:2,335,9.27,33.95,544,0.00162417,78
