Mapping parameters for Lycodes sagittarius (Archer eelpout)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 18,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,335,364,459,600
Temperature (°C),1,-1.94,-1.44,0.46,1.7
Salinity (psu),1,32.54,33.04,34.95,35.83
Primary Production,1,0,64,826,1026
Sea Ice Concentration,1,0.62,0.69,0.819999992847443,0.95
Distance to Land (km),0,9,70,232,262
 

Map data (HSPEC) for predicted occurrences (n = 1271): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lycodes,sagittarius,73.25,59.75,1705:239:2,0.06
Lycodes,sagittarius,73.75,59.25,1705:239:3,0.01
Lycodes,sagittarius,73.75,59.75,1705:239:4,0.06
Lycodes,sagittarius,73.25,60.25,1706:130:1,0.09
Lycodes,sagittarius,73.75,60.25,1706:130:3,0.06
Lycodes,sagittarius,74.25,60.25,1706:140:1,0.07
Lycodes,sagittarius,74.25,60.75,1706:140:2,0.05
Lycodes,sagittarius,74.25,61.25,1706:141:1,0.09
Lycodes,sagittarius,74.25,61.75,1706:141:2,0.02
Lycodes,sagittarius,74.75,61.25,1706:141:3,0.05
Lycodes,sagittarius,75.25,62.75,1706:352:2,0.19
Lycodes,sagittarius,77.25,70.25,1707:370:1,0.14
Lycodes,sagittarius,77.25,70.75,1707:370:2,0.14
Lycodes,sagittarius,78.25,112.25,1711:382:1,0.05
Lycodes,sagittarius,79.25,110.25,1711:390:1,0.16
Lycodes,sagittarius,77.75,130.25,1713:370:3,0.15
Lycodes,sagittarius,77.75,130.75,1713:370:4,0.14
Lycodes,sagittarius,78.25,134.25,1713:384:1,0.12
Lycodes,sagittarius,78.25,134.75,1713:384:2,0.12
Lycodes,sagittarius,78.75,135.75,1713:485:4,0.04
Lycodes,sagittarius,79.25,140.25,1714:390:1,0.16
Lycodes,sagittarius,79.25,140.75,1714:390:2,0.16
Lycodes,sagittarius,79.25,141.25,1714:391:1,0.19
Lycodes,sagittarius,79.25,141.75,1714:391:2,0.13
Lycodes,sagittarius,79.25,142.25,1714:392:1,0.09
Lycodes,sagittarius,79.25,142.75,1714:392:2,0.12
Lycodes,sagittarius,79.75,143.25,1714:393:3,0.15
Lycodes,sagittarius,79.75,147.25,1714:497:3,0.15
Lycodes,sagittarius,79.75,147.75,1714:497:4,0.08
Lycodes,sagittarius,79.75,148.25,1714:498:3,0.12
Lycodes,sagittarius,79.75,148.75,1714:498:4,0.09
Lycodes,sagittarius,79.75,149.25,1714:499:3,0.04
Lycodes,sagittarius,79.75,149.75,1714:499:4,0.07
Lycodes,sagittarius,79.75,150.25,1715:390:3,0.14
Lycodes,sagittarius,79.75,150.75,1715:390:4,0.13
Lycodes,sagittarius,75.25,176.75,1717:456:2,0.18
Lycodes,sagittarius,75.75,176.25,1717:456:3,0.06
Lycodes,sagittarius,75.75,176.75,1717:456:4,0.10
Lycodes,sagittarius,75.25,177.25,1717:457:1,0.19
Lycodes,sagittarius,75.25,177.75,1717:457:2,0.12
Lycodes,sagittarius,75.75,177.25,1717:457:3,0.09
Lycodes,sagittarius,75.75,177.75,1717:457:4,0.14
Lycodes,sagittarius,75.25,178.25,1717:458:1,0.15
Lycodes,sagittarius,75.25,178.75,1717:458:2,0.16
Lycodes,sagittarius,75.75,178.25,1717:458:3,0.04
Lycodes,sagittarius,75.25,179.25,1717:459:1,0.16
Lycodes,sagittarius,76.25,175.75,1717:465:2,0.07
Lycodes,sagittarius,76.25,176.25,1717:466:1,0.11
Lycodes,sagittarius,76.25,176.75,1717:466:2,0.05
Lycodes,sagittarius,81.75,68.75,1806:218:4,0.03
Lycodes,sagittarius,81.75,69.25,1806:219:3,0.01
Lycodes,sagittarius,82.25,68.75,1806:228:2,0.02
Lycodes,sagittarius,82.25,69.25,1806:229:1,0.01
Lycodes,sagittarius,80.75,70.75,1807:100:4,0.10
Lycodes,sagittarius,80.75,71.25,1807:101:3,0.15
Lycodes,sagittarius,81.25,70.25,1807:110:1,0.18
Lycodes,sagittarius,81.25,70.75,1807:110:2,0.11
Lycodes,sagittarius,81.25,71.25,1807:111:1,0.11
Lycodes,sagittarius,81.25,71.75,1807:111:2,0.17
Lycodes,sagittarius,81.75,71.75,1807:111:4,0.04
Lycodes,sagittarius,81.75,72.25,1807:112:3,0.13
Lycodes,sagittarius,81.75,72.75,1807:112:4,0.15
Lycodes,sagittarius,82.25,74.25,1807:124:1,0.01
Lycodes,sagittarius,82.25,74.75,1807:124:2,0.04
Lycodes,sagittarius,81.75,79.25,1807:219:3,0.17
Lycodes,sagittarius,82.25,75.25,1807:225:1,0.02
Lycodes,sagittarius,82.25,75.75,1807:225:2,0.16
Lycodes,sagittarius,81.75,89.75,1808:219:4,0.16
Lycodes,sagittarius,82.25,89.75,1808:229:2,0.03
Lycodes,sagittarius,81.75,90.25,1809:110:3,0.16
Lycodes,sagittarius,81.75,90.75,1809:110:4,0.01
Lycodes,sagittarius,81.75,91.75,1809:111:4,0.03
Lycodes,sagittarius,81.75,92.25,1809:112:3,0.09
Lycodes,sagittarius,81.75,92.75,1809:112:4,0.05
Lycodes,sagittarius,81.75,94.75,1809:114:4,0.12
Lycodes,sagittarius,81.25,98.75,1809:218:2,0.18
Lycodes,sagittarius,81.75,98.25,1809:218:3,0.12
Lycodes,sagittarius,80.25,102.75,1810:102:2,0.13
Lycodes,sagittarius,81.25,101.25,1810:111:1,0.15
Lycodes,sagittarius,81.25,101.75,1810:111:2,0.15
Lycodes,sagittarius,80.25,149.75,1814:209:2,0.01
Lycodes,sagittarius,80.25,150.25,1815:100:1,0.13
Lycodes,sagittarius,64.75,-80.75,7608:140:4,0.06
Lycodes,sagittarius,64.75,-81.75,7608:141:4,0.04
Lycodes,sagittarius,65.25,-80.75,7608:350:2,0.14
Lycodes,sagittarius,65.25,-83.25,7608:353:1,0.14
Lycodes,sagittarius,65.75,-84.25,7608:354:3,0.13
Lycodes,sagittarius,65.75,-84.75,7608:354:4,0.16
Lycodes,sagittarius,69.75,-117.75,7611:497:4,0.14
Lycodes,sagittarius,79.25,-67.75,7706:497:2,0.02
Lycodes,sagittarius,79.25,-68.25,7706:498:1,0.01
Lycodes,sagittarius,79.25,-70.25,7707:390:1,0.06
Lycodes,sagittarius,73.75,-80.75,7708:130:4,0.14
Lycodes,sagittarius,73.75,-81.75,7708:131:4,0.14
Lycodes,sagittarius,73.75,-82.75,7708:132:4,0.14
Lycodes,sagittarius,74.25,-83.25,7708:143:1,0.09
Lycodes,sagittarius,74.25,-83.75,7708:143:2,0.14
Lycodes,sagittarius,74.25,-84.25,7708:144:1,0.14
Lycodes,sagittarius,78.25,-88.75,7708:488:2,0.11
Lycodes,sagittarius,74.25,-91.25,7709:141:1,0.07
Lycodes,sagittarius,73.25,-95.75,7709:235:2,0.14
Lycodes,sagittarius,79.25,-94.25,7709:394:1,0.15
Lycodes,sagittarius,74.75,-108.75,7710:248:4,0.06
Lycodes,sagittarius,79.75,-101.75,7710:391:4,0.15
Lycodes,sagittarius,79.75,-102.25,7710:392:3,0.08
Lycodes,sagittarius,79.75,-102.75,7710:392:4,0.08
Lycodes,sagittarius,79.75,-103.25,7710:393:3,0.08
Lycodes,sagittarius,79.75,-103.75,7710:393:4,0.15
Lycodes,sagittarius,79.75,-104.25,7710:394:3,0.08
Lycodes,sagittarius,79.75,-104.75,7710:394:4,0.08
Lycodes,sagittarius,76.75,-106.75,7710:466:4,0.12
Lycodes,sagittarius,77.75,-106.25,7710:476:3,0.02
Lycodes,sagittarius,78.75,-106.75,7710:486:4,0.15
Lycodes,sagittarius,78.25,-107.25,7710:487:1,0.15
Lycodes,sagittarius,78.25,-107.75,7710:487:2,0.15
Lycodes,sagittarius,78.75,-107.25,7710:487:3,0.15
Lycodes,sagittarius,78.75,-107.75,7710:487:4,0.08
Lycodes,sagittarius,78.75,-108.25,7710:488:3,0.15
Lycodes,sagittarius,78.75,-108.75,7710:488:4,0.08
Lycodes,sagittarius,78.75,-109.75,7710:489:4,0.08
Lycodes,sagittarius,79.75,-105.25,7710:495:3,0.15
Lycodes,sagittarius,79.75,-105.75,7710:495:4,0.08
Lycodes,sagittarius,79.75,-106.25,7710:496:3,0.08
Lycodes,sagittarius,79.75,-106.75,7710:496:4,0.08
Lycodes,sagittarius,79.25,-107.25,7710:497:1,0.08
Lycodes,sagittarius,79.25,-107.75,7710:497:2,0.08
Lycodes,sagittarius,79.75,-107.25,7710:497:3,0.08
Lycodes,sagittarius,79.75,-107.75,7710:497:4,0.05
Lycodes,sagittarius,79.25,-108.25,7710:498:1,0.07
Lycodes,sagittarius,79.25,-108.75,7710:498:2,0.05
Lycodes,sagittarius,79.75,-108.25,7710:498:3,0.04
Lycodes,sagittarius,79.75,-108.75,7710:498:4,0.03
Lycodes,sagittarius,79.25,-109.25,7710:499:1,0.03
Lycodes,sagittarius,79.25,-109.75,7710:499:2,0.06
Lycodes,sagittarius,74.75,-110.25,7711:140:3,0.05
Lycodes,sagittarius,70.25,-116.75,7711:206:2,0.01
Lycodes,sagittarius,70.75,-117.75,7711:207:4,0.04
Lycodes,sagittarius,70.75,-118.25,7711:208:3,0.11
Lycodes,sagittarius,70.75,-118.75,7711:208:4,0.11
Lycodes,sagittarius,76.75,-113.75,7711:363:4,0.01
Lycodes,sagittarius,77.75,-113.75,7711:373:4,0.16
Lycodes,sagittarius,77.75,-114.25,7711:374:3,0.03
Lycodes,sagittarius,78.75,-111.25,7711:381:3,0.13
Lycodes,sagittarius,78.75,-111.75,7711:381:4,0.16
Lycodes,sagittarius,78.25,-113.75,7711:383:2,0.06
Lycodes,sagittarius,78.75,-113.25,7711:383:3,0.10
Lycodes,sagittarius,78.75,-113.75,7711:383:4,0.03
Lycodes,sagittarius,78.25,-114.75,7711:384:2,0.10
Lycodes,sagittarius,78.75,-114.25,7711:384:3,0.08
Lycodes,sagittarius,78.75,-114.75,7711:384:4,0.08
Lycodes,sagittarius,79.25,-110.25,7711:390:1,0.08
Lycodes,sagittarius,79.25,-110.75,7711:390:2,0.06
Lycodes,sagittarius,79.25,-111.25,7711:391:1,0.06
Lycodes,sagittarius,79.25,-112.75,7711:392:2,0.02
Lycodes,sagittarius,79.25,-113.25,7711:393:1,0.08
Lycodes,sagittarius,79.25,-113.75,7711:393:2,0.08
Lycodes,sagittarius,79.25,-114.25,7711:394:1,0.08
Lycodes,sagittarius,79.25,-114.75,7711:394:2,0.08
Lycodes,sagittarius,79.75,-114.25,7711:394:3,0.02
Lycodes,sagittarius,79.75,-114.75,7711:394:4,0.02
Lycodes,sagittarius,77.75,-118.25,7711:478:3,0.11
Lycodes,sagittarius,77.75,-119.25,7711:479:3,0.02
Lycodes,sagittarius,78.25,-115.75,7711:485:2,0.08
Lycodes,sagittarius,78.75,-115.25,7711:485:3,0.08
Lycodes,sagittarius,78.75,-115.75,7711:485:4,0.08
Lycodes,sagittarius,78.25,-116.25,7711:486:1,0.08
Lycodes,sagittarius,78.25,-116.75,7711:486:2,0.15
Lycodes,sagittarius,78.75,-116.25,7711:486:3,0.08
Lycodes,sagittarius,78.75,-116.75,7711:486:4,0.08
Lycodes,sagittarius,78.25,-117.25,7711:487:1,0.08
Lycodes,sagittarius,78.25,-117.75,7711:487:2,0.08
Lycodes,sagittarius,78.75,-117.25,7711:487:3,0.08
Lycodes,sagittarius,78.75,-117.75,7711:487:4,0.08
Lycodes,sagittarius,78.25,-118.25,7711:488:1,0.08
Lycodes,sagittarius,78.25,-118.75,7711:488:2,0.08
Lycodes,sagittarius,78.75,-118.25,7711:488:3,0.08
Lycodes,sagittarius,78.75,-118.75,7711:488:4,0.08
Lycodes,sagittarius,78.25,-119.25,7711:489:1,0.08
Lycodes,sagittarius,78.25,-119.75,7711:489:2,0.08
Lycodes,sagittarius,78.75,-119.25,7711:489:3,0.08
Lycodes,sagittarius,78.75,-119.75,7711:489:4,0.08
Lycodes,sagittarius,79.25,-115.25,7711:495:1,0.08
Lycodes,sagittarius,79.25,-115.75,7711:495:2,0.08
Lycodes,sagittarius,79.25,-116.25,7711:496:1,0.08
