Mapping parameters for Lycenchelys porifer ()

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 77 |  87,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1568,1577,1612,1656
Temperature (°C),1,-1.61,1.79,5.84,9.38
Salinity (psu),1,34.06,34.56,34.69,35.19
Primary Production,1,467,679.8,1320,1556
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,21,23.4,233.600006103516,355
 

Map data (HSPEC) for predicted occurrences (n = 580): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lycenchelys,porifer,-0.25,-87.75,5008:207:2,0.05
Lycenchelys,porifer,-0.75,-87.75,5008:207:4,0.15
Lycenchelys,porifer,-0.25,-88.25,5008:208:1,0.08
Lycenchelys,porifer,-0.75,-88.25,5008:208:3,0.16
Lycenchelys,porifer,-0.75,-88.75,5008:208:4,0.13
Lycenchelys,porifer,-0.25,-89.25,5008:209:1,0.01
Lycenchelys,porifer,-7.25,-81.25,5008:371:1,0.01
Lycenchelys,porifer,-0.25,-90.25,5009:100:1,0.01
Lycenchelys,porifer,-0.25,-90.75,5009:100:2,0.19
Lycenchelys,porifer,-0.25,-157.25,5015:207:1,0.09
Lycenchelys,porifer,-0.25,-159.75,5015:209:2,0.07
Lycenchelys,porifer,-0.25,-160.25,5016:100:1,0.09
Lycenchelys,porifer,-16.25,-73.75,5107:363:2,0.08
Lycenchelys,porifer,-19.25,-71.25,5107:391:1,0.10
Lycenchelys,porifer,-21.25,-70.25,5207:110:1,0.15
Lycenchelys,porifer,-32.75,-71.75,5307:121:4,0.19
Lycenchelys,porifer,-33.75,-72.25,5307:132:3,0.17
Lycenchelys,porifer,-34.25,-72.25,5307:142:1,0.14
Lycenchelys,porifer,-33.25,-78.25,5307:238:1,0.19
Lycenchelys,porifer,-37.25,-73.75,5307:373:2,0.09
Lycenchelys,porifer,-38.25,-74.25,5307:384:1,0.14
Lycenchelys,porifer,-41.75,-74.75,5407:114:4,0.19
Lycenchelys,porifer,-48.25,-75.75,5407:485:2,0.18
Lycenchelys,porifer,-55.75,-66.25,5506:456:3,0.04
Lycenchelys,porifer,-53.25,-74.75,5507:134:2,0.05
Lycenchelys,porifer,-53.75,-74.25,5507:134:3,0.17
Lycenchelys,porifer,-54.75,-73.75,5507:143:4,0.03
Lycenchelys,porifer,-52.75,-75.25,5507:225:3,0.17
Lycenchelys,porifer,2.75,-82.75,7008:122:4,0.09
Lycenchelys,porifer,3.25,-81.75,7008:131:2,0.04
Lycenchelys,porifer,3.75,-81.75,7008:131:4,0.14
Lycenchelys,porifer,3.25,-82.25,7008:132:1,0.16
Lycenchelys,porifer,3.75,-82.25,7008:132:3,0.13
Lycenchelys,porifer,4.25,-81.25,7008:141:1,0.13
Lycenchelys,porifer,4.25,-81.75,7008:141:2,0.07
Lycenchelys,porifer,4.75,-81.25,7008:141:3,0.18
Lycenchelys,porifer,5.25,-81.25,7008:351:1,0.19
Lycenchelys,porifer,9.75,-86.25,7008:496:3,0.16
Lycenchelys,porifer,0.25,-90.75,7009:100:2,0.13
Lycenchelys,porifer,0.75,-91.25,7009:101:3,0.03
Lycenchelys,porifer,0.25,-134.75,7013:104:2,0.19
Lycenchelys,porifer,0.75,-158.25,7015:208:3,0.01
Lycenchelys,porifer,0.75,-160.75,7016:100:4,0.06
Lycenchelys,porifer,15.75,-98.75,7109:458:4,0.03
Lycenchelys,porifer,23.25,-106.75,7210:236:2,0.03
Lycenchelys,porifer,42.75,-124.75,7412:124:4,0.16
Lycenchelys,porifer,45.75,-129.25,7412:459:3,0.17
Lycenchelys,porifer,46.25,-129.75,7412:469:2,0.19
Lycenchelys,porifer,40.75,-130.25,7413:100:3,0.17
Lycenchelys,porifer,50.75,-129.25,7512:209:3,0.19
Lycenchelys,porifer,51.25,-129.75,7512:219:2,0.03
Lycenchelys,porifer,53.25,-132.75,7513:132:2,0.14
Lycenchelys,porifer,53.75,-133.25,7513:133:3,0.14
Lycenchelys,porifer,53.25,-135.25,7513:235:1,0.10
Lycenchelys,porifer,54.25,-137.25,7513:247:1,0.02
Lycenchelys,porifer,54.75,-137.25,7513:247:3,0.02
Lycenchelys,porifer,54.25,-149.25,7514:249:1,0.11
Lycenchelys,porifer,55.25,-140.25,7514:350:1,0.12
Lycenchelys,porifer,52.75,-150.25,7515:120:3,0.01
Lycenchelys,porifer,-9.75,-79.25,5007:499:3,0.31
Lycenchelys,porifer,-3.75,-81.25,5008:131:3,0.22
Lycenchelys,porifer,-1.25,-87.75,5008:217:2,0.23
Lycenchelys,porifer,-1.25,-88.25,5008:218:1,0.27
Lycenchelys,porifer,-1.25,-88.75,5008:218:2,0.26
Lycenchelys,porifer,-1.75,-88.75,5008:218:4,0.29
Lycenchelys,porifer,-1.25,-89.25,5008:219:1,0.20
Lycenchelys,porifer,-1.75,-89.25,5008:219:3,0.29
Lycenchelys,porifer,-1.75,-89.75,5008:219:4,0.20
Lycenchelys,porifer,-0.25,-91.25,5009:101:1,0.35
Lycenchelys,porifer,-1.75,-90.25,5009:110:3,0.26
Lycenchelys,porifer,-11.25,-78.25,5107:218:1,0.25
Lycenchelys,porifer,-33.25,-77.75,5307:237:2,0.33
Lycenchelys,porifer,-33.75,-77.75,5307:237:4,0.31
Lycenchelys,porifer,-33.75,-78.25,5307:238:3,0.23
Lycenchelys,porifer,-42.25,-74.75,5407:124:2,0.25
Lycenchelys,porifer,-49.25,-75.75,5407:495:2,0.31
Lycenchelys,porifer,-49.75,-75.75,5407:495:4,0.32
Lycenchelys,porifer,-45.75,-78.25,5407:458:3,0.25
Lycenchelys,porifer,-53.75,-74.75,5507:134:4,0.20
Lycenchelys,porifer,-54.25,-73.75,5507:143:2,0.20
Lycenchelys,porifer,-54.75,-73.25,5507:143:3,0.20
Lycenchelys,porifer,-50.25,-75.75,5507:205:2,0.34
Lycenchelys,porifer,-51.25,-75.75,5507:215:2,0.34
Lycenchelys,porifer,-55.25,-71.25,5507:351:1,0.26
Lycenchelys,porifer,-55.25,-72.75,5507:352:2,0.26
Lycenchelys,porifer,7.75,-78.75,7007:478:4,0.28
Lycenchelys,porifer,2.75,-82.25,7008:122:3,0.22
Lycenchelys,porifer,3.25,-81.25,7008:131:1,0.37
Lycenchelys,porifer,3.75,-81.25,7008:131:3,0.26
Lycenchelys,porifer,5.75,-81.25,7008:351:3,0.23
Lycenchelys,porifer,6.75,-83.75,7008:363:4,0.32
Lycenchelys,porifer,7.75,-82.25,7008:372:3,0.33
Lycenchelys,porifer,7.75,-84.25,7008:374:3,0.22
Lycenchelys,porifer,8.25,-84.75,7008:384:2,0.24
Lycenchelys,porifer,8.75,-85.25,7008:485:3,0.30
Lycenchelys,porifer,0.25,-91.25,7009:101:1,0.36
Lycenchelys,porifer,12.25,-89.25,7108:229:1,0.20
Lycenchelys,porifer,12.75,-90.25,7109:120:3,0.29
Lycenchelys,porifer,16.25,-99.75,7109:469:2,0.37
Lycenchelys,porifer,16.75,-100.75,7110:360:4,0.29
Lycenchelys,porifer,24.75,-115.75,7211:245:4,0.25
Lycenchelys,porifer,25.25,-112.75,7211:352:2,0.23
Lycenchelys,porifer,25.75,-113.25,7211:353:3,0.23
Lycenchelys,porifer,25.25,-115.75,7211:455:2,0.38
Lycenchelys,porifer,29.25,-117.25,7211:497:1,0.33
Lycenchelys,porifer,30.75,-118.25,7311:208:3,0.28
Lycenchelys,porifer,31.25,-118.25,7311:218:1,0.35
Lycenchelys,porifer,31.25,-118.75,7311:218:2,0.22
Lycenchelys,porifer,31.25,-119.25,7311:219:1,0.26
Lycenchelys,porifer,32.25,-120.25,7312:120:1,0.39
Lycenchelys,porifer,40.75,-128.75,7412:208:4,0.39
Lycenchelys,porifer,45.25,-124.75,7412:354:2,0.39
Lycenchelys,porifer,46.75,-124.75,7412:364:4,0.24
Lycenchelys,porifer,45.75,-129.75,7412:459:4,0.20
Lycenchelys,porifer,46.75,-129.75,7412:469:4,0.24
Lycenchelys,porifer,45.75,-130.25,7413:350:3,0.21
Lycenchelys,porifer,46.25,-130.25,7413:360:1,0.24
Lycenchelys,porifer,46.25,-130.75,7413:360:2,0.20
Lycenchelys,porifer,46.75,-130.75,7413:360:4,0.38
Lycenchelys,porifer,53.25,-134.75,7513:134:2,0.33
Lycenchelys,porifer,54.25,-133.75,7513:143:2,0.28
Lycenchelys,porifer,54.75,-136.75,7513:246:4,0.27
Lycenchelys,porifer,-0.25,-80.75,5008:100:2,0.44
Lycenchelys,porifer,-0.75,-87.25,5008:207:3,0.44
Lycenchelys,porifer,-1.25,-90.75,5009:110:2,0.55
Lycenchelys,porifer,-12.75,-77.25,5107:227:3,0.45
Lycenchelys,porifer,-17.25,-72.25,5107:372:1,0.56
Lycenchelys,porifer,-30.75,-71.75,5307:101:4,0.56
Lycenchelys,porifer,-33.25,-77.25,5307:237:1,0.50
Lycenchelys,porifer,-36.75,-73.75,5307:363:4,0.51
Lycenchelys,porifer,-39.75,-74.75,5307:394:4,0.48
Lycenchelys,porifer,-40.25,-74.25,5407:104:1,0.41
Lycenchelys,porifer,-43.25,-75.25,5407:235:1,0.49
Lycenchelys,porifer,-54.75,-72.75,5507:142:4,0.40
Lycenchelys,porifer,-51.75,-75.75,5507:215:4,0.46
Lycenchelys,porifer,-52.25,-75.75,5507:225:2,0.56
Lycenchelys,porifer,-53.25,-75.75,5507:235:2,0.56
Lycenchelys,porifer,-55.25,-71.75,5507:351:2,0.41
Lycenchelys,porifer,-55.25,-72.25,5507:352:1,0.46
Lycenchelys,porifer,4.25,-77.75,7007:247:2,0.47
Lycenchelys,porifer,3.25,-80.25,7008:130:1,0.46
Lycenchelys,porifer,4.75,-80.75,7008:140:4,0.58
Lycenchelys,porifer,7.25,-83.75,7008:373:2,0.48
Lycenchelys,porifer,8.25,-84.25,7008:384:1,0.49
Lycenchelys,porifer,8.75,-84.25,7008:384:3,0.59
