Mapping parameters for Pseudonezumia parvipes ()

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 71,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1992,2028,2139,2308
Temperature (°C),1,0.38,2.3,5.29,7.05
Salinity (psu),1,34.07,34.57,34.65,35.15
Primary Production,1,258,298.8,682.2,935.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,19,22.6,199,256.5
 

Map data (HSPEC) for predicted occurrences (n = 3111): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pseudonezumia,parvipes,2.75,118.25,1011:228:3,0.03
Pseudonezumia,parvipes,7.25,111.25,1011:371:1,0.10
Pseudonezumia,parvipes,9.25,110.75,1011:390:2,0.16
Pseudonezumia,parvipes,9.25,111.75,1011:391:2,0.17
Pseudonezumia,parvipes,9.75,111.25,1011:391:3,0.05
Pseudonezumia,parvipes,9.75,111.75,1011:391:4,0.12
Pseudonezumia,parvipes,9.75,113.75,1011:393:4,0.10
Pseudonezumia,parvipes,8.25,116.75,1011:486:2,0.18
Pseudonezumia,parvipes,0.75,124.75,1012:104:4,0.09
Pseudonezumia,parvipes,3.25,133.25,1013:133:1,0.03
Pseudonezumia,parvipes,3.75,133.25,1013:133:3,0.14
Pseudonezumia,parvipes,3.75,133.75,1013:133:4,0.10
Pseudonezumia,parvipes,4.75,131.75,1013:141:4,0.04
Pseudonezumia,parvipes,4.75,132.25,1013:142:3,0.09
Pseudonezumia,parvipes,4.25,133.25,1013:143:1,0.17
Pseudonezumia,parvipes,4.25,133.75,1013:143:2,0.02
Pseudonezumia,parvipes,8.25,134.75,1013:384:2,0.17
Pseudonezumia,parvipes,3.75,154.25,1015:134:3,0.19
Pseudonezumia,parvipes,0.75,158.25,1015:208:3,0.19
Pseudonezumia,parvipes,0.75,158.75,1015:208:4,0.11
Pseudonezumia,parvipes,1.25,155.75,1015:215:2,0.08
Pseudonezumia,parvipes,1.75,157.25,1015:217:3,0.11
Pseudonezumia,parvipes,5.75,157.75,1015:457:4,0.01
Pseudonezumia,parvipes,5.25,158.25,1015:458:1,0.18
Pseudonezumia,parvipes,6.75,159.75,1015:469:4,0.14
Pseudonezumia,parvipes,7.75,155.25,1015:475:3,0.07
Pseudonezumia,parvipes,0.75,175.25,1017:205:3,0.02
Pseudonezumia,parvipes,1.25,175.25,1017:215:1,0.08
Pseudonezumia,parvipes,6.75,171.25,1017:361:3,0.15
Pseudonezumia,parvipes,7.25,172.25,1017:372:1,0.13
Pseudonezumia,parvipes,7.25,172.75,1017:372:2,0.16
Pseudonezumia,parvipes,8.75,171.25,1017:381:3,0.12
Pseudonezumia,parvipes,10.25,112.25,1111:102:1,0.05
Pseudonezumia,parvipes,10.25,113.75,1111:103:2,0.02
Pseudonezumia,parvipes,10.75,113.75,1111:103:4,0.07
Pseudonezumia,parvipes,11.75,114.25,1111:114:3,0.12
Pseudonezumia,parvipes,13.25,114.75,1111:134:2,0.17
Pseudonezumia,parvipes,10.75,115.25,1111:205:3,0.17
Pseudonezumia,parvipes,11.75,116.25,1111:216:3,0.17
Pseudonezumia,parvipes,13.75,115.75,1111:235:4,0.17
Pseudonezumia,parvipes,14.25,115.75,1111:245:2,0.07
Pseudonezumia,parvipes,14.75,116.25,1111:246:3,0.11
Pseudonezumia,parvipes,15.25,116.75,1111:456:2,0.10
Pseudonezumia,parvipes,15.75,116.25,1111:456:3,0.10
Pseudonezumia,parvipes,15.75,116.75,1111:456:4,0.06
Pseudonezumia,parvipes,15.75,119.25,1111:459:3,0.12
Pseudonezumia,parvipes,16.25,116.25,1111:466:1,0.10
Pseudonezumia,parvipes,16.75,118.75,1111:468:4,0.15
Pseudonezumia,parvipes,17.25,119.25,1111:479:1,0.12
Pseudonezumia,parvipes,16.75,122.25,1112:362:3,0.04
Pseudonezumia,parvipes,17.75,122.75,1112:372:4,0.13
Pseudonezumia,parvipes,11.25,162.25,1116:112:1,0.05
Pseudonezumia,parvipes,20.75,121.25,1212:101:3,0.14
Pseudonezumia,parvipes,20.75,122.25,1212:102:3,0.02
Pseudonezumia,parvipes,21.25,121.75,1212:111:2,0.17
Pseudonezumia,parvipes,22.75,121.25,1212:121:3,0.18
Pseudonezumia,parvipes,23.75,122.25,1212:132:3,0.03
Pseudonezumia,parvipes,23.75,123.25,1212:133:3,0.06
Pseudonezumia,parvipes,23.75,123.75,1212:133:4,0.09
Pseudonezumia,parvipes,23.75,124.75,1212:134:4,0.05
Pseudonezumia,parvipes,23.75,126.25,1212:236:3,0.06
