Mapping parameters for Macruronus magellanicus (Patagonian grenadier)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  41 |  87 ,
Bounding Box (NSWE): ,-34,-60,-79,-52

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,30,85,243,500
Temperature (°C),1,1.96,6.93,12.6,19.53
Salinity (psu),1,30.04,33.8,34.8,35.89
Primary Production (mgC·m-3·day-1) ,1,0.43,6.7,17.79,84.7
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,83.2,231.81,296.58,349.67
Distance to Land (km),0,2,17,371,554
 

Map data (HSPEC) for predicted occurrences (n = 880): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Macruronus,magellanicus,-34.25,-52.25,5305:142:1,0.13
Macruronus,magellanicus,-34.25,-52.75,5305:142:2,0.10
Macruronus,magellanicus,-34.75,-52.25,5305:142:3,0.09
Macruronus,magellanicus,-34.75,-52.75,5305:142:4,0.15
Macruronus,magellanicus,-34.25,-53.25,5305:143:1,0.05
Macruronus,magellanicus,-34.25,-53.75,5305:143:2,0.06
Macruronus,magellanicus,-34.75,-53.25,5305:143:3,0.08
Macruronus,magellanicus,-34.75,-53.75,5305:143:4,0.04
Macruronus,magellanicus,-35.25,-52.75,5305:352:2,0.18
Macruronus,magellanicus,-35.75,-52.75,5305:352:4,0.13
Macruronus,magellanicus,-35.25,-53.25,5305:353:1,0.16
Macruronus,magellanicus,-35.25,-53.75,5305:353:2,0.09
Macruronus,magellanicus,-35.75,-53.75,5305:353:4,0.18
Macruronus,magellanicus,-35.25,-54.25,5305:354:1,0.01
Macruronus,magellanicus,-35.75,-54.25,5305:354:3,0.08
Macruronus,magellanicus,-35.75,-54.75,5305:354:4,0.01
Macruronus,magellanicus,-36.25,-54.75,5305:364:2,0.07
Macruronus,magellanicus,-37.25,-55.75,5305:475:2,0.04
Macruronus,magellanicus,-37.75,-56.75,5305:476:4,0.09
Macruronus,magellanicus,-37.75,-57.25,5305:477:3,0.19
Macruronus,magellanicus,-38.75,-60.25,5306:380:3,0.16
Macruronus,magellanicus,-38.75,-60.75,5306:380:4,0.04
Macruronus,magellanicus,-38.75,-61.75,5306:381:4,0.03
Macruronus,magellanicus,-38.75,-62.25,5306:382:3,0.14
Macruronus,magellanicus,-39.25,-60.75,5306:390:2,0.03
Macruronus,magellanicus,-39.75,-60.75,5306:390:4,0.06
Macruronus,magellanicus,-39.25,-61.25,5306:391:1,0.05
Macruronus,magellanicus,-39.25,-61.75,5306:391:2,0.08
