Mapping parameters for Menticirrhus americanus (Southern kingcroaker)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  31 |  41 ,
Bounding Box (NSWE): ,43,-42,-98,-34

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,5,21,40
Temperature (°C),1,13.44,17.03,28.14,32.34
Salinity (psu),1,7.84,26.81,36.23,37.13
Primary Production (mgC·m-3·day-1) ,1,0.15,1.17,37.11,102.5
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.01
Dissolved Bottom Oxygen (mmol·m-3),0,147.2,198.85,258.36,283.29
Distance to Land (km),0,0,7,96,778
 

Map data (HSPEC) for predicted occurrences (n = 1376): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Menticirrhus,americanus,-1.25,-49.25,5004:219:1,0.11
Menticirrhus,americanus,-2.25,-49.25,5004:229:1,0.12
Menticirrhus,americanus,-0.25,-50.25,5005:100:1,0.14
Menticirrhus,americanus,-0.25,-50.75,5005:100:2,0.10
Menticirrhus,americanus,-0.75,-50.75,5005:100:4,0.05
Menticirrhus,americanus,-0.25,-51.25,5005:101:1,0.15
Menticirrhus,americanus,-12.25,-37.25,5103:227:1,0.07
Menticirrhus,americanus,-12.25,-37.75,5103:227:2,0.09
Menticirrhus,americanus,-12.75,-37.75,5103:227:4,0.01
Menticirrhus,americanus,-12.75,-38.75,5103:228:4,0.03
Menticirrhus,americanus,-13.25,-38.75,5103:238:2,0.05
Menticirrhus,americanus,-14.25,-39.25,5103:249:1,0.07
Menticirrhus,americanus,-15.25,-39.25,5103:459:1,0.04
Menticirrhus,americanus,-16.25,-38.75,5103:468:2,0.05
Menticirrhus,americanus,-16.25,-39.25,5103:469:1,0.16
Menticirrhus,americanus,-16.75,-39.25,5103:469:3,0.19
Menticirrhus,americanus,-17.25,-38.75,5103:478:2,0.02
Menticirrhus,americanus,-17.75,-38.75,5103:478:4,0.06
Menticirrhus,americanus,-18.25,-38.75,5103:488:2,0.01
Menticirrhus,americanus,-18.25,-39.25,5103:489:1,0.13
Menticirrhus,americanus,-18.75,-39.25,5103:489:3,0.04
Menticirrhus,americanus,-19.25,-39.25,5103:499:1,0.07
Menticirrhus,americanus,-20.25,-39.75,5203:209:2,0.04
Menticirrhus,americanus,-21.25,-40.25,5204:110:1,0.03
Menticirrhus,americanus,-21.75,-40.25,5204:110:3,0.10
Menticirrhus,americanus,-22.25,-40.25,5204:120:1,0.12
Menticirrhus,americanus,-22.75,-40.75,5204:120:4,0.01
Menticirrhus,americanus,-24.25,-45.25,5204:245:1,0.05
Menticirrhus,americanus,-25.75,-45.25,5204:455:3,0.09
Menticirrhus,americanus,-25.75,-47.25,5204:457:3,0.05
Menticirrhus,americanus,-29.75,-49.25,5204:499:3,0.16
Menticirrhus,americanus,-31.25,-49.75,5304:219:2,0.05
Menticirrhus,americanus,-36.75,-54.25,5305:364:3,0.17
Menticirrhus,americanus,-35.25,-56.75,5305:456:2,0.13
Menticirrhus,americanus,-37.75,-56.25,5305:476:3,0.05
Menticirrhus,americanus,-38.25,-56.25,5305:486:1,0.11
Menticirrhus,americanus,-38.75,-56.75,5305:486:4,0.04
Menticirrhus,americanus,-38.75,-57.25,5305:487:3,0.06
Menticirrhus,americanus,-38.75,-57.75,5305:487:4,0.04
Menticirrhus,americanus,-39.25,-57.75,5305:497:2,0.09
Menticirrhus,americanus,-39.25,-59.25,5305:499:1,0.17
Menticirrhus,americanus,-39.75,-60.25,5306:390:3,0.13
Menticirrhus,americanus,-40.25,-59.75,5405:209:2,0.03
Menticirrhus,americanus,-40.25,-60.75,5406:100:2,0.13
Menticirrhus,americanus,-40.75,-60.75,5406:100:4,0.18
Menticirrhus,americanus,-40.75,-61.25,5406:101:3,0.18
Menticirrhus,americanus,-41.25,-60.75,5406:110:2,0.14
Menticirrhus,americanus,-41.75,-60.75,5406:110:4,0.04
Menticirrhus,americanus,-41.25,-61.75,5406:111:2,0.02
Menticirrhus,americanus,-41.75,-61.25,5406:111:3,0.08
Menticirrhus,americanus,-41.25,-62.25,5406:112:1,0.15
Menticirrhus,americanus,-41.25,-62.75,5406:112:2,0.11
Menticirrhus,americanus,-41.75,-62.25,5406:112:3,0.11
Menticirrhus,americanus,-41.75,-62.75,5406:112:4,0.06
Menticirrhus,americanus,-41.25,-63.25,5406:113:1,0.06
Menticirrhus,americanus,-41.25,-63.75,5406:113:2,0.01
Menticirrhus,americanus,-41.75,-63.25,5406:113:3,0.04
Menticirrhus,americanus,-41.75,-63.75,5406:113:4,0.04
Menticirrhus,americanus,-41.75,-65.25,5406:215:3,0.17
Menticirrhus,americanus,0.25,-49.75,7004:209:2,0.12
Menticirrhus,americanus,0.75,-49.75,7004:209:4,0.14
Menticirrhus,americanus,1.25,-49.75,7004:219:2,0.13
Menticirrhus,americanus,0.75,-50.75,7005:100:4,0.05
Menticirrhus,americanus,0.25,-51.25,7005:101:1,0.07
Menticirrhus,americanus,1.75,-50.75,7005:110:4,0.08
Menticirrhus,americanus,7.25,-55.25,7005:475:1,0.11
Menticirrhus,americanus,9.75,-78.25,7007:498:3,0.10
Menticirrhus,americanus,9.75,-78.75,7007:498:4,0.15
Menticirrhus,americanus,9.75,-79.25,7007:499:3,0.18
Menticirrhus,americanus,10.25,-60.25,7106:100:1,0.10
Menticirrhus,americanus,18.25,-66.75,7106:486:2,0.10
Menticirrhus,americanus,18.75,-66.25,7106:486:3,0.17
Menticirrhus,americanus,12.75,-71.75,7107:121:4,0.10
Menticirrhus,americanus,18.75,-73.75,7107:383:4,0.06
Menticirrhus,americanus,18.25,-74.25,7107:384:1,0.19
Menticirrhus,americanus,18.75,-74.25,7107:384:3,0.06
Menticirrhus,americanus,18.75,-74.75,7107:384:4,0.06
Menticirrhus,americanus,19.75,-74.75,7107:394:4,0.01
Menticirrhus,americanus,18.25,-76.25,7107:486:1,0.08
Menticirrhus,americanus,18.25,-76.75,7107:486:2,0.14
Menticirrhus,americanus,18.75,-77.25,7107:487:3,0.11
Menticirrhus,americanus,18.75,-77.75,7107:487:4,0.16
Menticirrhus,americanus,19.75,-76.75,7107:496:4,0.11
Menticirrhus,americanus,19.75,-77.25,7107:497:3,0.04
Menticirrhus,americanus,19.75,-79.75,7107:499:4,0.11
Menticirrhus,americanus,12.25,-81.25,7108:121:1,0.14
Menticirrhus,americanus,12.25,-81.75,7108:121:2,0.18
Menticirrhus,americanus,13.75,-81.75,7108:131:4,0.11
Menticirrhus,americanus,16.75,-82.75,7108:362:4,0.19
Menticirrhus,americanus,16.75,-83.25,7108:363:3,0.15
Menticirrhus,americanus,16.25,-84.75,7108:364:2,0.19
Menticirrhus,americanus,19.75,-80.25,7108:390:3,0.08
Menticirrhus,americanus,19.25,-81.25,7108:391:1,0.19
Menticirrhus,americanus,15.75,-88.25,7108:458:3,0.14
Menticirrhus,americanus,16.25,-85.25,7108:465:1,0.07
Menticirrhus,americanus,16.25,-85.75,7108:465:2,0.09
Menticirrhus,americanus,16.75,-85.75,7108:465:4,0.09
Menticirrhus,americanus,16.25,-86.25,7108:466:1,0.05
Menticirrhus,americanus,16.25,-86.75,7108:466:2,0.01
Menticirrhus,americanus,16.75,-87.75,7108:467:4,0.01
Menticirrhus,americanus,17.25,-87.25,7108:477:1,0.08
Menticirrhus,americanus,17.25,-87.75,7108:477:2,0.04
Menticirrhus,americanus,19.75,-92.25,7109:392:3,0.09
Menticirrhus,americanus,20.25,-69.75,7206:209:2,0.02
Menticirrhus,americanus,20.75,-69.75,7206:209:4,0.06
Menticirrhus,americanus,20.25,-74.75,7207:104:2,0.12
Menticirrhus,americanus,20.75,-74.75,7207:104:4,0.09
Menticirrhus,americanus,21.25,-71.75,7207:111:2,0.04
Menticirrhus,americanus,21.75,-71.75,7207:111:4,0.05
Menticirrhus,americanus,21.75,-72.25,7207:112:3,0.05
Menticirrhus,americanus,20.25,-78.25,7207:208:1,0.09
Menticirrhus,americanus,21.25,-75.75,7207:215:2,0.17
Menticirrhus,americanus,21.75,-75.75,7207:215:4,0.02
Menticirrhus,americanus,21.25,-79.75,7207:219:2,0.02
Menticirrhus,americanus,21.75,-79.75,7207:219:4,0.10
Menticirrhus,americanus,22.25,-75.75,7207:225:2,0.17
Menticirrhus,americanus,22.25,-76.25,7207:226:1,0.13
Menticirrhus,americanus,23.25,-75.25,7207:235:1,0.06
Menticirrhus,americanus,23.25,-75.75,7207:235:2,0.18
Menticirrhus,americanus,23.25,-76.25,7207:236:1,0.15
Menticirrhus,americanus,23.25,-76.75,7207:236:2,0.14
Menticirrhus,americanus,23.75,-76.25,7207:236:3,0.12
Menticirrhus,americanus,23.75,-77.75,7207:237:4,0.15
Menticirrhus,americanus,23.75,-78.25,7207:238:3,0.17
Menticirrhus,americanus,24.25,-76.75,7207:246:2,0.17
Menticirrhus,americanus,24.75,-76.75,7207:246:4,0.01
Menticirrhus,americanus,24.25,-77.25,7207:247:1,0.02
Menticirrhus,americanus,24.25,-77.75,7207:247:2,0.09
Menticirrhus,americanus,24.75,-77.25,7207:247:3,0.14
Menticirrhus,americanus,24.25,-78.25,7207:248:1,0.14
Menticirrhus,americanus,25.25,-76.25,7207:456:1,0.11
Menticirrhus,americanus,25.75,-76.75,7207:456:4,0.08
Menticirrhus,americanus,25.25,-77.25,7207:457:1,0.12
Menticirrhus,americanus,25.25,-77.75,7207:457:2,0.05
Menticirrhus,americanus,26.25,-76.75,7207:466:2,0.07
Menticirrhus,americanus,21.75,-81.25,7208:111:3,0.05
Menticirrhus,americanus,21.75,-81.75,7208:111:4,0.07
Menticirrhus,americanus,21.75,-82.25,7208:112:3,0.07
Menticirrhus,americanus,21.75,-82.75,7208:112:4,0.04
Menticirrhus,americanus,22.25,-80.75,7208:120:2,0.17
Menticirrhus,americanus,22.75,-80.25,7208:120:3,0.11
Menticirrhus,americanus,22.25,-81.25,7208:121:1,0.01
Menticirrhus,americanus,22.25,-81.75,7208:121:2,0.10
Menticirrhus,americanus,22.25,-82.25,7208:122:1,0.10
Menticirrhus,americanus,22.25,-82.75,7208:122:2,0.11
Menticirrhus,americanus,22.25,-83.25,7208:123:1,0.12
Menticirrhus,americanus,22.25,-83.75,7208:123:2,0.04
Menticirrhus,americanus,22.25,-84.25,7208:124:1,0.09
Menticirrhus,americanus,22.25,-84.75,7208:124:2,0.11
Menticirrhus,americanus,24.75,-83.75,7208:143:4,0.06
Menticirrhus,americanus,21.75,-86.25,7208:216:3,0.05
Menticirrhus,americanus,23.75,-88.75,7208:238:4,0.18
Menticirrhus,americanus,25.25,-82.75,7208:352:2,0.19
Menticirrhus,americanus,25.25,-83.25,7208:353:1,0.12
Menticirrhus,americanus,25.75,-83.25,7208:353:3,0.19
Menticirrhus,americanus,27.25,-83.75,7208:373:2,0.16
Menticirrhus,americanus,27.75,-84.25,7208:374:3,0.16
Menticirrhus,americanus,20.25,-92.25,7209:102:1,0.02
Menticirrhus,americanus,20.75,-92.25,7209:102:3,0.03
Menticirrhus,americanus,21.25,-92.25,7209:112:1,0.04
Menticirrhus,americanus,21.75,-92.25,7209:112:3,0.10
Menticirrhus,americanus,22.25,-92.25,7209:122:1,0.18
Menticirrhus,americanus,25.75,-90.25,7209:350:3,0.12
Menticirrhus,americanus,28.25,-92.25,7209:382:1,0.13
Menticirrhus,americanus,28.25,-93.25,7209:383:1,0.03
Menticirrhus,americanus,25.25,-96.75,7209:456:2,0.15
Menticirrhus,americanus,39.25,-73.25,7307:393:1,0.18
Menticirrhus,americanus,39.25,-75.75,7307:495:2,0.08
Menticirrhus,americanus,39.75,-75.75,7307:495:4,0.05
Menticirrhus,americanus,39.25,-76.75,7307:496:2,0.06
Menticirrhus,americanus,39.75,-76.25,7307:496:3,0.18
Menticirrhus,americanus,40.75,-71.75,7407:101:4,0.04
Menticirrhus,americanus,40.25,-72.75,7407:102:2,0.03
Menticirrhus,americanus,40.25,-73.25,7407:103:1,0.17
Menticirrhus,americanus,40.25,-73.75,7407:103:2,0.17
Menticirrhus,americanus,40.25,-74.25,7407:104:1,0.04
Menticirrhus,americanus,-7.25,-34.25,5003:374:1,0.22
Menticirrhus,americanus,-7.75,-34.75,5003:374:4,0.38
Menticirrhus,americanus,-8.25,-34.75,5003:384:2,0.32
Menticirrhus,americanus,-8.75,-34.75,5003:384:4,0.30
Menticirrhus,americanus,-9.25,-34.75,5003:394:2,0.29
Menticirrhus,americanus,-8.75,-35.25,5003:485:3,0.37
Menticirrhus,americanus,-9.25,-35.25,5003:495:1,0.29
Menticirrhus,americanus,-9.25,-35.75,5003:495:2,0.36
Menticirrhus,americanus,-9.75,-35.25,5003:495:3,0.24
Menticirrhus,americanus,-9.75,-35.75,5003:495:4,0.33
Menticirrhus,americanus,-2.25,-44.75,5004:124:2,0.25
Menticirrhus,americanus,-3.25,-44.75,5004:134:2,0.25
Menticirrhus,americanus,-0.25,-49.25,5004:209:1,0.20
Menticirrhus,americanus,-0.25,-49.75,5004:209:2,0.20
Menticirrhus,americanus,-1.75,-49.75,5004:219:4,0.36
Menticirrhus,americanus,-0.75,-51.25,5005:101:3,0.21
Menticirrhus,americanus,-1.75,-50.25,5005:110:3,0.31
Menticirrhus,americanus,-10.75,-37.25,5103:207:3,0.20
Menticirrhus,americanus,-11.25,-37.25,5103:217:1,0.39
Menticirrhus,americanus,-11.75,-37.25,5103:217:3,0.20
Menticirrhus,americanus,-11.75,-37.75,5103:217:4,0.26
Menticirrhus,americanus,-14.75,-39.25,5103:249:3,0.21
Menticirrhus,americanus,-17.25,-39.25,5103:479:1,0.24
Menticirrhus,americanus,-17.75,-39.25,5103:479:3,0.20
Menticirrhus,americanus,-18.25,-39.75,5103:489:2,0.29
Menticirrhus,americanus,-18.75,-39.75,5103:489:4,0.26
Menticirrhus,americanus,-20.75,-40.25,5204:100:3,0.23
Menticirrhus,americanus,-22.75,-41.25,5204:121:3,0.36
Menticirrhus,americanus,-23.25,-41.75,5204:131:2,0.37
Menticirrhus,americanus,-26.25,-47.75,5204:467:2,0.37
Menticirrhus,americanus,-34.75,-56.25,5305:246:3,0.30
Menticirrhus,americanus,-36.75,-54.75,5305:364:4,0.22
Menticirrhus,americanus,-35.75,-56.75,5305:456:4,0.38
Menticirrhus,americanus,-35.75,-57.25,5305:457:3,0.27
Menticirrhus,americanus,-37.25,-55.75,5305:475:2,0.29
Menticirrhus,americanus,-38.25,-56.75,5305:486:2,0.27
Menticirrhus,americanus,-39.25,-58.25,5305:498:1,0.20
Menticirrhus,americanus,-39.25,-58.75,5305:498:2,0.24
Menticirrhus,americanus,-39.75,-59.75,5305:499:4,0.22
Menticirrhus,americanus,-39.75,-62.25,5306:392:3,0.38
Menticirrhus,americanus,-40.25,-61.25,5406:101:1,0.28
Menticirrhus,americanus,-40.25,-61.75,5406:101:2,0.36
Menticirrhus,americanus,-40.75,-61.75,5406:101:4,0.24
Menticirrhus,americanus,-40.25,-62.25,5406:102:1,0.33
Menticirrhus,americanus,-40.75,-62.25,5406:102:3,0.28
Menticirrhus,americanus,-40.75,-62.75,5406:102:4,0.30
Menticirrhus,americanus,-40.75,-64.25,5406:104:3,0.33
Menticirrhus,americanus,-40.75,-64.75,5406:104:4,0.31
Menticirrhus,americanus,-41.25,-61.25,5406:111:1,0.20
Menticirrhus,americanus,-40.75,-65.25,5406:205:3,0.26
Menticirrhus,americanus,-41.25,-65.25,5406:215:1,0.24
Menticirrhus,americanus,0.25,-48.75,7004:208:2,0.31
Menticirrhus,americanus,0.75,-48.75,7004:208:4,0.24
Menticirrhus,americanus,0.25,-49.25,7004:209:1,0.20
