Mapping parameters for Menticirrhus paitensis (Paita kingcroaker)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77 |  87,
Bounding Box (NSWE): ,22,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,10.61,21.22,29.3,33.5
Salinity (psu),1,30.19,32.22,35.04,37.44
Primary Production,1,321,620,2519,3893
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,8.5,18,27,36.5
 

Map data (HSPEC) for predicted occurrences (n = 419): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Menticirrhus,paitensis,-8.25,-79.75,5007:489:2,0.08
Menticirrhus,paitensis,-7.75,-140.25,5014:370:3,0.05
Menticirrhus,paitensis,-7.75,-140.75,5014:370:4,0.07
Menticirrhus,paitensis,-8.25,-140.75,5014:380:2,0.19
Menticirrhus,paitensis,-16.75,-143.25,5114:363:3,0.09
Menticirrhus,paitensis,-16.75,-143.75,5114:363:4,0.06
Menticirrhus,paitensis,-16.75,-144.75,5114:364:4,0.02
Menticirrhus,paitensis,-15.75,-145.75,5114:455:4,0.19
Menticirrhus,paitensis,-15.75,-146.25,5114:456:3,0.02
Menticirrhus,paitensis,-15.25,-147.75,5114:457:2,0.18
Menticirrhus,paitensis,-16.75,-145.25,5114:465:3,0.07
Menticirrhus,paitensis,-28.75,-71.75,5207:381:4,0.09
Menticirrhus,paitensis,-33.75,-77.75,5307:237:4,0.08
Menticirrhus,paitensis,-37.25,-73.25,5307:373:1,0.12
Menticirrhus,paitensis,-39.25,-73.25,5307:393:1,0.17
Menticirrhus,paitensis,-39.75,-73.25,5307:393:3,0.18
Menticirrhus,paitensis,-33.75,-80.75,5308:130:4,0.07
Menticirrhus,paitensis,-41.25,-72.25,5407:112:1,0.04
Menticirrhus,paitensis,-41.75,-72.25,5407:112:3,0.04
Menticirrhus,paitensis,-41.25,-73.25,5407:113:1,0.09
Menticirrhus,paitensis,-43.25,-72.75,5407:132:2,0.18
Menticirrhus,paitensis,-43.75,-72.75,5407:132:4,0.18
Menticirrhus,paitensis,-43.25,-73.25,5407:133:1,0.17
Menticirrhus,paitensis,-43.25,-73.75,5407:133:2,0.17
Menticirrhus,paitensis,-43.75,-73.25,5407:133:3,0.17
Menticirrhus,paitensis,-43.75,-73.75,5407:133:4,0.17
Menticirrhus,paitensis,-43.25,-74.25,5407:134:1,0.17
Menticirrhus,paitensis,-43.25,-74.75,5407:134:2,0.17
Menticirrhus,paitensis,-43.75,-74.25,5407:134:3,0.17
Menticirrhus,paitensis,-43.75,-74.75,5407:134:4,0.17
Menticirrhus,paitensis,-44.25,-72.75,5407:142:2,0.15
Menticirrhus,paitensis,-44.75,-72.75,5407:142:4,0.15
Menticirrhus,paitensis,-44.25,-73.25,5407:143:1,0.14
Menticirrhus,paitensis,-44.25,-73.75,5407:143:2,0.14
Menticirrhus,paitensis,-44.75,-73.25,5407:143:3,0.14
Menticirrhus,paitensis,-44.75,-73.75,5407:143:4,0.14
Menticirrhus,paitensis,-44.25,-74.25,5407:144:1,0.14
Menticirrhus,paitensis,-44.25,-74.75,5407:144:2,0.14
Menticirrhus,paitensis,-44.75,-74.25,5407:144:3,0.14
Menticirrhus,paitensis,-44.75,-74.75,5407:144:4,0.14
Menticirrhus,paitensis,-44.75,-75.25,5407:245:3,0.13
Menticirrhus,paitensis,-45.25,-72.75,5407:352:2,0.02
Menticirrhus,paitensis,-45.25,-73.25,5407:353:1,0.12
Menticirrhus,paitensis,-45.25,-73.75,5407:353:2,0.12
Menticirrhus,paitensis,-45.75,-73.25,5407:353:3,0.12
Menticirrhus,paitensis,-45.75,-73.75,5407:353:4,0.12
