Mapping parameters for Microchirus theophila (Bastard sole)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  34,
Bounding Box (NSWE): ,52,18,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,40,79,197,380
Temperature (°C),1,10.03,14.89,22.29,27.62
Salinity (psu),1,34.59,35.35,36.57,37.07
Primary Production,1,332,458,3443.6,3781
Sea Ice Concentration,1,-0.99625,0,0.00899999961256981,0.03
Distance to Land (km),0,13.7,14.7,214.399993896484,290
 

Map data (HSPEC) for predicted occurrences (n = 443): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Microchirus,theophila,49.25,0.25,1400:390:1,0.07
Microchirus,theophila,49.75,0.25,1400:390:3,0.04
Microchirus,theophila,49.75,0.75,1400:390:4,0.05
Microchirus,theophila,49.75,1.25,1400:391:3,0.02
Microchirus,theophila,50.25,0.25,1500:100:1,0.03
Microchirus,theophila,50.25,0.75,1500:100:2,0.03
Microchirus,theophila,50.75,0.25,1500:100:3,0.02
Microchirus,theophila,25.25,-19.25,7201:459:1,0.11
Microchirus,theophila,28.75,-16.25,7201:486:3,0.03
Microchirus,theophila,35.75,-6.75,7300:456:4,0.04
Microchirus,theophila,37.25,-8.25,7300:478:1,0.05
Microchirus,theophila,38.75,-8.75,7300:488:4,0.03
Microchirus,theophila,38.25,-9.75,7300:489:2,0.06
Microchirus,theophila,30.25,-10.25,7301:100:1,0.12
Microchirus,theophila,31.25,-12.75,7301:112:2,0.06
Microchirus,theophila,30.25,-15.75,7301:205:2,0.02
Microchirus,theophila,36.75,-14.25,7301:364:3,0.07
Microchirus,theophila,36.75,-24.75,7302:364:4,0.09
Microchirus,theophila,36.75,-25.25,7302:465:3,0.12
Microchirus,theophila,37.25,-25.75,7302:475:2,0.11
Microchirus,theophila,34.25,-30.25,7303:140:1,0.01
Microchirus,theophila,34.25,-31.25,7303:141:1,0.01
Microchirus,theophila,37.25,-33.25,7303:373:1,0.02
Microchirus,theophila,46.25,-1.25,7400:361:1,0.14
Microchirus,theophila,46.75,-1.75,7400:361:4,0.01
Microchirus,theophila,48.75,-3.75,7400:383:4,0.13
Microchirus,theophila,49.25,-0.25,7400:390:1,0.06
Microchirus,theophila,49.75,-0.25,7400:390:3,0.05
Microchirus,theophila,49.75,-0.75,7400:390:4,0.06
Microchirus,theophila,49.25,-1.25,7400:391:1,0.15
Microchirus,theophila,49.75,-1.25,7400:391:3,0.13
Microchirus,theophila,49.75,-1.75,7400:391:4,0.17
Microchirus,theophila,50.25,-0.25,7500:100:1,0.03
Microchirus,theophila,50.25,-0.75,7500:100:2,0.11
Microchirus,theophila,50.75,-0.25,7500:100:3,0.02
Microchirus,theophila,50.75,-0.75,7500:100:4,0.02
Microchirus,theophila,50.25,-1.25,7500:101:1,0.15
Microchirus,theophila,50.25,-1.75,7500:101:2,0.18
Microchirus,theophila,50.75,-1.25,7500:101:3,0.16
Microchirus,theophila,50.75,-1.75,7500:101:4,0.08
Microchirus,theophila,50.25,-2.25,7500:102:1,0.13
Microchirus,theophila,50.75,-2.75,7500:102:4,0.19
Microchirus,theophila,51.25,-2.75,7500:112:2,0.18
Microchirus,theophila,51.75,-2.75,7500:112:4,0.17
Microchirus,theophila,51.75,-3.25,7500:113:3,0.03
Microchirus,theophila,51.25,-5.75,7500:215:2,0.18
Microchirus,theophila,51.25,-6.25,7500:216:1,0.19
Microchirus,theophila,51.25,-6.75,7500:216:2,0.19
Microchirus,theophila,51.75,-6.25,7500:216:3,0.19
Microchirus,theophila,51.75,-6.75,7500:216:4,0.19
Microchirus,theophila,51.75,-13.75,7501:113:4,0.02
Microchirus,theophila,51.75,-14.25,7501:114:3,0.14
Microchirus,theophila,22.25,-16.25,7201:226:1,0.33
Microchirus,theophila,23.75,-15.75,7201:235:4,0.26
Microchirus,theophila,29.75,-13.25,7201:393:3,0.37
Microchirus,theophila,27.75,-17.75,7201:477:4,0.33
Microchirus,theophila,27.75,-18.25,7201:478:3,0.21
Microchirus,theophila,28.25,-15.25,7201:485:1,0.35
Microchirus,theophila,28.25,-15.75,7201:485:2,0.33
Microchirus,theophila,28.25,-16.75,7201:486:2,0.28
Microchirus,theophila,28.25,-17.75,7201:487:2,0.36
Microchirus,theophila,28.75,-17.75,7201:487:4,0.24
Microchirus,theophila,33.75,-8.75,7300:238:4,0.35
Microchirus,theophila,34.25,-7.75,7300:247:2,0.37
Microchirus,theophila,30.75,-13.25,7301:103:3,0.31
Microchirus,theophila,36.75,-11.75,7301:361:4,0.20
Microchirus,theophila,37.25,-24.75,7302:374:2,0.32
Microchirus,theophila,37.25,-25.25,7302:475:1,0.28
Microchirus,theophila,37.75,-28.75,7302:478:4,0.28
Microchirus,theophila,38.75,-29.75,7302:489:4,0.30
Microchirus,theophila,42.75,-9.75,7400:229:4,0.36
Microchirus,theophila,44.25,-8.75,7400:248:2,0.23
Microchirus,theophila,45.75,-1.25,7400:351:3,0.30
Microchirus,theophila,46.25,-1.75,7400:361:2,0.25
Microchirus,theophila,46.75,-2.25,7400:362:3,0.38
Microchirus,theophila,47.25,-2.75,7400:372:2,0.36
Microchirus,theophila,47.75,-2.75,7400:372:4,0.36
Microchirus,theophila,48.75,-1.75,7400:381:4,0.37
Microchirus,theophila,49.25,-1.75,7400:391:2,0.33
Microchirus,theophila,49.25,-2.25,7400:392:1,0.36
Microchirus,theophila,49.25,-2.75,7400:392:2,0.24
