Mapping parameters for Leiostomus xanthurus (Spot croaker)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31,
Bounding Box (NSWE): ,43,19,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,6,31,60
Temperature (°C),1,10.91,12.72,26.02,30.22
Salinity (psu),1,28.87,32.54,36.08,39.94
Primary Production,1,224,544,1890,3875
Sea Ice Concentration,1,-1,0,0,0.02
Distance to Land (km),0,0,3,120,281
 

Map data (HSPEC) for predicted occurrences (n = 638): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Leiostomus,xanthurus,19.25,-68.75,7106:498:2,0.07
Leiostomus,xanthurus,19.75,-69.75,7106:499:4,0.16
Leiostomus,xanthurus,19.75,-70.25,7107:390:3,0.16
Leiostomus,xanthurus,19.75,-70.75,7107:390:4,0.15
Leiostomus,xanthurus,19.75,-71.25,7107:391:3,0.10
Leiostomus,xanthurus,19.75,-71.75,7107:391:4,0.16
Leiostomus,xanthurus,19.25,-72.75,7107:392:2,0.18
Leiostomus,xanthurus,19.75,-72.75,7107:392:4,0.19
Leiostomus,xanthurus,19.75,-73.25,7107:393:3,0.08
Leiostomus,xanthurus,19.75,-74.75,7107:394:4,0.07
Leiostomus,xanthurus,19.75,-75.25,7107:495:3,0.06
Leiostomus,xanthurus,19.75,-75.75,7107:495:4,0.06
Leiostomus,xanthurus,19.75,-76.25,7107:496:3,0.04
Leiostomus,xanthurus,19.75,-76.75,7107:496:4,0.06
Leiostomus,xanthurus,19.75,-77.25,7107:497:3,0.05
Leiostomus,xanthurus,19.75,-77.75,7107:497:4,0.07
Leiostomus,xanthurus,19.75,-79.75,7107:499:4,0.07
Leiostomus,xanthurus,19.75,-80.25,7108:390:3,0.07
Leiostomus,xanthurus,19.25,-81.25,7108:391:1,0.11
Leiostomus,xanthurus,19.25,-87.25,7108:497:1,0.18
Leiostomus,xanthurus,19.75,-87.25,7108:497:3,0.18
Leiostomus,xanthurus,20.25,-69.75,7206:209:2,0.06
Leiostomus,xanthurus,20.75,-69.75,7206:209:4,0.13
Leiostomus,xanthurus,20.75,-70.25,7207:100:3,0.01
Leiostomus,xanthurus,20.25,-72.75,7207:102:2,0.14
Leiostomus,xanthurus,20.75,-73.25,7207:103:3,0.06
Leiostomus,xanthurus,20.75,-73.75,7207:103:4,0.05
Leiostomus,xanthurus,20.25,-74.25,7207:104:1,0.09
Leiostomus,xanthurus,20.25,-74.75,7207:104:2,0.09
Leiostomus,xanthurus,20.75,-74.75,7207:104:4,0.09
Leiostomus,xanthurus,21.25,-70.75,7207:110:2,0.01
Leiostomus,xanthurus,21.75,-71.25,7207:111:3,0.03
Leiostomus,xanthurus,21.75,-71.75,7207:111:4,0.10
Leiostomus,xanthurus,21.25,-72.75,7207:112:2,0.05
Leiostomus,xanthurus,21.75,-72.25,7207:112:3,0.17
Leiostomus,xanthurus,21.75,-72.75,7207:112:4,0.14
Leiostomus,xanthurus,21.25,-73.25,7207:113:1,0.03
Leiostomus,xanthurus,21.25,-73.75,7207:113:2,0.03
Leiostomus,xanthurus,21.75,-73.25,7207:113:3,0.01
Leiostomus,xanthurus,21.75,-73.75,7207:113:4,0.05
Leiostomus,xanthurus,22.25,-72.75,7207:122:2,0.02
Leiostomus,xanthurus,22.25,-73.25,7207:123:1,0.01
Leiostomus,xanthurus,22.25,-73.75,7207:123:2,0.04
Leiostomus,xanthurus,22.75,-73.25,7207:123:3,0.05
Leiostomus,xanthurus,22.75,-73.75,7207:123:4,0.07
Leiostomus,xanthurus,22.25,-74.75,7207:124:2,0.08
Leiostomus,xanthurus,22.75,-74.75,7207:124:4,0.07
Leiostomus,xanthurus,23.25,-73.75,7207:133:2,0.06
Leiostomus,xanthurus,23.25,-74.75,7207:134:2,0.09
Leiostomus,xanthurus,23.75,-74.25,7207:134:3,0.02
Leiostomus,xanthurus,23.75,-74.75,7207:134:4,0.06
Leiostomus,xanthurus,24.25,-74.25,7207:144:1,0.03
Leiostomus,xanthurus,20.25,-75.25,7207:205:1,0.02
Leiostomus,xanthurus,20.25,-75.75,7207:205:2,0.02
Leiostomus,xanthurus,20.75,-75.25,7207:205:3,0.18
Leiostomus,xanthurus,20.75,-75.75,7207:205:4,0.19
Leiostomus,xanthurus,20.25,-76.25,7207:206:1,0.13
Leiostomus,xanthurus,20.25,-78.25,7207:208:1,0.12
Leiostomus,xanthurus,21.25,-75.75,7207:215:2,0.18
Leiostomus,xanthurus,21.75,-75.25,7207:215:3,0.14
Leiostomus,xanthurus,21.25,-76.25,7207:216:1,0.18
Leiostomus,xanthurus,21.25,-77.25,7207:217:1,0.04
Leiostomus,xanthurus,23.25,-77.75,7207:237:2,0.11
Leiostomus,xanthurus,24.25,-75.25,7207:245:1,0.13
Leiostomus,xanthurus,24.25,-75.75,7207:245:2,0.18
Leiostomus,xanthurus,24.75,-75.75,7207:245:4,0.13
Leiostomus,xanthurus,24.25,-76.25,7207:246:1,0.18
Leiostomus,xanthurus,25.25,-76.25,7207:456:1,0.17
Leiostomus,xanthurus,28.25,-79.75,7207:489:2,0.14
Leiostomus,xanthurus,28.75,-79.75,7207:489:4,0.06
Leiostomus,xanthurus,21.75,-80.25,7208:110:3,0.17
Leiostomus,xanthurus,22.75,-80.25,7208:120:3,0.12
Leiostomus,xanthurus,24.75,-83.75,7208:143:4,0.16
Leiostomus,xanthurus,20.25,-86.75,7208:206:2,0.15
Leiostomus,xanthurus,20.25,-87.25,7208:207:1,0.17
Leiostomus,xanthurus,23.75,-87.75,7208:237:4,0.08
Leiostomus,xanthurus,23.75,-88.75,7208:238:4,0.08
Leiostomus,xanthurus,26.75,-81.75,7208:361:4,0.17
Leiostomus,xanthurus,27.25,-84.25,7208:374:1,0.09
Leiostomus,xanthurus,29.75,-86.75,7208:496:4,0.17
Leiostomus,xanthurus,22.75,-97.75,7209:227:4,0.17
Leiostomus,xanthurus,23.25,-97.75,7209:237:2,0.19
Leiostomus,xanthurus,29.75,-90.25,7209:390:3,0.17
Leiostomus,xanthurus,27.75,-95.25,7209:475:3,0.06
Leiostomus,xanthurus,27.25,-97.75,7209:477:2,0.17
Leiostomus,xanthurus,37.75,-76.75,7307:476:4,0.16
Leiostomus,xanthurus,38.75,-75.75,7307:485:4,0.17
Leiostomus,xanthurus,38.75,-77.25,7307:487:3,0.14
Leiostomus,xanthurus,39.25,-75.75,7307:495:2,0.08
Leiostomus,xanthurus,39.75,-75.25,7307:495:3,0.04
Leiostomus,xanthurus,39.75,-75.75,7307:495:4,0.06
Leiostomus,xanthurus,32.75,-80.75,7308:120:4,0.17
Leiostomus,xanthurus,30.25,-85.25,7308:205:1,0.17
Leiostomus,xanthurus,30.25,-93.75,7309:103:2,0.17
Leiostomus,xanthurus,41.25,-67.25,7406:217:1,0.04
Leiostomus,xanthurus,41.25,-67.75,7406:217:2,0.04
Leiostomus,xanthurus,41.75,-67.25,7406:217:3,0.04
Leiostomus,xanthurus,41.75,-67.75,7406:217:4,0.04
Leiostomus,xanthurus,40.25,-71.75,7407:101:2,0.10
Leiostomus,xanthurus,41.25,-71.25,7407:111:1,0.18
Leiostomus,xanthurus,19.25,-69.25,7106:499:1,0.32
Leiostomus,xanthurus,19.25,-69.75,7106:499:2,0.20
Leiostomus,xanthurus,19.75,-72.25,7107:392:3,0.24
Leiostomus,xanthurus,20.75,-70.75,7207:100:4,0.24
Leiostomus,xanthurus,21.25,-71.25,7207:111:1,0.26
Leiostomus,xanthurus,21.25,-71.75,7207:111:2,0.23
Leiostomus,xanthurus,22.25,-74.25,7207:124:1,0.37
Leiostomus,xanthurus,22.75,-74.25,7207:124:3,0.35
Leiostomus,xanthurus,20.75,-77.25,7207:207:3,0.31
Leiostomus,xanthurus,20.75,-77.75,7207:207:4,0.31
Leiostomus,xanthurus,20.75,-79.25,7207:209:3,0.22
Leiostomus,xanthurus,21.75,-75.75,7207:215:4,0.34
Leiostomus,xanthurus,21.25,-76.75,7207:216:2,0.35
Leiostomus,xanthurus,21.75,-76.75,7207:216:4,0.20
Leiostomus,xanthurus,21.75,-77.25,7207:217:3,0.27
Leiostomus,xanthurus,21.25,-79.25,7207:219:1,0.35
Leiostomus,xanthurus,22.25,-75.25,7207:225:1,0.20
Leiostomus,xanthurus,22.75,-75.75,7207:225:4,0.20
Leiostomus,xanthurus,22.25,-79.25,7207:229:1,0.38
Leiostomus,xanthurus,23.25,-75.25,7207:235:1,0.31
Leiostomus,xanthurus,23.75,-75.25,7207:235:3,0.20
Leiostomus,xanthurus,23.75,-75.75,7207:235:4,0.30
Leiostomus,xanthurus,23.25,-77.25,7207:237:1,0.25
Leiostomus,xanthurus,23.25,-79.75,7207:239:2,0.26
Leiostomus,xanthurus,24.75,-76.25,7207:246:3,0.23
Leiostomus,xanthurus,24.25,-79.75,7207:249:2,0.32
Leiostomus,xanthurus,25.75,-76.75,7207:456:4,0.31
Leiostomus,xanthurus,25.25,-77.25,7207:457:1,0.39
Leiostomus,xanthurus,26.25,-76.75,7207:466:2,0.35
Leiostomus,xanthurus,21.75,-80.75,7208:110:4,0.21
Leiostomus,xanthurus,21.25,-82.75,7208:112:2,0.33
Leiostomus,xanthurus,21.75,-84.25,7208:114:3,0.23
Leiostomus,xanthurus,22.25,-80.25,7208:120:1,0.33
Leiostomus,xanthurus,22.75,-84.25,7208:124:3,0.31
Leiostomus,xanthurus,23.25,-83.25,7208:133:1,0.36
Leiostomus,xanthurus,24.75,-80.25,7208:140:3,0.22
Leiostomus,xanthurus,24.75,-82.25,7208:142:3,0.36
Leiostomus,xanthurus,20.75,-86.75,7208:206:4,0.25
Leiostomus,xanthurus,20.75,-87.25,7208:207:3,0.32
Leiostomus,xanthurus,21.25,-86.25,7208:216:1,0.21
Leiostomus,xanthurus,21.25,-86.75,7208:216:2,0.26
Leiostomus,xanthurus,21.75,-86.25,7208:216:3,0.22
Leiostomus,xanthurus,21.25,-87.25,7208:217:1,0.28
Leiostomus,xanthurus,21.75,-87.75,7208:217:4,0.35
Leiostomus,xanthurus,22.25,-87.25,7208:227:1,0.29
Leiostomus,xanthurus,22.75,-87.25,7208:227:3,0.36
Leiostomus,xanthurus,23.25,-87.25,7208:237:1,0.33
Leiostomus,xanthurus,23.25,-87.75,7208:237:2,0.27
Leiostomus,xanthurus,25.25,-83.75,7208:353:2,0.27
Leiostomus,xanthurus,27.75,-80.75,7208:370:4,0.31
Leiostomus,xanthurus,29.25,-86.25,7208:496:1,0.38
Leiostomus,xanthurus,20.25,-91.75,7209:101:2,0.36
Leiostomus,xanthurus,20.75,-91.75,7209:101:4,0.34
Leiostomus,xanthurus,21.25,-91.25,7209:111:1,0.38
Leiostomus,xanthurus,21.75,-91.25,7209:111:3,0.23
Leiostomus,xanthurus,21.75,-91.75,7209:111:4,0.22
Leiostomus,xanthurus,21.25,-92.25,7209:112:1,0.39
Leiostomus,xanthurus,22.75,-90.75,7209:120:4,0.38
Leiostomus,xanthurus,22.25,-91.75,7209:121:2,0.38
Leiostomus,xanthurus,22.25,-92.25,7209:122:1,0.34
Leiostomus,xanthurus,23.25,-97.25,7209:237:1,0.24
Leiostomus,xanthurus,23.75,-97.75,7209:237:4,0.33
Leiostomus,xanthurus,25.75,-90.25,7209:350:3,0.33
Leiostomus,xanthurus,25.75,-96.25,7209:456:3,0.35
Leiostomus,xanthurus,32.75,-64.75,7306:124:4,0.29
