Mapping parameters for Muraenolepis marmorata (Marbled moray cod)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 48 |  58,
Bounding Box (NSWE): ,-44,-56,39,76

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,30,238,694,1600
Temperature (°C),1,0.11,2.14,5.49,7.8
Salinity (psu),1,33.21,33.71,33.82,34.32
Primary Production (mgC·m-3·day-1) ,1,0.61,2.28,5.79,8.42
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,139.59,207.48,324.39,336.23
Distance to Land (km),0,9,16,218,288
 

Map data (HSPEC) for predicted occurrences (n = 293): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Muraenolepis,marmorata,-45.25,39.75,3403:459:2,0.06
Muraenolepis,marmorata,-45.75,39.25,3403:459:3,0.18
Muraenolepis,marmorata,-45.75,39.75,3403:459:4,0.09
Muraenolepis,marmorata,-46.75,39.25,3403:469:3,0.01
Muraenolepis,marmorata,-45.25,40.25,3404:350:1,0.03
Muraenolepis,marmorata,-45.25,40.75,3404:350:2,0.10
Muraenolepis,marmorata,-45.75,40.75,3404:350:4,0.18
Muraenolepis,marmorata,-45.25,41.25,3404:351:1,0.11
Muraenolepis,marmorata,-45.25,42.75,3404:352:2,0.06
Muraenolepis,marmorata,-45.75,42.75,3404:352:4,0.14
Muraenolepis,marmorata,-45.25,43.25,3404:353:1,0.06
Muraenolepis,marmorata,-45.75,43.25,3404:353:3,0.07
Muraenolepis,marmorata,-45.25,44.75,3404:354:2,0.15
Muraenolepis,marmorata,-45.75,44.75,3404:354:4,0.03
Muraenolepis,marmorata,-45.25,45.25,3404:455:1,0.10
Muraenolepis,marmorata,-45.25,45.75,3404:455:2,0.16
Muraenolepis,marmorata,-45.25,46.25,3404:456:1,0.10
Muraenolepis,marmorata,-45.75,46.25,3404:456:3,0.02
Muraenolepis,marmorata,-45.25,47.25,3404:457:1,0.10
Muraenolepis,marmorata,-45.75,47.25,3404:457:3,0.15
Muraenolepis,marmorata,-45.25,49.25,3404:459:1,0.13
Muraenolepis,marmorata,-46.25,48.75,3404:468:2,0.09
Muraenolepis,marmorata,-45.75,51.75,3405:351:4,0.19
Muraenolepis,marmorata,-48.25,62.25,3406:382:1,0.12
Muraenolepis,marmorata,-48.25,62.75,3406:382:2,0.02
Muraenolepis,marmorata,-48.75,62.25,3406:382:3,0.16
Muraenolepis,marmorata,-49.25,63.75,3406:393:2,0.19
Muraenolepis,marmorata,-47.25,65.25,3406:475:1,0.17
Muraenolepis,marmorata,-48.25,69.75,3406:489:2,0.11
Muraenolepis,marmorata,-49.25,65.25,3406:495:1,0.05
Muraenolepis,marmorata,-49.25,65.75,3406:495:2,0.07
Muraenolepis,marmorata,-49.25,66.25,3406:496:1,0.19
Muraenolepis,marmorata,-48.25,70.25,3407:380:1,0.06
Muraenolepis,marmorata,-49.25,73.25,3407:393:1,0.19
Muraenolepis,marmorata,-50.25,66.25,3506:206:1,0.12
Muraenolepis,marmorata,-50.75,67.75,3506:207:4,0.02
Muraenolepis,marmorata,-50.75,68.25,3506:208:3,0.07
Muraenolepis,marmorata,-45.25,41.75,3404:351:2,0.34
Muraenolepis,marmorata,-45.75,41.25,3404:351:3,0.28
Muraenolepis,marmorata,-45.75,41.75,3404:351:4,0.38
Muraenolepis,marmorata,-45.25,42.25,3404:352:1,0.28
Muraenolepis,marmorata,-45.25,43.75,3404:353:2,0.20
Muraenolepis,marmorata,-45.25,44.25,3404:354:1,0.27
Muraenolepis,marmorata,-46.25,40.25,3404:360:1,0.22
Muraenolepis,marmorata,-46.75,40.25,3404:360:3,0.35
Muraenolepis,marmorata,-46.25,43.25,3404:363:1,0.38
Muraenolepis,marmorata,-45.75,45.25,3404:455:3,0.21
Muraenolepis,marmorata,-45.75,45.75,3404:455:4,0.22
Muraenolepis,marmorata,-45.25,46.75,3404:456:2,0.29
Muraenolepis,marmorata,-45.75,46.75,3404:456:4,0.34
Muraenolepis,marmorata,-45.25,51.25,3405:351:1,0.28
Muraenolepis,marmorata,-48.75,62.75,3406:382:4,0.38
Muraenolepis,marmorata,-48.75,63.25,3406:383:3,0.35
Muraenolepis,marmorata,-48.25,64.75,3406:384:2,0.25
Muraenolepis,marmorata,-49.25,62.75,3406:392:2,0.24
Muraenolepis,marmorata,-45.75,67.25,3406:457:3,0.32
Muraenolepis,marmorata,-45.75,68.25,3406:458:3,0.30
Muraenolepis,marmorata,-46.25,66.25,3406:466:1,0.21
Muraenolepis,marmorata,-47.75,65.25,3406:475:3,0.38
Muraenolepis,marmorata,-48.25,65.25,3406:485:1,0.35
Muraenolepis,marmorata,-49.25,68.75,3406:498:2,0.25
Muraenolepis,marmorata,-49.25,72.75,3407:392:2,0.37
Muraenolepis,marmorata,-51.25,55.25,3505:215:1,0.22
Muraenolepis,marmorata,-50.75,68.75,3506:208:4,0.22
Muraenolepis,marmorata,-51.75,69.75,3506:219:4,0.22
Muraenolepis,marmorata,-45.75,42.25,3404:352:3,0.48
Muraenolepis,marmorata,-46.25,42.25,3404:362:1,0.59
Muraenolepis,marmorata,-46.25,42.75,3404:362:2,0.58
Muraenolepis,marmorata,-47.75,43.75,3404:373:4,0.50
Muraenolepis,marmorata,-49.25,63.25,3406:393:1,0.40
Muraenolepis,marmorata,-49.75,63.25,3406:393:3,0.56
Muraenolepis,marmorata,-45.75,67.75,3406:457:4,0.54
Muraenolepis,marmorata,-46.75,65.75,3406:465:4,0.55
Muraenolepis,marmorata,-47.75,69.75,3406:479:4,0.49
Muraenolepis,marmorata,-48.75,68.75,3406:488:4,0.49
Muraenolepis,marmorata,-48.25,69.25,3406:489:1,0.44
Muraenolepis,marmorata,-46.75,71.25,3407:361:3,0.57
Muraenolepis,marmorata,-46.75,72.25,3407:362:3,0.43
Muraenolepis,marmorata,-47.75,70.25,3407:370:3,0.44
Muraenolepis,marmorata,-47.25,72.75,3407:372:2,0.47
Muraenolepis,marmorata,-47.75,73.25,3407:373:3,0.57
Muraenolepis,marmorata,-48.25,70.75,3407:380:2,0.51
Muraenolepis,marmorata,-50.25,64.25,3506:104:1,0.49
Muraenolepis,marmorata,-46.25,39.25,3403:469:1,0.61
Muraenolepis,marmorata,-46.25,39.75,3403:469:2,0.70
Muraenolepis,marmorata,-46.25,41.75,3404:361:2,0.61
Muraenolepis,marmorata,-46.75,42.75,3404:362:4,0.73
Muraenolepis,marmorata,-45.25,49.75,3404:459:2,0.71
Muraenolepis,marmorata,-45.25,50.25,3405:350:1,0.76
Muraenolepis,marmorata,-45.25,50.75,3405:350:2,0.76
Muraenolepis,marmorata,-46.25,67.75,3406:467:2,0.79
Muraenolepis,marmorata,-46.25,68.25,3406:468:1,0.75
Muraenolepis,marmorata,-46.75,69.75,3406:469:4,0.63
Muraenolepis,marmorata,-48.25,68.75,3406:488:2,0.77
Muraenolepis,marmorata,-49.75,69.25,3406:499:3,0.68
Muraenolepis,marmorata,-49.75,69.75,3406:499:4,0.70
Muraenolepis,marmorata,-46.75,71.75,3407:361:4,0.69
Muraenolepis,marmorata,-47.75,70.75,3407:370:4,0.70
Muraenolepis,marmorata,-50.25,63.75,3506:103:2,0.71
Muraenolepis,marmorata,-50.25,67.75,3506:207:2,0.60
Muraenolepis,marmorata,-51.25,69.75,3506:219:2,0.77
Muraenolepis,marmorata,-53.25,75.25,3507:235:1,0.70
Muraenolepis,marmorata,-53.25,75.75,3507:235:2,0.62
Muraenolepis,marmorata,-46.75,39.75,3403:469:4,0.90
Muraenolepis,marmorata,-48.25,44.25,3404:384:1,1.00
Muraenolepis,marmorata,-45.75,49.25,3404:459:3,0.85
Muraenolepis,marmorata,-45.75,49.75,3404:459:4,0.84
Muraenolepis,marmorata,-46.25,49.25,3404:469:1,1.00
Muraenolepis,marmorata,-46.25,49.75,3404:469:2,0.93
Muraenolepis,marmorata,-46.75,49.25,3404:469:3,0.95
Muraenolepis,marmorata,-46.75,49.75,3404:469:4,1.00
Muraenolepis,marmorata,-45.75,50.25,3405:350:3,0.89
Muraenolepis,marmorata,-45.75,50.75,3405:350:4,0.92
Muraenolepis,marmorata,-45.75,51.25,3405:351:3,0.95
Muraenolepis,marmorata,-46.25,50.25,3405:360:1,0.95
Muraenolepis,marmorata,-46.25,50.75,3405:360:2,1.00
Muraenolepis,marmorata,-46.75,50.25,3405:360:3,1.00
Muraenolepis,marmorata,-46.75,50.75,3405:360:4,1.00
Muraenolepis,marmorata,-46.25,51.25,3405:361:1,1.00
Muraenolepis,marmorata,-46.25,51.75,3405:361:2,1.00
Muraenolepis,marmorata,-46.75,51.25,3405:361:3,1.00
Muraenolepis,marmorata,-46.75,51.75,3405:361:4,1.00
Muraenolepis,marmorata,-46.25,52.25,3405:362:1,1.00
Muraenolepis,marmorata,-46.75,52.25,3405:362:3,1.00
Muraenolepis,marmorata,-46.75,52.75,3405:362:4,1.00
Muraenolepis,marmorata,-49.75,63.75,3406:393:4,1.00
Muraenolepis,marmorata,-49.75,64.25,3406:394:3,1.00
Muraenolepis,marmorata,-49.75,64.75,3406:394:4,1.00
Muraenolepis,marmorata,-46.25,66.75,3406:466:2,0.90
Muraenolepis,marmorata,-46.75,66.25,3406:466:3,0.84
Muraenolepis,marmorata,-46.75,66.75,3406:466:4,0.87
Muraenolepis,marmorata,-46.25,67.25,3406:467:1,0.84
Muraenolepis,marmorata,-46.75,67.25,3406:467:3,0.86
Muraenolepis,marmorata,-46.75,67.75,3406:467:4,0.86
Muraenolepis,marmorata,-46.75,68.25,3406:468:3,0.86
Muraenolepis,marmorata,-46.75,68.75,3406:468:4,0.86
Muraenolepis,marmorata,-46.75,69.25,3406:469:3,0.89
Muraenolepis,marmorata,-47.25,65.75,3406:475:2,0.97
Muraenolepis,marmorata,-47.75,65.75,3406:475:4,0.98
Muraenolepis,marmorata,-47.25,66.25,3406:476:1,0.89
Muraenolepis,marmorata,-47.25,66.75,3406:476:2,0.87
Muraenolepis,marmorata,-47.75,66.25,3406:476:3,0.92
Muraenolepis,marmorata,-47.75,66.75,3406:476:4,0.91
Muraenolepis,marmorata,-47.25,67.25,3406:477:1,0.89
Muraenolepis,marmorata,-47.25,67.75,3406:477:2,0.90
Muraenolepis,marmorata,-47.75,67.25,3406:477:3,0.93
Muraenolepis,marmorata,-47.75,67.75,3406:477:4,0.94
Muraenolepis,marmorata,-47.25,68.25,3406:478:1,0.91
Muraenolepis,marmorata,-47.25,68.75,3406:478:2,0.91
Muraenolepis,marmorata,-47.75,68.25,3406:478:3,0.96
Muraenolepis,marmorata,-47.75,68.75,3406:478:4,0.98
Muraenolepis,marmorata,-47.25,69.25,3406:479:1,0.92
Muraenolepis,marmorata,-47.25,69.75,3406:479:2,0.94
Muraenolepis,marmorata,-47.75,69.25,3406:479:3,0.84
Muraenolepis,marmorata,-48.25,65.75,3406:485:2,0.89
Muraenolepis,marmorata,-48.75,65.75,3406:485:4,0.84
Muraenolepis,marmorata,-48.25,66.25,3406:486:1,0.98
Muraenolepis,marmorata,-48.25,66.75,3406:486:2,0.96
Muraenolepis,marmorata,-48.75,66.25,3406:486:3,0.85
Muraenolepis,marmorata,-48.75,66.75,3406:486:4,1.00
Muraenolepis,marmorata,-48.25,67.25,3406:487:1,0.97
Muraenolepis,marmorata,-48.25,67.75,3406:487:2,0.99
Muraenolepis,marmorata,-48.75,67.25,3406:487:3,1.00
Muraenolepis,marmorata,-48.75,67.75,3406:487:4,1.00
Muraenolepis,marmorata,-48.25,68.25,3406:488:1,1.00
Muraenolepis,marmorata,-48.75,68.25,3406:488:3,0.85
Muraenolepis,marmorata,-49.75,65.25,3406:495:3,1.00
Muraenolepis,marmorata,-49.75,65.75,3406:495:4,1.00
Muraenolepis,marmorata,-49.25,66.75,3406:496:2,1.00
Muraenolepis,marmorata,-49.75,66.25,3406:496:3,0.98
Muraenolepis,marmorata,-49.75,66.75,3406:496:4,1.00
Muraenolepis,marmorata,-49.25,67.25,3406:497:1,1.00
Muraenolepis,marmorata,-49.25,67.75,3406:497:2,0.93
Muraenolepis,marmorata,-49.75,67.25,3406:497:3,1.00
Muraenolepis,marmorata,-49.75,67.75,3406:497:4,1.00
Muraenolepis,marmorata,-49.25,68.25,3406:498:1,0.93
Muraenolepis,marmorata,-49.75,68.25,3406:498:3,1.00
Muraenolepis,marmorata,-49.75,68.75,3406:498:4,0.99
Muraenolepis,marmorata,-46.75,70.25,3407:360:3,0.88
Muraenolepis,marmorata,-46.75,70.75,3407:360:4,0.89
Muraenolepis,marmorata,-47.25,70.25,3407:370:1,0.86
Muraenolepis,marmorata,-47.25,70.75,3407:370:2,0.99
Muraenolepis,marmorata,-47.25,71.25,3407:371:1,1.00
