Mapping parameters for Taurulus bubalis (Longspined bullhead)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  37,
Bounding Box (NSWE): ,72,35,-24,33

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,22,95,200
Temperature (°C),1,5.91,9.26,12.5,19.35
Salinity (psu),1,5.4,28.7,35.22,37.95
Primary Production,1,136,644,1843,2669
Sea Ice Concentration,1,-0.99,0,0.0299999993294477,0.25
Distance to Land (km),0,0,5,96,271
 

Map data (HSPEC) for predicted occurrences (n = 1668): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Taurulus,bubalis,36.25,0.75,1300:360:2,0.01
Taurulus,bubalis,39.25,3.25,1300:393:1,0.01
Taurulus,bubalis,39.25,8.25,1300:498:1,0.01
Taurulus,bubalis,39.25,8.75,1300:498:2,0.01
Taurulus,bubalis,39.75,8.25,1300:498:3,0.01
Taurulus,bubalis,39.25,9.25,1300:499:1,0.01
Taurulus,bubalis,38.25,23.25,1302:383:1,0.01
Taurulus,bubalis,38.75,23.25,1302:383:3,0.01
Taurulus,bubalis,38.75,23.75,1302:383:4,0.01
Taurulus,bubalis,39.25,22.75,1302:392:2,0.01
Taurulus,bubalis,39.75,22.75,1302:392:4,0.01
Taurulus,bubalis,39.25,23.25,1302:393:1,0.02
Taurulus,bubalis,39.25,23.75,1302:393:2,0.02
Taurulus,bubalis,39.75,23.25,1302:393:3,0.02
Taurulus,bubalis,39.75,23.75,1302:393:4,0.02
Taurulus,bubalis,39.25,24.25,1302:394:1,0.02
Taurulus,bubalis,39.25,24.75,1302:394:2,0.01
Taurulus,bubalis,39.75,24.25,1302:394:3,0.02
Taurulus,bubalis,39.75,24.75,1302:394:4,0.02
Taurulus,bubalis,39.75,25.25,1302:495:3,0.01
Taurulus,bubalis,39.25,26.25,1302:496:1,0.01
Taurulus,bubalis,39.25,26.75,1302:496:2,0.01
Taurulus,bubalis,39.75,26.25,1302:496:3,0.01
Taurulus,bubalis,39.75,26.75,1302:496:4,0.01
Taurulus,bubalis,40.25,3.25,1400:103:1,0.01
Taurulus,bubalis,40.25,3.75,1400:103:2,0.01
Taurulus,bubalis,40.25,4.25,1400:104:1,0.01
Taurulus,bubalis,41.25,0.75,1400:110:2,0.01
Taurulus,bubalis,41.25,1.25,1400:111:1,0.01
Taurulus,bubalis,41.25,1.75,1400:111:2,0.01
Taurulus,bubalis,41.25,2.25,1400:112:1,0.01
Taurulus,bubalis,42.25,3.25,1400:123:1,0.01
Taurulus,bubalis,42.75,3.25,1400:123:3,0.01
Taurulus,bubalis,42.75,3.75,1400:123:4,0.01
Taurulus,bubalis,43.25,3.25,1400:133:1,0.01
Taurulus,bubalis,43.25,3.75,1400:133:2,0.01
Taurulus,bubalis,43.75,3.75,1400:133:4,0.01
Taurulus,bubalis,40.25,8.25,1400:208:1,0.01
Taurulus,bubalis,40.25,8.75,1400:208:2,0.01
Taurulus,bubalis,40.75,8.25,1400:208:3,0.01
Taurulus,bubalis,40.75,8.75,1400:208:4,0.01
Taurulus,bubalis,43.75,12.75,1401:132:4,0.02
Taurulus,bubalis,43.75,13.25,1401:133:3,0.08
Taurulus,bubalis,43.75,13.75,1401:133:4,0.08
Taurulus,bubalis,44.25,12.25,1401:142:1,0.05
Taurulus,bubalis,44.25,12.75,1401:142:2,0.07
Taurulus,bubalis,44.75,12.25,1401:142:3,0.05
Taurulus,bubalis,44.75,12.75,1401:142:4,0.07
Taurulus,bubalis,44.25,13.25,1401:143:1,0.07
Taurulus,bubalis,44.25,13.75,1401:143:2,0.06
Taurulus,bubalis,44.75,13.25,1401:143:3,0.07
Taurulus,bubalis,44.75,13.75,1401:143:4,0.07
Taurulus,bubalis,44.25,14.25,1401:144:1,0.04
Taurulus,bubalis,44.75,14.25,1401:144:3,0.01
Taurulus,bubalis,44.75,14.75,1401:144:4,0.05
Taurulus,bubalis,43.25,17.75,1401:237:2,0.01
Taurulus,bubalis,45.25,12.25,1401:352:1,0.08
Taurulus,bubalis,45.25,12.75,1401:352:2,0.08
Taurulus,bubalis,45.75,12.75,1401:352:4,0.06
Taurulus,bubalis,45.25,13.25,1401:353:1,0.08
Taurulus,bubalis,45.25,13.75,1401:353:2,0.08
Taurulus,bubalis,45.75,13.25,1401:353:3,0.07
Taurulus,bubalis,45.75,13.75,1401:353:4,0.03
Taurulus,bubalis,45.25,14.25,1401:354:1,0.04
Taurulus,bubalis,45.25,14.75,1401:354:2,0.05
Taurulus,bubalis,40.25,22.75,1402:102:2,0.03
Taurulus,bubalis,40.75,22.75,1402:102:4,0.03
Taurulus,bubalis,40.25,23.25,1402:103:1,0.03
