Mapping parameters for Naso caesius (Gray unicornfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 71 |  77,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,15,18,33,50
Temperature (°C),1,22.9,25.64,29.02,33.22
Salinity (psu),1,33.83,34.34,35.96,36.46
Primary Production (mgC·m-3·day-1) ,1,-0.41,0.59,9.1,17.56
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,51.56,104.57,207.36,283.3
Distance to Land (km),0,15,24,394,545
 

Map data (HSPEC) for predicted occurrences (n = 1517): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Naso,caesius,31.75,-114.25,7311:114:3,0.06
Naso,caesius,31.25,-114.25,7311:114:1,0.19
Naso,caesius,31.75,-113.75,7311:113:4,0.06
Naso,caesius,30.75,-114.25,7311:104:3,0.14
Naso,caesius,30.25,-114.25,7311:104:1,0.10
Naso,caesius,30.25,-113.25,7311:103:1,0.15
Naso,caesius,29.75,-114.25,7211:394:3,0.04
Naso,caesius,29.75,-113.25,7211:393:3,0.04
Naso,caesius,29.75,-112.75,7211:392:4,0.07
Naso,caesius,29.25,-112.25,7211:392:1,0.14
Naso,caesius,28.75,-112.25,7211:382:3,0.18
Naso,caesius,23.75,-110.75,7211:130:4,0.02
Naso,caesius,23.75,-110.25,7211:130:3,0.19
Naso,caesius,24.75,-108.25,7210:248:3,0.02
Naso,caesius,0.75,-90.75,7009:100:4,0.04
Naso,caesius,0.25,-90.25,7009:100:1,0.06
Naso,caesius,0.25,-89.75,7008:209:2,0.08
Naso,caesius,-26.75,-145.75,5214:465:4,0.03
Naso,caesius,-24.75,-124.75,5212:144:4,0.19
Naso,caesius,-18.75,-136.25,5113:486:3,0.15
Naso,caesius,-18.25,-136.25,5113:486:1,0.17
Naso,caesius,-26.25,162.25,3216:362:1,0.04
Naso,caesius,-26.25,161.75,3216:361:2,0.05
Naso,caesius,-25.75,163.25,3216:353:3,0.11
Naso,caesius,-25.75,162.75,3216:352:4,0.10
Naso,caesius,-25.75,162.25,3216:352:3,0.10
Naso,caesius,-25.25,162.75,3216:352:2,0.17
Naso,caesius,-25.25,162.25,3216:352:1,0.17
Naso,caesius,-25.75,161.75,3216:351:4,0.11
Naso,caesius,-25.75,161.25,3216:351:3,0.12
Naso,caesius,-25.25,161.75,3216:351:2,0.18
Naso,caesius,-25.25,159.75,3215:459:2,0.19
Naso,caesius,-29.25,153.75,3215:393:2,0.08
Naso,caesius,-28.75,153.75,3215:383:4,0.12
Naso,caesius,-28.25,153.75,3215:383:2,0.13
Naso,caesius,-27.75,153.75,3215:373:4,0.13
Naso,caesius,-27.75,153.25,3215:373:3,0.01
Naso,caesius,-27.25,153.25,3215:373:1,0.02
Naso,caesius,-26.75,153.25,3215:363:3,0.12
Naso,caesius,-25.25,152.75,3215:352:2,0.08
Naso,caesius,-24.75,152.75,3215:142:4,0.16
Naso,caesius,-24.75,152.25,3215:142:3,0.13
Naso,caesius,-24.25,151.75,3215:141:2,0.14
Naso,caesius,-23.75,151.25,3215:131:3,0.13
Naso,caesius,-21.25,149.25,3214:219:1,0.15
Naso,caesius,-19.75,147.75,3114:497:4,0.17
Naso,caesius,-17.25,145.75,3114:475:2,0.11
Naso,caesius,-16.75,145.75,3114:465:4,0.13
Naso,caesius,-16.25,141.25,3114:361:1,0.03
Naso,caesius,-14.75,141.25,3114:141:3,0.04
Naso,caesius,-14.25,141.75,3114:141:2,0.19
Naso,caesius,-15.25,136.75,3113:456:2,0.04
Naso,caesius,-14.75,138.75,3113:248:4,0.17
Naso,caesius,-14.75,138.25,3113:248:3,0.16
Naso,caesius,-14.75,136.25,3113:246:3,0.13
Naso,caesius,-13.75,139.25,3113:239:3,0.06
Naso,caesius,-13.75,138.75,3113:238:4,0.06
Naso,caesius,-13.25,138.75,3113:238:2,0.12
Naso,caesius,-11.75,139.75,3113:219:4,0.18
Naso,caesius,-10.75,138.75,3113:208:4,0.18
Naso,caesius,-12.25,130.25,3113:120:1,0.17
Naso,caesius,-11.75,133.75,3113:113:4,0.19
Naso,caesius,-11.25,132.25,3113:112:1,0.12
Naso,caesius,-11.75,131.75,3113:111:4,0.09
Naso,caesius,-14.25,129.25,3112:249:1,0.18
Naso,caesius,-13.25,129.75,3112:239:2,0.13
Naso,caesius,-8.75,157.75,3015:487:4,0.16
Naso,caesius,-7.25,156.75,3015:476:2,0.03
Naso,caesius,-6.75,156.25,3015:466:3,0.01
Naso,caesius,-5.25,159.25,3015:459:1,0.17
Naso,caesius,-9.25,150.75,3015:390:2,0.16
Naso,caesius,-5.25,151.25,3015:351:1,0.05
Naso,caesius,-5.25,150.75,3015:350:2,0.16
Naso,caesius,-5.25,150.25,3015:350:1,0.19
