Mapping parameters for Naso mcdadei (Squarenose unicornfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51 |  57 |  71,
Bounding Box (NSWE): ,-10,-22,114,124

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,5,11,36,65
Temperature (°C),1,25.84,26.49,27.88,32.08
Salinity (psu),1,33.83,34.33,35.08,35.58
Primary Production,1,399,498.2,752.2,907
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,25,35,127.800003051758,195
 

Map data (HSPEC) for predicted occurrences (n = 94): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Naso,mcdadei,-16.75,119.75,3111:469:4,0.04
Naso,mcdadei,-17.25,118.75,3111:478:2,0.04
Naso,mcdadei,-19.75,115.25,3111:495:3,0.05
Naso,mcdadei,-19.75,115.75,3111:495:4,0.11
Naso,mcdadei,-19.25,116.25,3111:496:1,0.14
Naso,mcdadei,-19.75,119.75,3111:499:4,0.05
Naso,mcdadei,-10.75,122.25,3112:102:3,0.10
Naso,mcdadei,-10.25,123.25,3112:103:1,0.14
Naso,mcdadei,-12.25,122.75,3112:122:2,0.12
Naso,mcdadei,-15.25,123.25,3112:353:1,0.10
Naso,mcdadei,-15.75,123.75,3112:353:4,0.19
Naso,mcdadei,-16.25,122.75,3112:362:2,0.17
Naso,mcdadei,-18.75,121.75,3112:381:4,0.06
Naso,mcdadei,-20.75,114.75,3211:104:4,0.09
Naso,mcdadei,-21.25,114.75,3211:114:2,0.12
Naso,mcdadei,-21.75,114.25,3211:114:3,0.03
Naso,mcdadei,-17.25,119.75,3111:479:2,0.34
Naso,mcdadei,-18.75,117.75,3111:487:4,0.37
