Mapping parameters for Naucrates ductor (Pilotfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 |  31 |  34 |  37 |  41 |  47 |  51 |  57 |  61 |  67 |  71 |  77 |  81 |  87 ,
Bounding Box (NSWE): ,61,-43,-180,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,34,140,300
Temperature (°C),1,2.66,18.89,28.06,32.26
Salinity (psu),1,5.21,33,35.99,39.25
Primary Production (mgC·m-3·day-1) ,1,0.11,1.25,22.29,195.85
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.11
Dissolved Bottom Oxygen (mmol·m-3),0,1.03,112.73,242.42,408.48
Distance to Land (km),0,1,19,1612,2187
 

Map data (HSPEC) for predicted occurrences (n = 14483): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Naucrates,ductor,60.75,-179.75,7617:209:4,0.02
Naucrates,ductor,60.75,-179.25,7617:209:3,0.02
Naucrates,ductor,60.75,-178.75,7617:208:4,0.01
Naucrates,ductor,60.75,-178.25,7617:208:3,0.01
Naucrates,ductor,60.25,-178.75,7617:208:2,0.04
Naucrates,ductor,60.25,-178.25,7617:208:1,0.03
Naucrates,ductor,60.25,-177.75,7617:207:2,0.01
Naucrates,ductor,60.25,-177.25,7617:207:1,0.01
Naucrates,ductor,60.25,-162.25,7616:102:1,0.02
Naucrates,ductor,60.75,-152.25,7615:102:3,0.07
Naucrates,ductor,60.25,-152.75,7615:102:2,0.12
Naucrates,ductor,60.25,-152.25,7615:102:1,0.12
Naucrates,ductor,60.75,-151.75,7615:101:4,0.06
Naucrates,ductor,60.75,-151.25,7615:101:3,0.06
Naucrates,ductor,60.25,-151.75,7615:101:2,0.12
Naucrates,ductor,60.25,-151.25,7615:101:1,0.12
Naucrates,ductor,60.75,-150.75,7615:100:4,0.07
Naucrates,ductor,60.75,-150.25,7615:100:3,0.09
Naucrates,ductor,60.75,-149.75,7614:209:4,0.12
Naucrates,ductor,60.75,-149.25,7614:209:3,0.18
Naucrates,ductor,60.75,-148.75,7614:208:4,0.02
Naucrates,ductor,60.25,-148.75,7614:208:2,0.01
Naucrates,ductor,60.25,-139.25,7613:209:1,0.18
Naucrates,ductor,60.75,-42.25,7604:102:3,0.01
Naucrates,ductor,60.25,-42.25,7604:102:1,0.04
Naucrates,ductor,60.75,-41.75,7604:101:4,0.11
Naucrates,ductor,60.25,-41.75,7604:101:2,0.10
Naucrates,ductor,60.25,-10.25,7601:100:1,0.15
Naucrates,ductor,60.25,-6.25,7600:206:1,0.01
Naucrates,ductor,60.75,-5.75,7600:205:4,0.10
Naucrates,ductor,59.75,-178.75,7517:498:4,0.07
Naucrates,ductor,59.75,-178.25,7517:498:3,0.05
Naucrates,ductor,59.25,-178.25,7517:498:1,0.09
Naucrates,ductor,59.75,-177.75,7517:497:4,0.04
Naucrates,ductor,59.75,-177.25,7517:497:3,0.03
Naucrates,ductor,59.25,-177.75,7517:497:2,0.08
Naucrates,ductor,59.25,-177.25,7517:497:1,0.07
Naucrates,ductor,59.75,-176.75,7517:496:4,0.02
Naucrates,ductor,59.75,-176.25,7517:496:3,0.02
Naucrates,ductor,59.25,-176.75,7517:496:2,0.05
Naucrates,ductor,59.25,-176.25,7517:496:1,0.04
Naucrates,ductor,59.75,-175.75,7517:495:4,0.01
Naucrates,ductor,59.75,-175.25,7517:495:3,0.01
Naucrates,ductor,59.25,-175.75,7517:495:2,0.04
Naucrates,ductor,59.25,-175.25,7517:495:1,0.03
Naucrates,ductor,58.75,-178.25,7517:488:3,0.08
Naucrates,ductor,58.75,-177.75,7517:487:4,0.11
Naucrates,ductor,58.75,-177.25,7517:487:3,0.10
Naucrates,ductor,58.75,-176.75,7517:486:4,0.09
Naucrates,ductor,58.75,-176.25,7517:486:3,0.08
Naucrates,ductor,58.75,-175.75,7517:485:4,0.07
Naucrates,ductor,58.75,-175.25,7517:485:3,0.07
Naucrates,ductor,58.25,-175.75,7517:485:2,0.11
Naucrates,ductor,58.25,-175.25,7517:485:1,0.11
Naucrates,ductor,59.25,-174.75,7517:394:2,0.02
Naucrates,ductor,59.25,-174.25,7517:394:1,0.02
Naucrates,ductor,59.25,-173.75,7517:393:2,0.01
