Mapping parameters for Nemipterus bipunctatus (Delagoa threadfin bream)

"Cite AquaMaps itself as: Kaschner, K., J. Rius-Barile, K. Kesner-Reyes, C. Garilao, S.O. Kullander, T. Rees and R. Froese. 2013. AquaMaps: Predicted range maps for aquatic species World Wide Web electronic publication, www.aquamaps.org, Version 08/2013. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51 |  57,
Bounding Box (NSWE): ,31,-30,31,103

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,18,26,59,100
Temperature (°C),1,23.68,25.46,28.88,33.08
Salinity (psu),1,28.81,31.87,39.2,39.7
Primary Production,1,139,333,1862,2838
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,6,15,133,547
 

Map data (HSPEC) for predicted occurrences (n = 1401): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,SST,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Nemipterus,bipunctatus,7.25,77.75,1007:477:2,0.05,,,,,,
Nemipterus,bipunctatus,6.25,98.25,1009:468:1,0.16,,,,,,
Nemipterus,bipunctatus,18.75,37.25,1103:487:3,0.12,,,,,,
Nemipterus,bipunctatus,19.25,39.75,1103:499:2,0.07,,,,,,
Nemipterus,bipunctatus,14.25,48.25,1104:248:1,0.10,,,,,,
Nemipterus,bipunctatus,11.25,51.75,1105:111:2,0.07,,,,,,
Nemipterus,bipunctatus,19.75,72.25,1107:392:3,0.11,,,,,,
Nemipterus,bipunctatus,11.75,93.75,1109:113:4,0.15,,,,,,
Nemipterus,bipunctatus,11.75,96.75,1109:216:4,0.10,,,,,,
Nemipterus,bipunctatus,19.75,93.75,1109:393:4,0.17,,,,,,
Nemipterus,bipunctatus,23.75,37.75,1203:237:4,0.04,,,,,,
Nemipterus,bipunctatus,23.25,38.25,1203:238:1,0.04,,,,,,
Nemipterus,bipunctatus,23.75,38.25,1203:238:3,0.04,,,,,,
Nemipterus,bipunctatus,23.75,38.75,1203:238:4,0.02,,,,,,
Nemipterus,bipunctatus,24.25,37.75,1203:247:2,0.04,,,,,,
Nemipterus,bipunctatus,24.25,38.25,1203:248:1,0.04,,,,,,
Nemipterus,bipunctatus,24.25,51.25,1205:141:1,0.10,,,,,,
Nemipterus,bipunctatus,24.25,51.75,1205:141:2,0.10,,,,,,
Nemipterus,bipunctatus,24.75,51.25,1205:141:3,0.05,,,,,,
Nemipterus,bipunctatus,24.75,51.75,1205:141:4,0.10,,,,,,
