Mapping parameters for Nemipterus theodorei (Theodore's threadfin bream)

"Cite AquaMaps itself as: Kaschner, K., J. Rius-Barile, K. Kesner-Reyes, C. Garilao, S.O. Kullander, T. Rees and R. Froese. 2013. AquaMaps: Predicted range maps for aquatic species World Wide Web electronic publication, www.aquamaps.org, Version 08/2013. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 71 |  81,
Bounding Box (NSWE): ,-13,-36,145,158

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,19,64,198,410
Temperature (°C),1,20.15,23.27,26.42,30.62
Salinity (psu),1,34.32,34.82,35.82,36.32
Primary Production,1,81,166,766,1246
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,0,12,203,311
 

Map data (HSPEC) for predicted occurrences (n = 216): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,SST,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Nemipterus,theodorei,-16.25,149.25,3114:469:1,0.14,,,,,,
Nemipterus,theodorei,-21.75,149.25,3214:219:3,0.07,,,,,,
Nemipterus,theodorei,-22.25,154.25,3215:124:1,0.18,,,,,,
Nemipterus,theodorei,-23.75,153.25,3215:133:3,0.03,,,,,,
Nemipterus,theodorei,-21.25,156.25,3215:216:1,0.18,,,,,,
Nemipterus,theodorei,-27.75,153.25,3215:373:3,0.02,,,,,,
Nemipterus,theodorei,-27.75,155.25,3215:475:3,0.13,,,,,,
Nemipterus,theodorei,-28.25,155.75,3215:485:2,0.03,,,,,,
Nemipterus,theodorei,-32.25,152.25,3315:122:1,0.16,,,,,,
Nemipterus,theodorei,-34.25,150.75,3315:140:2,0.02,,,,,,
Nemipterus,theodorei,-34.75,150.75,3315:140:4,0.03,,,,,,
Nemipterus,theodorei,-34.25,151.25,3315:141:1,0.18,,,,,,
Nemipterus,theodorei,-34.25,151.75,3315:141:2,0.18,,,,,,
Nemipterus,theodorei,-34.75,151.25,3315:141:3,0.18,,,,,,
Nemipterus,theodorei,-14.75,145.25,3114:245:3,0.34,,,,,,
Nemipterus,theodorei,-17.25,149.25,3114:479:1,0.37,,,,,,
Nemipterus,theodorei,-19.25,148.25,3114:498:1,0.22,,,,,,
Nemipterus,theodorei,-19.25,150.75,3115:390:2,0.33,,,,,,
Nemipterus,theodorei,-19.25,152.75,3115:392:2,0.26,,,,,,
Nemipterus,theodorei,-20.25,148.25,3214:208:1,0.33,,,,,,
Nemipterus,theodorei,-21.25,149.75,3214:219:2,0.27,,,,,,
Nemipterus,theodorei,-20.25,150.25,3215:100:1,0.20,,,,,,
Nemipterus,theodorei,-21.75,151.75,3215:111:4,0.36,,,,,,
Nemipterus,theodorei,-24.25,152.25,3215:142:1,0.32,,,,,,
Nemipterus,theodorei,-33.25,151.75,3315:131:2,0.32,,,,,,
Nemipterus,theodorei,-33.75,151.25,3315:131:3,0.32,,,,,,
Nemipterus,theodorei,-33.75,151.75,3315:131:4,0.32,,,,,,
Nemipterus,theodorei,-33.25,152.25,3315:132:1,0.39,,,,,,
Nemipterus,theodorei,-33.75,152.25,3315:132:3,0.21,,,,,,
Nemipterus,theodorei,-33.25,156.25,3315:236:1,0.33,,,,,,
Nemipterus,theodorei,-15.25,145.25,3114:455:1,0.57,,,,,,
Nemipterus,theodorei,-15.75,145.25,3114:455:3,0.41,,,,,,
Nemipterus,theodorei,-19.75,152.75,3115:392:4,0.57,,,,,,
Nemipterus,theodorei,-20.25,148.75,3214:208:2,0.40,,,,,,
Nemipterus,theodorei,-20.25,149.75,3214:209:2,0.52,,,,,,
Nemipterus,theodorei,-20.75,149.25,3214:209:3,0.49,,,,,,
Nemipterus,theodorei,-20.25,152.25,3215:102:1,0.50,,,,,,
Nemipterus,theodorei,-20.25,152.75,3215:102:2,0.58,,,,,,
Nemipterus,theodorei,-20.75,153.25,3215:103:3,0.55,,,,,,
Nemipterus,theodorei,-21.25,153.75,3215:113:2,0.55,,,,,,
Nemipterus,theodorei,-21.75,154.25,3215:114:3,0.48,,,,,,
Nemipterus,theodorei,-22.25,150.75,3215:120:2,0.52,,,,,,
Nemipterus,theodorei,-22.75,154.25,3215:124:3,0.47,,,,,,
Nemipterus,theodorei,-23.25,151.25,3215:131:1,0.51,,,,,,
Nemipterus,theodorei,-23.25,154.25,3215:134:1,0.44,,,,,,
Nemipterus,theodorei,-31.25,152.75,3315:112:2,0.51,,,,,,
Nemipterus,theodorei,-32.75,151.75,3315:121:4,0.42,,,,,,
Nemipterus,theodorei,-32.25,152.75,3315:122:2,0.51,,,,,,
Nemipterus,theodorei,-32.75,152.25,3315:122:3,0.51,,,,,,
Nemipterus,theodorei,-32.75,152.75,3315:122:4,0.51,,,,,,
Nemipterus,theodorei,-32.25,153.25,3315:123:1,0.58,,,,,,
Nemipterus,theodorei,-32.75,156.25,3315:226:3,0.40,,,,,,
Nemipterus,theodorei,-19.75,148.75,3114:498:4,0.67,,,,,,
Nemipterus,theodorei,-19.25,151.75,3115:391:2,0.69,,,,,,
Nemipterus,theodorei,-19.75,151.25,3115:391:3,0.76,,,,,,
Nemipterus,theodorei,-19.75,152.25,3115:392:3,0.62,,,,,,
Nemipterus,theodorei,-20.75,150.25,3215:100:3,0.69,,,,,,
Nemipterus,theodorei,-22.25,150.25,3215:120:1,0.64,,,,,,
Nemipterus,theodorei,-22.75,151.25,3215:121:3,0.71,,,,,,
Nemipterus,theodorei,-23.25,151.75,3215:131:2,0.78,,,,,,
Nemipterus,theodorei,-23.75,151.25,3215:131:3,0.62,,,,,,
Nemipterus,theodorei,-23.25,153.25,3215:133:1,0.71,,,,,,
Nemipterus,theodorei,-23.25,153.75,3215:133:2,0.72,,,,,,
Nemipterus,theodorei,-31.75,152.75,3315:112:4,0.65,,,,,,
Nemipterus,theodorei,-31.25,153.25,3315:113:1,0.76,,,,,,
Nemipterus,theodorei,-31.75,153.25,3315:113:3,0.76,,,,,,
Nemipterus,theodorei,-30.75,156.25,3315:206:3,0.68,,,,,,
Nemipterus,theodorei,-13.75,146.75,3114:236:4,0.85,,,,,,
Nemipterus,theodorei,-14.25,145.25,3114:245:1,0.90,,,,,,
Nemipterus,theodorei,-14.25,145.75,3114:245:2,0.90,,,,,,
Nemipterus,theodorei,-14.75,145.75,3114:245:4,0.90,,,,,,
Nemipterus,theodorei,-15.25,145.75,3114:455:2,0.92,,,,,,
Nemipterus,theodorei,-15.75,145.75,3114:455:4,0.92,,,,,,
Nemipterus,theodorei,-15.75,149.25,3114:459:3,0.87,,,,,,
Nemipterus,theodorei,-15.75,149.75,3114:459:4,0.87,,,,,,
Nemipterus,theodorei,-16.25,145.25,3114:465:1,0.95,,,,,,
Nemipterus,theodorei,-16.25,145.75,3114:465:2,0.95,,,,,,
Nemipterus,theodorei,-16.75,145.75,3114:465:4,0.95,,,,,,
Nemipterus,theodorei,-16.25,146.25,3114:466:1,0.96,,,,,,
Nemipterus,theodorei,-16.75,146.25,3114:466:3,0.96,,,,,,
Nemipterus,theodorei,-16.75,146.75,3114:466:4,0.96,,,,,,
Nemipterus,theodorei,-16.25,147.75,3114:467:2,0.95,,,,,,
Nemipterus,theodorei,-16.75,147.75,3114:467:4,0.95,,,,,,
Nemipterus,theodorei,-16.25,148.25,3114:468:1,0.94,,,,,,
Nemipterus,theodorei,-16.25,149.75,3114:469:2,0.94,,,,,,
Nemipterus,theodorei,-16.75,149.25,3114:469:3,0.94,,,,,,
Nemipterus,theodorei,-16.75,149.75,3114:469:4,0.94,,,,,,
Nemipterus,theodorei,-17.25,145.75,3114:475:2,0.98,,,,,,
Nemipterus,theodorei,-17.25,146.25,3114:476:1,1.00,,,,,,
Nemipterus,theodorei,-17.25,146.75,3114:476:2,1.00,,,,,,
Nemipterus,theodorei,-17.75,146.25,3114:476:3,0.80,,,,,,
Nemipterus,theodorei,-17.75,146.75,3114:476:4,1.00,,,,,,
Nemipterus,theodorei,-17.75,147.25,3114:477:3,1.00,,,,,,
