Mapping parameters for Neoniphon sammara (Sammara squirrelfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 |  77 |  81 ,
Bounding Box (NSWE): ,30,-32,31,-123

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,4,24,46
Temperature (°C),1,21.44,25.17,29.21,33.41
Salinity (psu),1,25.97,33.47,35.96,38.86
Primary Production (mgC·m-3·day-1) ,1,-0.2,0.8,13.19,59.94
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,89.22,207.36,297.13
Distance to Land (km),0,1,17,213,620
 

Map data (HSPEC) for predicted occurrences (n = 4927): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Neoniphon,sammara,26.25,-174.75,7217:364:2,0.04
Neoniphon,sammara,25.75,-173.75,7217:353:4,0.07
Neoniphon,sammara,20.75,-157.75,7215:207:4,0.13
Neoniphon,sammara,-26.75,-145.75,5214:465:4,0.12
Neoniphon,sammara,-27.75,-144.25,5214:374:3,0.09
Neoniphon,sammara,-27.75,-143.25,5214:373:3,0.09
Neoniphon,sammara,-13.25,-179.25,5117:239:1,0.07
Neoniphon,sammara,-11.75,-178.25,5117:218:3,0.07
Neoniphon,sammara,-14.75,-168.25,5116:248:3,0.04
Neoniphon,sammara,-31.25,159.25,3315:219:1,0.05
Neoniphon,sammara,-31.75,152.75,3315:112:4,0.07
Neoniphon,sammara,-31.25,152.75,3315:112:2,0.11
Neoniphon,sammara,-30.75,114.75,3311:104:4,0.06
