Mapping parameters for Notoscopelus japonicus (Japanese lanternfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61,
Bounding Box (NSWE): ,45,26,128,172

Pelagic: True,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,391,438,575,794
Temperature (°C),1,0.99,1.51,3.71,8.83
Salinity (psu),1,33.86,34.36,34.69,35.19
Primary Production,1,71.5,349,645,971.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,11,67,795,1405
 

Map data (HSPEC) for predicted occurrences (n = 2327): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Notoscopelus,japonicus,27.25,142.25,1214:372:1,0.18
Notoscopelus,japonicus,27.75,142.25,1214:372:3,0.19
Notoscopelus,japonicus,30.75,129.75,1312:209:4,0.10
Notoscopelus,japonicus,31.25,129.25,1312:219:1,0.17
Notoscopelus,japonicus,31.25,129.75,1312:219:2,0.04
Notoscopelus,japonicus,31.75,129.25,1312:219:3,0.07
Notoscopelus,japonicus,31.75,129.75,1312:219:4,0.04
Notoscopelus,japonicus,37.75,128.75,1312:478:4,0.08
Notoscopelus,japonicus,38.75,128.25,1312:488:3,0.07
Notoscopelus,japonicus,34.25,136.75,1313:246:2,0.08
Notoscopelus,japonicus,35.75,132.25,1313:352:3,0.03
Notoscopelus,japonicus,35.75,134.75,1313:354:4,0.07
Notoscopelus,japonicus,36.75,133.25,1313:363:3,0.07
Notoscopelus,japonicus,33.25,140.25,1314:130:1,0.15
Notoscopelus,japonicus,33.75,140.25,1314:130:3,0.15
Notoscopelus,japonicus,37.75,141.75,1314:371:4,0.10
Notoscopelus,japonicus,38.75,141.75,1314:381:4,0.02
Notoscopelus,japonicus,39.25,142.25,1314:392:1,0.10
Notoscopelus,japonicus,27.75,129.25,1212:479:3,0.21
Notoscopelus,japonicus,28.25,128.75,1212:488:2,0.36
Notoscopelus,japonicus,26.75,142.25,1214:362:3,0.29
Notoscopelus,japonicus,30.25,128.25,1312:208:1,0.29
Notoscopelus,japonicus,30.75,128.25,1312:208:3,0.23
Notoscopelus,japonicus,30.25,129.75,1312:209:2,0.23
Notoscopelus,japonicus,36.75,129.75,1312:469:4,0.25
Notoscopelus,japonicus,33.25,139.75,1313:239:2,0.32
Notoscopelus,japonicus,34.75,139.25,1313:249:3,0.23
Notoscopelus,japonicus,36.25,135.75,1313:465:2,0.21
Notoscopelus,japonicus,37.75,136.75,1313:476:4,0.31
Notoscopelus,japonicus,37.25,137.25,1313:477:1,0.25
Notoscopelus,japonicus,37.25,138.25,1313:478:1,0.21
Notoscopelus,japonicus,38.25,138.75,1313:488:2,0.36
Notoscopelus,japonicus,39.25,139.75,1313:499:2,0.27
Notoscopelus,japonicus,39.75,139.75,1313:499:4,0.29
Notoscopelus,japonicus,36.75,141.25,1314:361:3,0.20
Notoscopelus,japonicus,37.25,141.75,1314:371:2,0.27
Notoscopelus,japonicus,35.25,171.75,1317:351:2,0.22
Notoscopelus,japonicus,28.75,128.75,1212:488:4,0.59
Notoscopelus,japonicus,28.75,129.25,1212:489:3,0.50
Notoscopelus,japonicus,29.25,129.75,1212:499:2,0.54
Notoscopelus,japonicus,29.75,129.25,1212:499:3,0.54
Notoscopelus,japonicus,26.25,134.25,1213:364:1,0.58
Notoscopelus,japonicus,26.25,138.75,1213:468:2,0.59
Notoscopelus,japonicus,26.25,141.75,1214:361:2,0.57
Notoscopelus,japonicus,26.25,142.25,1214:362:1,0.58
Notoscopelus,japonicus,26.25,142.75,1214:362:2,0.56
Notoscopelus,japonicus,26.25,143.25,1214:363:1,0.58
Notoscopelus,japonicus,26.25,145.25,1214:465:1,0.56
Notoscopelus,japonicus,26.25,145.75,1214:465:2,0.52
Notoscopelus,japonicus,26.25,146.25,1214:466:1,0.56
Notoscopelus,japonicus,26.25,146.75,1214:466:2,0.56
Notoscopelus,japonicus,26.25,147.25,1214:467:1,0.57
Notoscopelus,japonicus,26.25,147.75,1214:467:2,0.55
Notoscopelus,japonicus,26.75,147.25,1214:467:3,0.59
Notoscopelus,japonicus,26.75,147.75,1214:467:4,0.59
Notoscopelus,japonicus,26.25,148.25,1214:468:1,0.54
Notoscopelus,japonicus,26.25,148.75,1214:468:2,0.53
Notoscopelus,japonicus,26.75,148.25,1214:468:3,0.57
Notoscopelus,japonicus,26.75,148.75,1214:468:4,0.56
Notoscopelus,japonicus,26.25,149.25,1214:469:1,0.54
Notoscopelus,japonicus,26.25,149.75,1214:469:2,0.53
Notoscopelus,japonicus,26.75,149.25,1214:469:3,0.56
Notoscopelus,japonicus,26.75,149.75,1214:469:4,0.55
Notoscopelus,japonicus,27.25,148.75,1214:478:2,0.59
Notoscopelus,japonicus,26.25,150.25,1215:360:1,0.53
Notoscopelus,japonicus,26.25,150.75,1215:360:2,0.52
Notoscopelus,japonicus,26.75,150.25,1215:360:3,0.55
Notoscopelus,japonicus,26.75,150.75,1215:360:4,0.56
Notoscopelus,japonicus,26.25,151.25,1215:361:1,0.55
Notoscopelus,japonicus,26.25,151.75,1215:361:2,0.55
Notoscopelus,japonicus,26.25,152.25,1215:362:1,0.56
Notoscopelus,japonicus,26.25,152.75,1215:362:2,0.56
Notoscopelus,japonicus,26.25,153.25,1215:363:1,0.54
Notoscopelus,japonicus,26.25,153.75,1215:363:2,0.52
Notoscopelus,japonicus,26.75,153.25,1215:363:3,0.57
Notoscopelus,japonicus,26.75,153.75,1215:363:4,0.58
Notoscopelus,japonicus,26.25,154.25,1215:364:1,0.51
Notoscopelus,japonicus,26.25,154.75,1215:364:2,0.52
Notoscopelus,japonicus,26.75,154.25,1215:364:3,0.57
Notoscopelus,japonicus,27.25,150.25,1215:370:1,0.59
Notoscopelus,japonicus,26.25,155.25,1215:465:1,0.54
Notoscopelus,japonicus,26.25,155.75,1215:465:2,0.51
Notoscopelus,japonicus,26.75,155.25,1215:465:3,0.59
Notoscopelus,japonicus,26.75,155.75,1215:465:4,0.56
Notoscopelus,japonicus,26.25,156.25,1215:466:1,0.51
Notoscopelus,japonicus,26.25,156.75,1215:466:2,0.50
Notoscopelus,japonicus,26.75,156.25,1215:466:3,0.57
Notoscopelus,japonicus,26.75,156.75,1215:466:4,0.56
Notoscopelus,japonicus,26.25,157.25,1215:467:1,0.50
Notoscopelus,japonicus,26.25,157.75,1215:467:2,0.51
Notoscopelus,japonicus,26.75,157.25,1215:467:3,0.56
Notoscopelus,japonicus,26.75,157.75,1215:467:4,0.56
Notoscopelus,japonicus,26.25,158.25,1215:468:1,0.52
Notoscopelus,japonicus,26.25,158.75,1215:468:2,0.53
Notoscopelus,japonicus,26.75,158.25,1215:468:3,0.56
Notoscopelus,japonicus,26.75,158.75,1215:468:4,0.57
Notoscopelus,japonicus,26.25,159.25,1215:469:1,0.53
Notoscopelus,japonicus,26.25,159.75,1215:469:2,0.51
Notoscopelus,japonicus,26.75,159.25,1215:469:3,0.57
Notoscopelus,japonicus,26.75,159.75,1215:469:4,0.57
Notoscopelus,japonicus,26.25,160.25,1216:360:1,0.52
Notoscopelus,japonicus,26.25,160.75,1216:360:2,0.54
Notoscopelus,japonicus,26.75,160.25,1216:360:3,0.57
Notoscopelus,japonicus,26.25,161.25,1216:361:1,0.54
Notoscopelus,japonicus,26.25,161.75,1216:361:2,0.50
Notoscopelus,japonicus,26.75,161.25,1216:361:3,0.59
Notoscopelus,japonicus,26.75,161.75,1216:361:4,0.55
Notoscopelus,japonicus,26.25,162.25,1216:362:1,0.51
Notoscopelus,japonicus,26.25,162.75,1216:362:2,0.52
Notoscopelus,japonicus,26.75,162.25,1216:362:3,0.54
Notoscopelus,japonicus,26.75,162.75,1216:362:4,0.55
Notoscopelus,japonicus,26.25,163.25,1216:363:1,0.49
Notoscopelus,japonicus,26.25,163.75,1216:363:2,0.48
Notoscopelus,japonicus,26.75,163.25,1216:363:3,0.49
Notoscopelus,japonicus,26.75,163.75,1216:363:4,0.48
Notoscopelus,japonicus,26.25,164.25,1216:364:1,0.48
Notoscopelus,japonicus,26.25,164.75,1216:364:2,0.49
Notoscopelus,japonicus,26.75,164.25,1216:364:3,0.49
Notoscopelus,japonicus,26.75,164.75,1216:364:4,0.50
Notoscopelus,japonicus,27.25,161.75,1216:371:2,0.56
Notoscopelus,japonicus,27.25,162.25,1216:372:1,0.56
Notoscopelus,japonicus,27.25,162.75,1216:372:2,0.55
Notoscopelus,japonicus,27.75,162.25,1216:372:3,0.58
Notoscopelus,japonicus,27.75,162.75,1216:372:4,0.59
Notoscopelus,japonicus,27.25,163.25,1216:373:1,0.48
Notoscopelus,japonicus,27.25,163.75,1216:373:2,0.51
Notoscopelus,japonicus,27.75,163.25,1216:373:3,0.56
Notoscopelus,japonicus,27.75,163.75,1216:373:4,0.58
Notoscopelus,japonicus,27.25,164.25,1216:374:1,0.54
Notoscopelus,japonicus,27.25,164.75,1216:374:2,0.55
Notoscopelus,japonicus,27.75,164.25,1216:374:3,0.59
Notoscopelus,japonicus,27.75,164.75,1216:374:4,0.58
Notoscopelus,japonicus,26.25,165.25,1216:465:1,0.50
Notoscopelus,japonicus,26.25,165.75,1216:465:2,0.50
Notoscopelus,japonicus,26.75,165.25,1216:465:3,0.49
Notoscopelus,japonicus,26.75,165.75,1216:465:4,0.52
Notoscopelus,japonicus,26.25,166.25,1216:466:1,0.52
Notoscopelus,japonicus,26.25,166.75,1216:466:2,0.49
Notoscopelus,japonicus,26.75,166.25,1216:466:3,0.55
Notoscopelus,japonicus,26.75,166.75,1216:466:4,0.56
Notoscopelus,japonicus,26.25,167.25,1216:467:1,0.47
Notoscopelus,japonicus,26.25,167.75,1216:467:2,0.46
Notoscopelus,japonicus,26.75,167.25,1216:467:3,0.51
Notoscopelus,japonicus,26.75,167.75,1216:467:4,0.48
Notoscopelus,japonicus,26.25,168.25,1216:468:1,0.46
Notoscopelus,japonicus,26.25,168.75,1216:468:2,0.45
Notoscopelus,japonicus,26.75,168.25,1216:468:3,0.48
Notoscopelus,japonicus,26.75,168.75,1216:468:4,0.48
Notoscopelus,japonicus,26.25,169.25,1216:469:1,0.48
Notoscopelus,japonicus,26.25,169.75,1216:469:2,0.52
Notoscopelus,japonicus,26.75,169.25,1216:469:3,0.48
Notoscopelus,japonicus,26.75,169.75,1216:469:4,0.55
Notoscopelus,japonicus,27.25,165.25,1216:475:1,0.56
Notoscopelus,japonicus,27.25,165.75,1216:475:2,0.54
Notoscopelus,japonicus,27.75,165.25,1216:475:3,0.55
Notoscopelus,japonicus,27.75,165.75,1216:475:4,0.58
Notoscopelus,japonicus,27.25,166.25,1216:476:1,0.55
Notoscopelus,japonicus,27.75,166.25,1216:476:3,0.59
Notoscopelus,japonicus,27.25,167.25,1216:477:1,0.59
Notoscopelus,japonicus,27.25,167.75,1216:477:2,0.49
Notoscopelus,japonicus,27.75,167.75,1216:477:4,0.56
Notoscopelus,japonicus,27.25,168.25,1216:478:1,0.51
Notoscopelus,japonicus,27.25,168.75,1216:478:2,0.48
Notoscopelus,japonicus,27.75,168.25,1216:478:3,0.57
Notoscopelus,japonicus,27.75,168.75,1216:478:4,0.54
Notoscopelus,japonicus,27.25,169.25,1216:479:1,0.53
Notoscopelus,japonicus,27.25,169.75,1216:479:2,0.55
Notoscopelus,japonicus,27.75,169.25,1216:479:3,0.55
Notoscopelus,japonicus,27.75,169.75,1216:479:4,0.55
Notoscopelus,japonicus,26.25,170.25,1217:360:1,0.53
Notoscopelus,japonicus,26.25,170.75,1217:360:2,0.52
Notoscopelus,japonicus,26.75,170.25,1217:360:3,0.54
Notoscopelus,japonicus,26.75,170.75,1217:360:4,0.54
Notoscopelus,japonicus,26.25,171.25,1217:361:1,0.53
Notoscopelus,japonicus,26.25,171.75,1217:361:2,0.52
Notoscopelus,japonicus,26.75,171.25,1217:361:3,0.52
Notoscopelus,japonicus,26.75,171.75,1217:361:4,0.51
Notoscopelus,japonicus,27.25,170.25,1217:370:1,0.57
Notoscopelus,japonicus,27.25,170.75,1217:370:2,0.57
Notoscopelus,japonicus,27.75,170.25,1217:370:3,0.58
Notoscopelus,japonicus,27.25,171.25,1217:371:1,0.57
Notoscopelus,japonicus,27.25,171.75,1217:371:2,0.56
Notoscopelus,japonicus,30.75,128.75,1312:208:4,0.56
Notoscopelus,japonicus,30.75,129.25,1312:209:3,0.54
Notoscopelus,japonicus,32.25,129.25,1312:229:1,0.42
Notoscopelus,japonicus,32.75,139.75,1313:229:4,0.42
Notoscopelus,japonicus,34.75,138.75,1313:248:4,0.50
Notoscopelus,japonicus,35.75,133.75,1313:353:4,0.41
Notoscopelus,japonicus,35.75,134.25,1313:354:3,0.42
Notoscopelus,japonicus,36.25,133.75,1313:363:2,0.41
