Mapping parameters for Nototheniops larseni (Painted notie)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  48 |  58 |  88 ,
Bounding Box (NSWE): ,-51,-70,-92,166

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,30,118,348,750
Temperature (°C),1,-1.81,-1.31,1.77,2.31
Salinity (psu),1,32.71,33.21,33.99,34.49
Primary Production (mgC·m-3·day-1) ,1,1.17,2.17,8.29,12.37
Sea Ice Concentration (0-1 fraction),1,-0.84,0,0.37,0.7
Dissolved Bottom Oxygen (mmol·m-3),0,183.09,213.93,327.73,359.28
Distance to Land (km),0,2,11,134,847
 

Map data (HSPEC) for predicted occurrences (n = 1440): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Nototheniops,larseni,-54.75,2.75,3500:142:4,0.15
Nototheniops,larseni,-52.75,48.25,3504:228:3,0.17
Nototheniops,larseni,-51.25,74.75,3507:114:2,0.16
Nototheniops,larseni,-51.75,74.25,3507:114:3,0.07
Nototheniops,larseni,-52.25,74.25,3507:124:1,0.06
Nototheniops,larseni,-52.75,74.25,3507:124:3,0.11
Nototheniops,larseni,-53.25,74.75,3507:134:2,0.14
Nototheniops,larseni,-52.75,76.25,3507:226:3,0.07
Nototheniops,larseni,-52.75,77.25,3507:227:3,0.01
