Mapping parameters for Ogcocephalus parvus (Roughback batfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 21 |  31 |  41,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,29,54,125,126
Temperature (°C),1,12.66,23.28,27.54,31.74
Salinity (psu),1,31.28,34.04,36.18,37.46
Primary Production,1,192,359,1466,3160
Sea Ice Concentration,1,-1,0,0,0.01
Distance to Land (km),0,1,15,173,319.5
 

Map data (HSPEC) for predicted occurrences (n = 1418): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Ogcocephalus,parvus,-3.25,-39.75,5003:239:2,0.12
Ogcocephalus,parvus,-8.75,-35.25,5003:485:3,0.13
Ogcocephalus,parvus,-1.75,-44.25,5004:114:3,0.02
Ogcocephalus,parvus,-2.25,-44.25,5004:124:1,0.14
Ogcocephalus,parvus,-0.25,-46.25,5004:206:1,0.01
Ogcocephalus,parvus,-0.25,-46.75,5004:206:2,0.01
Ogcocephalus,parvus,-0.75,-46.25,5004:206:3,0.02
Ogcocephalus,parvus,-0.75,-46.75,5004:206:4,0.01
Ogcocephalus,parvus,-15.75,-38.25,5103:458:3,0.16
Ogcocephalus,parvus,-17.75,-35.75,5103:475:4,0.01
Ogcocephalus,parvus,-17.25,-36.75,5103:476:2,0.15
Ogcocephalus,parvus,-17.75,-36.25,5103:476:3,0.05
Ogcocephalus,parvus,-17.75,-38.25,5103:478:3,0.19
Ogcocephalus,parvus,-18.75,-39.75,5103:489:4,0.18
Ogcocephalus,parvus,-20.25,-34.75,5203:104:2,0.02
Ogcocephalus,parvus,-20.75,-34.75,5203:104:4,0.05
Ogcocephalus,parvus,-20.25,-35.75,5203:205:2,0.03
Ogcocephalus,parvus,-20.75,-35.25,5203:205:3,0.02
Ogcocephalus,parvus,-20.25,-36.25,5203:206:1,0.08
Ogcocephalus,parvus,-20.25,-36.75,5203:206:2,0.15
Ogcocephalus,parvus,-26.25,-48.75,5204:468:2,0.15
Ogcocephalus,parvus,-34.25,-53.25,5305:143:1,0.08
Ogcocephalus,parvus,-34.25,-53.75,5305:143:2,0.06
Ogcocephalus,parvus,-34.75,-53.25,5305:143:3,0.12
Ogcocephalus,parvus,-34.75,-53.75,5305:143:4,0.08
Ogcocephalus,parvus,-34.75,-54.25,5305:144:3,0.03
Ogcocephalus,parvus,-34.75,-54.75,5305:144:4,0.02
Ogcocephalus,parvus,-35.25,-53.25,5305:353:1,0.19
Ogcocephalus,parvus,-35.25,-53.75,5305:353:2,0.15
Ogcocephalus,parvus,-35.75,-53.75,5305:353:4,0.19
Ogcocephalus,parvus,-35.25,-54.25,5305:354:1,0.01
Ogcocephalus,parvus,-35.75,-54.25,5305:354:3,0.02
Ogcocephalus,parvus,-35.75,-54.75,5305:354:4,0.01
Ogcocephalus,parvus,-36.25,-54.25,5305:364:1,0.12
Ogcocephalus,parvus,-36.25,-54.75,5305:364:2,0.09
Ogcocephalus,parvus,-36.75,-54.25,5305:364:3,0.14
Ogcocephalus,parvus,-36.75,-54.75,5305:364:4,0.14
Ogcocephalus,parvus,-37.25,-55.25,5305:475:1,0.08
Ogcocephalus,parvus,-37.25,-55.75,5305:475:2,0.05
Ogcocephalus,parvus,-37.75,-55.25,5305:475:3,0.10
Ogcocephalus,parvus,-37.75,-55.75,5305:475:4,0.10
Ogcocephalus,parvus,-37.25,-56.25,5305:476:1,0.01
Ogcocephalus,parvus,-37.25,-56.75,5305:476:2,0.02
Ogcocephalus,parvus,-37.75,-56.25,5305:476:3,0.06
Ogcocephalus,parvus,-37.75,-56.75,5305:476:4,0.06
Ogcocephalus,parvus,-37.75,-57.25,5305:477:3,0.06
Ogcocephalus,parvus,-37.75,-57.75,5305:477:4,0.06
Ogcocephalus,parvus,-38.25,-55.25,5305:485:1,0.07
Ogcocephalus,parvus,-38.25,-55.75,5305:485:2,0.07
