Mapping parameters for Oncorhynchus nerka (Sockeye salmon)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  2 |  4 |  18 |  61 |  67 |  77 ,
Bounding Box (NSWE): ,72,42,130,-109

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,28,118,250
Temperature (°C),1,-0.41,4.39,10.45,14.03
Salinity (psu),1,19.95,25.25,32.55,38.17
Primary Production (mgC·m-3·day-1) ,1,3.54,6.2,31.68,79.8
Sea Ice Concentration (0-1 fraction),1,-0.98,0,0.05,0.63
Dissolved Bottom Oxygen (mmol·m-3),0,24.96,99.64,332.76,366.58
Distance to Land (km),0,0,1,189,939
 

Map data (HSPEC) for predicted occurrences (n = 2486): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Oncorhynchus,nerka,70.25,-177.25,7717:207:1,0.01
Oncorhynchus,nerka,70.25,-176.75,7717:206:2,0.01
Oncorhynchus,nerka,70.25,-176.25,7717:206:1,0.01
Oncorhynchus,nerka,70.75,-175.75,7717:205:4,0.01
Oncorhynchus,nerka,70.75,-175.25,7717:205:3,0.01
Oncorhynchus,nerka,70.25,-175.75,7717:205:2,0.02
Oncorhynchus,nerka,70.25,-175.25,7717:205:1,0.03
Oncorhynchus,nerka,71.25,-174.75,7717:114:2,0.01
Oncorhynchus,nerka,71.25,-174.25,7717:114:1,0.02
Oncorhynchus,nerka,71.25,-173.75,7717:113:2,0.02
Oncorhynchus,nerka,71.25,-173.25,7717:113:1,0.01
Oncorhynchus,nerka,71.25,-172.75,7717:112:2,0.01
Oncorhynchus,nerka,71.25,-172.25,7717:112:1,0.01
Oncorhynchus,nerka,71.25,-171.75,7717:111:2,0.01
Oncorhynchus,nerka,71.25,-171.25,7717:111:1,0.01
Oncorhynchus,nerka,71.25,-170.75,7717:110:2,0.01
Oncorhynchus,nerka,71.25,-170.25,7717:110:1,0.01
Oncorhynchus,nerka,70.75,-174.75,7717:104:4,0.02
Oncorhynchus,nerka,70.75,-174.25,7717:104:3,0.03
Oncorhynchus,nerka,70.25,-174.75,7717:104:2,0.04
Oncorhynchus,nerka,70.25,-174.25,7717:104:1,0.04
Oncorhynchus,nerka,70.75,-173.75,7717:103:4,0.04
Oncorhynchus,nerka,70.75,-173.25,7717:103:3,0.03
Oncorhynchus,nerka,70.25,-173.75,7717:103:2,0.05
Oncorhynchus,nerka,70.25,-173.25,7717:103:1,0.04
Oncorhynchus,nerka,70.75,-172.75,7717:102:4,0.03
Oncorhynchus,nerka,70.75,-172.25,7717:102:3,0.02
Oncorhynchus,nerka,70.25,-172.75,7717:102:2,0.04
Oncorhynchus,nerka,70.25,-172.25,7717:102:1,0.04
Oncorhynchus,nerka,70.75,-171.75,7717:101:4,0.02
Oncorhynchus,nerka,70.75,-171.25,7717:101:3,0.02
Oncorhynchus,nerka,70.25,-171.75,7717:101:2,0.03
Oncorhynchus,nerka,70.25,-171.25,7717:101:1,0.03
Oncorhynchus,nerka,70.75,-170.75,7717:100:4,0.02
Oncorhynchus,nerka,70.75,-170.25,7717:100:3,0.01
Oncorhynchus,nerka,70.25,-170.75,7717:100:2,0.03
Oncorhynchus,nerka,70.25,-170.25,7717:100:1,0.03
Oncorhynchus,nerka,71.25,-169.75,7716:219:2,0.01
Oncorhynchus,nerka,71.25,-169.25,7716:219:1,0.01
Oncorhynchus,nerka,71.25,-168.75,7716:218:2,0.01
Oncorhynchus,nerka,71.25,-168.25,7716:218:1,0.01
Oncorhynchus,nerka,71.75,-167.25,7716:217:3,0.01
Oncorhynchus,nerka,71.25,-167.75,7716:217:2,0.02
Oncorhynchus,nerka,71.25,-167.25,7716:217:1,0.02
Oncorhynchus,nerka,71.75,-166.75,7716:216:4,0.01
Oncorhynchus,nerka,71.75,-166.25,7716:216:3,0.01
Oncorhynchus,nerka,71.25,-166.75,7716:216:2,0.02
Oncorhynchus,nerka,71.25,-166.25,7716:216:1,0.02
Oncorhynchus,nerka,71.25,-165.75,7716:215:2,0.02
Oncorhynchus,nerka,71.25,-165.25,7716:215:1,0.01
Oncorhynchus,nerka,70.75,-169.75,7716:209:4,0.01
Oncorhynchus,nerka,70.75,-169.25,7716:209:3,0.02
