Mapping parameters for Otolithoides biauritus (Bronze croaker)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51 |  57 |  61 |  71,
Bounding Box (NSWE): ,27,1,61,120

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,22.16,26.42,29.4,33.6
Salinity (psu),1,12.56,21.09,35.44,36.41
Primary Production (mgC·m-3·day-1) ,1,2.56,6.31,110.17,195.85
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,98.13,175.51,248.13,290.81
Distance to Land (km),0,3,10,91,407
 

Map data (HSPEC) for predicted occurrences (n = 1016): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Otolithoides,biauritus,24.75,119.25,1211:249:3,0.16
Otolithoides,biauritus,24.75,118.25,1211:248:3,0.02
Otolithoides,biauritus,24.25,118.75,1211:248:2,0.18
Otolithoides,biauritus,24.25,118.25,1211:248:1,0.05
Otolithoides,biauritus,24.25,117.75,1211:247:2,0.12
Otolithoides,biauritus,23.75,118.25,1211:238:3,0.19
Otolithoides,biauritus,23.75,117.75,1211:237:4,0.13
Otolithoides,biauritus,20.75,116.75,1211:206:4,0.01
Otolithoides,biauritus,23.25,113.75,1211:133:2,0.08
Otolithoides,biauritus,23.25,113.25,1211:133:1,0.08
Otolithoides,biauritus,22.75,113.25,1211:123:3,0.10
Otolithoides,biauritus,21.75,114.75,1211:114:4,0.04
Otolithoides,biauritus,20.75,114.75,1211:104:4,0.08
Otolithoides,biauritus,20.75,114.25,1211:104:3,0.12
Otolithoides,biauritus,20.25,114.75,1211:104:2,0.01
Otolithoides,biauritus,20.25,113.25,1211:103:1,0.02
Otolithoides,biauritus,20.25,112.75,1211:102:2,0.09
Otolithoides,biauritus,21.25,106.75,1210:216:2,0.15
Otolithoides,biauritus,20.25,109.25,1210:209:1,0.19
Otolithoides,biauritus,22.25,90.25,1209:120:1,0.03
Otolithoides,biauritus,21.75,92.25,1209:112:3,0.04
Otolithoides,biauritus,22.25,89.25,1208:229:1,0.10
Otolithoides,biauritus,20.25,70.25,1207:100:1,0.03
Otolithoides,biauritus,25.75,66.75,1206:456:4,0.18
Otolithoides,biauritus,25.25,65.75,1206:455:2,0.01
Otolithoides,biauritus,22.75,67.25,1206:227:3,0.05
Otolithoides,biauritus,22.25,67.75,1206:227:2,0.04
Otolithoides,biauritus,21.25,69.25,1206:219:1,0.16
Otolithoides,biauritus,21.75,68.25,1206:218:3,0.10
Otolithoides,biauritus,21.25,68.75,1206:218:2,0.06
Otolithoides,biauritus,20.75,69.75,1206:209:4,0.16
Otolithoides,biauritus,20.75,69.25,1206:209:3,0.06
Otolithoides,biauritus,20.25,69.75,1206:209:2,0.02
Otolithoides,biauritus,15.75,119.75,1111:459:4,0.13
Otolithoides,biauritus,19.75,112.75,1111:392:4,0.01
Otolithoides,biauritus,19.75,110.25,1111:390:3,0.17
Otolithoides,biauritus,18.75,111.25,1111:381:3,0.05
Otolithoides,biauritus,17.75,110.25,1111:370:3,0.13
Otolithoides,biauritus,10.75,118.75,1111:208:4,0.18
Otolithoides,biauritus,18.25,108.25,1110:488:1,0.12
Otolithoides,biauritus,17.25,109.75,1110:479:2,0.01
Otolithoides,biauritus,17.75,108.25,1110:478:3,0.10
Otolithoides,biauritus,17.25,108.75,1110:478:2,0.17
Otolithoides,biauritus,16.75,109.25,1110:469:3,0.03
Otolithoides,biauritus,16.25,109.25,1110:469:1,0.03
Otolithoides,biauritus,11.25,102.25,1110:112:1,0.05
Otolithoides,biauritus,11.75,101.75,1110:111:4,0.02
Otolithoides,biauritus,11.75,100.75,1110:110:4,0.09
Otolithoides,biauritus,15.25,96.25,1109:456:1,0.18
Otolithoides,biauritus,19.75,92.25,1109:392:3,0.08
Otolithoides,biauritus,19.25,92.75,1109:392:2,0.10
Otolithoides,biauritus,18.75,93.25,1109:383:3,0.14
Otolithoides,biauritus,14.75,97.75,1109:247:4,0.13
Otolithoides,biauritus,14.25,97.75,1109:247:2,0.09
Otolithoides,biauritus,14.75,95.25,1109:245:3,0.14
Otolithoides,biauritus,17.75,94.25,1109:374:3,0.10
Otolithoides,biauritus,17.25,94.25,1109:374:1,0.18
Otolithoides,biauritus,13.25,98.25,1109:238:1,0.06
Otolithoides,biauritus,10.25,99.75,1109:209:2,0.18
Otolithoides,biauritus,10.25,98.25,1109:208:1,0.15
Otolithoides,biauritus,14.75,94.75,1109:144:4,0.03
Otolithoides,biauritus,12.75,93.25,1109:123:3,0.11
Otolithoides,biauritus,12.25,93.25,1109:123:1,0.08
Otolithoides,biauritus,12.75,92.75,1109:122:4,0.10
Otolithoides,biauritus,12.25,92.75,1109:122:2,0.10
Otolithoides,biauritus,11.75,92.75,1109:112:4,0.05
Otolithoides,biauritus,19.75,71.25,1107:391:3,0.05
Otolithoides,biauritus,19.75,70.25,1107:390:3,0.01
Otolithoides,biauritus,18.75,72.25,1107:382:3,0.05
Otolithoides,biauritus,16.75,72.75,1107:362:4,0.06
Otolithoides,biauritus,16.25,72.75,1107:362:2,0.11
Otolithoides,biauritus,19.75,69.75,1106:499:4,0.01
Otolithoides,biauritus,9.25,118.75,1011:498:2,0.03
Otolithoides,biauritus,8.75,118.25,1011:488:3,0.05
Otolithoides,biauritus,8.75,117.75,1011:487:4,0.19
Otolithoides,biauritus,8.25,117.25,1011:487:1,0.08
Otolithoides,biauritus,8.25,116.75,1011:486:2,0.01
Otolithoides,biauritus,7.75,117.25,1011:477:3,0.15
Otolithoides,biauritus,7.75,116.75,1011:476:4,0.11
Otolithoides,biauritus,5.75,119.75,1011:459:4,0.03
Otolithoides,biauritus,9.75,113.25,1011:393:3,0.04
Otolithoides,biauritus,9.75,112.75,1011:392:4,0.09
Otolithoides,biauritus,8.75,112.75,1011:382:4,0.01
Otolithoides,biauritus,8.75,112.25,1011:382:3,0.02
Otolithoides,biauritus,8.75,111.75,1011:381:4,0.03
Otolithoides,biauritus,8.25,110.75,1011:380:2,0.01
Otolithoides,biauritus,4.75,119.75,1011:249:4,0.07
Otolithoides,biauritus,4.75,119.25,1011:249:3,0.18
Otolithoides,biauritus,4.25,119.25,1011:249:1,0.04
Otolithoides,biauritus,1.75,119.25,1011:219:3,0.03
Otolithoides,biauritus,4.25,112.75,1011:142:2,0.01
Otolithoides,biauritus,3.75,112.75,1011:132:4,0.19
Otolithoides,biauritus,3.75,111.25,1011:131:3,0.04
Otolithoides,biauritus,3.25,110.25,1011:130:1,0.01
Otolithoides,biauritus,8.75,108.75,1010:488:4,0.02
Otolithoides,biauritus,8.25,108.25,1010:488:1,0.09
Otolithoides,biauritus,7.75,108.25,1010:478:3,0.05
Otolithoides,biauritus,7.25,108.25,1010:478:1,0.03
Otolithoides,biauritus,7.75,107.75,1010:477:4,0.19
Otolithoides,biauritus,7.25,107.75,1010:477:2,0.10
Otolithoides,biauritus,7.25,107.25,1010:477:1,0.11
Otolithoides,biauritus,6.75,107.75,1010:467:4,0.02
Otolithoides,biauritus,6.75,107.25,1010:467:3,0.12
Otolithoides,biauritus,6.75,106.75,1010:466:4,0.14
Otolithoides,biauritus,6.75,106.25,1010:466:3,0.18
Otolithoides,biauritus,6.25,106.75,1010:466:2,0.04
Otolithoides,biauritus,6.25,106.25,1010:466:1,0.09
Otolithoides,biauritus,6.75,105.75,1010:465:4,0.16
Otolithoides,biauritus,6.75,105.25,1010:465:3,0.12
Otolithoides,biauritus,6.25,105.75,1010:465:2,0.08
Otolithoides,biauritus,6.25,105.25,1010:465:1,0.05
Otolithoides,biauritus,5.75,106.75,1010:456:4,0.01
Otolithoides,biauritus,5.75,106.25,1010:456:3,0.01
Otolithoides,biauritus,5.75,105.75,1010:455:4,0.04
Otolithoides,biauritus,5.75,105.25,1010:455:3,0.01
Otolithoides,biauritus,9.75,102.75,1010:392:4,0.12
Otolithoides,biauritus,9.75,102.25,1010:392:3,0.01
Otolithoides,biauritus,9.25,102.75,1010:392:2,0.10
Otolithoides,biauritus,9.75,100.25,1010:390:3,0.04
Otolithoides,biauritus,9.25,100.75,1010:390:2,0.05
Otolithoides,biauritus,8.75,101.25,1010:381:3,0.02
Otolithoides,biauritus,8.25,101.25,1010:381:1,0.06
Otolithoides,biauritus,7.25,104.75,1010:374:2,0.18
Otolithoides,biauritus,7.25,104.25,1010:374:1,0.13
Otolithoides,biauritus,7.75,103.25,1010:373:3,0.13
Otolithoides,biauritus,7.25,103.75,1010:373:2,0.13
Otolithoides,biauritus,7.25,103.25,1010:373:1,0.04
Otolithoides,biauritus,7.75,102.75,1010:372:4,0.09
Otolithoides,biauritus,7.25,102.75,1010:372:2,0.17
Otolithoides,biauritus,7.75,101.75,1010:371:4,0.07
Otolithoides,biauritus,7.75,101.25,1010:371:3,0.11
Otolithoides,biauritus,6.75,104.75,1010:364:4,0.06
